file,species,old_end_case,new_end_case,old_count,new_count,old_longdy,new_longdy,surface_relative_change,maximum_profile_relative_change
Earth_A0_PreAgri.vul,N2O,1,1,12255,12303,0.09999067360682383,0.09997558497143845,1.6278203651208817e-05,0.0009985435947226487
Earth_A0_PreAgri.vul,NH3,1,1,12255,12303,0.09999067360682383,0.09997558497143845,8.289440440483745e-05,0.054590705589965524
Earth_A0_PreAgri.vul,O3,1,1,12255,12303,0.09999067360682383,0.09997558497143845,3.3410855176863386e-05,0.005170325993560633
Earth_A0_PreAgri.vul,CH4,1,1,12255,12303,0.09999067360682383,0.09997558497143845,0.00014829760248023915,0.003550155182954479
Earth_A0_PreAgri.vul,H2SO4,1,1,12255,12303,0.09999067360682383,0.09997558497143845,0.1871427563582884,0.1871427563582884
Earth_A1_Current.vul,N2O,1,1,12959,12628,0.09999316593685219,0.09996348108916567,1.1423927719587324e-05,0.000706435639023975
Earth_A1_Current.vul,NH3,1,1,12959,12628,0.09999316593685219,0.09996348108916567,5.2654471014793325e-05,0.026489677236079447
Earth_A1_Current.vul,O3,1,1,12959,12628,0.09999316593685219,0.09996348108916567,0.00020389991158319031,0.007684265627931045
Earth_A1_Current.vul,CH4,1,1,12959,12628,0.09999316593685219,0.09996348108916567,8.702341911558575e-05,0.0013205895300224613
Earth_A1_Current.vul,H2SO4,1,1,12959,12628,0.09999316593685219,0.09996348108916567,0.18053704762732312,0.18053704762732312
Earth_A2_Moderate.vul,N2O,1,1,12573,12245,0.099986273518321,0.09999062610244795,1.1335474698644319e-05,0.00715380607553504
Earth_A2_Moderate.vul,NH3,1,1,12573,12245,0.099986273518321,0.09999062610244795,0.0004903497664994404,0.01899617833906753
Earth_A2_Moderate.vul,O3,1,1,12573,12245,0.099986273518321,0.09999062610244795,3.4389095384869225e-05,0.009160159032557147
Earth_A2_Moderate.vul,CH4,1,1,12573,12245,0.099986273518321,0.09999062610244795,0.00011055010795375931,0.0101171203706777
Earth_A2_Moderate.vul,H2SO4,1,1,12573,12245,0.099986273518321,0.09999062610244795,0.16767428844771945,0.16767428844771945
Earth_A3_Extreme.vul,N2O,1,1,10985,11076,0.09992278753112839,0.09990327007392856,2.2810734193156632e-05,0.001552621905171945
Earth_A3_Extreme.vul,NH3,1,1,10985,11076,0.09992278753112839,0.09990327007392856,0.00012083903818181048,0.008938066484373994
Earth_A3_Extreme.vul,O3,1,1,10985,11076,0.09992278753112839,0.09990327007392856,1.5623654515957518e-05,0.0014509692586482563
Earth_A3_Extreme.vul,CH4,1,1,10985,11076,0.09992278753112839,0.09990327007392856,0.0001420787686340832,0.002143120148571086
Earth_A3_Extreme.vul,H2SO4,1,1,10985,11076,0.09992278753112839,0.09990327007392856,0.14410853847871982,0.14410853847871982
Trappist_A0_PreAgri.vul,N2O,3,3,20001,20001,0.29237223659028233,0.2756580996682677,0.133571160077479,0.7136714600071681
Trappist_A0_PreAgri.vul,NH3,3,3,20001,20001,0.29237223659028233,0.2756580996682677,0.0005335640303506409,0.8596443791512394
Trappist_A0_PreAgri.vul,O3,3,3,20001,20001,0.29237223659028233,0.2756580996682677,0.2529039342415103,0.5074230119642995
Trappist_A0_PreAgri.vul,CH4,3,3,20001,20001,0.29237223659028233,0.2756580996682677,0.1948411722687751,0.9905728993473094
Trappist_A0_PreAgri.vul,H2SO4,3,3,20001,20001,0.29237223659028233,0.2756580996682677,23953.217101821014,23953.217101821014
Trappist_A1_Current.vul,N2O,3,3,20001,20001,0.2917064042661016,0.275177303266243,0.13370434837025638,0.716482909364572
Trappist_A1_Current.vul,NH3,3,3,20001,20001,0.2917064042661016,0.275177303266243,0.000533950403878241,0.8727273523949721
Trappist_A1_Current.vul,O3,3,3,20001,20001,0.2917064042661016,0.275177303266243,0.25458260171378205,0.5076480353536525
Trappist_A1_Current.vul,CH4,3,3,20001,20001,0.2917064042661016,0.275177303266243,0.1949896363461254,0.9905761530301692
Trappist_A1_Current.vul,H2SO4,3,3,20001,20001,0.2917064042661016,0.275177303266243,21482.298669434582,21482.298669434582
Trappist_A2_Moderate.vul,N2O,3,3,20001,20001,0.2900984201752517,0.27397548459111465,0.13366089514482174,0.7187351676389492
Trappist_A2_Moderate.vul,NH3,3,3,20001,20001,0.2900984201752517,0.27397548459111465,0.0005344864035981699,0.8861094614089025
Trappist_A2_Moderate.vul,O3,3,3,20001,20001,0.2900984201752517,0.27397548459111465,0.2569704588784359,0.5077903862081974
Trappist_A2_Moderate.vul,CH4,3,3,20001,20001,0.2900984201752517,0.27397548459111465,0.19483178931583087,0.9905750988492883
Trappist_A2_Moderate.vul,H2SO4,3,3,20001,20001,0.2900984201752517,0.27397548459111465,16702.827478484614,16702.827478484614
Trappist_A3_Extreme.vul,N2O,3,3,20001,20001,0.28760088101175557,0.2720314482347413,0.13495727958082784,0.7463916620897936
Trappist_A3_Extreme.vul,NH3,3,3,20001,20001,0.28760088101175557,0.2720314482347413,0.0005456383836981592,0.9045672610607853
Trappist_A3_Extreme.vul,O3,3,3,20001,20001,0.28760088101175557,0.2720314482347413,0.26975981953685285,0.5833079483998027
Trappist_A3_Extreme.vul,CH4,3,3,20001,20001,0.28760088101175557,0.2720314482347413,0.19611493702433427,0.9915709311044678
Trappist_A3_Extreme.vul,H2SO4,3,3,20001,20001,0.28760088101175557,0.2720314482347413,8224.03152558468,8224.03152558468
