Nested Sampling Global Log-Evidence           :    0.211357200217176114E+04  +/-    0.157099673185389810E+00

Dim No.       Mean        Sigma
   1    0.918723654380666388E+00    0.135608000456581692E-03
   2    0.215304801976385562E+03    0.675076789029999169E+01
   3   -0.446825040256003181E+01    0.155948737509911978E+00
   4   -0.348031339552282715E+01    0.183112677881477698E+00
   5   -0.449802034684506236E+01    0.957082975676027403E-01
   6   -0.108736550798614795E+01    0.876852103978303377E-01
   7   -0.827521795159833573E+01    0.967742696612959086E+00
   8   -0.683323753278866253E+01    0.412869084184941337E+00
   9   -0.642800754025627352E+01    0.237546095879686309E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.918568829239307272E+00
   2    0.215917293445034204E+03
   3   -0.434621725970913886E+01
   4   -0.335483345520842491E+01
   5   -0.445976936218192144E+01
   6   -0.100653262232341056E+01
   7   -0.747498564812616983E+01
   8   -0.646870284647292770E+01
   9   -0.632404139132139598E+01

MAP Parameters
Dim No.        Parameter
   1    0.918568829239307272E+00
   2    0.215917293445034204E+03
   3   -0.434621725970913886E+01
   4   -0.335483345520842491E+01
   5   -0.445976936218192144E+01
   6   -0.100653262232341056E+01
   7   -0.747498564812616983E+01
   8   -0.646870284647292770E+01
   9   -0.632404139132139598E+01
