Nested Sampling Global Log-Evidence           :    0.287932847924417683E+04  +/-    0.132948354665740953E+00

Dim No.       Mean        Sigma
   1    0.919619394549636260E+00    0.961647600805322963E-04
   2    0.214314417066483912E+03    0.268398317879264470E+01
   3   -0.411329943769818840E+01    0.291628684329046817E+00
   4   -0.104677374778586119E+01    0.111352350395533123E+00
   5   -0.405287802374489114E+01    0.274830156599304952E-01
   6   -0.786608637873328043E+01    0.904222730442472367E+00
   7   -0.949141014330311350E+01    0.576237100175533978E+00
   8   -0.684534666381277734E+01    0.205356088057211172E+00
   9   -0.109328863720109570E+02    0.990375440402687102E+00
  10   -0.494742779168568070E+00    0.509750984454106632E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.919636771850625090E+00
   2    0.213803534702451316E+03
   3   -0.407813482841724895E+01
   4   -0.102410026573605073E+01
   5   -0.405158397139752768E+01
   6   -0.804809766943827398E+01
   7   -0.960743704257250997E+01
   8   -0.687502631631240213E+01
   9   -0.111445638598937418E+02
  10   -0.484037228968923428E+00

MAP Parameters
Dim No.        Parameter
   1    0.919636771850625090E+00
   2    0.213803534702451316E+03
   3   -0.407813482841724895E+01
   4   -0.102410026573605073E+01
   5   -0.405158397139752768E+01
   6   -0.804809766943827398E+01
   7   -0.960743704257250997E+01
   8   -0.687502631631240213E+01
   9   -0.111445638598937418E+02
  10   -0.484037228968923428E+00
