Nested Sampling Global Log-Evidence           :    0.660278858870899171E+03  +/-    0.725106283595819828E-01

Dim No.       Mean        Sigma
   1    0.918002171796518662E+00    0.298452881550328791E-02
   2    0.301429601548660060E+03    0.744043583517221379E+02
   3   -0.447911467466816227E+01    0.241601259891096687E+01
   4   -0.446366277121463551E+01    0.277840192265365937E+01
   5   -0.648844785187948059E+01    0.194511432785344618E+01
   6   -0.495738613593600963E+01    0.269193019340522888E+01
   7   -0.736974224180513460E+01    0.160620414283306978E+01
   8   -0.687843782423767536E+01    0.184947739084574092E+01
   9   -0.856491914472610105E+01    0.194846146421408783E+01
  10   -0.105888879661648505E+01    0.739089514670868586E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.922162380881465626E+00
   2    0.224683275562375826E+03
   3   -0.430952822123679891E+01
   4   -0.786515224850232286E+00
   5   -0.726354347247613141E+01
   6   -0.485981862515972907E+01
   7   -0.920247597588389077E+01
   8   -0.671341621558674451E+01
   9   -0.111958209237453872E+02
  10    0.609090762206581537E+00

MAP Parameters
Dim No.        Parameter
   1    0.922162380881465626E+00
   2    0.224683275562375826E+03
   3   -0.430952822123679891E+01
   4   -0.786515224850232286E+00
   5   -0.726354347247613141E+01
   6   -0.485981862515972907E+01
   7   -0.920247597588389077E+01
   8   -0.671341621558674451E+01
   9   -0.111958209237453872E+02
  10    0.609090762206581537E+00
