Nested Sampling Global Log-Evidence           :    0.244537509460340516E+04  +/-    0.102873936342564726E+00

Dim No.       Mean        Sigma
   1    0.919687083299252417E+00    0.126078809480374677E-02
   2    0.236835704740356562E+03    0.274753616316260896E+02
   3   -0.744101641928495017E+01    0.153455826121401162E+01
   4   -0.111818812899181763E+01    0.775217914671869179E+00
   5   -0.411044582416143900E+01    0.629087458466886296E+00
   6   -0.524203723485174589E+01    0.272463045542196625E+01
   7   -0.673907477259302734E+01    0.174903733652700888E+01
   8   -0.771883133537544897E+01    0.142437487360228632E+01
   9   -0.819886928876074883E+01    0.208369164016302788E+01
  10   -0.622426764054572201E+00    0.568156676479675382E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.920731846047820657E+00
   2    0.205610795583798449E+03
   3   -0.885895119359309469E+01
   4   -0.134721383353290847E+01
   5   -0.417662723652395940E+01
   6   -0.341932221013534843E+01
   7   -0.515922856103364769E+01
   8   -0.896378868451130550E+01
   9   -0.942642322711416902E+01
  10   -0.440882550876209978E+00

MAP Parameters
Dim No.        Parameter
   1    0.920731846047820657E+00
   2    0.205610795583798449E+03
   3   -0.885895119359309469E+01
   4   -0.134721383353290847E+01
   5   -0.417662723652395940E+01
   6   -0.341932221013534843E+01
   7   -0.515922856103364769E+01
   8   -0.896378868451130550E+01
   9   -0.942642322711416902E+01
  10   -0.440882550876209978E+00
