Nested Sampling Global Log-Evidence           :    0.211368274019631190E+04  +/-    0.141210145567173900E+00

Dim No.       Mean        Sigma
   1    0.919458710961873149E+00    0.313952133059911497E-03
   2    0.207452765995216083E+03    0.704741864585970479E+01
   3   -0.378882008979509255E+01    0.451958088025337712E+00
   4   -0.260822739269157666E+00    0.182839964767771590E+00
   5   -0.326792203505975198E+01    0.156562363059684018E+00
   6   -0.405223376040163075E+01    0.309478015803560780E+01
   7   -0.652170504586698829E+01    0.161547696485156189E+01
   8   -0.377337387296888771E+01    0.319543821836701603E+00
   9   -0.818054689126980428E+01    0.202574688157911886E+01
  10   -0.396193558757419739E+00    0.468687020391685194E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.919722850490952037E+00
   2    0.202072887708068890E+03
   3   -0.367444498947458165E+01
   4   -0.365280154998059103E+00
   5   -0.348482573782721516E+01
   6   -0.417714829947868793E+00
   7   -0.510814275724465716E+01
   8   -0.406606813426600677E+01
   9   -0.583682938682779984E+01
  10    0.495729943103804249E+00

MAP Parameters
Dim No.        Parameter
   1    0.919722850490952037E+00
   2    0.202072887708068890E+03
   3   -0.367444498947458165E+01
   4   -0.365280154998059103E+00
   5   -0.348482573782721516E+01
   6   -0.417714829947868793E+00
   7   -0.510814275724465716E+01
   8   -0.406606813426600677E+01
   9   -0.583682938682779984E+01
  10    0.495729943103804249E+00
