Nested Sampling Global Log-Evidence           :    0.285817283280079118E+04  +/-    0.142700978322115174E+00

Dim No.       Mean        Sigma
   1    0.919446036499788510E+00    0.319341592242286575E-03
   2   -0.382247424281079551E+00    0.492274149170496222E+00
   3    0.207832328111106278E+03    0.739955277607395256E+01
   4   -0.382057891783970893E+01    0.358086905736524408E+00
   5   -0.272832899569219856E+00    0.178398682507802608E+00
   6   -0.326768562855804667E+01    0.158514592567631923E+00
   7   -0.379194519295101085E+01    0.308973307548827725E+01
   8   -0.640609631577900540E+01    0.127533075899836890E+01
   9   -0.389185729619777643E+01    0.333915457463395404E+00
  10   -0.786569342923473513E+01    0.204654072078291671E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.919643628402052160E+00
   2    0.526236526193812892E-02
   3    0.201922210464263259E+03
   4   -0.403879270734219631E+01
   5   -0.477074380545563059E+00
   6   -0.347130325427352027E+01
   7   -0.356172952538921450E+00
   8   -0.596877477141790713E+01
   9   -0.414725753468988412E+01
  10   -0.589192531651039442E+01

MAP Parameters
Dim No.        Parameter
   1    0.919643628402052160E+00
   2    0.526236526193812892E-02
   3    0.201922210464263259E+03
   4   -0.403879270734219631E+01
   5   -0.477074380545563059E+00
   6   -0.347130325427352027E+01
   7   -0.356172952538921450E+00
   8   -0.596877477141790713E+01
   9   -0.414725753468988412E+01
  10   -0.589192531651039442E+01
