Nested Sampling Global Log-Evidence           :    0.220784655224017843E+04  +/-    0.153524475789659831E+00

Dim No.       Mean        Sigma
   1    0.919674101620388984E+00    0.172984466931152701E-03
   2    0.104079854205042163E+00    0.488195071686229720E+00
   3    0.206857188245138957E+03    0.562295776360765576E+01
   4   -0.388873814613173874E+01    0.215764316176387833E+00
   5   -0.448384436020316524E+00    0.124558892414695727E+00
   6   -0.363428981453628053E+01    0.110372818173934573E+00
   7   -0.125081971736715603E+01    0.191543710937291611E+01
   8   -0.797458842197385653E+01    0.121643812429667308E+01
   9   -0.411860177776715819E+01    0.204014376082794019E+00
  10   -0.944798529754465832E+01    0.153410114106117734E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.919841773017129105E+00
   2    0.725055844816769213E+00
   3    0.200009886276882952E+03
   4   -0.397610621797881780E+01
   5   -0.521113653465359761E+00
   6   -0.370998073954653762E+01
   7   -0.647778414353357590E+00
   8   -0.748705497831852540E+01
   9   -0.413520243459919890E+01
  10   -0.105478087430003313E+02

MAP Parameters
Dim No.        Parameter
   1    0.919841773017129105E+00
   2    0.725055844816769213E+00
   3    0.200009886276882952E+03
   4   -0.397610621797881780E+01
   5   -0.521113653465359761E+00
   6   -0.370998073954653762E+01
   7   -0.647778414353357590E+00
   8   -0.748705497831852540E+01
   9   -0.413520243459919890E+01
  10   -0.105478087430003313E+02
