Nested Sampling Global Log-Evidence           :    0.278364475476751568E+04  +/-    0.129077013185684597E+00

Dim No.       Mean        Sigma
   1    0.919661468929157233E+00    0.343265254959347404E-03
   2    0.218069431592862941E+03    0.118756607747768310E+02
   3   -0.611881606832619962E+01    0.165161919123884937E+01
   4   -0.344441846347220804E+00    0.185685212883812900E+00
   5   -0.358184718651133815E+01    0.180568498175415426E+00
   6   -0.509309186987810847E+01    0.275223546780391048E+01
   7   -0.656029041904265231E+01    0.128959024470583405E+01
   8   -0.463895945879937166E+01    0.408017573832401281E+00
   9   -0.916983100428696218E+01    0.168905809916965977E+01
  10   -0.980459712493924329E-01    0.482734600572640893E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.919636506758714334E+00
   2    0.207415290207077788E+03
   3   -0.518002011360342784E+01
   4   -0.617623239796035506E+00
   5   -0.370466395004796745E+01
   6   -0.777034572576283544E+01
   7   -0.571695480819819846E+01
   8   -0.455472770193581145E+01
   9   -0.105197253996570996E+02
  10   -0.393699303738025641E+00

MAP Parameters
Dim No.        Parameter
   1    0.919636506758714334E+00
   2    0.207415290207077788E+03
   3   -0.518002011360342784E+01
   4   -0.617623239796035506E+00
   5   -0.370466395004796745E+01
   6   -0.777034572576283544E+01
   7   -0.571695480819819846E+01
   8   -0.455472770193581145E+01
   9   -0.105197253996570996E+02
  10   -0.393699303738025641E+00
