Nested Sampling Global Log-Evidence           :    0.628358346482550814E+03  +/-    0.656780675879240078E-01

Dim No.       Mean        Sigma
   1    0.916360814450694283E+00    0.686663468365776158E-01
   2    0.357077992468457328E+01    0.299825155054075267E+02
   3    0.313410570976085637E+03    0.936993702057426248E+02
   4   -0.546551461988652232E+01    0.212388705323252847E+01
   5   -0.480113405520965131E+01    0.288716544283950549E+01
   6   -0.692285463772983434E+01    0.230249419810200573E+01
   7   -0.695739809827142874E+01    0.177432238613721616E+01
   8   -0.589199120019090117E+01    0.183828771723091577E+01
   9   -0.480469748246349582E+01    0.221182985733754345E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.916813429493853804E+00
   2    0.209814381180390853E+03
   3   -0.450342440431898794E+01
   4   -0.885474875524347205E+01
   5   -0.767555625881298020E+01
   6   -0.797239298293664866E+01
   7   -0.555284997071100506E+01
   8   -0.477186357588923205E+01
   9   -0.770609216449316392E+01

MAP Parameters
Dim No.        Parameter
   1    0.976978321886837642E+00
   2    0.911430856821565660E+00
   3    0.238593134980897617E+03
   4   -0.223920391445528200E+01
   5   -0.238676514568781517E+01
   6   -0.754336181485757074E+01
   7   -0.782302266928790235E+01
   8   -0.541881799561053068E+01
   9   -0.390648147221469166E+01
