Nested Sampling Global Log-Evidence           :    0.657457841407566775E+03  +/-    0.776777587791631779E-01

Dim No.       Mean        Sigma
   1    0.913015223625330496E+00    0.412582704177702399E-02
   2    0.338089744766380477E+03    0.783577249433334941E+02
   3   -0.363201800297109534E+01    0.182594706427573850E+01
   4   -0.559857142352695458E+01    0.238125710355452824E+01
   5   -0.315598475129434242E+01    0.154130454385278881E+01
   6   -0.541735118980892771E+01    0.239543876270466072E+01
   7   -0.805895926653955996E+01    0.125436699679387376E+01
   8   -0.568885510975817610E+01    0.210778314369487907E+01
   9   -0.736071220152179873E+01    0.167747513136441806E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.914688220657228324E+00
   2    0.470251755435363521E+03
   3   -0.441659012963648223E+01
   4   -0.798618449360579241E+01
   5   -0.494145651789146445E+01
   6   -0.571758614454953040E+01
   7   -0.983822116415665882E+01
   8   -0.529338488103084615E+01
   9   -0.860711597431463460E+01

MAP Parameters
Dim No.        Parameter
   1    0.914688220657228324E+00
   2    0.470251755435363521E+03
   3   -0.441659012963648223E+01
   4   -0.798618449360579241E+01
   5   -0.494145651789146445E+01
   6   -0.571758614454953040E+01
   7   -0.983822116415665882E+01
   8   -0.529338488103084615E+01
   9   -0.860711597431463460E+01
