# wavelength(um) wavelength_err(um) depth_w_rand depth_err
6.988053e-01 3.274822e-03 4.645817e-03 3.385049e-04
7.054351e-01 3.355033e-03 5.082742e-03 2.610417e-04
7.122254e-01 3.436179e-03 4.588016e-03 2.365259e-04
7.191798e-01 3.522956e-03 4.870035e-03 2.108595e-04
7.263173e-01 3.616101e-03 4.755728e-03 1.759291e-04
7.336442e-01 3.707605e-03 5.022301e-03 1.585387e-04
7.411477e-01 3.802782e-03 4.847791e-03 1.662795e-04
7.488554e-01 3.904048e-03 4.597713e-03 1.757724e-04
7.567639e-01 4.004996e-03 4.379285e-03 1.874524e-04
7.648754e-01 4.111680e-03 5.027693e-03 1.882787e-04
7.732106e-01 4.221667e-03 4.696648e-03 1.746077e-04
7.817620e-01 4.333283e-03 4.717241e-03 1.474296e-04
7.905437e-01 4.451569e-03 4.981073e-03 1.256031e-04
7.995683e-01 4.570835e-03 4.845864e-03 1.112108e-04
8.088271e-01 4.693377e-03 4.867795e-03 9.994561e-05
8.183418e-01 4.823576e-03 4.836929e-03 9.525691e-05
8.281214e-01 4.955354e-03 4.619951e-03 9.717575e-05
8.381632e-01 5.088903e-03 4.785095e-03 1.006353e-04
8.484770e-01 5.227099e-03 4.734237e-03 1.050288e-04
8.590716e-01 5.369522e-03 4.798955e-03 9.406528e-05
8.699551e-01 5.515737e-03 4.736816e-03 8.399836e-05
8.811346e-01 5.665333e-03 4.655321e-03 7.554673e-05
8.926164e-01 5.817862e-03 4.817815e-03 6.832330e-05
9.044060e-01 5.972854e-03 4.679064e-03 5.803896e-05
9.165078e-01 6.129880e-03 4.774059e-03 5.429478e-05
9.289255e-01 6.293065e-03 4.661711e-03 5.276523e-05
9.416801e-01 6.458096e-03 4.704272e-03 5.089576e-05
9.547579e-01 6.621378e-03 4.786649e-03 4.830836e-05
9.681656e-01 6.789474e-03 4.805293e-03 4.625786e-05
9.819158e-01 6.958149e-03 4.694467e-03 4.490061e-05
9.959982e-01 7.126599e-03 4.747488e-03 4.296102e-05
1.010422e+00 7.297248e-03 4.651722e-03 4.044609e-05
1.025187e+00 7.466014e-03 4.787542e-03 3.886512e-05
1.040286e+00 7.633161e-03 4.805541e-03 3.747086e-05
1.055720e+00 7.800891e-03 4.753916e-03 3.580402e-05
1.071490e+00 7.966972e-03 4.734431e-03 3.409237e-05
1.087588e+00 8.129174e-03 4.679714e-03 3.288927e-05
1.104007e+00 8.287952e-03 4.754991e-03 3.216840e-05
1.120740e+00 8.442904e-03 4.720105e-03 3.217724e-05
1.137778e+00 8.594074e-03 4.835519e-03 3.203052e-05
1.155116e+00 8.740543e-03 4.751725e-03 3.057217e-05
1.172740e+00 8.880560e-03 4.725653e-03 2.920538e-05
1.190638e+00 9.013873e-03 4.721800e-03 2.851505e-05
1.208796e+00 9.141442e-03 4.752128e-03 2.780593e-05
1.227204e+00 9.262523e-03 4.717969e-03 2.716059e-05
1.245846e+00 9.375197e-03 4.725905e-03 2.671446e-05
1.264705e+00 9.481103e-03 4.744519e-03 2.655006e-05
1.283770e+00 9.578937e-03 4.704838e-03 2.680163e-05
1.303020e+00 9.668802e-03 4.703064e-03 2.825597e-05
1.322446e+00 9.750840e-03 4.749124e-03 3.085056e-05
1.342024e+00 9.824426e-03 4.757459e-03 3.471492e-05
1.361743e+00 9.890437e-03 4.702078e-03 3.565704e-05
1.381585e+00 9.948051e-03 4.721939e-03 3.427293e-05
1.401535e+00 9.998392e-03 4.764056e-03 3.394012e-05
1.421579e+00 1.004111e-02 4.781909e-03 3.511370e-05
1.441700e+00 1.007627e-02 4.692269e-03 3.538113e-05
1.461884e+00 1.010465e-02 4.743533e-03 3.391662e-05
1.482118e+00 1.012621e-02 4.712824e-03 3.243649e-05
1.502389e+00 1.014123e-02 4.700197e-03 3.133906e-05
1.522683e+00 1.015027e-02 4.732420e-03 3.110429e-05
1.542990e+00 1.015353e-02 4.714848e-03 3.098576e-05
1.563298e+00 1.015145e-02 4.720017e-03 3.080499e-05
1.583596e+00 1.014432e-02 4.726112e-03 3.026289e-05
1.603875e+00 1.013244e-02 4.725673e-03 2.949538e-05
1.624126e+00 1.011633e-02 4.730736e-03 2.930762e-05
1.644340e+00 1.009602e-02 4.734034e-03 2.912051e-05
1.664510e+00 1.007198e-02 4.756140e-03 2.887071e-05
1.684628e+00 1.004484e-02 4.735051e-03 2.889597e-05
1.704689e+00 1.001435e-02 4.791207e-03 2.984699e-05
1.724685e+00 9.981031e-03 4.716647e-03 3.114489e-05
1.744613e+00 9.945423e-03 4.774063e-03 3.258787e-05
1.764467e+00 9.907178e-03 4.753104e-03 3.428161e-05
1.784242e+00 9.867126e-03 4.802986e-03 3.718804e-05
1.803936e+00 9.825133e-03 4.727092e-03 4.122314e-05
1.823542e+00 9.781469e-03 4.703065e-03 4.171270e-05
1.843062e+00 9.736550e-03 4.686699e-03 4.098230e-05
1.862489e+00 9.690178e-03 4.752853e-03 4.133198e-05
1.881822e+00 9.642855e-03 4.746843e-03 4.127114e-05
1.901060e+00 9.594587e-03 4.694083e-03 3.972392e-05
1.920201e+00 9.545396e-03 4.702180e-03 3.862839e-05
1.939242e+00 9.495679e-03 4.735865e-03 3.903728e-05
1.958183e+00 9.445263e-03 4.791417e-03 4.089955e-05
1.977023e+00 9.394547e-03 4.736718e-03 4.282850e-05
1.995762e+00 9.343273e-03 4.708637e-03 4.320667e-05
2.014396e+00 9.291720e-03 4.693490e-03 4.136203e-05
2.032928e+00 9.240607e-03 4.750386e-03 3.989633e-05
2.051358e+00 9.188722e-03 4.682828e-03 3.933675e-05
2.069683e+00 9.136931e-03 4.770515e-03 3.975027e-05
2.087906e+00 9.085712e-03 4.757285e-03 4.003995e-05
2.106026e+00 9.033974e-03 4.680879e-03 3.983989e-05
2.124042e+00 8.982279e-03 4.758596e-03 3.950723e-05
2.141955e+00 8.931325e-03 4.810726e-03 3.875144e-05
2.159767e+00 8.880599e-03 4.705945e-03 3.809675e-05
2.177478e+00 8.829606e-03 4.716721e-03 3.813448e-05
2.195086e+00 8.778875e-03 4.710496e-03 3.844282e-05
2.212593e+00 8.728933e-03 4.776725e-03 3.804085e-05
2.230001e+00 8.679292e-03 4.755389e-03 3.764564e-05
2.247310e+00 8.629901e-03 4.720231e-03 3.770646e-05
2.264521e+00 8.580974e-03 4.640689e-03 3.847888e-05
2.281634e+00 8.532300e-03 4.767683e-03 4.077509e-05
2.298650e+00 8.483857e-03 4.732136e-03 4.373225e-05
2.315570e+00 8.435967e-03 4.751363e-03 4.565869e-05
2.332394e+00 8.388694e-03 4.750440e-03 4.496519e-05
2.349124e+00 8.341906e-03 4.778715e-03 4.398007e-05
2.365762e+00 8.295463e-03 4.770106e-03 4.399793e-05
2.382306e+00 8.249479e-03 4.748950e-03 4.521626e-05
2.398760e+00 8.203976e-03 4.776436e-03 4.681680e-05
2.415122e+00 8.158980e-03 4.713618e-03 5.040356e-05
2.431395e+00 8.114490e-03 4.724826e-03 5.430755e-05
2.447580e+00 8.070386e-03 4.805311e-03 5.781776e-05
2.463677e+00 8.026704e-03 4.716844e-03 6.135348e-05
2.479687e+00 7.983401e-03 4.806677e-03 6.296300e-05
2.495611e+00 7.940627e-03 4.787178e-03 6.166025e-05
2.511449e+00 7.898549e-03 4.666779e-03 5.871829e-05
2.527205e+00 7.857001e-03 4.638103e-03 5.747339e-05
2.542877e+00 7.815875e-03 4.823316e-03 5.796789e-05
2.558468e+00 7.775201e-03 4.812315e-03 5.953313e-05
2.573978e+00 7.734753e-03 4.754634e-03 5.964440e-05
2.589407e+00 7.694628e-03 4.728630e-03 5.860494e-05
2.604757e+00 7.655246e-03 4.808919e-03 5.739286e-05
2.620028e+00 7.616559e-03 4.810552e-03 5.673261e-05
2.635223e+00 7.578279e-03 4.818805e-03 5.655641e-05
2.650341e+00 7.539885e-03 4.670850e-03 5.676045e-05
2.665383e+00 7.502071e-03 4.860790e-03 5.712391e-05
2.680350e+00 7.465296e-03 4.745667e-03 5.854405e-05
2.695244e+00 7.428505e-03 4.680237e-03 6.137534e-05
2.710064e+00 7.391873e-03 4.790115e-03 6.693184e-05
2.724811e+00 7.356213e-03 4.639251e-03 7.039262e-05
2.739489e+00 7.320856e-03 4.614779e-03 7.138703e-05
2.754095e+00 7.285455e-03 4.810305e-03 7.058772e-05
2.768630e+00 7.250950e-03 4.641232e-03 6.967675e-05
2.783098e+00 7.216673e-03 4.608099e-03 6.922668e-05
2.797497e+00 7.182591e-03 4.652298e-03 6.817626e-05
2.811829e+00 7.149394e-03 4.690256e-03 6.734011e-05
2.826095e+00 7.116032e-03 4.741727e-03 6.803843e-05
2.840293e+00 7.083335e-03 4.694072e-03 6.856678e-05
