scenario,molecule,peak_rank,wavelength_micron,signal_ppm,absolute_signal_ppm,noise_instrument,sigma_1transit_ppm,snr_1transit,snr_10transit,snr_100transit
A3,N2O,1,8.64094712487876,18.953797966358252,18.953797966358252,MIRI_LRS,576.868335,0.03285636741763309,0.10390095667906536,0.3285636741763309
A3,N2O,2,4.514387026293158,16.230909556168626,16.230909556168626,NIRSpec_PRISM,305.358527,0.05315361491827156,0.16808648901324283,0.5315361491827155
A3,N2O,3,16.972207237970395,16.073725252623262,16.073725252623262,outside_coverage,nan,nan,nan,nan
A2,N2O,1,8.64094712487876,6.744576831337326,6.744576831337326,MIRI_LRS,576.868335,0.011691709220505796,0.03697243087719014,0.11691709220505796
A2,N2O,2,16.972207237970395,6.238408933042592,6.238408933042592,outside_coverage,nan,nan,nan,nan
A2,N2O,3,4.464703360291788,6.09806661939092,6.09806661939092,NIRSpec_PRISM,277.327253,0.02198870306983829,0.0695343844938255,0.21988703069838292
A1,N2O,1,7.65056250925914,4.272166029888467,4.272166029888467,MIRI_LRS,468.668995,0.009115529457818022,0.02882583516506471,0.09115529457818022
A1,N2O,2,16.972207237970395,3.220436328737378,3.220436328737378,outside_coverage,nan,nan,nan,nan
A1,N2O,3,4.464703360291788,2.898952160121553,2.898952160121553,NIRSpec_PRISM,277.327253,0.01045318167890825,0.033055862900892956,0.10453181678908251
A3,NH3,1,10.74194407785779,18.97603230380446,18.97603230380446,MIRI_LRS,1732.65864,0.010951973958242841,0.034633182582897194,0.10951973958242842
A3,NH3,2,9.687800957917043,5.266880872246475,5.266880872246475,MIRI_LRS,821.63689,0.006410229307311743,0.02027092493506855,0.06410229307311743
A3,NH3,3,11.998989874971604,3.183259873860152,3.183259873860152,MIRI_LRS,6698.892019999999,0.0004751919965803766,0.001502689035076934,0.004751919965803766
A2,NH3,1,10.74194407785779,8.318638729938357,8.318638729938357,MIRI_LRS,1732.65864,0.004801083455156728,0.015182358954846134,0.04801083455156727
A2,NH3,2,9.475733707288647,3.288066313743002,3.288066313743002,MIRI_LRS,799.377082,0.004113285691799458,0.013007351453067664,0.04113285691799458
A2,NH3,3,11.779704251088663,1.5431668250703297,1.5431668250703297,MIRI_LRS,4639.88426,0.0003325873531746953,0.00105173355699887,0.003325873531746953
A1,NH3,1,10.35290639077834,4.399982132334117,4.399982132334117,MIRI_LRS,1204.6171299999999,0.0036525980104019583,0.011550529089869583,0.036525980104019584
A1,NH3,2,9.132553972024235,1.9982922430272083,1.9982922430272083,MIRI_LRS,691.72262,0.002888863520217408,0.009135388573258893,0.02888863520217408
A1,NH3,3,11.998989874971604,0.9960909079591147,0.9960909079591147,MIRI_LRS,6698.892019999999,0.00014869487446360046,0.00047021447969778534,0.0014869487446360044
A3,H2O,1,5.887719461669394,-17.02303166171987,17.02303166171987,MIRI_LRS,255.75413400000002,0.06656014272566897,0.21048165239900188,0.6656014272566897
A3,H2O,2,6.576713274170482,-15.965945995902075,15.965945995902075,MIRI_LRS,349.67048400000004,0.04565997625324897,0.1443895228694679,0.4565997625324897
A3,H2O,3,2.6247985075378697,-12.57871083455666,12.57871083455666,NIRSpec_PRISM,126.85797799999999,0.09915585155043745,0.31355833423292057,0.9915585155043746
A2,H2O,1,5.887719461669394,0.0010750108640422695,0.0010750108640422695,MIRI_LRS,255.75413400000002,4.2032980942637255e-06,1.3291995662518502e-05,4.203298094263725e-05
A2,H2O,2,1.904218373118238,-0.0009816240999498405,0.0009816240999498405,NIRSpec_PRISM,88.8253767,1.1051167317479448e-05,3.4946859526848175e-05,0.00011051167317479447
A2,H2O,3,1.346241927076126,-0.0009418340578122297,0.0009418340578122297,NIRSpec_PRISM,77.62492180000001,1.213314018194901e-05,3.836835814506866e-05,0.0001213314018194901
A1,H2O,1,5.468974629741415,-0.0006505647561425576,0.0006505647561425576,MIRI_LRS,246.973757,2.6341452794215606e-06,8.329898770752795e-06,2.6341452794215605e-05
A1,H2O,2,1.8763269274036471,-0.0006495381549029844,0.0006495381549029844,NIRSpec_PRISM,92.2850769,7.0383877515410545e-06,2.225733635030103e-05,7.038387751541055e-05
A1,H2O,3,6.899787065414114,-0.0006360171137202997,0.0006360171137202997,MIRI_LRS,374.32516200000003,1.6991032884941345e-06,5.3730363715236315e-06,1.6991032884941346e-05
