PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 1.079265e-13 5.726964e-07 8.898832e-03 1.249146e-20 5.025654e-17 1.727387e-42 2.919169e-31 1.026273e-25 7.186995e-15 1.124315e-06 0.000000e+00 1.915614e-25 0.000000e+00 1.117068e-28 1.207433e-11 5.551448e-16 2.287215e-13 1.378077e-07 3.981580e-04 1.696963e-26 3.678663e-10 5.245496e-22 1.718482e-18 3.226122e-13 4.882641e-20 1.996723e-01 1.611317e-21 4.349229e-21 5.855444e-12 1.456701e-11 1.312809e-09 0.000000e+00 5.380249e-26 2.730092e-29 5.947760e-11 4.137616e-16 7.816679e-01 1.070329e-10 1.522612e-11 4.483618e-19 3.884183e-25 9.294244e-19 1.907369e-13 1.975555e-17 1.813159e-22 5.315245e-15 7.704786e-11 2.459618e-07 3.875318e-29 1.064569e-18 2.429644e-15 1.170272e-10 6.041517e-18 2.025099e-08 1.082743e-14 1.387039e-10 4.551338e-14 1.854900e-21 6.056407e-16 8.246807e-27 6.200813e-16 6.141075e-14 9.907746e-18 4.201259e-14 8.782491e-30 4.241561e-10 4.881542e-23 3.293236e-26 9.401958e-17 2.243171e-10 1.101991e-16 4.168686e-13 6.272932e-35 6.562797e-17 1.685602e-09 2.389529e-17 3.210586e-22 5.857441e-10 1.541002e-10 1.937459e-19 3.565931e-11 8.339615e-12 2.756569e-20 2.863105e-16 2.174276e-23 1.466103e-22 2.526632e-27 4.507282e-22 1.116702e-36 4.787915e-20 5.717296e-27 2.215215e-30 4.634059e-32 4.681969e-22 1.849677e-26 1.102228e-46 0.000000e+00 0.000000e+00 4.431732e-18 9.360658e-03
8.682540e-01 7.532674e-14 5.743044e-07 6.532391e-03 8.597177e-21 5.237093e-17 4.444893e-43 3.212931e-42 4.770660e-26 4.878650e-15 1.122063e-06 1.712159e-36 4.679273e-25 4.387978e-41 6.045183e-29 1.209679e-11 4.419890e-16 2.273506e-13 1.282707e-07 3.996596e-04 1.071839e-26 1.887736e-10 2.436371e-22 8.899696e-19 2.970718e-13 4.330381e-20 2.001490e-01 1.615168e-21 4.359661e-21 7.362337e-12 1.242502e-11 1.572399e-09 7.523829e-34 4.132208e-26 1.687039e-29 6.036572e-11 3.195159e-16 7.835339e-01 9.674732e-11 5.592965e-12 4.316492e-19 1.406052e-25 8.924256e-19 1.911476e-13 9.466440e-18 1.563168e-22 5.184977e-15 1.948795e-11 2.464993e-07 3.884262e-29 9.439344e-19 2.435462e-15 1.173057e-10 4.541770e-18 1.798553e-08 2.099420e-15 2.250444e-10 9.472764e-15 2.583419e-21 6.756116e-17 1.540791e-26 8.564620e-16 6.317218e-14 2.957968e-17 6.288149e-15 2.142269e-30 4.243507e-10 4.887202e-23 3.323360e-26 1.488570e-16 1.470284e-10 9.834193e-17 4.178596e-13 4.258932e-35 6.513606e-17 1.511172e-09 2.121740e-17 1.526272e-22 5.771361e-10 2.437652e-10 1.942091e-19 3.516831e-11 8.186687e-12 2.763121e-20 3.543418e-16 2.907860e-23 5.093814e-23 2.532693e-27 4.518008e-22 1.263593e-36 4.799730e-20 5.730969e-27 2.221371e-30 4.627963e-32 5.131236e-22 1.170577e-26 3.176802e-47 0.000000e+00 1.894279e-05 5.086686e-16 9.383002e-03
7.538651e-01 7.105909e-14 5.753794e-07 5.194721e-03 7.985307e-21 5.902446e-17 4.506428e-43 3.620788e-53 3.995192e-26 4.409011e-15 1.119456e-06 3.381766e-44 2.539609e-25 8.998278e-49 4.503278e-29 1.210305e-11 4.093702e-16 2.251910e-13 1.192887e-07 4.002078e-04 9.573683e-27 1.182078e-10 1.689469e-22 7.919020e-19 2.852559e-13 4.949239e-20 2.004185e-01 1.617355e-21 4.365619e-21 7.830330e-12 1.108056e-11 1.644221e-09 1.009720e-33 4.555830e-26 1.205240e-29 6.120038e-11 3.011242e-16 7.845889e-01 8.811513e-11 4.194980e-12 4.011321e-19 1.249702e-25 8.188099e-19 1.913286e-13 6.924681e-18 1.278325e-22 4.992951e-15 1.047791e-11 2.467731e-07 3.889076e-29 8.508947e-19 2.438780e-15 1.174623e-10 3.647266e-18 1.665169e-08 9.754196e-16 2.541917e-10 5.140034e-15 2.862571e-21 3.590666e-17 2.722561e-26 1.169199e-15 6.494537e-14 6.461166e-17 8.296576e-15 2.260737e-30 4.241627e-10 4.890902e-23 3.412322e-26 1.841935e-16 9.835046e-11 8.731303e-17 4.184153e-13 3.036427e-35 6.400685e-17 1.258547e-09 1.533820e-17 9.970090e-23 5.662931e-10 3.050062e-10 1.944723e-19 3.471276e-11 7.944376e-12 2.766799e-20 4.472375e-16 5.292447e-23 1.745236e-21 2.536157e-27 4.524079e-22 5.578255e-35 4.807038e-20 5.738740e-27 2.224369e-30 4.613223e-32 5.739495e-22 1.232694e-26 1.813380e-47 0.000000e+00 9.584845e-06 2.575938e-14 9.395635e-03
6.545464e-01 7.709136e-14 5.764106e-07 4.011992e-03 8.661694e-21 7.206599e-17 8.073334e-43 1.801002e-58 4.400353e-26 4.556301e-15 1.117349e-06 7.994628e-52 1.384620e-25 1.760625e-50 3.902603e-29 1.210455e-11 3.974590e-16 2.227975e-13 1.111629e-07 4.006930e-04 1.034241e-26 9.644031e-11 1.621682e-22 9.531314e-19 2.875595e-13 6.350423e-20 2.006568e-01 1.619295e-21 4.370933e-21 7.234019e-12 1.066170e-11 1.513911e-09 1.687489e-33 5.500491e-26 8.707263e-30 6.200234e-11 3.009762e-16 7.855217e-01 8.090199e-11 4.941849e-12 3.619834e-19 1.832295e-25 7.225937e-19 1.914525e-13 7.989061e-18 1.021512e-22 4.784825e-15 9.444489e-12 2.470019e-07 3.893241e-29 7.449061e-19 2.441741e-15 1.176006e-10 3.339296e-18 1.656124e-08 7.777572e-16 2.729578e-10 5.239820e-15 2.821676e-21 5.278335e-17 4.640834e-26 1.586216e-15 6.613983e-14 1.199834e-16 1.125112e-14 2.594061e-30 4.239665e-10 4.897466e-23 3.561461e-26 1.992567e-16 6.682687e-11 7.597988e-17 4.189043e-13 2.401205e-35 6.241724e-17 1.042470e-09 1.112674e-17 7.583499e-23 5.542435e-10 3.493793e-10 1.947061e-19 3.431728e-11 7.658605e-12 2.770039e-20 5.582444e-16 1.086130e-22 2.007429e-21 2.539247e-27 4.529404e-22 2.489247e-33 4.814067e-20 5.745646e-27 2.226993e-30 4.596266e-32 6.814380e-22 1.758386e-26 1.338565e-47 0.000000e+00 8.141991e-06 6.296286e-13 9.406805e-03
5.683125e-01 8.897466e-14 5.773467e-07 3.004343e-03 9.998410e-21 9.189403e-17 1.591551e-41 9.985975e-58 5.369373e-26 4.910856e-15 1.115600e-06 2.283223e-59 7.508545e-26 5.545792e-51 3.550715e-29 1.210112e-11 3.910651e-16 2.201206e-13 1.038003e-07 4.011072e-04 1.228177e-26 8.634874e-11 1.734349e-22 1.202240e-18 2.993791e-13 8.743525e-20 2.008598e-01 1.620958e-21 4.375514e-21 6.284714e-12 1.051341e-11 1.273417e-09 3.125298e-33 6.815095e-26 4.056964e-30 6.276095e-11 3.049007e-16 7.863164e-01 7.483938e-11 6.432308e-12 3.185251e-19 3.051872e-25 6.174276e-19 1.915166e-13 1.080614e-17 8.031813e-23 4.576872e-15 9.788380e-12 2.471806e-07 3.896693e-29 6.277390e-19 2.444296e-15 1.177180e-10 3.354260e-18 1.733585e-08 7.336594e-16 2.896038e-10 6.394660e-15 1.157182e-21 1.110405e-16 7.712248e-26 2.145346e-15 6.652581e-14 2.057559e-16 1.521086e-14 3.098010e-30 4.237456e-10 4.907029e-23 3.767402e-26 1.984830e-16 4.612984e-11 6.497811e-17 4.193188e-13 2.151424e-35 6.045781e-17 8.682580e-10 7.727350e-18 6.249006e-23 5.411020e-10 3.771292e-10 1.949067e-19 3.397263e-11 7.347205e-12 2.772789e-20 6.818225e-16 2.399478e-22 0.000000e+00 2.541913e-27 4.533876e-22 7.638207e-32 4.820733e-20 5.751573e-27 2.229206e-30 4.577371e-32 8.410267e-22 2.866256e-26 1.034825e-47 0.000000e+00 6.823133e-06 7.719681e-12 9.416321e-03
4.934396e-01 1.044327e-13 5.781616e-07 2.152646e-03 1.174575e-20 1.196405e-16 1.487743e-39 1.072246e-55 6.690233e-26 5.319299e-15 1.114147e-06 7.913322e-67 4.040271e-26 1.740208e-51 3.265478e-29 1.209285e-11 3.860578e-16 2.170618e-13 9.712426e-08 4.014579e-04 1.504976e-26 7.782195e-11 1.862565e-22 1.471415e-18 3.159492e-13 1.224888e-19 2.010313e-01 1.622375e-21 4.379449e-21 5.244833e-12 1.028580e-11 9.978619e-10 5.914309e-33 8.436101e-26 3.522455e-30 6.347050e-11 3.080327e-16 7.869881e-01 6.975502e-11 8.414267e-12 2.748753e-19 5.125408e-25 5.152940e-19 1.915239e-13 1.481267e-17 6.241350e-23 4.376243e-15 1.037507e-11 2.473134e-07 3.899505e-29 5.350289e-19 2.446494e-15 1.178170e-10 3.528425e-18 1.860067e-08 7.342353e-16 3.058066e-10 8.064098e-15 1.607301e-21 2.572782e-16 1.257926e-25 2.893551e-15 6.608830e-14 3.385496e-16 2.050621e-14 3.773995e-30 4.235006e-10 4.919925e-23 4.028312e-26 1.906811e-16 3.264741e-11 5.442179e-17 4.196673e-13 2.141745e-35 5.821579e-17 7.188657e-10 5.359835e-18 5.371269e-23 5.269358e-10 3.659039e-10 1.950779e-19 3.367361e-11 7.023075e-12 2.775106e-20 8.142651e-16 5.357507e-22 0.000000e+00 2.544205e-27 4.537732e-22 1.603673e-30 4.827143e-20 5.756634e-27 2.231058e-30 4.556677e-32 1.054350e-21 4.986139e-26 7.977793e-48 0.000000e+00 5.728817e-06 4.641845e-11 9.424363e-03
4.284310e-01 1.228884e-13 5.788237e-07 1.468463e-03 1.367632e-20 1.533239e-16 9.323869e-38 9.151249e-54 7.985008e-26 5.527690e-15 1.112921e-06 3.662360e-70 2.163979e-26 5.488678e-52 2.896834e-29 1.207947e-11 3.768129e-16 2.135480e-13 9.111582e-08 4.017405e-04 1.843381e-26 6.872400e-11 1.944115e-22 1.752198e-18 3.325627e-13 1.796756e-19 2.011692e-01 1.623527e-21 4.382690e-21 4.153238e-12 9.770730e-12 7.338019e-10 1.182925e-32 1.050241e-25 2.627249e-30 6.411946e-11 3.117798e-16 7.875277e-01 6.554051e-11 1.104357e-11 2.348221e-19 9.051030e-25 4.242225e-19 1.914720e-13 2.011594e-17 4.808280e-23 4.187438e-15 1.094231e-11 2.473971e-07 3.901632e-29 4.765103e-19 2.448307e-15 1.178960e-10 3.718017e-18 2.004784e-08 7.556516e-16 3.218596e-10 1.030314e-14 1.977196e-21 6.915947e-16 2.026988e-25 3.911434e-15 6.489412e-14 5.560084e-16 2.769800e-14 4.471176e-30 4.232225e-10 4.936330e-23 4.339111e-26 1.758769e-16 2.409728e-11 4.532226e-17 4.199453e-13 2.260206e-35 5.580237e-17 5.834993e-10 3.636825e-18 4.872988e-23 5.118880e-10 2.894457e-10 1.952174e-19 3.341666e-11 6.700103e-12 2.776961e-20 9.394329e-16 1.269261e-21 0.000000e+00 2.546095e-27 4.541173e-22 2.318462e-29 4.833251e-20 5.760762e-27 2.232528e-30 4.534255e-32 1.311305e-21 8.726731e-26 5.465839e-48 0.000000e+00 4.568370e-06 1.435995e-10 9.430824e-03
3.719869e-01 1.448636e-13 5.793044e-07 9.729908e-04 1.606153e-20 1.953832e-16 3.761508e-36 5.073270e-52 9.566195e-26 5.756264e-15 1.111835e-06 8.449183e-68 1.175399e-26 1.148834e-51 2.582123e-29 1.206057e-11 3.669935e-16 2.096926e-13 8.578171e-08 4.019463e-04 2.244254e-26 5.984714e-11 1.992594e-22 2.022953e-18 3.467288e-13 2.622576e-19 2.012690e-01 1.624381e-21 4.385148e-21 3.185209e-12 9.061034e-12 5.114050e-10 2.355927e-32 1.310568e-25 1.587182e-30 6.469743e-11 3.194025e-16 7.879185e-01 6.209725e-11 1.452481e-11 2.015977e-19 1.613499e-24 3.498631e-19 1.913565e-13 2.683361e-17 3.710912e-23 4.014051e-15 1.149198e-11 2.474259e-07 3.902989e-29 3.768123e-19 2.449685e-15 1.179527e-10 3.887544e-18 2.142748e-08 7.984876e-16 3.377446e-10 1.329529e-14 8.614211e-22 1.665209e-15 3.232767e-25 5.277294e-15 6.311160e-14 9.080886e-16 3.732987e-14 5.278988e-30 4.228968e-10 4.956377e-23 4.688993e-26 1.607543e-16 1.896834e-11 3.699823e-17 4.201439e-13 2.450688e-35 5.333334e-17 4.607866e-10 3.486846e-18 4.713010e-23 4.961661e-10 1.977404e-10 1.953213e-19 3.319733e-11 6.390933e-12 2.778294e-20 1.058342e-15 2.926189e-21 0.000000e+00 2.547532e-27 4.543586e-22 2.276731e-28 4.838960e-20 5.763838e-27 2.233572e-30 4.510119e-32 1.609029e-21 1.578311e-25 3.792336e-48 0.000000e+00 3.272817e-06 2.503728e-10 9.435502e-03
3.229791e-01 1.713728e-13 5.796387e-07 6.082930e-04 1.851778e-20 2.372468e-16 1.043220e-34 1.987551e-50 1.053522e-25 5.537509e-15 1.110834e-06 1.635060e-64 6.606124e-27 1.227352e-49 2.123319e-29 1.203529e-11 3.474890e-16 2.054170e-13 8.091531e-08 4.020989e-04 2.693852e-26 5.042639e-11 1.962887e-22 2.297837e-18 3.554405e-13 4.198763e-19 2.013425e-01 1.625033e-21 4.387096e-21 2.260490e-12 7.959896e-12 3.333044e-10 5.307865e-32 1.672012e-25 6.401748e-31 6.522395e-11 3.296340e-16 7.882062e-01 5.921141e-11 1.948322e-11 1.767592e-19 3.232846e-24 2.921176e-19 1.911759e-13 3.577924e-17 2.858335e-23 3.850944e-15 1.186731e-11 2.474087e-07 3.903769e-29 3.126636e-19 2.450781e-15 1.179938e-10 3.899251e-18 2.263025e-08 8.757367e-16 3.542305e-10 1.760429e-14 5.126502e-22 3.558171e-15 5.146565e-25 7.192106e-15 6.079869e-14 1.538077e-15 5.075569e-14 5.794670e-30 4.225171e-10 4.981696e-23 5.075614e-26 1.380234e-16 1.605906e-11 3.061793e-17 4.202873e-13 2.646661e-35 5.082055e-17 3.486277e-10 4.854382e-18 5.017093e-23 4.792983e-10 1.350745e-10 1.954012e-19 3.300449e-11 6.093081e-12 2.779266e-20 1.132055e-15 7.708184e-21 3.151982e-22 2.548674e-27 4.545440e-22 1.633732e-27 4.844746e-20 5.766209e-27 2.234320e-30 4.483284e-32 1.921397e-21 2.780901e-25 2.105200e-48 0.000000e+00 2.255664e-06 3.244913e-10 9.438944e-03
2.804279e-01 2.033578e-13 5.798209e-07 3.714317e-04 2.158791e-20 2.853821e-16 2.063194e-33 5.635717e-49 1.170833e-25 5.362273e-15 1.109830e-06 1.070196e-61 4.432961e-27 8.329974e-50 1.759881e-29 1.200154e-11 3.257617e-16 2.009069e-13 7.644845e-08 4.021996e-04 3.207191e-26 4.178997e-11 1.899521e-22 2.541558e-18 3.594856e-13 6.706654e-19 2.013902e-01 1.625493e-21 4.388574e-21 1.547371e-12 6.744476e-12 2.058863e-10 1.188730e-31 2.136659e-25 4.022099e-31 6.570946e-11 3.411101e-16 7.883930e-01 5.676137e-11 2.640067e-11 1.642632e-19 6.539974e-24 2.561493e-19 1.909132e-13 4.697847e-17 2.228821e-23 3.696084e-15 1.218311e-11 2.473392e-07 3.903945e-29 2.582651e-19 2.451617e-15 1.180195e-10 3.829572e-18 2.356975e-08 9.905628e-16 3.721303e-10 2.369471e-14 3.949340e-22 5.187952e-15 8.142112e-25 9.785849e-15 5.811249e-14 2.607852e-15 6.868254e-14 6.318188e-30 4.220556e-10 5.014401e-23 5.477599e-26 1.176067e-16 1.473394e-11 2.490908e-17 4.203763e-13 2.900121e-35 4.827175e-17 2.529456e-10 8.535785e-18 5.793011e-23 4.609499e-10 9.949323e-11 1.954585e-19 3.282996e-11 5.804490e-12 2.779883e-20 1.185787e-15 1.991189e-20 0.000000e+00 2.549546e-27 4.546727e-22 8.631987e-27 4.850895e-20 5.767915e-27 2.234775e-30 4.452350e-32 2.255972e-21 5.061915e-25 1.182200e-48 0.000000e+00 1.296076e-06 3.691353e-10 9.441179e-03
