ALT P T
4.420180e-01 1.005860e+00 2.978460e+02
1.326060e+00 9.063230e-01 2.928010e+02
2.210090e+00 8.152990e-01 2.876360e+02
3.094130e+00 7.324080e-01 2.828480e+02
3.978170e+00 6.569680e-01 2.781480e+02
4.862200e+00 5.882980e-01 2.732910e+02
5.746240e+00 5.257650e-01 2.682640e+02
6.630280e+00 4.689690e-01 2.630140e+02
7.514310e+00 4.174080e-01 2.573410e+02
8.398350e+00 3.706260e-01 2.514200e+02
9.282390e+00 3.281660e-01 2.447720e+02
1.016640e+01 2.896460e-01 2.379420e+02
1.105050e+01 2.547380e-01 2.308360e+02
1.193450e+01 2.231420e-01 2.233910e+02
1.281850e+01 1.945920e-01 2.157030e+02
1.370260e+01 1.688870e-01 2.084280e+02
1.458660e+01 1.459050e-01 2.022580e+02
1.547060e+01 1.255550e-01 1.976100e+02
1.635470e+01 1.077520e-01 1.952070e+02
1.723870e+01 9.242080e-02 1.963200e+02
1.812280e+01 7.936800e-02 1.982930e+02
1.900680e+01 6.828400e-02 2.010830e+02
1.989080e+01 5.887170e-02 2.038160e+02
2.077490e+01 5.085960e-02 2.065430e+02
2.165890e+01 4.402450e-02 2.092700e+02
2.254290e+01 3.817880e-02 2.118110e+02
2.342700e+01 3.316480e-02 2.141150e+02
2.431100e+01 2.885200e-02 2.161800e+02
2.519500e+01 2.513220e-02 2.179550e+02
2.607910e+01 2.191620e-02 2.195210e+02
2.696310e+01 1.913060e-02 2.210110e+02
2.784720e+01 1.671530e-02 2.225340e+02
2.873120e+01 1.461980e-02 2.242840e+02
2.961520e+01 1.280180e-02 2.263110e+02
3.049930e+01 1.122510e-02 2.288210e+02
3.138330e+01 9.857860e-03 2.316320e+02
3.226730e+01 8.671530e-03 2.346390e+02
3.315140e+01 7.640890e-03 2.377220e+02
3.403540e+01 6.743770e-03 2.406670e+02
3.491940e+01 5.960960e-03 2.433850e+02
3.580350e+01 5.276260e-03 2.459590e+02
3.668750e+01 4.676140e-03 2.483540e+02
3.757160e+01 4.149020e-03 2.505280e+02
3.845560e+01 3.685150e-03 2.525650e+02
3.933960e+01 3.276300e-03 2.544880e+02
4.022370e+01 2.915450e-03 2.563480e+02
4.110770e+01 2.596540e-03 2.580600e+02
4.199170e+01 2.314300e-03 2.596310e+02
4.287580e+01 2.064190e-03 2.610890e+02
4.375980e+01 1.842270e-03 2.623590e+02
4.464390e+01 1.645160e-03 2.635780e+02
4.552790e+01 1.469870e-03 2.645580e+02
4.641190e+01 1.313850e-03 2.655170e+02
4.729600e+01 1.174860e-03 2.662830e+02
4.818000e+01 1.050930e-03 2.670110e+02
4.906400e+01 9.403370e-04 2.674520e+02
4.994810e+01 8.415370e-04 2.677340e+02
5.083210e+01 7.531960e-04 2.677960e+02
5.171610e+01 6.741310e-04 2.675870e+02
5.260020e+01 6.033120e-04 2.672050e+02
5.348420e+01 5.398060e-04 2.662870e+02
5.436830e+01 4.828090e-04 2.653280e+02
5.525230e+01 4.316120e-04 2.637090e+02
5.613630e+01 3.855870e-04 2.620620e+02
5.702040e+01 3.441950e-04 2.598400e+02
5.790440e+01 3.069450e-04 2.574500e+02
5.878840e+01 2.734270e-04 2.548140e+02
5.967250e+01 2.432750e-04 2.519930e+02
6.055650e+01 2.161650e-04 2.490870e+02
6.144060e+01 1.918100e-04 2.460420e+02
6.232460e+01 1.699480e-04 2.429060e+02
6.320860e+01 1.503390e-04 2.395990e+02
6.409270e+01 1.327690e-04 2.362460e+02
6.497670e+01 1.170470e-04 2.328450e+02
6.586070e+01 1.030000e-04 2.294900e+02
6.674480e+01 9.047170e-05 2.261700e+02
6.762880e+01 7.932310e-05 2.230820e+02
6.851280e+01 6.942830e-05 2.202440e+02
6.939690e+01 6.066940e-05 2.176510e+02
7.028090e+01 5.293760e-05 2.154300e+02
7.116500e+01 4.613400e-05 2.136590e+02
7.204900e+01 4.016320e-05 2.121280e+02
7.293300e+01 3.493570e-05 2.109830e+02
7.381710e+01 3.036820e-05 2.099960e+02
7.470110e+01 2.638240e-05 2.091180e+02
7.558510e+01 2.290820e-05 2.083810e+02
7.646920e+01 1.988300e-05 2.077490e+02
7.735320e+01 1.725120e-05 2.072190e+02
7.823720e+01 1.496310e-05 2.067250e+02
7.912130e+01 1.297440e-05 2.061570e+02
8.000530e+01 1.124560e-05 2.054550e+02
8.088940e+01 9.742230e-06 2.045510e+02
8.177340e+01 8.434000e-06 2.033250e+02
8.265740e+01 7.294860e-06 2.018360e+02
8.354150e+01 6.302370e-06 1.999530e+02
8.442550e+01 5.437560e-06 1.979240e+02
8.530950e+01 4.684820e-06 1.959000e+02
8.619360e+01 4.030790e-06 1.939760e+02
8.707760e+01 3.463790e-06 1.922050e+02
8.796170e+01 2.973420e-06 1.906420e+02
8.884570e+01 2.550430e-06 1.893640e+02
8.972970e+01 2.186520e-06 1.884040e+02
9.061380e+01 1.874210e-06 1.877600e+02
9.149780e+01 1.606720e-06 1.873990e+02
9.238180e+01 1.377920e-06 1.872420e+02
9.326590e+01 1.182390e-06 1.872670e+02
9.414990e+01 1.015280e-06 1.872580e+02
9.503390e+01 8.723780e-07 1.872350e+02
9.591800e+01 7.501060e-07 1.872630e+02
9.680200e+01 6.454580e-07 1.873770e+02
9.768610e+01 5.558720e-07 1.876130e+02
9.857010e+01 4.791650e-07 1.879900e+02
9.945410e+01 4.134640e-07 1.885040e+02
1.003380e+02 3.571700e-07 1.892020e+02
1.012220e+02 3.089610e-07 1.904770e+02
1.021060e+02 2.677170e-07 1.922360e+02
1.029900e+02 2.324460e-07 1.945320e+02
1.038740e+02 2.023170e-07 1.978600e+02
1.047580e+02 1.766140e-07 2.021010e+02
1.056420e+02 1.546720e-07 2.070160e+02
