PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 1.198695e-13 4.575868e-07 8.899318e-03 1.198382e-20 4.882771e-17 3.661466e-42 1.102789e-30 1.057337e-25 6.664804e-15 9.369781e-07 7.608886e-29 4.098013e-25 1.675267e-33 1.251558e-28 1.217617e-11 4.471478e-16 1.722107e-13 1.215947e-07 3.981798e-04 1.801140e-26 3.219688e-10 4.970885e-22 1.571439e-18 3.076870e-13 3.994942e-20 1.996083e-01 1.218095e-21 3.527741e-21 5.511162e-12 1.432842e-11 1.076957e-09 4.796160e-30 2.431918e-25 3.154162e-29 6.041203e-11 2.071412e-15 7.817309e-01 4.650026e-10 1.481138e-11 4.344173e-17 1.891948e-24 8.969761e-17 4.319710e-12 1.941261e-17 1.406939e-22 6.462464e-15 7.252164e-11 3.566290e-07 2.176048e-29 7.961758e-18 1.416533e-14 6.292572e-10 4.682778e-18 1.954705e-08 9.931231e-15 1.509783e-10 4.913072e-14 2.547393e-21 5.228480e-16 8.381874e-27 6.220512e-16 4.870857e-14 1.043486e-17 4.249759e-14 8.440217e-30 3.921100e-10 9.874849e-23 8.905219e-26 8.050938e-17 2.158366e-10 6.923432e-17 1.774295e-13 6.739882e-35 3.934792e-17 1.534157e-09 2.486061e-17 3.432155e-22 5.828135e-10 1.597794e-10 2.993004e-19 3.471130e-11 9.373479e-12 3.406930e-20 2.382420e-16 2.001192e-23 0.000000e+00 2.083304e-27 2.738572e-22 1.833650e-36 5.888268e-20 3.005563e-27 6.007760e-31 2.718434e-32 4.679770e-22 1.906285e-26 5.535625e-46 0.000000e+00 0.000000e+00 4.670564e-18 9.361442e-03
8.682540e-01 8.745434e-14 4.589025e-07 6.531761e-03 8.525968e-21 5.201575e-17 4.992997e-43 8.795334e-42 5.357908e-26 4.718323e-15 9.340520e-07 0.000000e+00 0.000000e+00 0.000000e+00 7.080776e-29 1.219979e-11 3.638342e-16 1.714104e-13 1.115381e-07 3.996943e-04 1.209287e-26 1.718760e-10 2.430446e-22 8.614935e-19 2.881618e-13 3.641575e-20 2.000850e-01 1.221008e-21 3.536204e-21 6.996709e-12 1.246625e-11 1.290033e-09 3.329083e-33 1.576855e-25 2.029961e-29 6.143795e-11 1.604506e-15 7.835979e-01 4.121374e-10 5.700285e-12 4.125339e-17 7.200167e-25 8.438487e-17 4.328954e-12 1.163176e-17 1.203215e-22 6.324101e-15 1.957074e-11 3.574066e-07 2.181078e-29 6.627326e-18 1.419925e-14 6.307560e-10 3.621861e-18 1.769103e-08 2.214217e-15 2.720777e-10 1.116394e-14 3.632202e-21 7.152307e-17 1.568117e-26 8.599783e-16 4.995347e-14 3.039511e-17 6.292187e-15 4.660527e-30 3.921206e-10 9.895844e-23 9.189507e-26 1.229566e-16 1.351128e-10 6.141087e-17 1.778515e-13 5.385637e-35 3.901921e-17 1.392081e-09 2.203445e-17 1.628915e-22 5.741925e-10 2.525212e-10 3.000166e-19 3.409320e-11 9.210409e-12 3.415034e-20 2.954719e-16 2.808980e-23 4.019194e-22 2.088303e-27 2.745166e-22 1.890246e-35 5.918476e-20 3.012751e-27 6.029102e-31 2.714606e-32 5.252388e-22 1.315278e-26 1.407987e-46 0.000000e+00 1.895319e-05 5.359465e-16 9.383799e-03
7.538651e-01 8.813394e-14 4.598083e-07 5.195287e-03 8.375892e-21 6.064521e-17 6.083327e-43 9.913785e-53 5.109865e-26 4.546070e-15 9.308698e-07 0.000000e+00 0.000000e+00 0.000000e+00 5.635773e-29 1.220744e-11 3.450051e-16 1.702031e-13 1.020728e-07 4.002524e-04 1.192840e-26 1.178316e-10 1.887520e-22 8.633119e-19 2.861228e-13 4.366467e-20 2.003542e-01 1.222658e-21 3.541030e-21 7.341072e-12 1.145442e-11 1.317075e-09 4.555545e-33 1.658522e-25 1.439702e-29 6.241890e-11 1.524922e-15 7.846520e-01 3.672111e-10 4.885839e-12 3.737112e-17 7.375389e-25 7.503137e-17 4.332941e-12 1.073623e-17 9.944339e-23 6.120219e-15 1.231436e-11 3.578004e-07 2.183799e-29 5.287992e-18 1.421856e-14 6.315990e-10 3.059389e-18 1.690474e-08 1.307245e-15 3.328593e-10 7.401923e-15 3.844184e-21 5.654020e-17 2.773953e-26 1.174937e-15 5.097599e-14 6.365677e-17 8.302087e-15 5.093297e-30 3.917764e-10 9.908450e-23 9.714914e-26 1.425984e-16 8.526058e-11 5.372171e-17 1.780880e-13 4.591682e-35 3.827017e-17 1.177022e-09 1.590898e-17 1.072344e-22 5.633258e-10 3.152868e-10 3.004232e-19 3.351186e-11 8.947294e-12 3.419577e-20 3.730090e-16 5.468965e-23 2.111555e-21 2.091155e-27 2.748942e-22 9.698053e-34 5.963371e-20 3.016824e-27 6.034394e-31 2.705626e-32 6.086371e-22 1.576946e-26 8.190359e-47 0.000000e+00 9.577096e-06 2.711926e-14 9.396422e-03
6.545464e-01 1.007542e-13 4.606815e-07 4.012987e-03 9.451460e-21 7.645337e-17 1.227652e-42 9.129675e-58 6.237371e-26 4.941229e-15 9.282154e-07 0.000000e+00 0.000000e+00 0.000000e+00 5.146566e-29 1.221038e-11 3.418402e-16 1.689055e-13 9.353302e-08 4.007457e-04 1.413217e-26 1.014511e-10 1.946862e-22 1.092297e-18 3.002911e-13 5.794595e-20 2.005923e-01 1.224123e-21 3.545337e-21 6.775213e-12 1.118897e-11 1.173153e-09 8.038663e-33 2.006443e-25 1.065053e-29 6.336679e-11 1.519334e-15 7.855845e-01 3.296184e-10 6.048826e-12 3.256393e-17 1.132694e-24 6.375442e-17 4.335592e-12 1.287534e-17 8.238578e-23 5.898079e-15 1.192279e-11 3.581286e-07 2.186156e-29 4.069695e-18 1.423579e-14 6.323433e-10 2.951625e-18 1.733955e-08 1.204155e-15 3.790906e-10 8.369135e-15 3.867827e-21 1.031690e-16 4.733006e-26 1.595176e-15 5.137337e-14 1.142152e-16 1.125980e-14 6.035990e-30 3.914368e-10 9.921305e-23 1.045908e-25 1.455975e-16 5.416654e-11 4.578174e-17 1.782963e-13 4.321027e-35 3.721137e-17 9.836735e-10 1.149625e-17 8.036126e-23 5.512354e-10 3.599000e-10 3.007850e-19 3.300104e-11 8.630984e-12 3.423582e-20 4.657425e-16 1.183784e-22 1.589801e-21 2.093701e-27 2.752255e-22 3.512472e-32 6.013714e-20 3.020442e-27 6.039588e-31 2.695325e-32 7.474960e-22 2.492294e-26 6.383211e-47 0.000000e+00 8.139842e-06 6.616738e-13 9.407588e-03
5.683125e-01 1.202261e-13 4.614713e-07 3.005430e-03 1.111030e-20 9.977230e-17 1.899155e-41 2.390576e-57 8.122068e-26 5.497087e-15 9.259978e-07 1.789897e-60 0.000000e+00 2.490085e-47 4.842487e-29 1.220828e-11 3.408267e-16 1.673610e-13 8.585873e-08 4.011662e-04 1.800760e-26 9.177898e-11 2.130085e-22 1.385370e-18 3.245560e-13 8.095556e-20 2.007952e-01 1.225378e-21 3.549052e-21 5.910424e-12 1.103385e-11 9.506925e-10 1.561066e-32 2.521439e-25 6.883059e-30 6.426524e-11 1.520903e-15 7.863793e-01 2.982710e-10 7.869475e-12 2.745569e-17 1.863183e-24 5.224002e-17 4.336843e-12 1.640846e-17 6.888898e-23 5.672902e-15 1.253187e-11 3.583838e-07 2.188113e-29 3.060444e-18 1.425064e-14 6.329761e-10 3.080395e-18 1.856467e-08 1.242855e-15 4.190796e-10 1.055801e-14 3.034734e-21 2.408788e-16 7.871532e-26 2.158772e-15 5.105473e-14 1.915018e-16 1.522050e-14 7.374391e-30 3.910916e-10 9.934006e-23 1.140749e-25 1.391632e-16 3.480239e-11 3.822162e-17 1.784730e-13 4.418069e-35 3.590662e-17 8.171465e-10 7.914260e-18 6.372507e-23 5.380327e-10 3.867982e-10 3.010959e-19 3.255581e-11 8.280551e-12 3.426981e-20 5.690351e-16 2.705678e-22 4.505151e-22 2.095899e-27 2.755066e-22 8.774312e-31 6.066533e-20 3.023540e-27 6.044396e-31 2.683893e-32 9.459475e-22 4.334094e-26 5.174686e-47 0.000000e+00 6.823205e-06 8.084703e-12 9.417104e-03
4.934396e-01 1.438993e-13 4.621540e-07 2.153750e-03 1.310520e-20 1.317255e-16 1.049739e-36 3.600983e-51 1.050867e-25 6.063120e-15 9.241709e-07 3.756235e-53 1.202375e-26 2.436453e-35 4.550215e-29 1.220109e-11 3.383414e-16 1.653805e-13 7.899447e-08 4.015216e-04 2.316231e-26 8.218196e-11 2.290733e-22 1.683863e-18 3.526456e-13 1.135559e-19 2.009667e-01 1.226447e-21 3.552245e-21 4.922641e-12 1.069728e-11 7.143148e-10 3.046847e-32 3.157208e-25 4.420111e-30 6.510408e-11 1.513643e-15 7.870510e-01 2.723546e-10 1.022805e-11 2.254849e-17 3.062700e-24 4.169772e-17 4.336769e-12 2.096278e-17 5.831969e-23 5.450987e-15 1.328325e-11 3.585721e-07 2.189709e-29 2.306793e-18 1.426340e-14 6.335092e-10 3.309095e-18 2.019074e-08 1.327916e-15 4.548284e-10 1.349031e-14 2.283790e-21 5.960550e-16 1.284610e-25 2.912869e-15 5.009438e-14 3.109665e-16 2.050845e-14 9.099244e-30 3.907438e-10 9.946559e-23 1.255037e-25 1.302872e-16 2.297295e-11 3.122897e-17 1.786216e-13 4.732585e-35 3.442213e-17 6.663567e-10 5.383721e-18 5.209625e-23 5.237839e-10 3.731418e-10 3.013617e-19 3.217281e-11 7.911440e-12 3.429845e-20 6.802529e-16 6.167733e-22 7.272862e-22 2.097789e-27 2.757402e-22 1.512576e-29 6.119957e-20 3.026178e-27 6.048749e-31 2.671437e-32 1.204582e-21 7.826394e-26 4.114995e-47 0.000000e+00 5.729169e-06 4.831790e-11 9.425147e-03
4.284310e-01 1.711404e-13 4.627053e-07 1.469546e-03 1.519615e-20 1.699353e-16 0.000000e+00 2.057795e-47 1.279783e-25 6.360765e-15 9.226740e-07 7.552004e-51 6.651393e-26 8.410949e-33 4.069839e-29 1.218846e-11 3.296918e-16 1.628116e-13 7.293030e-08 4.018076e-04 2.921569e-26 7.165546e-11 2.372625e-22 1.982091e-18 3.782523e-13 1.654895e-19 2.011045e-01 1.227315e-21 3.554878e-21 3.850756e-12 9.987920e-12 4.994988e-10 6.223688e-32 3.970517e-25 2.831659e-30 6.586734e-11 1.509052e-15 7.875907e-01 2.512864e-10 1.341664e-11 1.819739e-17 5.323084e-24 3.272458e-17 4.335325e-12 2.679666e-17 4.995832e-23 5.236636e-15 1.398628e-11 3.586885e-07 2.190919e-29 1.742171e-18 1.427391e-14 6.339353e-10 3.508079e-18 2.189762e-08 1.440061e-15 4.869876e-10 1.741092e-14 1.925186e-21 1.684945e-15 2.070652e-25 3.938400e-15 4.860807e-14 5.070758e-16 2.766602e-14 1.083044e-29 3.903861e-10 9.958655e-23 1.386207e-25 1.182869e-16 1.601215e-11 2.539675e-17 1.787403e-13 5.107298e-35 3.284158e-17 5.257333e-10 3.501995e-18 4.510847e-23 5.086349e-10 2.929911e-10 3.015790e-19 3.184932e-11 7.541081e-12 3.432135e-20 7.845598e-16 1.476504e-21 7.495625e-22 2.099349e-27 2.759297e-22 1.815788e-28 6.172262e-20 3.028322e-27 6.052396e-31 2.658020e-32 1.510241e-21 1.397102e-25 2.878459e-47 0.000000e+00 4.568744e-06 1.481981e-10 9.431608e-03
3.719869e-01 2.025459e-13 4.631034e-07 9.739581e-04 1.768013e-20 2.167732e-16 8.558529e-36 0.000000e+00 1.544126e-25 6.644381e-15 9.214231e-07 2.481212e-58 0.000000e+00 0.000000e+00 3.646167e-29 1.216995e-11 3.189196e-16 1.597589e-13 6.767412e-08 4.020157e-04 3.606306e-26 6.150960e-11 2.403437e-22 2.259132e-18 3.982858e-13 2.388137e-19 2.012043e-01 1.227956e-21 3.556877e-21 2.888527e-12 9.024513e-12 3.276748e-10 1.554557e-30 5.014553e-25 1.716455e-30 6.654138e-11 1.523177e-15 7.879816e-01 2.344989e-10 1.779340e-11 1.461357e-17 9.427697e-24 2.559129e-17 4.332413e-12 3.420094e-17 4.359578e-23 5.033944e-15 1.469898e-11 3.587249e-07 2.191697e-29 1.353927e-18 1.428186e-14 6.342411e-10 3.649637e-18 2.341814e-08 1.577850e-15 5.159108e-10 2.274652e-14 1.229605e-21 4.198513e-15 3.302876e-25 5.313969e-15 4.677875e-14 8.256036e-16 3.720539e-14 1.276365e-29 3.900047e-10 9.969859e-23 1.528968e-25 1.074161e-16 1.221632e-11 2.030128e-17 1.788252e-13 5.467701e-35 3.125019e-17 3.980180e-10 3.201646e-18 4.245347e-23 4.927993e-10 1.991503e-10 3.017414e-19 3.158059e-11 7.185577e-12 3.433778e-20 8.855170e-16 3.424050e-21 2.461485e-22 2.100537e-27 2.760772e-22 1.501282e-27 6.222058e-20 3.029906e-27 6.055645e-31 2.643671e-32 1.857117e-21 2.543753e-25 2.029322e-47 0.000000e+00 3.273734e-06 2.562264e-10 9.436287e-03
3.229791e-01 2.392998e-13 4.633784e-07 6.091465e-04 2.011301e-20 2.622402e-16 2.477165e-31 0.000000e+00 1.695409e-25 6.380652e-15 9.203468e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.993812e-29 1.214471e-11 2.980774e-16 1.561711e-13 6.302256e-08 4.021697e-04 4.324408e-26 5.083142e-11 2.325895e-22 2.519908e-18 4.084329e-13 3.767660e-19 2.012778e-01 1.228445e-21 3.558466e-21 1.971491e-12 7.610642e-12 1.973269e-10 3.599932e-27 6.478759e-25 8.857456e-31 6.714734e-11 1.546161e-15 7.882693e-01 2.208792e-10 2.435415e-11 1.176005e-17 1.895809e-23 1.996023e-17 4.327986e-12 4.412659e-17 3.850796e-23 4.836885e-15 1.523842e-11 3.586937e-07 2.192150e-29 1.037195e-18 1.428815e-14 6.344629e-10 3.604850e-18 2.462892e-08 1.774948e-15 5.431767e-10 3.069410e-14 8.102824e-22 9.158989e-15 5.257806e-25 7.241072e-15 4.466346e-14 1.396707e-15 5.036461e-14 1.390283e-29 3.895898e-10 9.980847e-23 1.680698e-25 9.204816e-17 1.037914e-11 1.650284e-17 1.788866e-13 5.669714e-35 2.966367e-17 2.835164e-10 4.390413e-18 4.529323e-23 4.758077e-10 1.355844e-10 3.018673e-19 3.135300e-11 6.843341e-12 3.434974e-20 9.447007e-16 8.984528e-21 8.308715e-22 2.101484e-27 2.761891e-22 9.194198e-27 6.271002e-20 3.031113e-27 6.058068e-31 2.627821e-32 2.211352e-21 4.466076e-25 1.139353e-47 0.000000e+00 2.256374e-06 3.305331e-10 9.439731e-03
2.804279e-01 2.814825e-13 4.635272e-07 3.721260e-04 2.301763e-20 3.127517e-16 2.215229e-33 6.478684e-49 1.851220e-25 6.123875e-15 9.193556e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.460436e-29 1.211059e-11 2.748805e-16 1.523437e-13 5.892846e-08 4.022711e-04 5.064375e-26 4.124112e-11 2.200327e-22 2.728752e-18 4.099287e-13 5.900535e-19 2.013255e-01 1.228787e-21 3.559676e-21 1.277531e-12 6.080452e-12 1.107392e-10 6.406405e-31 8.304282e-25 4.766363e-31 6.769603e-11 1.562923e-15 7.884563e-01 2.098222e-10 3.411367e-11 9.739048e-18 3.872423e-23 1.590398e-17 4.321647e-12 5.704052e-17 3.472391e-23 4.642677e-15 1.577921e-11 3.585853e-07 2.192265e-29 7.990004e-19 1.429291e-14 6.346022e-10 3.458409e-18 2.541818e-08 2.016020e-15 5.699990e-10 4.233410e-14 5.255740e-22 1.341048e-14 8.315664e-25 9.849102e-15 4.243289e-14 2.369451e-15 6.763822e-14 1.494726e-29 3.891132e-10 9.991735e-23 1.840661e-25 7.898964e-17 9.893582e-12 1.326454e-17 1.789249e-13 5.779124e-35 2.809544e-17 1.902454e-10 7.917604e-18 5.386034e-23 4.573328e-10 9.962427e-11 3.019589e-19 3.115758e-11 6.512754e-12 3.435730e-20 9.893474e-16 2.300211e-20 4.841873e-22 2.102209e-27 2.762632e-22 4.235923e-26 6.320177e-20 3.031960e-27 6.059886e-31 2.609666e-32 2.575842e-21 7.982742e-25 6.361587e-48 0.000000e+00 1.296926e-06 3.750224e-10 9.441968e-03
