PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 1.485396e-13 2.850478e-07 8.900043e-03 1.122902e-20 4.678186e-17 2.751043e-42 7.607873e-31 1.138711e-25 5.790673e-15 6.551907e-07 0.000000e+00 1.420357e-25 0.000000e+00 1.595835e-28 1.252412e-11 2.950012e-16 1.011627e-13 9.610878e-08 3.982122e-04 2.070803e-26 2.466194e-10 4.495356e-22 1.322109e-18 2.814656e-13 2.743260e-20 1.995442e-01 6.552840e-22 2.199540e-21 4.830578e-12 1.392842e-11 7.133709e-10 0.000000e+00 1.070357e-24 4.246327e-29 6.256246e-11 7.694538e-15 7.817937e-01 1.315199e-09 1.424186e-11 1.156201e-15 6.772903e-24 2.030326e-15 4.815849e-11 2.207903e-17 1.024462e-22 9.501180e-15 6.597204e-11 5.271439e-07 8.695963e-30 5.972197e-17 5.641227e-14 2.335364e-09 2.913258e-18 1.847532e-08 8.798297e-15 1.894815e-10 5.838548e-14 4.730059e-21 4.213378e-16 8.659163e-27 6.269421e-16 3.028203e-14 1.138975e-17 4.309472e-14 7.212850e-29 3.289803e-10 1.274535e-21 1.718309e-25 5.691952e-17 1.986854e-10 2.669631e-17 2.781995e-14 7.343686e-34 1.411836e-17 1.261447e-09 2.685262e-17 3.916343e-22 5.777898e-10 1.713718e-10 1.927876e-19 3.256892e-11 1.179898e-11 4.968078e-20 1.663738e-16 1.716777e-23 0.000000e+00 1.227527e-27 1.110126e-22 2.628010e-35 5.352053e-21 1.133185e-27 1.613364e-30 9.578426e-33 4.760168e-22 2.051302e-26 3.019419e-45 0.000000e+00 0.000000e+00 5.033403e-18 9.362172e-03
8.682540e-01 1.207765e-13 2.859006e-07 6.526898e-03 8.675815e-21 5.222664e-17 6.890393e-43 0.000000e+00 7.128193e-26 4.544772e-15 6.512158e-07 0.000000e+00 4.257765e-25 0.000000e+00 1.006339e-28 1.255011e-11 2.528868e-16 1.012818e-13 8.533895e-08 3.997191e-04 1.607405e-26 1.459294e-10 2.543236e-22 8.549043e-19 2.743617e-13 2.683525e-20 2.000219e-01 6.568544e-22 2.204828e-21 6.136280e-12 1.266874e-11 8.422524e-10 2.154463e-32 7.395634e-25 2.917900e-29 6.390276e-11 6.058794e-15 7.836653e-01 1.115716e-09 6.460663e-12 1.065437e-15 3.095731e-24 1.818661e-15 4.826032e-11 1.820808e-17 9.018173e-23 9.347661e-15 2.174700e-11 5.282942e-07 8.716111e-30 4.448819e-17 5.654768e-14 2.340943e-09 2.401042e-18 1.739620e-08 2.923266e-15 4.250788e-10 1.726516e-14 6.828921e-21 1.048319e-16 1.623741e-26 8.681344e-16 3.081910e-14 3.116437e-17 6.274718e-15 7.203244e-29 3.286251e-10 1.277648e-21 1.788637e-25 7.898887e-17 1.121716e-10 2.332014e-17 2.788629e-14 6.853093e-34 1.398166e-17 1.164673e-09 2.368865e-17 1.868197e-22 5.691510e-10 2.696909e-10 1.932499e-19 3.166072e-11 1.161777e-11 4.979926e-20 2.070184e-16 2.705209e-23 7.885326e-22 1.230479e-27 1.112821e-22 1.210012e-33 5.377122e-21 1.135899e-27 1.615922e-30 9.564146e-33 5.615615e-22 1.750226e-26 9.122621e-46 0.000000e+00 1.900880e-05 5.772913e-16 9.384583e-03
7.538651e-01 1.365660e-13 2.865080e-07 5.197757e-03 9.317704e-21 6.448623e-17 1.144169e-42 0.000000e+00 8.518965e-26 4.891029e-15 6.471454e-07 0.000000e+00 1.949716e-25 0.000000e+00 8.987101e-29 1.256016e-11 2.511026e-16 1.016000e-13 7.535556e-08 4.002714e-04 1.896848e-26 1.152613e-10 2.393443e-22 1.023908e-18 2.916440e-13 3.467996e-20 2.002895e-01 6.577370e-22 2.207819e-21 6.277395e-12 1.213061e-11 8.093816e-10 3.598088e-32 8.462443e-25 2.122487e-29 6.521201e-11 5.787388e-15 7.847137e-01 9.461904e-10 6.791312e-12 9.074011e-16 3.907116e-24 1.548585e-15 4.830167e-11 1.936122e-17 8.117795e-23 9.117152e-15 1.742768e-11 5.288687e-07 8.726860e-30 2.991426e-17 5.662411e-14 2.344060e-09 2.225780e-18 1.753022e-08 2.594459e-15 5.847395e-10 1.583639e-14 7.139968e-21 1.587767e-16 2.879263e-26 1.188228e-15 3.093412e-14 6.079156e-17 8.285047e-15 8.346401e-29 3.279712e-10 1.279522e-21 1.913364e-25 8.129989e-17 6.218206e-11 1.973727e-17 2.792318e-14 6.670504e-34 1.367229e-17 9.936219e-10 1.694547e-17 1.212245e-22 5.582373e-10 3.340044e-10 1.935102e-19 3.079664e-11 1.131108e-11 4.986516e-20 2.612537e-16 5.921421e-23 4.780298e-22 1.232149e-27 1.114361e-22 4.100251e-32 5.410986e-21 1.137422e-27 1.617832e-30 9.531379e-33 6.915440e-22 2.626955e-26 6.476421e-46 0.000000e+00 9.531853e-06 2.916589e-14 9.397138e-03
6.545464e-01 1.673018e-13 2.870921e-07 4.018341e-03 1.091993e-20 8.485246e-17 2.679193e-42 1.114355e-56 1.189538e-25 5.674954e-15 6.436830e-07 0.000000e+00 8.600038e-26 2.375860e-50 8.796899e-29 1.256552e-11 2.567576e-16 1.020848e-13 6.654936e-08 4.007616e-04 2.571317e-26 1.036060e-10 2.661198e-22 1.339935e-18 3.277719e-13 4.734983e-20 2.005270e-01 6.585228e-22 2.210498e-21 5.787062e-12 1.191806e-11 6.717829e-10 7.033027e-32 1.058428e-24 1.559104e-29 6.648151e-11 5.622835e-15 7.856441e-01 8.072442e-10 8.681566e-12 7.339374e-16 6.036107e-24 1.266839e-15 4.832717e-11 2.236904e-17 7.606629e-23 8.857649e-15 1.787965e-11 5.293472e-07 8.736202e-30 1.931467e-17 5.669247e-14 2.346820e-09 2.319079e-18 1.873285e-08 2.915302e-15 7.108189e-10 1.985067e-14 6.866982e-21 3.745793e-16 4.922702e-26 1.615849e-15 3.052840e-14 1.045014e-16 1.123868e-14 1.033221e-28 3.273551e-10 1.281308e-21 2.086955e-25 7.656650e-17 3.416532e-11 1.612983e-17 2.795578e-14 6.869697e-34 1.323475e-17 8.202261e-10 1.203834e-17 8.419378e-23 5.460624e-10 3.774326e-10 1.937424e-19 3.003403e-11 1.092686e-11 4.992340e-20 3.261664e-16 1.375025e-22 8.579384e-22 1.233646e-27 1.115761e-22 9.569688e-31 5.458508e-21 1.138775e-27 1.619462e-30 9.494028e-33 8.902840e-22 4.745932e-26 5.591676e-46 0.000000e+00 8.126813e-06 7.092744e-13 9.408278e-03
5.683125e-01 2.067104e-13 2.876151e-07 3.011616e-03 1.286564e-20 1.133868e-16 2.895053e-41 1.930799e-56 1.655469e-25 6.516244e-15 6.408098e-07 0.000000e+00 3.692170e-26 6.341798e-51 8.573031e-29 1.256548e-11 2.600926e-16 1.023754e-13 5.888850e-08 4.011803e-04 3.565770e-26 9.287830e-11 2.938716e-22 1.679925e-18 3.729748e-13 6.581952e-20 2.007297e-01 6.591968e-22 2.212813e-21 5.034800e-12 1.155467e-11 5.057121e-10 1.410695e-31 1.327030e-24 1.038114e-29 6.768171e-11 5.417393e-15 7.864382e-01 6.952990e-10 1.116552e-11 5.737977e-16 9.439796e-24 1.001202e-15 4.833627e-11 2.616961e-17 7.281533e-23 8.580542e-15 1.876517e-11 5.297176e-07 8.743964e-30 1.223975e-17 5.675147e-14 2.349170e-09 2.527266e-18 2.051473e-08 3.378315e-15 8.125430e-10 2.563683e-14 5.401876e-21 9.803732e-16 8.199512e-26 2.189443e-15 2.968982e-14 1.716108e-16 1.518252e-14 1.293287e-28 3.267793e-10 1.282987e-21 2.306101e-25 6.991463e-17 1.891566e-11 1.289638e-17 2.798350e-14 7.291875e-34 1.270102e-17 6.578546e-10 8.056239e-18 5.957003e-23 5.327301e-10 4.015187e-10 1.939421e-19 2.937733e-11 1.048779e-11 4.997291e-20 3.983630e-16 3.255222e-22 1.108748e-21 1.234940e-27 1.116926e-22 1.560097e-29 5.519490e-21 1.139932e-27 1.620795e-30 9.452903e-33 1.158253e-21 8.815167e-26 4.682808e-46 0.000000e+00 6.823389e-06 8.616563e-12 9.417786e-03
4.934396e-01 2.509841e-13 2.880643e-07 2.160177e-03 1.492687e-20 1.509852e-16 2.075190e-39 2.169016e-55 2.198711e-25 7.272553e-15 6.384974e-07 0.000000e+00 1.582174e-26 1.639859e-51 8.170557e-29 1.255977e-11 2.590176e-16 1.021045e-13 5.231044e-08 4.015345e-04 4.793297e-26 8.145093e-11 3.121750e-22 2.002724e-18 4.178654e-13 9.019749e-20 2.009011e-01 6.597706e-22 2.214807e-21 4.127518e-12 1.084378e-11 3.505316e-10 2.730545e-31 1.624720e-24 7.197876e-30 6.879290e-11 5.175038e-15 7.871098e-01 6.066523e-10 1.443238e-11 4.390477e-16 1.480245e-23 7.717245e-16 4.833003e-11 3.083488e-17 7.031463e-23 8.289755e-15 1.971203e-11 5.299879e-07 8.750301e-30 7.864144e-18 5.680213e-14 2.351150e-09 2.752475e-18 2.248125e-08 3.872703e-15 8.941575e-10 3.304772e-14 4.600947e-21 2.578192e-15 1.339490e-25 2.956626e-15 2.857054e-14 2.765955e-16 2.041967e-14 1.610033e-28 3.262505e-10 1.284597e-21 2.567867e-25 6.408328e-17 1.094116e-11 1.013540e-17 2.800684e-14 7.735748e-34 1.210601e-17 5.065481e-10 5.213360e-18 4.328951e-23 5.183064e-10 3.831785e-10 1.941127e-19 2.882602e-11 1.001593e-11 5.001462e-20 4.766828e-16 7.537474e-22 0.000000e+00 1.236056e-27 1.117878e-22 1.788286e-28 5.594040e-21 1.140913e-27 1.621874e-30 9.408489e-33 1.492518e-21 1.632689e-25 3.693687e-46 0.000000e+00 5.731449e-06 5.101704e-11 9.425828e-03
4.284310e-01 2.988354e-13 2.884277e-07 1.475903e-03 1.685336e-20 1.943007e-16 1.207117e-37 1.471981e-53 2.679100e-25 7.624736e-15 6.366912e-07 6.915693e-70 7.045944e-27 4.404487e-52 7.318083e-29 1.254792e-11 2.500863e-16 1.009790e-13 4.677099e-08 4.018195e-04 6.114159e-26 6.927913e-11 3.160379e-22 2.301624e-18 4.529526e-13 1.272195e-19 2.010389e-01 6.602365e-22 2.216455e-21 3.118702e-12 9.632273e-12 2.222714e-10 5.391154e-31 1.976416e-24 4.332587e-30 6.979035e-11 4.955627e-15 7.876496e-01 5.381396e-10 1.910960e-11 3.321570e-16 2.493052e-23 5.850263e-16 4.830814e-11 3.683365e-17 6.778997e-23 7.989371e-15 2.061807e-11 5.301510e-07 8.755108e-30 5.045627e-18 5.684379e-14 2.352733e-09 2.888942e-18 2.429719e-08 4.379699e-15 9.586469e-10 4.310753e-14 3.161835e-21 7.524104e-15 2.160262e-25 3.999109e-15 2.729986e-14 4.509597e-16 2.742698e-14 1.911949e-28 3.257639e-10 1.286136e-21 2.864528e-25 5.781047e-17 7.037178e-12 7.993069e-18 2.802549e-14 7.965090e-34 1.149058e-17 3.680968e-10 3.075744e-18 3.462808e-23 5.029444e-10 2.971146e-10 1.942520e-19 2.837762e-11 9.537214e-12 5.004797e-20 5.489779e-16 1.804200e-21 0.000000e+00 1.236979e-27 1.118658e-22 1.463680e-27 5.681764e-21 1.141704e-27 1.622689e-30 9.361123e-33 1.871565e-21 2.912496e-25 2.502079e-46 0.000000e+00 4.571427e-06 1.545979e-10 9.432290e-03
3.719869e-01 3.499294e-13 2.886928e-07 9.796472e-04 1.895299e-20 2.451401e-16 4.703987e-36 7.935760e-52 3.161176e-25 7.872083e-15 6.353023e-07 4.967470e-68 3.559037e-27 8.683611e-52 6.487464e-29 1.252945e-11 2.375261e-16 9.910362e-14 4.223408e-08 4.020270e-04 7.426070e-26 5.800685e-11 3.108095e-22 2.554634e-18 4.744190e-13 1.765682e-19 2.011388e-01 6.605808e-22 2.217711e-21 2.216957e-12 8.110361e-12 1.293964e-10 5.854956e-28 2.390093e-24 2.759445e-30 7.065511e-11 4.800782e-15 7.880411e-01 4.867173e-10 2.601994e-11 2.516257e-16 4.348998e-23 4.424732e-16 4.826967e-11 4.480617e-17 6.554926e-23 7.685736e-15 2.165300e-11 5.301947e-07 8.758200e-30 3.379577e-18 5.687531e-14 2.353870e-09 2.923809e-18 2.567093e-08 4.852676e-15 1.008574e-09 5.722751e-14 2.366683e-21 1.876210e-14 3.446219e-25 5.396034e-15 2.602958e-14 7.373894e-16 3.659505e-14 2.228658e-28 3.253059e-10 1.287589e-21 3.179823e-25 5.293918e-17 5.428617e-12 6.271874e-18 2.803888e-14 7.898248e-34 1.089297e-17 2.497624e-10 2.592941e-18 3.260321e-23 4.868717e-10 2.006045e-10 1.943560e-19 2.802495e-11 9.075518e-12 5.007192e-20 6.214692e-16 4.152419e-21 2.293240e-22 1.237684e-27 1.119244e-22 8.559102e-27 5.782127e-21 1.142283e-27 1.623215e-30 9.310979e-33 2.280801e-21 5.178590e-25 1.671207e-46 0.000000e+00 3.279497e-06 2.636260e-10 9.436976e-03
3.229791e-01 4.029917e-13 2.888797e-07 6.141500e-04 2.062787e-20 2.909107e-16 1.281350e-34 2.768561e-50 3.297343e-25 7.367302e-15 6.342297e-07 9.971252e-65 2.377435e-27 8.704938e-51 5.188803e-29 1.250355e-11 2.155340e-16 9.648869e-14 3.848762e-08 4.021804e-04 8.463812e-26 4.627096e-11 2.868718e-22 2.734197e-18 4.744517e-13 2.655949e-19 2.012124e-01 6.608425e-22 2.218712e-21 1.378662e-12 6.126214e-12 6.632473e-11 2.138584e-30 2.885213e-24 1.407907e-30 7.141322e-11 4.619226e-15 7.883294e-01 4.480206e-10 3.749212e-11 1.913807e-16 8.724035e-23 3.321204e-16 4.821386e-11 5.594235e-17 6.321796e-23 7.370537e-15 2.262620e-11 5.301365e-07 8.760006e-30 2.184465e-18 5.690014e-14 2.354695e-09 2.760073e-18 2.645031e-08 5.367418e-15 1.047616e-09 7.927403e-14 1.359391e-21 3.987439e-14 5.483643e-25 7.349556e-15 2.480391e-14 1.253674e-15 4.871330e-14 2.381417e-28 3.248591e-10 1.289084e-21 3.500189e-25 4.637740e-17 5.141016e-12 5.078499e-18 2.804858e-14 7.342467e-34 1.032213e-17 1.533346e-10 3.663489e-18 3.779339e-23 4.696260e-10 1.359924e-10 1.944362e-19 2.774810e-11 8.630707e-12 5.008932e-20 6.602034e-16 1.057643e-20 0.000000e+00 1.238248e-27 1.119671e-22 3.865110e-26 5.900458e-21 1.142714e-27 1.623537e-30 9.256129e-33 2.667873e-21 8.617954e-25 8.545692e-47 0.000000e+00 2.260920e-06 3.377857e-10 9.440427e-03
2.804279e-01 4.500400e-13 2.889867e-07 3.761871e-04 2.215827e-20 3.373938e-16 2.510206e-33 7.190272e-49 3.246764e-25 6.715908e-15 6.333760e-07 6.796322e-62 3.012291e-27 1.329858e-49 4.050520e-29 1.246811e-11 1.920931e-16 9.361898e-14 3.548802e-08 4.022812e-04 9.006030e-26 3.593213e-11 2.526161e-22 2.791128e-18 4.557571e-13 3.892868e-19 2.012603e-01 6.610251e-22 2.219481e-21 7.785316e-13 4.166693e-12 3.061038e-11 3.995092e-30 3.259795e-24 7.402014e-31 7.207835e-11 4.274090e-15 7.885171e-01 4.196641e-10 5.682073e-11 1.504548e-16 1.764522e-22 2.533390e-16 4.813609e-11 7.202301e-17 6.161497e-23 7.039960e-15 2.392785e-11 5.299617e-07 8.760473e-30 1.426865e-18 5.691880e-14 2.355215e-09 2.498973e-18 2.650318e-08 5.709247e-15 1.077442e-09 1.123674e-13 7.713480e-22 5.509393e-14 8.663265e-25 9.986291e-15 2.378213e-14 2.136598e-15 6.343322e-14 2.490372e-28 3.243941e-10 1.290700e-21 3.780992e-25 4.183207e-17 5.808801e-12 4.157516e-18 2.805467e-14 6.466923e-34 9.785016e-18 8.571195e-11 7.358905e-18 5.057578e-23 4.508986e-10 9.967098e-11 1.944941e-19 2.753494e-11 8.201475e-12 5.010029e-20 6.913578e-16 2.570626e-20 1.480685e-22 1.238684e-27 1.119968e-22 1.374479e-25 6.043601e-21 1.143003e-27 1.623656e-30 9.193837e-33 3.024007e-21 1.385534e-24 3.993164e-47 0.000000e+00 1.302088e-06 3.818104e-10 9.442672e-03
