PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 2.651585e-13 7.990761e-08 8.891776e-03 1.080853e-20 4.365651e-17 2.309625e-42 3.649664e-31 1.605959e-25 4.561848e-15 2.874863e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.733268e-28 1.197655e-11 1.054314e-16 3.074262e-14 5.657994e-08 3.978423e-04 4.705320e-26 1.322048e-10 3.909261e-22 9.718249e-19 2.420405e-13 1.273443e-20 1.989419e-01 1.969823e-22 1.000725e-21 3.238972e-12 1.309330e-11 2.305077e-10 1.490965e-28 1.356102e-23 8.698861e-29 6.873894e-11 5.543875e-14 7.823972e-01 4.718135e-09 1.559228e-11 6.487205e-14 5.523825e-23 4.330333e-14 1.107686e-09 4.899316e-17 1.171927e-22 2.270686e-14 6.431277e-11 1.839348e-06 2.479603e-30 1.611229e-15 6.756289e-13 1.731665e-08 8.999960e-19 1.605171e-08 9.273361e-15 4.363519e-10 1.142551e-13 1.774005e-20 4.333674e-16 9.546487e-27 6.427316e-16 8.814671e-15 1.345706e-17 4.127037e-14 5.078083e-28 1.958118e-10 6.101948e-21 3.150566e-25 2.030259e-17 1.543827e-10 2.249411e-18 3.110657e-16 6.232508e-33 1.126723e-18 6.951751e-10 3.209114e-17 5.448658e-22 5.518192e-10 2.003311e-10 2.352741e-19 2.631276e-11 2.002638e-11 1.647214e-19 7.357618e-17 1.332793e-23 0.000000e+00 1.041023e-27 1.246693e-22 5.381318e-29 2.041281e-19 3.354469e-28 1.276348e-32 7.730513e-34 5.776699e-22 2.889535e-26 6.847039e-44 0.000000e+00 0.000000e+00 5.499750e-18 9.368984e-03
8.682540e-01 2.929881e-13 8.014600e-08 6.515662e-03 1.030807e-20 5.414005e-17 2.255304e-42 1.804897e-42 1.823599e-25 4.780269e-15 2.821082e-07 3.739785e-35 2.747850e-25 3.042963e-40 2.342291e-28 1.200371e-11 1.061288e-16 3.174844e-14 4.521124e-08 4.003257e-04 4.760641e-26 1.008369e-10 3.439456e-22 1.014383e-18 2.677117e-13 1.496544e-20 1.994185e-01 1.974546e-22 1.003132e-21 3.877258e-12 1.279904e-11 2.378226e-10 9.329103e-31 1.317802e-23 6.415769e-29 7.097573e-11 4.620052e-14 7.842718e-01 3.479012e-09 1.213351e-11 5.097618e-14 4.613265e-23 3.684604e-14 1.109800e-09 4.709949e-17 1.233558e-22 2.251197e-14 3.852966e-11 1.843322e-06 2.485127e-30 9.241321e-16 6.772499e-13 1.735815e-08 8.748895e-19 1.638099e-08 1.120011e-14 1.404973e-09 7.683090e-14 2.303948e-20 7.116922e-16 1.804310e-26 8.951631e-16 8.694511e-15 3.128938e-17 5.858964e-15 5.997903e-28 1.946772e-10 6.114141e-21 3.272239e-25 2.097550e-17 6.196993e-11 1.845498e-18 3.118089e-16 6.159132e-33 1.115222e-18 6.154310e-10 2.748335e-17 2.511311e-22 5.431190e-10 3.080293e-10 2.358383e-19 2.457793e-11 1.979608e-11 1.651152e-19 9.198150e-17 2.893585e-23 0.000000e+00 1.043528e-27 1.249673e-22 7.396070e-28 2.046169e-19 3.362511e-28 1.268876e-32 7.719240e-34 7.701187e-22 4.476405e-26 3.954599e-44 0.000000e+00 1.905384e-05 6.300706e-16 9.391430e-03
7.538651e-01 3.901988e-13 8.030844e-08 5.196957e-03 1.177300e-20 7.225145e-17 5.519942e-42 2.122684e-53 2.980567e-25 5.973385e-15 2.770073e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.464135e-28 1.201613e-11 1.166281e-16 3.353866e-14 3.564256e-08 4.008666e-04 6.743641e-26 8.827777e-11 3.991155e-22 1.387795e-18 3.281549e-13 2.004532e-20 1.996832e-01 1.977173e-22 1.004484e-21 3.798409e-12 1.216795e-11 1.863190e-10 1.992915e-30 1.638362e-23 4.892293e-29 7.319526e-11 4.102180e-14 7.853128e-01 2.519722e-09 1.516583e-11 3.528424e-14 6.377689e-23 3.120390e-14 1.110311e-09 4.533741e-17 1.405097e-22 2.214714e-14 3.777625e-11 1.845236e-06 2.487961e-30 4.732203e-16 6.781537e-13 1.738119e-08 9.605379e-19 1.763394e-08 1.719328e-14 2.103893e-09 9.976965e-14 2.344833e-20 2.281725e-15 3.235364e-26 1.236874e-15 8.312582e-15 5.648644e-17 7.793721e-15 7.520719e-28 1.934057e-10 6.116769e-21 3.463283e-25 1.807702e-17 2.279109e-11 1.416923e-18 3.122197e-16 6.243998e-33 1.089664e-18 4.678321e-10 1.861296e-17 1.273357e-22 5.320825e-10 3.687931e-10 2.361525e-19 2.297233e-11 1.933127e-11 1.653329e-19 1.158854e-16 7.485321e-23 0.000000e+00 1.044934e-27 1.251332e-22 8.132487e-27 2.048881e-19 3.366985e-28 1.260907e-32 7.693109e-34 1.044791e-21 9.172798e-26 3.591860e-44 0.000000e+00 9.475079e-06 3.172916e-14 9.403895e-03
6.545464e-01 5.071410e-13 8.046785e-08 4.022649e-03 1.323544e-20 9.822533e-17 2.097017e-41 1.424376e-54 4.632614e-25 7.271127e-15 2.727935e-07 0.000000e+00 0.000000e+00 2.060527e-46 2.559282e-28 1.202371e-11 1.262476e-16 3.556348e-14 2.819002e-08 4.013467e-04 9.995038e-26 7.734557e-11 4.517778e-22 1.775717e-18 4.022146e-13 2.570784e-20 1.999189e-01 1.979517e-22 1.005700e-21 3.378287e-12 1.114538e-11 1.263018e-10 3.831188e-30 1.900199e-23 3.688303e-29 7.532191e-11 3.486696e-14 7.862398e-01 1.832189e-09 1.957538e-11 2.358690e-14 8.638653e-23 2.551629e-14 1.110333e-09 4.404368e-17 1.610161e-22 2.163627e-14 3.880578e-11 1.846801e-06 2.490429e-30 2.404243e-16 6.789618e-13 1.740169e-08 1.101203e-18 1.932041e-08 2.352442e-14 2.582791e-09 1.339259e-13 2.128481e-20 6.558593e-15 5.579942e-26 1.694799e-15 7.855540e-15 9.533689e-17 1.060333e-14 9.616381e-28 1.922844e-10 6.115405e-21 3.699248e-25 1.587176e-17 8.135696e-12 1.061559e-18 3.125846e-16 6.396039e-33 1.055494e-18 3.266106e-10 1.238979e-17 6.095877e-23 5.196712e-10 4.042897e-10 2.364331e-19 2.162253e-11 1.868710e-11 1.655263e-19 1.445438e-16 1.847186e-22 0.000000e+00 1.046201e-27 1.252817e-22 6.489133e-26 2.051293e-19 3.370975e-28 1.254047e-32 7.663620e-34 1.412696e-21 1.841904e-25 3.050589e-44 0.000000e+00 8.108277e-06 7.670749e-13 9.414995e-03
5.683125e-01 6.294363e-13 8.062668e-08 3.018141e-03 1.434645e-20 1.311451e-16 4.357588e-40 2.129702e-54 6.453156e-25 8.318596e-15 2.695247e-07 4.131473e-51 9.713332e-27 3.947080e-34 2.505587e-28 1.202498e-11 1.302462e-16 3.708900e-14 2.258716e-08 4.017560e-04 1.396469e-25 6.626529e-11 4.799949e-22 2.129288e-18 4.698011e-13 3.223164e-20 2.001206e-01 1.981527e-22 1.006755e-21 2.734536e-12 9.637787e-12 7.655731e-11 6.664146e-30 2.057304e-23 2.648050e-29 7.728859e-11 2.884924e-14 7.870328e-01 1.358973e-09 2.582894e-11 1.580864e-14 1.182734e-22 2.015420e-14 1.109908e-09 4.368072e-17 1.790996e-22 2.096307e-14 4.020056e-11 1.847974e-06 2.492475e-30 1.227954e-16 6.796571e-13 1.741918e-08 1.225147e-18 2.099344e-08 2.905517e-14 2.895991e-09 1.781778e-13 1.737687e-20 1.802547e-14 9.352474e-26 2.309183e-15 7.469676e-15 1.573975e-16 1.426230e-14 1.200633e-27 1.913437e-10 6.109817e-21 3.964884e-25 1.433539e-17 3.094645e-12 8.111952e-19 3.128962e-16 6.428216e-33 1.017365e-18 2.113969e-10 7.715143e-18 2.976641e-23 5.059823e-10 4.205157e-10 2.366742e-19 2.054868e-11 1.790766e-11 1.656912e-19 1.762812e-16 4.392701e-22 1.294652e-22 1.047301e-27 1.254090e-22 3.869027e-25 2.053350e-19 3.374396e-28 1.248258e-32 7.631543e-34 1.859552e-21 3.419765e-25 2.216031e-44 0.000000e+00 6.822051e-06 9.238478e-12 9.424489e-03
4.934396e-01 7.369179e-13 8.078658e-08 2.167689e-03 1.497722e-20 1.702404e-16 1.605893e-38 4.121477e-54 7.927970e-25 8.905876e-15 2.671580e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.302822e-28 1.201922e-11 1.274169e-16 3.754346e-14 1.849658e-08 4.021011e-04 1.747007e-25 5.564272e-11 4.757083e-22 2.386993e-18 5.127375e-13 3.904968e-20 2.002913e-01 1.983235e-22 1.007667e-21 1.975019e-12 7.653858e-12 4.078511e-11 1.022131e-29 2.070611e-23 1.807505e-29 7.905340e-11 2.346186e-14 7.877042e-01 1.044583e-09 3.560759e-11 1.081429e-14 1.674761e-22 1.554297e-14 1.109090e-09 4.512399e-17 1.929535e-22 2.012119e-14 4.223473e-11 1.848780e-06 2.494137e-30 6.498446e-17 6.802504e-13 1.743395e-08 1.281427e-18 2.226960e-08 3.260167e-14 3.092045e-09 2.365736e-13 1.227308e-20 4.614942e-14 1.533709e-25 3.129536e-15 7.264777e-15 2.576119e-16 1.885762e-14 1.453146e-27 1.905922e-10 6.099955e-21 4.244835e-25 1.358803e-17 1.565049e-12 6.510539e-19 3.131593e-16 6.182325e-33 9.794710e-19 1.237477e-10 4.581112e-18 1.823644e-23 4.910983e-10 3.945073e-10 2.368794e-19 1.974263e-11 1.704486e-11 1.658305e-19 2.112796e-16 9.830667e-22 0.000000e+00 1.048252e-27 1.255167e-22 1.765206e-24 2.055077e-19 3.377300e-28 1.243997e-32 7.597344e-34 2.357288e-21 5.849863e-25 1.385542e-44 0.000000e+00 5.734423e-06 5.404802e-11 9.432527e-03
4.284310e-01 8.060985e-13 8.093941e-08 1.483609e-03 1.484602e-20 2.090301e-16 5.176988e-37 6.133370e-53 8.134948e-25 8.558207e-15 2.655891e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.894535e-28 1.200598e-11 1.165680e-16 3.666528e-14 1.561575e-08 4.023776e-04 1.874983e-25 4.474082e-11 4.269747e-22 2.476386e-18 5.110799e-13 4.765551e-20 2.004286e-01 1.984617e-22 1.008422e-21 1.197908e-12 5.243773e-12 1.800234e-11 1.418900e-29 1.925268e-23 1.077937e-29 8.057773e-11 1.863787e-14 7.882442e-01 8.454156e-10 5.301879e-11 7.555533e-15 2.619031e-22 1.171653e-14 1.107884e-09 4.934492e-17 2.026072e-22 1.912966e-14 4.520153e-11 1.849195e-06 2.495382e-30 3.429320e-17 6.807336e-13 1.744578e-08 1.224102e-18 2.278899e-08 3.348422e-14 3.207641e-09 3.200155e-13 7.347903e-21 1.228004e-13 2.476321e-25 4.238895e-15 7.302146e-15 4.260966e-16 2.420098e-14 1.641344e-27 1.900172e-10 6.085616e-21 4.505886e-25 1.330351e-17 1.366273e-12 5.680167e-19 3.133702e-16 5.529343e-33 9.452860e-19 6.240947e-11 2.403278e-18 1.819047e-23 4.752167e-10 3.011141e-10 2.370460e-19 1.918217e-11 1.615809e-11 1.659421e-19 2.426475e-16 2.156748e-21 1.572392e-23 1.049041e-27 1.256067e-22 6.341136e-24 2.056427e-19 3.379648e-28 1.241358e-32 7.561301e-34 2.836740e-21 8.770780e-25 6.591018e-45 0.000000e+00 4.576024e-06 1.615718e-10 9.438992e-03
3.719869e-01 8.027531e-13 8.107010e-08 9.866343e-04 1.395512e-20 2.468372e-16 1.370520e-35 1.768437e-51 6.939234e-25 7.510612e-15 2.646476e-07 3.345415e-52 1.356053e-27 1.506438e-34 1.427640e-28 1.198533e-11 1.029014e-16 3.494563e-14 1.370319e-08 4.025774e-04 1.671166e-25 3.460921e-11 3.431699e-22 2.323423e-18 4.627438e-13 5.461642e-20 2.005283e-01 1.985632e-22 1.009000e-21 5.974552e-13 2.947394e-12 6.563554e-12 1.511924e-29 1.520655e-23 6.024946e-30 8.184457e-11 1.375937e-14 7.886365e-01 7.275773e-10 8.700325e-11 5.443590e-15 4.182090e-22 8.709010e-15 1.106271e-09 5.904219e-17 2.139521e-22 1.803902e-14 5.072541e-11 1.849178e-06 2.496157e-30 1.858165e-17 6.810927e-13 1.745433e-08 1.089025e-18 2.231818e-08 3.018016e-14 3.266978e-09 4.379739e-13 3.489456e-21 2.540513e-13 3.941829e-25 5.711752e-15 7.635579e-15 6.970986e-16 2.943627e-14 1.786099e-27 1.895837e-10 6.066488e-21 4.687468e-25 1.429707e-17 1.911805e-12 5.359660e-19 3.135225e-16 4.533132e-33 9.167819e-19 2.686180e-11 2.203558e-18 2.642022e-23 4.586350e-10 2.021075e-10 2.371690e-19 1.882839e-11 1.530080e-11 1.660227e-19 2.754207e-16 4.233520e-21 0.000000e+00 1.049646e-27 1.256741e-22 1.827015e-23 2.057315e-19 3.381368e-28 1.239795e-32 7.523462e-34 3.240452e-21 1.125074e-24 2.445449e-45 0.000000e+00 3.287748e-06 2.710171e-10 9.443688e-03
3.229791e-01 6.601691e-13 8.117373e-08 6.202629e-04 1.099311e-20 2.699706e-16 2.944882e-34 3.872547e-50 3.689704e-25 5.017129e-15 2.641342e-07 0.000000e+00 0.000000e+00 0.000000e+00 8.156583e-29 1.195715e-11 8.598515e-17 3.293472e-14 1.248216e-08 4.027238e-04 1.080769e-25 2.329228e-11 2.104064e-22 1.763904e-18 3.681666e-13 5.860224e-20 2.006019e-01 1.986393e-22 1.009461e-21 1.970936e-13 1.107590e-12 2.001478e-12 9.397663e-30 7.738529e-24 2.382129e-30 8.290892e-11 7.564158e-15 7.889257e-01 6.621047e-10 1.674423e-10 4.164153e-15 6.389932e-22 6.266992e-15 1.104194e-09 8.137225e-17 2.291745e-22 1.687075e-14 6.162969e-11 1.848778e-06 2.496575e-30 8.337890e-18 6.813675e-13 1.746059e-08 8.830657e-19 2.087820e-08 2.148748e-14 3.270423e-09 5.840896e-13 1.144678e-21 3.870883e-13 6.219539e-25 7.725891e-15 8.255517e-15 1.121634e-15 3.265135e-14 1.758364e-27 1.892389e-10 6.041402e-21 4.724935e-25 1.738549e-17 3.325785e-12 5.586190e-19 3.136336e-16 3.226113e-33 8.935738e-19 1.016206e-11 3.832623e-18 4.017351e-23 4.409597e-10 1.366631e-10 2.372623e-19 1.862384e-11 1.448186e-11 1.660815e-19 2.888274e-16 7.602106e-21 3.096888e-22 1.050131e-27 1.257255e-22 4.511244e-23 2.057782e-19 3.382656e-28 1.237679e-32 7.482223e-34 3.473141e-21 9.515802e-25 3.764658e-46 0.000000e+00 2.267738e-06 3.444374e-10 9.447150e-03
2.804279e-01 4.552018e-13 8.124013e-08 3.811208e-04 7.552530e-21 2.892193e-16 5.003064e-33 6.056070e-49 1.382065e-25 2.817091e-15 2.638456e-07 3.006463e-58 1.254520e-26 0.000000e+00 3.928588e-29 1.192040e-11 7.186732e-17 3.144793e-14 1.173793e-08 4.028183e-04 5.645836e-26 1.385998e-11 1.054584e-22 1.118118e-18 2.814250e-13 5.411711e-20 2.006499e-01 1.986911e-22 1.009815e-21 5.166681e-14 3.233813e-13 6.811310e-13 3.279929e-30 2.675669e-24 7.876505e-31 8.381179e-11 2.981018e-15 7.891145e-01 6.272533e-10 3.383762e-10 3.960041e-15 7.336519e-22 4.919879e-15 1.101499e-09 1.303993e-16 2.467719e-22 1.569653e-14 7.907171e-11 1.847932e-06 2.496618e-30 3.274642e-18 6.815622e-13 1.746462e-08 6.951900e-19 1.889190e-08 1.169259e-14 3.200495e-09 6.884800e-13 2.935895e-22 3.414459e-13 9.671557e-25 1.034700e-14 9.051522e-15 1.678924e-15 3.408922e-14 1.698278e-27 1.889153e-10 6.008153e-21 4.624221e-25 2.492018e-17 5.941304e-12 5.979349e-19 3.137045e-16 2.037911e-33 8.743475e-19 4.057977e-12 7.507829e-18 5.248194e-23 4.219959e-10 9.992584e-11 2.373270e-19 1.851069e-11 1.371830e-11 1.661191e-19 2.970290e-16 1.120454e-20 0.000000e+00 1.050505e-27 1.257604e-22 9.777085e-23 2.057723e-19 3.383525e-28 1.234329e-32 7.435263e-34 3.581855e-21 5.800119e-25 3.324149e-47 0.000000e+00 1.309044e-06 3.871798e-10 9.449408e-03
