ALT P T
0.000000e+00 1.000000e+00 2.881822e+02
1.438182e+00 8.682540e-01 2.823894e+02
2.844903e+00 7.538651e-01 2.763153e+02
4.221807e+00 6.545464e-01 2.701404e+02
5.568292e+00 5.683125e-01 2.636677e+02
6.882857e+00 4.934396e-01 2.565654e+02
8.162369e+00 4.284310e-01 2.487476e+02
9.403267e+00 3.719869e-01 2.403289e+02
1.060256e+01 3.229791e-01 2.316027e+02
1.175870e+01 2.804279e-01 2.240883e+02
1.287772e+01 2.434827e-01 2.206057e+02
1.397973e+01 2.114048e-01 2.179218e+02
1.506871e+01 1.835531e-01 2.159101e+02
1.614802e+01 1.593707e-01 2.142375e+02
1.721936e+01 1.383743e-01 2.125281e+02
1.828253e+01 1.201440e-01 2.106896e+02
1.933688e+01 1.043155e-01 2.087665e+02
2.038199e+01 9.057237e-02 2.072264e+02
2.141976e+01 7.863982e-02 2.052993e+02
2.244823e+01 6.827934e-02 2.032679e+02
2.346689e+01 5.928381e-02 2.013711e+02
2.447639e+01 5.147341e-02 1.994668e+02
2.547669e+01 4.469200e-02 1.980227e+02
2.647009e+01 3.880401e-02 1.967493e+02
2.745743e+01 3.369173e-02 1.956005e+02
2.843933e+01 2.925298e-02 1.943222e+02
2.941514e+01 2.539902e-02 1.929751e+02
3.038452e+01 2.205280e-02 1.915791e+02
3.134719e+01 1.914743e-02 1.903056e+02
3.230378e+01 1.662484e-02 1.892999e+02
3.325562e+01 1.443458e-02 1.884585e+02
3.420354e+01 1.253288e-02 1.876276e+02
3.514759e+01 1.088173e-02 1.868151e+02
3.608785e+01 9.448103e-03 1.859585e+02
3.702409e+01 8.203354e-03 1.850497e+02
3.795606e+01 7.122595e-03 1.840061e+02
3.888307e+01 6.184222e-03 1.828934e+02
3.980476e+01 5.369475e-03 1.817079e+02
4.072076e+01 4.662069e-03 1.803647e+02
4.163027e+01 4.047860e-03 1.790240e+02
4.253331e+01 3.514571e-03 1.776260e+02
4.342956e+01 3.051540e-03 1.762915e+02
4.431936e+01 2.649512e-03 1.750002e+02
4.520290e+01 2.300449e-03 1.737892e+02
4.608059e+01 1.997374e-03 1.727323e+02
4.695321e+01 1.734228e-03 1.718249e+02
4.782150e+01 1.505751e-03 1.710652e+02
4.868620e+01 1.307374e-03 1.705156e+02
4.954839e+01 1.135133e-03 1.701640e+02
5.040904e+01 9.855837e-04 1.699746e+02
5.126899e+01 8.557371e-04 1.698962e+02
5.212879e+01 7.429971e-04 1.698163e+02
5.298844e+01 6.451103e-04 1.697371e+02
5.384795e+01 5.601196e-04 1.694969e+02
5.470648e+01 4.863261e-04 1.690824e+02
5.556317e+01 4.222546e-04 1.685510e+02
5.641742e+01 3.666242e-04 1.676626e+02
5.726741e+01 3.183230e-04 1.665748e+02
5.811213e+01 2.763852e-04 1.653163e+02
5.895071e+01 2.399726e-04 1.638481e+02
5.978209e+01 2.083571e-04 1.621476e+02
6.060507e+01 1.809069e-04 1.603424e+02
6.141913e+01 1.570732e-04 1.584776e+02
6.222394e+01 1.363794e-04 1.565308e+02
6.301909e+01 1.184120e-04 1.545748e+02
6.380452e+01 1.028117e-04 1.526988e+02
6.458064e+01 8.926665e-05 1.509030e+02
6.534784e+01 7.750613e-05 1.493084e+02
6.610714e+01 6.729501e-05 1.478896e+02
6.685943e+01 5.842916e-05 1.466316e+02
6.760552e+01 5.073136e-05 1.455800e+02
6.834646e+01 4.404770e-05 1.447664e+02
6.908347e+01 3.824460e-05 1.441331e+02
6.981746e+01 3.320603e-05 1.436552e+02
7.054922e+01 2.883127e-05 1.433637e+02
7.127970e+01 2.503286e-05 1.432309e+02
7.200972e+01 2.173488e-05 1.434320e+02
7.274099e+01 1.887140e-05 1.438052e+02
7.347439e+01 1.638517e-05 1.442761e+02
7.421043e+01 1.422649e-05 1.450067e+02
7.495046e+01 1.235221e-05 1.458344e+02
7.569500e+01 1.072485e-05 1.466974e+02
7.644425e+01 9.311897e-06 1.476926e+02
7.719894e+01 8.085092e-06 1.486416e+02
7.795888e+01 7.019914e-06 1.495694e+02
7.872403e+01 6.095068e-06 1.504258e+02
7.949412e+01 5.292068e-06 1.512212e+02
8.026891e+01 4.594859e-06 1.520334e+02
8.104861e+01 3.989505e-06 1.528469e+02
8.183332e+01 3.463904e-06 1.536139e+02
8.262290e+01 3.007548e-06 1.545049e+02
8.341811e+01 2.611316e-06 1.553480e+02
8.421882e+01 2.267286e-06 1.561871e+02
8.502518e+01 1.968580e-06 1.571402e+02
8.583801e+01 1.709227e-06 1.580681e+02
8.665746e+01 1.484044e-06 1.591817e+02
8.748487e+01 1.288527e-06 1.602633e+02
8.832059e+01 1.118769e-06 1.613794e+02
8.916540e+01 9.713753e-07 1.626024e+02
9.002064e+01 8.434005e-07 1.637735e+02
9.088699e+01 7.322859e-07 1.651721e+02
9.176680e+01 6.358102e-07 1.665388e+02
9.266125e+01 5.520448e-07 1.681171e+02
9.357301e+01 4.793151e-07 1.698341e+02
9.450450e+01 4.161673e-07 1.716240e+02
9.545791e+01 3.613389e-07 1.735913e+02
9.643609e+01 3.137339e-07 1.754152e+02
9.744020e+01 2.724008e-07 1.771350e+02
9.847168e+01 2.365131e-07 1.786033e+02
9.953115e+01 2.053534e-07 1.798018e+02
1.006192e+02 1.782989e-07 1.803192e+02
1.017337e+02 1.548088e-07 1.801542e+02
1.028728e+02 1.344133e-07 1.809382e+02
1.040447e+02 1.167049e-07 1.821081e+02
1.052548e+02 1.013295e-07 1.823000e+02
1.064995e+02 8.797976e-08 1.823000e+02
1.077801e+02 7.638878e-08 1.823000e+02
1.090996e+02 6.632487e-08 1.823000e+02
1.104610e+02 5.758683e-08 1.823000e+02
1.118671e+02 5.000000e-08 1.823000e+02
