PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 3.485410e-17 1.433359e-06 8.922743e-03 2.483217e-23 2.336354e-19 6.764781e-36 4.291428e-31 5.860296e-31 4.249711e-17 4.553566e-05 2.291895e-58 4.936337e-14 2.215348e-41 5.451130e-32 1.827590e-11 2.844927e-19 1.397723e-11 5.144096e-07 3.992279e-04 1.052413e-30 2.035450e-09 2.825857e-24 2.441363e-20 6.218766e-14 1.110357e-21 2.002569e-01 4.002117e-17 8.438918e-15 1.214148e-18 5.062558e-18 2.875797e-19 3.450023e-31 3.323112e-24 7.058108e-33 5.417556e-11 1.386283e-22 7.810200e-01 1.215256e-10 3.885198e-07 5.345280e-23 3.311702e-27 4.497381e-23 8.345743e-25 1.192176e-11 6.894846e-18 1.059253e-13 6.477608e-09 3.249418e-07 9.298454e-20 1.084113e-24 4.269923e-21 8.477991e-17 1.260445e-16 9.590093e-14 2.498654e-21 3.710853e-11 1.889772e-10 1.545498e-27 1.172393e-20 2.156430e-27 2.516654e-18 1.222588e-18 7.883964e-20 4.526143e-10 0.000000e+00 5.451474e-10 5.658326e-23 8.752575e-20 1.006579e-18 3.721738e-10 2.418448e-24 4.948513e-28 0.000000e+00 1.333166e-22 1.117607e-17 3.999267e-18 1.715236e-25 2.525662e-09 2.894441e-11 4.990784e-15 4.134072e-11 4.126850e-13 4.744274e-14 5.313603e-17 1.177599e-26 4.217053e-20 1.397275e-14 5.679710e-15 3.718728e-24 9.267950e-18 2.466595e-17 2.276272e-22 1.444468e-31 6.264814e-29 3.514551e-32 2.190912e-48 0.000000e+00 0.000000e+00 1.094233e-21 9.352892e-03
8.682540e-01 4.570781e-17 1.436980e-06 6.464068e-03 3.554355e-23 3.203577e-19 8.139372e-35 1.163230e-31 7.459002e-31 4.975410e-17 4.564007e-05 1.092514e-59 4.949259e-14 1.402525e-41 5.548613e-32 1.832319e-11 3.368663e-19 1.401347e-11 5.158629e-07 4.002195e-04 1.360358e-30 2.014543e-09 3.822919e-24 3.114715e-20 6.236197e-14 1.868645e-21 2.007537e-01 4.012349e-17 8.460203e-15 1.335405e-18 6.114803e-18 2.882429e-19 1.239300e-31 1.780990e-24 6.050084e-33 5.433038e-11 1.644270e-22 7.829576e-01 1.217827e-10 3.893173e-07 5.357877e-23 5.026312e-27 4.508041e-23 8.367730e-25 1.199123e-11 6.912081e-18 1.061956e-13 6.546401e-09 3.257052e-07 9.320566e-20 1.094159e-24 4.280446e-21 8.499759e-17 1.270906e-16 1.412466e-13 3.084953e-21 2.327979e-10 1.899552e-10 2.362065e-27 3.323510e-20 3.830977e-27 3.716515e-18 1.272941e-18 1.379079e-19 4.518259e-10 0.000000e+00 5.456535e-10 5.679607e-23 8.777430e-20 1.580554e-18 3.732223e-10 2.965135e-24 4.964486e-28 0.000000e+00 1.337034e-22 1.121952e-17 2.363356e-18 2.343847e-25 2.531915e-09 2.903293e-11 5.003596e-15 4.144220e-11 4.136316e-13 4.756422e-14 5.336363e-17 1.554189e-26 4.245276e-20 1.400846e-14 5.694365e-15 3.773981e-24 9.290093e-18 2.473152e-17 2.282269e-22 1.447763e-31 1.305486e-28 7.317773e-32 8.302528e-49 0.000000e+00 1.976891e-05 1.882005e-19 9.376094e-03
7.538651e-01 5.769101e-17 1.438919e-06 5.219538e-03 4.855779e-23 4.247403e-19 6.762005e-34 3.241299e-31 9.263657e-31 5.627779e-17 4.568852e-05 1.093602e-57 4.957376e-14 8.988722e-42 5.537750e-32 1.835043e-11 3.869548e-19 1.403445e-11 5.166886e-07 4.007213e-04 1.698100e-30 1.967547e-09 4.831167e-24 3.791715e-20 6.248633e-14 2.970141e-21 2.010052e-01 4.018041e-17 8.471569e-15 1.408239e-18 7.071862e-18 2.884850e-19 4.652694e-32 9.957203e-25 5.268513e-33 5.442195e-11 1.890883e-22 7.839383e-01 1.218861e-10 3.896718e-07 5.363391e-23 7.281568e-27 4.512788e-23 8.381607e-25 1.206753e-11 6.921317e-18 1.063464e-13 6.572090e-09 3.260694e-07 9.331855e-20 1.112701e-24 4.285835e-21 8.512023e-17 1.290448e-16 1.978875e-13 3.693356e-21 4.320737e-10 1.901809e-10 3.245154e-27 8.530116e-20 5.688567e-27 5.313442e-18 1.396700e-18 2.028341e-19 4.504808e-10 0.000000e+00 5.454119e-10 5.697589e-23 8.795436e-20 2.425255e-18 3.738658e-10 3.305488e-24 4.978821e-28 0.000000e+00 1.339972e-22 1.127225e-17 1.335615e-18 3.068014e-25 2.535030e-09 2.906763e-11 5.010811e-15 4.149286e-11 4.139812e-13 4.763213e-14 5.366162e-17 2.194650e-26 4.287441e-20 1.402832e-14 5.702738e-15 3.814747e-24 9.300278e-18 2.477170e-17 2.285891e-22 1.449218e-31 2.408731e-28 1.279745e-31 3.206918e-49 0.000000e+00 8.973135e-06 1.432034e-17 9.387838e-03
6.545464e-01 7.080912e-17 1.440784e-06 4.077417e-03 6.425440e-23 5.497724e-19 4.649903e-33 0.000000e+00 1.135404e-30 6.216619e-17 4.573252e-05 3.633163e-59 4.966685e-14 5.784643e-42 5.439923e-32 1.837821e-11 4.343043e-19 1.405593e-11 5.174518e-07 4.011819e-04 2.065585e-30 1.903101e-09 5.836963e-24 4.466836e-20 6.263318e-14 4.579714e-21 2.012360e-01 4.023697e-17 8.482498e-15 1.442670e-18 7.936694e-18 2.886248e-19 1.806142e-32 5.718170e-25 0.000000e+00 5.451034e-11 2.124398e-22 7.848384e-01 1.219744e-10 3.900302e-07 5.368027e-23 1.020517e-26 4.516818e-23 8.397325e-25 1.215047e-11 6.930564e-18 1.064978e-13 6.560167e-09 3.264011e-07 9.343203e-20 1.142312e-24 4.290962e-21 8.524326e-17 1.322576e-16 2.677958e-13 4.322249e-21 6.222399e-10 1.892622e-10 4.207166e-27 2.046507e-19 7.753429e-27 7.440676e-18 1.612057e-18 2.754689e-19 4.492008e-10 3.784096e-30 5.450889e-10 5.721573e-23 8.816663e-20 3.637439e-18 3.745145e-10 3.814808e-24 4.997240e-28 4.555208e-39 1.343531e-22 1.135118e-17 8.151871e-19 3.892413e-25 2.537818e-09 2.910528e-11 5.018047e-15 4.153915e-11 4.141993e-13 4.769985e-14 5.410779e-17 3.305082e-26 4.345732e-20 1.404804e-14 5.711227e-15 3.848075e-24 9.309159e-18 2.481404e-17 2.289704e-22 1.450506e-31 4.123568e-28 2.234403e-31 1.272178e-49 0.000000e+00 7.925468e-06 5.339759e-16 9.398615e-03
5.683125e-01 8.490747e-17 1.442509e-06 3.084192e-03 8.248427e-23 6.921565e-19 2.703160e-32 0.000000e+00 1.376535e-30 6.639317e-17 4.576999e-05 1.351222e-57 4.977387e-14 3.552504e-42 5.157012e-32 1.840579e-11 4.735907e-19 1.407734e-11 5.181250e-07 4.015825e-04 2.452745e-30 1.826533e-09 6.816530e-24 5.104895e-20 6.280197e-14 7.198893e-21 2.014366e-01 4.029147e-17 8.492615e-15 1.431725e-18 8.631816e-18 2.886518e-19 5.960631e-33 3.173552e-25 0.000000e+00 5.459303e-11 2.320063e-22 7.856211e-01 1.220425e-10 3.903742e-07 5.371697e-23 1.410112e-26 4.520042e-23 8.415024e-25 1.223227e-11 6.939734e-18 1.066462e-13 6.513897e-09 3.266854e-07 9.354320e-20 1.184481e-24 4.295671e-21 8.536312e-17 1.369312e-16 3.558820e-13 4.932108e-21 7.992159e-10 1.869539e-10 5.239687e-27 5.030798e-19 1.003379e-26 1.024909e-17 1.934093e-18 3.568850e-19 4.479936e-10 0.000000e+00 5.446789e-10 5.736033e-23 8.840986e-20 5.396102e-18 3.751481e-10 4.698425e-24 5.019725e-28 0.000000e+00 1.347710e-22 1.145983e-17 4.896972e-19 4.835771e-25 2.540149e-09 2.912776e-11 5.025094e-15 4.157918e-11 4.142714e-13 4.776538e-14 5.471103e-17 4.814429e-26 4.416661e-20 1.406703e-14 5.719597e-15 3.876942e-24 9.316462e-18 2.485745e-17 2.293618e-22 1.451566e-31 6.723154e-28 3.992118e-31 4.574359e-50 0.000000e+00 6.788534e-06 1.028223e-14 9.407987e-03
4.934396e-01 1.000222e-16 1.444101e-06 2.238059e-03 1.037673e-22 8.557378e-19 1.373458e-31 0.000000e+00 1.754121e-30 6.938906e-17 4.580100e-05 1.211430e-58 4.989933e-14 3.899923e-42 4.784164e-32 1.843336e-11 5.063151e-19 1.409884e-11 5.187081e-07 4.019239e-04 2.871804e-30 1.742718e-09 7.769145e-24 5.706439e-20 6.299532e-14 1.161384e-20 2.016076e-01 4.034423e-17 8.501965e-15 1.389643e-18 9.198533e-18 2.885782e-19 1.883204e-33 1.741814e-25 0.000000e+00 5.467036e-11 2.484897e-22 7.862879e-01 1.220904e-10 3.907005e-07 5.374533e-23 1.922175e-26 4.522558e-23 8.435254e-25 1.230873e-11 6.949055e-18 1.067932e-13 6.438890e-09 3.269227e-07 9.365312e-20 1.241341e-24 4.299996e-21 8.548060e-17 1.432983e-16 4.656466e-13 5.549783e-21 9.614156e-10 1.832975e-10 6.366944e-27 1.247201e-18 1.255438e-26 1.396651e-17 2.377111e-18 4.489138e-19 4.468637e-10 0.000000e+00 5.441918e-10 5.781405e-23 8.868785e-20 7.962459e-18 3.757664e-10 6.055238e-24 5.046595e-28 5.352765e-37 1.352587e-22 1.160246e-17 3.054250e-19 5.904224e-25 2.542019e-09 2.905853e-11 5.031998e-15 4.161304e-11 4.142047e-13 4.782912e-14 5.548056e-17 7.875079e-26 4.496927e-20 1.408540e-14 5.727908e-15 3.900523e-24 9.322307e-18 2.490215e-17 2.297668e-22 1.452402e-31 1.056147e-27 7.988434e-31 1.568751e-50 0.000000e+00 5.739139e-06 1.027168e-13 9.415971e-03
4.284310e-01 1.158911e-16 1.445541e-06 1.554263e-03 1.270712e-22 1.025864e-18 6.174053e-31 0.000000e+00 2.457873e-30 6.915157e-17 4.582487e-05 5.513351e-57 5.004650e-14 4.380628e-41 4.184844e-32 1.846080e-11 5.228689e-19 1.412032e-11 5.191925e-07 4.022000e-04 3.295545e-30 1.656159e-09 8.671593e-24 6.198997e-20 6.321408e-14 2.114000e-20 2.017458e-01 4.039485e-17 8.510442e-15 1.298671e-18 9.505449e-18 2.884178e-19 9.393065e-34 8.640816e-26 0.000000e+00 5.474166e-11 2.574008e-22 7.868268e-01 1.221163e-10 3.909973e-07 5.376552e-23 2.649601e-26 4.524373e-23 8.458345e-25 1.237693e-11 6.958600e-18 1.069384e-13 6.342050e-09 3.271082e-07 9.376103e-20 1.315235e-24 4.303890e-21 8.559492e-17 1.515810e-16 6.110892e-13 6.115734e-21 1.107528e-09 1.784577e-10 7.557259e-27 3.641568e-18 1.530604e-26 1.883721e-17 2.948447e-18 5.513744e-19 4.458057e-10 2.259599e-29 5.436287e-10 5.851007e-23 8.900242e-20 1.174323e-17 3.763625e-10 8.069557e-24 5.078021e-28 1.791467e-36 1.358209e-22 1.178260e-17 1.782041e-19 7.156982e-25 2.543390e-09 2.859932e-11 5.038714e-15 4.164008e-11 4.140017e-13 4.789063e-14 5.641787e-17 1.414960e-25 4.582457e-20 1.410302e-14 5.736111e-15 3.918719e-24 9.326628e-18 2.494794e-17 2.301839e-22 1.452991e-31 1.628789e-27 1.885185e-30 4.216217e-51 0.000000e+00 4.596535e-06 5.671688e-13 9.422423e-03
3.719869e-01 1.330382e-16 1.446808e-06 1.051129e-03 1.546797e-22 1.223830e-18 2.474417e-30 0.000000e+00 4.137195e-30 6.857716e-17 4.584075e-05 0.000000e+00 5.021855e-14 7.155404e-40 3.655191e-32 1.848791e-11 5.363491e-19 1.414166e-11 5.195690e-07 4.024033e-04 3.770113e-30 1.571411e-09 9.575452e-24 6.669307e-20 6.345873e-14 4.090833e-20 2.018474e-01 4.044283e-17 8.517918e-15 1.202808e-18 9.785727e-18 2.881926e-19 5.560858e-34 4.468014e-26 0.000000e+00 5.480612e-11 2.648586e-22 7.872233e-01 1.221174e-10 3.912494e-07 5.377737e-23 3.610653e-26 4.525462e-23 8.484579e-25 1.243479e-11 6.968402e-18 1.070811e-13 6.231480e-09 3.272358e-07 9.386589e-20 1.409191e-24 4.307292e-21 8.570508e-17 1.620156e-16 7.927884e-13 6.761482e-21 1.236702e-09 1.728175e-10 8.899406e-27 1.184144e-17 1.836411e-26 2.531706e-17 3.641187e-18 6.680569e-19 4.448057e-10 3.176564e-29 5.429861e-10 5.894466e-23 8.935509e-20 1.703508e-17 3.769294e-10 1.064521e-23 5.114158e-28 2.390622e-36 1.364613e-22 1.200368e-17 1.277484e-19 8.576298e-25 2.544220e-09 2.733318e-11 5.045182e-15 4.165955e-11 4.136651e-13 4.794929e-14 5.752599e-17 2.759023e-25 4.669635e-20 1.411971e-14 5.744145e-15 3.929566e-24 9.329308e-18 2.499459e-17 2.306118e-22 1.453306e-31 2.454495e-27 5.370805e-30 1.180567e-51 0.000000e+00 3.344704e-06 1.803544e-12 9.427170e-03
3.229791e-01 1.505959e-16 1.448010e-06 6.776698e-04 1.823779e-22 1.399629e-18 8.921840e-30 7.080598e-31 7.650623e-30 6.302641e-17 4.585061e-05 4.358349e-55 5.043103e-14 8.956033e-39 2.898164e-32 1.851682e-11 5.234169e-19 1.416451e-11 5.198696e-07 4.025545e-04 4.235684e-30 1.488073e-09 1.040074e-23 6.926640e-20 6.374649e-14 1.078494e-19 2.019229e-01 4.049208e-17 8.525040e-15 1.052675e-18 9.708145e-18 2.879253e-19 2.246425e-34 2.066859e-26 2.615939e-32 5.486872e-11 2.598016e-22 7.875177e-01 1.220966e-10 3.914723e-07 5.378359e-23 5.129992e-26 4.526052e-23 8.516128e-25 1.248418e-11 6.979351e-18 1.072331e-13 6.109705e-09 3.273203e-07 9.397669e-20 1.532365e-24 4.310512e-21 8.581994e-17 1.754949e-16 1.055268e-12 7.360008e-21 1.354318e-09 1.663951e-10 1.032409e-26 5.330484e-17 2.167032e-26 3.380858e-17 4.465779e-18 7.956101e-19 4.438230e-10 2.090422e-29 5.422520e-10 5.907156e-23 8.977172e-20 2.418653e-17 3.775068e-10 1.429913e-23 5.157452e-28 1.959423e-36 1.372267e-22 1.228280e-17 1.163109e-19 1.033423e-24 2.544622e-09 2.501548e-11 5.051921e-15 4.167348e-11 4.131959e-13 4.800988e-14 5.887045e-17 6.492334e-25 4.758637e-20 1.413682e-14 5.752647e-15 3.929236e-24 9.330760e-18 2.504556e-17 2.310828e-22 1.453400e-31 3.719637e-27 1.684084e-29 2.274194e-52 0.000000e+00 2.318160e-06 4.024370e-12 9.430693e-03
2.804279e-01 1.695422e-16 1.449207e-06 4.284980e-04 2.148276e-22 1.600867e-18 2.886185e-29 0.000000e+00 1.499752e-29 5.790773e-17 4.585440e-05 7.418891e-55 5.070399e-14 8.744555e-38 2.297038e-32 1.854934e-11 5.094405e-19 1.419032e-11 5.201009e-07 4.026557e-04 4.758834e-30 1.407334e-09 1.122760e-23 7.162016e-20 6.409767e-14 3.163805e-19 2.019732e-01 4.054544e-17 8.532156e-15 9.164128e-19 9.667260e-18 2.876402e-19 0.000000e+00 1.218671e-26 0.000000e+00 5.493250e-11 2.540420e-22 7.877141e-01 1.220504e-10 3.916638e-07 5.378478e-23 7.240514e-26 4.526184e-23 8.555593e-25 1.252536e-11 6.992293e-18 1.074041e-13 5.980448e-09 3.273620e-07 9.410048e-20 1.698964e-24 4.313710e-21 8.594634e-17 1.933390e-16 1.395187e-12 8.142717e-21 1.463027e-09 1.595234e-10 1.198791e-26 1.706966e-16 2.539252e-26 4.520532e-17 5.410249e-18 9.424216e-19 4.428098e-10 0.000000e+00 5.413925e-10 5.919796e-23 9.028312e-20 3.276364e-17 3.781250e-10 1.871620e-23 5.210993e-28 2.590638e-36 1.381744e-22 1.264414e-17 1.684368e-19 1.235898e-24 2.544583e-09 2.197852e-11 5.059333e-15 4.168199e-11 4.125700e-13 4.807594e-14 6.055587e-17 1.465729e-24 4.850250e-20 1.415535e-14 5.762138e-15 3.921978e-24 9.330980e-18 2.510411e-17 2.316278e-22 1.453254e-31 5.563077e-27 5.446327e-29 5.592622e-53 0.000000e+00 1.367082e-06 6.869119e-12 9.433042e-03
