PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 4.552283e-17 2.847908e-06 8.918371e-03 3.740396e-23 2.762830e-19 1.436369e-34 0.000000e+00 2.781877e-30 6.271836e-17 5.656051e-05 4.486622e-58 1.536019e-13 9.003408e-41 3.828251e-31 9.830024e-11 1.453389e-18 5.329941e-11 5.163471e-07 3.990323e-04 2.872252e-30 3.105249e-09 4.659475e-24 4.014788e-20 1.299457e-13 1.737434e-21 2.002543e-01 1.353707e-16 2.045076e-14 2.037477e-18 9.247176e-18 4.446069e-19 3.219639e-31 6.771932e-24 3.736499e-33 5.418196e-11 9.068170e-22 7.810145e-01 5.370709e-10 3.416816e-07 6.489351e-22 1.906077e-26 6.000099e-22 5.058486e-23 1.221648e-11 1.633394e-17 2.644321e-13 7.622332e-09 5.460317e-07 4.866570e-19 2.531697e-23 6.623397e-20 1.495447e-15 3.412029e-15 1.289499e-13 4.457907e-21 4.673646e-11 2.183214e-10 5.071214e-27 2.462748e-20 2.383881e-27 3.410056e-18 2.737297e-18 7.406750e-20 4.412678e-10 0.000000e+00 5.723348e-10 3.496913e-23 1.383850e-18 1.436042e-18 3.719034e-10 1.235928e-23 7.467271e-27 1.700320e-35 8.287841e-22 1.141940e-16 2.003646e-21 2.238667e-25 3.432803e-09 1.347303e-15 1.816361e-14 4.131883e-11 4.783919e-13 1.543120e-13 1.470697e-16 2.130715e-26 1.667804e-19 4.852599e-14 2.336049e-14 1.529293e-23 8.083381e-17 6.458722e-17 1.621112e-21 1.388103e-31 8.479082e-29 6.799447e-32 5.832838e-48 0.000000e+00 0.000000e+00 5.767013e-24 9.352999e-03
8.682540e-01 5.864441e-17 2.855076e-06 6.453400e-03 5.193795e-23 3.695231e-19 1.217820e-33 9.292422e-33 3.255360e-30 7.182322e-17 5.669417e-05 0.000000e+00 1.540118e-13 5.599607e-41 3.827187e-31 9.855074e-11 1.689932e-18 5.343582e-11 5.178484e-07 4.000269e-04 3.646994e-30 3.084146e-09 6.129694e-24 5.012742e-20 1.303060e-13 2.953116e-21 2.007523e-01 1.357138e-16 2.050208e-14 2.192185e-18 1.087620e-17 4.456758e-19 1.169014e-31 3.631496e-24 5.484209e-33 5.433869e-11 1.056565e-21 7.829570e-01 5.382213e-10 3.423516e-07 6.504868e-22 2.840887e-26 6.014612e-22 5.071658e-23 1.229385e-11 1.637556e-17 2.651009e-13 7.690452e-09 5.473465e-07 4.878683e-19 2.552133e-23 6.640115e-20 1.499247e-15 3.433990e-15 1.852709e-13 5.333876e-21 2.483333e-10 2.191502e-10 7.266746e-27 6.752414e-20 4.022210e-27 4.928311e-18 2.824038e-18 1.232543e-19 4.406346e-10 0.000000e+00 5.731634e-10 3.525718e-23 1.387589e-18 2.197789e-18 3.728337e-10 1.503849e-23 7.489358e-27 1.732967e-35 8.310692e-22 1.146040e-16 3.517986e-21 3.004112e-25 3.441316e-09 2.970146e-15 1.820968e-14 4.142056e-11 4.795113e-13 1.547027e-13 1.476771e-16 3.123138e-26 1.677891e-19 4.864888e-14 2.342004e-14 1.551155e-23 8.103021e-17 6.476177e-17 1.625321e-21 1.391366e-31 1.681626e-28 1.373217e-31 2.172887e-48 0.000000e+00 1.984436e-05 6.660267e-22 9.376260e-03
7.538651e-01 7.318113e-17 2.858806e-06 5.218929e-03 6.968434e-23 4.820570e-19 7.406881e-33 1.645394e-31 3.790126e-30 8.002091e-17 5.675746e-05 5.582215e-59 1.542747e-13 3.550054e-41 3.775861e-31 9.868640e-11 1.918477e-18 5.351065e-11 5.187148e-07 4.005244e-04 4.498037e-30 3.032643e-09 7.650013e-24 6.018214e-20 1.305529e-13 4.836387e-21 2.010017e-01 1.358964e-16 2.052854e-14 2.277252e-18 1.237457e-17 4.461208e-19 4.404425e-32 2.031885e-24 7.671176e-33 5.443168e-11 1.201260e-21 7.839299e-01 5.386856e-10 3.426283e-07 6.511805e-22 4.067735e-26 6.021360e-22 5.079474e-23 1.238019e-11 1.639862e-17 2.654563e-13 7.714910e-09 5.479821e-07 4.885066e-19 2.588049e-23 6.648960e-20 1.501287e-15 3.470639e-15 2.554209e-13 6.244873e-21 4.542615e-10 2.192336e-10 9.624777e-27 1.693429e-19 5.832536e-27 6.946416e-18 3.029451e-18 1.771611e-19 4.394539e-10 0.000000e+00 5.732251e-10 3.559787e-23 1.389979e-18 3.329556e-18 3.733399e-10 1.614673e-23 7.506381e-27 1.787023e-35 8.326060e-22 1.150517e-16 5.327810e-21 3.886373e-25 3.445516e-09 4.845050e-15 1.823426e-14 4.147087e-11 4.799554e-13 1.549101e-13 1.484440e-16 4.699759e-26 1.692374e-19 4.871416e-14 2.345231e-14 1.567406e-23 8.112296e-17 6.487056e-17 1.627719e-21 1.392859e-31 3.005493e-28 2.420991e-31 8.301556e-49 0.000000e+00 8.915369e-06 3.442736e-20 9.387909e-03
6.545464e-01 8.925061e-17 2.862353e-06 4.081916e-03 9.129131e-23 6.174759e-19 3.877689e-32 0.000000e+00 4.446912e-30 8.750714e-17 5.681536e-05 0.000000e+00 1.545783e-13 2.341483e-41 3.684404e-31 9.881989e-11 2.138635e-18 5.358503e-11 5.195229e-07 4.009828e-04 5.428351e-30 2.960994e-09 9.214110e-24 7.032769e-20 1.308394e-13 7.844456e-21 2.012315e-01 1.360738e-16 2.055355e-14 2.309728e-18 1.376172e-17 4.464358e-19 1.798692e-32 1.167894e-24 7.909687e-33 5.452206e-11 1.341002e-21 7.848259e-01 5.390869e-10 3.429129e-07 6.517757e-22 5.663279e-26 6.027350e-22 5.087937e-23 1.247373e-11 1.642232e-17 2.658025e-13 7.703696e-09 5.485647e-07 4.891369e-19 2.644686e-23 6.657543e-20 1.503281e-15 3.529099e-15 3.420903e-13 7.194177e-21 6.518918e-10 2.183560e-10 1.218442e-26 4.001468e-19 7.838056e-27 9.632276e-18 3.381005e-18 2.371370e-19 4.383291e-10 3.325772e-29 5.732113e-10 3.625328e-23 1.392626e-18 4.957368e-18 3.738482e-10 1.750720e-23 7.527036e-27 1.901588e-35 8.343655e-22 1.156995e-16 8.216753e-21 4.897532e-25 3.449313e-09 6.912832e-15 1.825817e-14 4.151706e-11 4.802743e-13 1.551111e-13 1.495929e-16 7.432481e-26 1.712377e-19 4.877739e-14 2.348408e-14 1.580872e-23 8.120585e-17 6.498644e-17 1.630163e-21 1.394201e-31 5.036164e-28 4.500493e-31 3.274557e-49 0.000000e+00 7.900818e-06 8.854464e-19 9.398639e-03
5.683125e-01 1.067314e-16 2.865582e-06 3.090992e-03 1.166284e-22 7.724658e-19 1.775058e-31 6.382322e-31 5.253137e-30 9.285162e-17 5.686515e-05 9.612177e-57 1.549262e-13 3.445647e-41 3.481430e-31 9.894673e-11 2.324766e-18 5.365654e-11 5.202433e-07 4.013824e-04 6.423173e-30 2.874789e-09 1.079513e-23 8.005042e-20 1.311632e-13 1.335423e-20 2.014317e-01 1.362394e-16 2.057614e-14 2.277529e-18 1.490309e-17 4.465989e-19 6.871478e-33 6.488927e-25 8.477705e-33 5.460716e-11 1.460486e-21 7.856068e-01 5.394002e-10 3.431882e-07 6.522547e-22 7.802389e-26 6.032404e-22 5.097004e-23 1.256597e-11 1.644635e-17 2.661286e-13 7.660384e-09 5.490680e-07 4.897389e-19 2.724574e-23 6.665567e-20 1.505158e-15 3.612367e-15 4.517669e-13 8.120154e-21 8.372714e-10 2.162917e-10 1.490756e-26 9.750069e-19 1.004802e-26 1.317561e-17 3.898612e-18 3.038983e-19 4.372618e-10 3.374595e-29 5.731068e-10 3.658921e-23 1.395491e-18 7.327068e-18 3.743412e-10 1.998401e-23 7.551166e-27 1.960258e-35 8.363328e-22 1.165713e-16 1.293322e-20 6.065793e-25 3.452529e-09 9.159849e-15 1.828056e-14 4.155713e-11 4.804492e-13 1.552983e-13 1.511630e-16 1.214080e-25 1.736772e-19 4.883634e-14 2.351429e-14 1.592657e-23 8.127582e-17 6.510589e-17 1.632582e-21 1.395330e-31 8.093097e-28 9.016915e-31 1.175433e-49 0.000000e+00 6.781133e-06 1.208249e-17 9.407989e-03
4.934396e-01 1.257686e-16 2.868498e-06 2.245854e-03 1.466091e-22 9.518863e-19 7.307384e-31 0.000000e+00 6.702681e-30 9.668303e-17 5.690685e-05 0.000000e+00 1.553307e-13 4.239738e-40 3.228768e-31 9.906747e-11 2.484983e-18 5.372554e-11 5.208752e-07 4.017234e-04 7.523625e-30 2.779240e-09 1.239866e-23 8.942425e-20 1.315288e-13 2.396477e-20 2.016024e-01 1.363940e-16 2.059634e-14 2.202580e-18 1.587579e-17 4.466265e-19 1.952027e-33 3.567272e-25 1.627047e-32 5.468727e-11 1.564609e-21 7.862728e-01 5.396246e-10 3.434503e-07 6.526284e-22 1.063673e-25 6.036621e-22 5.106878e-23 1.265253e-11 1.647118e-17 2.664366e-13 7.590525e-09 5.494920e-07 4.903158e-19 2.831457e-23 6.673066e-20 1.506928e-15 3.723958e-15 5.892042e-13 9.072964e-21 1.008870e-09 2.130373e-10 1.785852e-26 2.415580e-18 1.249220e-26 1.786446e-17 4.598401e-18 3.789127e-19 4.362535e-10 0.000000e+00 5.729171e-10 3.663816e-23 1.398609e-18 1.079042e-17 3.748204e-10 2.378079e-23 7.579065e-27 1.950460e-35 8.385396e-22 1.176981e-16 2.101697e-20 7.405508e-25 3.455162e-09 1.154426e-14 1.830153e-14 4.159110e-11 4.804855e-13 1.554724e-13 1.532016e-16 2.031469e-25 1.764499e-19 4.889120e-14 2.354307e-14 1.602397e-23 8.133343e-17 6.522915e-17 1.634986e-21 1.396247e-31 1.259434e-27 2.162697e-30 4.038665e-50 0.000000e+00 5.738130e-06 8.975449e-17 9.415964e-03
4.284310e-01 1.460124e-16 2.871061e-06 1.562303e-03 1.797967e-22 1.140027e-18 2.726212e-30 1.765244e-30 9.232025e-30 9.617052e-17 5.693956e-05 1.607040e-55 1.558003e-13 6.116177e-39 2.828489e-31 9.918097e-11 2.570155e-18 5.379145e-11 5.214094e-07 4.019994e-04 8.670307e-30 2.679250e-09 1.398760e-23 9.725756e-20 1.319375e-13 5.050138e-20 2.017406e-01 1.365359e-16 2.061386e-14 2.054645e-18 1.643469e-17 4.465402e-19 1.553279e-33 1.775501e-25 1.828766e-32 5.476168e-11 1.623746e-21 7.868115e-01 5.397509e-10 3.436883e-07 6.528958e-22 1.468804e-25 6.039985e-22 5.117652e-23 1.273045e-11 1.649695e-17 2.667241e-13 7.500590e-09 5.498281e-07 4.908623e-19 2.969407e-23 6.679958e-20 1.508571e-15 3.867069e-15 7.725443e-13 9.951409e-21 1.165282e-09 2.086903e-10 2.096606e-26 7.198383e-18 1.517174e-26 2.400784e-17 5.483045e-18 4.621100e-19 4.352978e-10 6.575071e-29 5.726385e-10 3.683187e-23 1.401990e-18 1.582413e-17 3.752811e-10 2.934619e-23 7.610852e-27 1.990665e-35 8.410002e-22 1.191050e-16 3.539127e-20 8.991477e-25 3.457157e-09 1.391047e-14 1.832082e-14 4.161829e-11 4.803829e-13 1.556315e-13 1.557429e-16 4.041099e-25 1.794211e-19 4.894134e-14 2.357014e-14 1.609987e-23 8.137782e-17 6.535543e-17 1.637360e-21 1.396930e-31 1.931513e-27 5.760323e-30 1.091175e-50 0.000000e+00 4.598475e-06 3.953199e-16 9.422413e-03
3.719869e-01 1.682409e-16 2.873223e-06 1.058714e-03 2.196871e-22 1.361064e-18 9.256666e-30 4.630213e-30 1.500474e-29 9.533618e-17 5.696220e-05 9.914484e-55 1.563438e-13 6.871224e-38 2.477001e-31 9.928586e-11 2.644853e-18 5.385357e-11 5.218361e-07 4.022030e-04 9.918707e-30 2.579852e-09 1.564022e-23 1.049734e-19 1.323898e-13 1.128887e-19 2.018423e-01 1.366630e-16 2.062836e-14 1.902388e-18 1.698931e-17 4.463764e-19 7.698994e-34 9.242791e-26 3.627139e-32 5.482958e-11 1.676791e-21 7.872084e-01 5.397677e-10 3.438890e-07 6.530524e-22 2.008613e-25 6.042457e-22 5.129397e-23 1.279768e-11 1.652373e-17 2.669878e-13 7.397937e-09 5.500660e-07 4.913718e-19 3.143768e-23 6.686146e-20 1.510066e-15 4.045010e-15 1.003081e-12 1.097985e-20 1.305495e-09 2.035494e-10 2.448647e-26 2.541688e-17 1.817781e-26 3.218425e-17 6.534443e-18 5.570033e-19 4.343813e-10 4.989909e-29 5.722645e-10 3.666227e-23 1.405639e-18 2.265519e-17 3.757182e-10 3.611625e-23 7.646631e-27 1.889508e-35 8.437257e-22 1.208159e-16 6.073963e-20 1.081106e-24 3.458454e-09 1.608921e-14 1.833819e-14 4.163794e-11 4.801409e-13 1.557732e-13 1.588243e-16 7.622425e-25 1.824694e-19 4.898605e-14 2.359518e-14 1.614665e-23 8.140779e-17 6.548395e-17 1.639687e-21 1.397351e-31 2.903198e-27 1.733912e-29 3.087486e-51 0.000000e+00 3.350030e-06 1.103414e-15 9.427164e-03
3.229791e-01 1.911532e-16 2.875177e-06 6.846182e-04 2.601200e-22 1.559899e-18 2.874454e-29 0.000000e+00 2.545604e-29 8.765220e-17 5.697738e-05 1.828603e-53 1.570086e-13 6.026269e-37 1.966453e-31 9.939082e-11 2.589373e-18 5.391695e-11 5.221892e-07 4.023545e-04 1.120379e-29 2.480394e-09 1.722454e-23 1.093833e-19 1.329179e-13 3.479268e-19 2.019179e-01 1.367861e-16 2.064116e-14 1.665651e-18 1.693094e-17 4.461839e-19 0.000000e+00 4.354884e-26 6.062547e-33 5.489613e-11 1.650570e-21 7.875032e-01 5.396875e-10 3.440652e-07 6.531297e-22 2.863744e-25 6.044384e-22 5.143081e-23 1.285658e-11 1.655383e-17 2.672504e-13 7.284542e-09 5.502317e-07 4.918873e-19 3.371163e-23 6.692160e-20 1.511539e-15 4.272077e-15 1.338105e-12 1.192626e-20 1.435240e-09 1.975969e-10 2.823235e-26 1.145234e-16 2.147650e-26 4.290572e-17 7.766367e-18 6.613205e-19 4.334670e-10 0.000000e+00 5.717941e-10 3.625576e-23 1.409831e-18 3.147530e-17 3.761669e-10 4.561947e-23 7.688886e-27 1.662791e-35 8.469209e-22 1.229609e-16 1.087858e-19 1.307113e-24 3.459209e-09 1.811585e-14 1.835510e-14 4.165208e-11 4.797651e-13 1.559096e-13 1.626684e-16 1.897902e-24 1.856072e-19 4.902912e-14 2.362027e-14 1.614802e-23 8.142709e-17 6.562399e-17 1.642148e-21 1.397567e-31 4.398913e-27 5.226822e-29 6.080513e-52 0.000000e+00 2.323227e-06 2.333972e-15 9.430693e-03
2.804279e-01 2.162121e-16 2.877005e-06 4.345426e-04 3.081500e-22 1.789820e-18 8.126247e-29 0.000000e+00 4.513787e-29 8.063147e-17 5.698511e-05 4.223883e-51 1.578554e-13 4.252365e-36 1.566086e-31 9.950162e-11 2.530439e-18 5.398523e-11 5.224777e-07 4.024563e-04 1.263365e-29 2.381833e-09 1.886753e-23 1.136092e-19 1.335586e-13 1.133121e-18 2.019684e-01 1.369114e-16 2.065275e-14 1.451887e-18 1.696355e-17 4.460211e-19 6.533369e-34 2.648781e-26 2.782994e-32 5.496462e-11 1.621535e-21 7.877003e-01 5.394955e-10 3.442148e-07 6.531322e-22 4.060719e-25 6.045886e-22 5.159767e-23 1.290785e-11 1.658953e-17 2.675268e-13 7.163238e-09 5.503263e-07 4.924382e-19 3.677362e-23 6.698309e-20 1.513067e-15 4.569073e-15 1.774793e-12 1.318703e-20 1.557562e-09 1.910972e-10 3.274344e-26 3.400661e-16 2.526495e-26 5.730854e-17 9.171949e-18 7.828791e-19 4.325094e-10 0.000000e+00 5.712020e-10 3.606694e-23 1.414864e-18 4.165178e-17 3.766538e-10 5.681606e-23 7.740625e-27 1.532690e-35 8.508207e-22 1.257211e-16 1.973504e-19 1.570008e-24 3.459416e-09 2.021532e-14 1.837242e-14 4.166084e-11 4.792334e-13 1.560475e-13 1.676083e-16 4.428962e-24 1.888660e-19 4.907273e-14 2.364677e-14 1.612919e-23 8.143587e-17 6.578426e-17 1.644892e-21 1.397568e-31 6.590840e-27 1.563690e-28 1.549778e-52 0.000000e+00 1.372635e-06 4.056235e-15 9.433051e-03
