PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 4.640822e-17 2.853878e-06 8.918372e-03 3.811568e-23 2.759577e-19 1.435882e-34 3.568916e-31 2.813368e-30 6.399686e-17 5.653783e-05 4.601332e-58 1.400552e-13 8.369032e-41 3.951466e-31 9.952994e-11 1.511162e-18 5.409201e-11 5.164598e-07 3.990323e-04 2.902575e-30 3.158173e-09 4.765971e-24 4.090562e-20 1.288122e-13 1.760088e-21 2.002542e-01 1.352832e-16 2.009358e-14 2.098287e-18 9.515853e-18 4.593634e-19 3.207157e-31 6.752841e-24 7.479542e-33 5.418080e-11 2.741336e-21 7.810144e-01 1.578158e-09 3.385426e-07 4.422614e-21 5.709192e-26 4.075966e-21 5.245049e-22 1.215587e-11 1.487701e-17 2.630145e-13 7.605659e-09 7.953021e-07 4.880610e-19 7.254302e-23 1.669323e-19 4.455634e-15 3.415712e-15 1.299923e-13 4.523964e-21 4.753644e-11 2.204743e-10 5.137492e-27 2.493785e-20 2.383911e-27 3.529446e-18 2.892455e-18 7.423074e-20 4.390861e-10 7.166603e-30 5.723194e-10 1.674836e-22 1.526924e-18 1.485929e-18 3.718897e-10 1.380012e-23 9.656634e-27 1.660629e-35 9.222861e-22 1.127505e-16 2.092173e-21 2.282124e-25 3.551243e-09 1.732825e-15 1.807191e-14 4.131868e-11 4.948182e-13 1.535761e-13 1.486855e-16 2.177383e-26 1.658883e-19 4.841129e-14 2.333511e-14 1.447877e-23 7.809074e-17 6.720310e-17 1.627851e-21 1.391937e-31 8.547850e-29 7.072144e-32 5.929518e-48 0.000000e+00 0.000000e+00 8.483505e-24 9.352997e-03
8.682540e-01 5.979734e-17 2.861061e-06 6.453470e-03 5.292701e-23 3.690262e-19 1.217418e-33 2.975090e-32 3.294676e-30 7.331318e-17 5.667144e-05 0.000000e+00 1.404302e-13 5.206185e-41 3.951167e-31 9.978360e-11 1.757644e-18 5.423050e-11 5.179650e-07 4.000269e-04 3.686314e-30 3.136692e-09 6.269225e-24 5.108629e-20 1.291704e-13 2.980036e-21 2.007522e-01 1.356260e-16 2.014400e-14 2.258437e-18 1.119443e-17 4.604654e-19 1.163931e-31 3.621358e-24 5.650540e-33 5.433735e-11 3.194708e-21 7.829568e-01 1.581534e-09 3.392021e-07 4.433180e-21 8.510894e-26 4.085869e-21 5.258471e-22 1.223312e-11 1.491502e-17 2.636796e-13 7.672711e-09 7.972171e-07 4.892743e-19 7.310710e-23 1.673565e-19 4.466959e-15 3.437705e-15 1.867395e-13 5.416950e-21 2.525814e-10 2.213285e-10 7.345033e-27 6.841976e-20 4.022266e-27 5.101131e-18 2.984151e-18 1.235409e-19 4.384128e-10 3.358920e-32 5.731479e-10 1.678754e-22 1.531045e-18 2.274223e-18 3.728047e-10 1.679210e-23 9.685079e-27 1.674759e-35 9.248247e-22 1.131559e-16 3.651633e-21 3.062935e-25 3.560049e-09 3.824205e-15 1.811774e-14 4.142038e-11 4.959774e-13 1.539649e-13 1.493019e-16 3.193695e-26 1.668982e-19 4.853388e-14 2.339458e-14 1.468568e-23 7.828056e-17 6.738391e-17 1.632073e-21 1.395211e-31 1.695011e-28 1.428519e-31 2.209414e-48 0.000000e+00 1.984373e-05 9.797516e-22 9.376257e-03
7.538651e-01 7.463784e-17 2.864798e-06 5.218937e-03 7.101507e-23 4.812660e-19 7.404637e-33 0.000000e+00 3.838710e-30 8.171912e-17 5.673470e-05 5.453980e-60 1.406731e-13 3.301442e-41 3.899084e-31 9.992105e-11 1.996032e-18 5.430659e-11 5.188351e-07 4.005245e-04 4.546562e-30 3.084281e-09 7.823953e-24 6.134972e-20 1.294174e-13 4.854727e-21 2.010017e-01 1.358086e-16 2.016999e-14 2.347193e-18 1.273922e-17 4.609188e-19 4.419191e-32 2.026288e-24 5.985428e-33 5.443013e-11 3.633110e-21 7.839297e-01 1.582894e-09 3.394732e-07 4.437893e-21 1.218924e-25 4.090544e-21 5.266060e-22 1.231949e-11 1.493626e-17 2.640329e-13 7.695167e-09 7.981428e-07 4.899126e-19 7.408390e-23 1.675847e-19 4.473045e-15 3.474415e-15 2.573715e-13 6.347087e-21 4.620256e-10 2.214471e-10 9.716306e-27 1.716796e-19 5.832627e-27 7.190303e-18 3.201316e-18 1.776183e-19 4.371945e-10 0.000000e+00 5.732095e-10 1.681669e-22 1.533670e-18 3.445403e-18 3.732946e-10 1.803076e-23 9.706834e-27 1.711176e-35 9.265256e-22 1.135995e-16 5.492951e-21 3.963254e-25 3.564395e-09 6.245431e-15 1.814219e-14 4.147067e-11 4.964397e-13 1.541713e-13 1.500818e-16 4.840575e-26 1.683518e-19 4.859900e-14 2.342682e-14 1.483950e-23 7.837031e-17 6.749554e-17 1.634476e-21 1.396709e-31 3.028578e-28 2.517515e-31 8.443477e-49 0.000000e+00 8.915772e-06 5.064398e-20 9.387907e-03
6.545464e-01 9.105425e-17 2.868353e-06 4.081893e-03 9.304318e-23 6.162036e-19 3.876624e-32 1.324142e-30 4.501298e-30 8.941864e-17 5.679258e-05 9.957411e-57 1.409552e-13 2.175778e-41 3.805743e-31 1.000563e-10 2.225971e-18 5.438230e-11 5.196466e-07 4.009829e-04 5.484584e-30 3.011371e-09 9.423733e-24 7.171465e-20 1.297050e-13 7.820778e-21 2.012314e-01 1.359858e-16 2.019456e-14 2.382128e-18 1.417040e-17 4.612328e-19 1.742355e-32 1.164735e-24 1.492016e-32 5.452026e-11 4.056963e-21 7.848257e-01 1.584070e-09 3.397535e-07 4.441932e-21 1.697539e-25 4.094748e-21 5.274033e-22 1.241319e-11 1.495825e-17 2.643771e-13 7.681084e-09 7.989915e-07 4.905425e-19 7.561712e-23 1.678084e-19 4.478996e-15 3.532972e-15 3.445597e-13 7.317888e-21 6.630228e-10 2.206101e-10 1.229091e-26 4.058391e-19 7.838189e-27 9.970746e-18 3.573008e-18 2.378391e-19 4.360341e-10 1.038855e-29 5.731957e-10 1.685560e-22 1.536573e-18 5.129792e-18 3.737866e-10 1.955209e-23 9.733142e-27 1.773094e-35 9.284688e-22 1.142415e-16 8.433359e-21 4.995683e-25 3.568325e-09 8.921040e-15 1.816597e-14 4.151685e-11 4.967740e-13 1.543711e-13 1.512503e-16 7.630162e-26 1.703587e-19 4.866208e-14 2.345856e-14 1.496703e-23 7.845058e-17 6.761389e-17 1.636924e-21 1.398058e-31 5.072852e-28 4.648948e-31 3.331697e-49 0.000000e+00 7.900995e-06 1.302525e-18 9.398637e-03
5.683125e-01 1.089271e-16 2.871587e-06 3.090955e-03 1.188812e-22 7.704611e-19 1.774627e-31 0.000000e+00 5.255840e-30 9.495113e-17 5.684235e-05 0.000000e+00 1.412800e-13 3.137176e-41 3.597331e-31 1.001849e-10 2.420795e-18 5.445518e-11 5.203702e-07 4.013825e-04 6.522346e-30 2.923650e-09 1.104113e-23 8.165950e-20 1.300310e-13 1.319263e-20 2.014316e-01 1.361513e-16 2.021675e-14 2.350687e-18 1.534944e-17 4.613841e-19 5.926776e-33 6.471730e-25 0.000000e+00 5.460510e-11 4.420012e-21 7.856067e-01 1.584987e-09 3.400259e-07 4.445179e-21 2.339556e-25 4.098361e-21 5.282329e-22 1.250572e-11 1.498069e-17 2.647011e-13 7.634145e-09 7.997245e-07 4.911438e-19 7.777275e-23 1.680201e-19 4.484607e-15 3.616381e-15 4.547846e-13 8.267637e-21 8.515547e-10 2.185872e-10 1.502173e-26 9.892308e-19 1.004820e-26 1.363881e-17 4.120301e-18 3.049483e-19 4.349337e-10 0.000000e+00 5.730912e-10 1.688496e-22 1.539709e-18 7.581505e-18 3.742635e-10 2.232137e-23 9.763788e-27 1.822885e-35 9.306376e-22 1.151056e-16 1.323753e-20 6.189298e-25 3.571655e-09 1.183239e-14 1.818822e-14 4.155690e-11 4.969609e-13 1.545573e-13 1.528461e-16 1.216823e-25 1.728047e-19 4.872089e-14 2.348874e-14 1.507877e-23 7.851838e-17 6.773535e-17 1.639342e-21 1.399192e-31 8.148027e-28 8.954431e-31 1.196437e-49 0.000000e+00 6.781191e-06 1.777376e-17 9.407987e-03
4.934396e-01 1.284101e-16 2.874508e-06 2.245810e-03 1.494648e-22 9.488069e-19 7.305907e-31 1.206621e-30 6.739378e-30 9.895764e-17 5.688404e-05 0.000000e+00 1.416591e-13 3.809523e-40 3.337550e-31 1.003074e-10 2.588952e-18 5.452561e-11 5.210048e-07 4.017235e-04 7.616990e-30 2.826420e-09 1.268189e-23 9.126148e-20 1.304001e-13 2.342178e-20 2.016024e-01 1.363059e-16 2.023659e-14 2.275359e-18 1.635565e-17 4.613894e-19 3.528971e-33 3.557998e-25 2.492992e-33 5.468491e-11 4.737109e-21 7.862727e-01 1.585644e-09 3.402863e-07 4.447711e-21 3.190777e-25 4.101447e-21 5.291141e-22 1.259269e-11 1.500405e-17 2.650070e-13 7.560028e-09 8.003421e-07 4.917198e-19 8.065203e-23 1.682208e-19 4.489900e-15 3.728160e-15 5.927580e-13 9.248316e-21 1.026068e-09 2.153723e-10 1.798843e-26 2.452535e-18 1.249246e-26 1.849259e-17 4.860274e-18 3.804488e-19 4.338950e-10 8.030934e-29 5.729013e-10 1.692478e-22 1.543118e-18 1.116373e-17 3.747270e-10 2.656650e-23 9.799147e-27 1.906496e-35 9.330668e-22 1.162227e-16 2.148443e-20 7.559161e-25 3.574382e-09 1.491566e-14 1.820905e-14 4.159084e-11 4.970060e-13 1.547303e-13 1.549165e-16 2.172092e-25 1.755820e-19 4.877560e-14 2.351748e-14 1.517132e-23 7.857426e-17 6.786021e-17 1.641744e-21 1.400114e-31 1.267255e-27 2.180555e-30 4.112775e-50 0.000000e+00 5.738143e-06 1.320316e-16 9.415962e-03
4.284310e-01 1.491498e-16 2.877075e-06 1.562258e-03 1.833318e-22 1.135507e-18 2.725808e-30 1.409878e-31 9.424580e-30 9.853221e-17 5.691672e-05 6.857548e-56 1.421006e-13 5.494395e-39 2.925029e-31 1.004226e-10 2.679184e-18 5.459298e-11 5.215412e-07 4.019994e-04 8.767651e-30 2.724666e-09 1.430812e-23 9.930443e-20 1.308135e-13 4.871929e-20 2.017405e-01 1.364476e-16 2.025379e-14 2.124662e-18 1.693616e-17 4.612710e-19 0.000000e+00 1.770926e-25 0.000000e+00 5.475899e-11 4.918454e-21 7.868114e-01 1.586013e-09 3.405239e-07 4.449522e-21 4.408163e-25 4.103999e-21 5.300551e-22 1.267114e-11 1.502846e-17 2.652923e-13 7.465362e-09 8.008316e-07 4.922649e-19 8.436679e-23 1.684083e-19 4.494822e-15 3.871513e-15 7.766307e-13 1.015978e-20 1.185141e-09 2.110605e-10 2.110143e-26 7.316654e-18 1.517208e-26 2.485179e-17 5.795765e-18 4.643008e-19 4.329118e-10 0.000000e+00 5.726227e-10 1.688566e-22 1.546809e-18 1.636775e-17 3.751724e-10 3.278912e-23 9.839363e-27 1.741107e-35 9.357717e-22 1.176174e-16 3.616174e-20 9.182020e-25 3.576449e-09 1.794021e-14 1.822821e-14 4.161802e-11 4.969089e-13 1.548883e-13 1.574951e-16 4.015749e-25 1.785543e-19 4.882562e-14 2.354452e-14 1.524371e-23 7.861737e-17 6.798766e-17 1.644114e-21 1.400801e-31 1.942282e-27 5.951416e-30 1.111751e-50 0.000000e+00 4.598466e-06 5.815241e-16 9.422411e-03
3.719869e-01 1.719467e-16 2.879240e-06 1.058672e-03 2.240542e-22 1.354584e-18 9.255926e-30 0.000000e+00 1.512992e-29 9.778623e-17 5.693936e-05 4.316904e-56 1.426128e-13 6.174479e-38 2.563049e-31 1.005292e-10 2.758727e-18 5.465661e-11 5.219698e-07 4.022030e-04 1.004219e-29 2.623512e-09 1.599988e-23 1.072408e-19 1.312720e-13 1.077232e-19 2.018422e-01 1.365746e-16 2.026803e-14 1.969394e-18 1.751268e-17 4.610673e-19 0.000000e+00 9.218518e-26 1.854894e-32 5.482653e-11 5.081768e-21 7.872082e-01 1.586061e-09 3.407254e-07 4.450586e-21 6.031407e-25 4.105989e-21 5.310615e-22 1.273901e-11 1.505400e-17 2.655539e-13 7.357698e-09 8.011782e-07 4.927728e-19 8.906742e-23 1.685805e-19 4.499308e-15 4.049755e-15 1.007573e-12 1.123072e-20 1.327747e-09 2.059503e-10 2.462836e-26 2.591156e-17 1.817827e-26 3.331497e-17 6.907641e-18 5.600634e-19 4.319705e-10 0.000000e+00 5.722486e-10 1.688510e-22 1.550788e-18 2.342501e-17 3.755949e-10 4.035945e-23 9.884562e-27 1.738777e-35 9.387644e-22 1.193135e-16 6.207171e-20 1.104557e-24 3.577796e-09 2.065454e-14 1.824545e-14 4.163765e-11 4.966687e-13 1.550290e-13 1.606189e-16 7.703412e-25 1.815990e-19 4.887021e-14 2.356953e-14 1.528877e-23 7.864655e-17 6.811685e-17 1.646434e-21 1.401227e-31 2.917500e-27 1.752600e-29 3.147212e-51 0.000000e+00 3.349996e-06 1.623129e-15 9.427162e-03
3.229791e-01 1.954780e-16 2.881195e-06 6.845801e-04 2.653520e-22 1.551106e-18 2.874473e-29 8.461390e-31 2.554391e-29 9.001264e-17 5.695453e-05 1.739311e-53 1.432403e-13 5.416897e-37 2.035603e-31 1.006359e-10 2.702651e-18 5.472167e-11 5.223245e-07 4.023546e-04 1.135189e-29 2.522295e-09 1.762232e-23 1.118130e-19 1.318080e-13 3.286539e-19 2.019178e-01 1.366976e-16 2.028058e-14 1.726371e-18 1.745740e-17 4.608273e-19 1.038422e-33 4.342143e-26 2.896936e-32 5.489267e-11 5.005145e-21 7.875030e-01 1.585824e-09 3.409032e-07 4.451119e-21 8.604144e-25 4.107674e-21 5.322193e-22 1.279866e-11 1.508288e-17 2.658142e-13 7.238963e-09 8.014195e-07 4.932862e-19 9.520970e-23 1.687515e-19 4.503734e-15 4.277208e-15 1.342901e-12 1.223230e-20 1.459727e-09 2.000241e-10 2.839876e-26 1.172102e-16 2.147713e-26 4.441176e-17 8.210478e-18 6.655035e-19 4.310330e-10 1.054318e-28 5.717782e-10 1.691297e-22 1.555354e-18 3.252811e-17 3.760290e-10 5.098606e-23 9.937886e-27 1.889209e-35 9.422699e-22 1.214399e-16 1.112176e-19 1.336196e-24 3.578582e-09 2.308199e-14 1.826222e-14 4.165177e-11 4.962917e-13 1.551643e-13 1.645121e-16 1.894775e-24 1.847258e-19 4.891317e-14 2.359459e-14 1.529110e-23 7.866544e-17 6.825720e-17 1.648885e-21 1.401447e-31 4.417571e-27 5.248274e-29 6.199899e-52 0.000000e+00 2.323194e-06 3.433237e-15 9.430691e-03
2.804279e-01 2.212513e-16 2.883024e-06 4.345106e-04 3.144365e-22 1.778021e-18 8.127076e-29 0.000000e+00 4.522460e-29 8.291374e-17 5.696226e-05 3.588096e-51 1.440404e-13 3.823935e-36 1.622340e-31 1.007486e-10 2.643116e-18 5.479188e-11 5.226142e-07 4.024564e-04 1.284156e-29 2.421997e-09 1.930547e-23 1.162116e-19 1.324591e-13 1.064655e-18 2.019683e-01 1.368229e-16 2.029195e-14 1.506814e-18 1.749615e-17 4.606103e-19 4.558091e-34 2.639428e-26 0.000000e+00 5.496067e-11 4.920247e-21 7.877001e-01 1.585260e-09 3.410550e-07 4.451155e-21 1.220841e-24 4.109162e-21 5.336189e-22 1.285082e-11 1.511728e-17 2.660881e-13 7.112014e-09 8.015573e-07 4.938345e-19 1.035052e-22 1.689309e-19 4.508335e-15 4.574710e-15 1.779423e-12 1.356699e-20 1.584189e-09 1.935498e-10 3.291394e-26 3.489820e-16 2.526585e-26 5.931779e-17 9.697057e-18 7.885448e-19 4.300530e-10 0.000000e+00 5.711860e-10 1.688316e-22 1.560833e-18 4.301652e-17 3.765009e-10 6.350793e-23 1.000313e-26 1.734794e-35 9.465454e-22 1.241764e-16 2.018851e-19 1.605949e-24 3.578801e-09 2.551799e-14 1.827938e-14 4.166051e-11 4.957557e-13 1.553010e-13 1.695113e-16 4.338846e-24 1.879640e-19 4.895666e-14 2.362106e-14 1.527445e-23 7.867418e-17 6.841741e-17 1.651617e-21 1.401451e-31 6.614238e-27 1.567258e-28 1.580301e-52 0.000000e+00 1.372597e-06 5.966531e-15 9.433049e-03
