PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 4.976208e-17 2.072922e-06 8.918391e-03 3.951296e-23 2.741787e-19 1.429512e-34 0.000000e+00 3.329209e-30 6.891831e-17 5.644434e-05 4.435117e-59 1.116956e-13 7.156776e-41 5.139866e-31 1.207056e-10 1.788342e-18 5.857613e-11 5.169106e-07 3.990331e-04 3.006115e-30 3.355746e-09 5.172347e-24 4.375544e-20 1.244151e-13 1.867201e-21 2.002535e-01 1.781733e-16 2.206917e-14 2.338369e-18 1.047534e-17 5.186041e-19 3.144036e-31 5.011900e-24 7.430646e-33 5.420474e-11 1.225789e-20 7.810139e-01 6.362177e-09 3.271445e-07 2.331736e-20 2.466913e-25 2.341412e-20 9.461253e-21 1.241764e-11 1.137153e-17 2.536275e-13 7.530238e-09 2.847917e-06 6.228952e-19 2.881067e-22 5.969977e-19 1.745841e-14 3.364097e-15 1.336535e-13 4.759414e-21 5.047213e-11 2.282888e-10 5.290985e-27 2.597524e-20 2.379459e-27 3.957020e-18 3.502583e-18 7.483386e-20 4.308282e-10 0.000000e+00 5.725507e-10 5.241581e-23 2.138354e-18 1.665032e-18 3.718387e-10 2.023607e-23 2.269136e-26 9.096515e-37 1.309598e-21 1.222564e-16 2.472481e-21 2.446723e-25 3.973032e-09 3.518928e-15 2.148876e-14 4.131851e-11 5.563833e-13 2.053176e-13 1.539593e-16 2.354764e-26 2.604284e-19 7.822608e-14 2.817904e-14 2.866454e-23 1.385306e-16 1.213881e-16 1.300159e-21 1.403183e-31 8.780220e-29 8.163511e-32 4.718869e-48 0.000000e+00 0.000000e+00 2.206600e-23 9.352991e-03
8.682540e-01 6.416299e-17 2.077876e-06 6.583232e-03 5.515625e-23 3.663777e-19 1.188774e-33 0.000000e+00 3.890142e-30 7.904985e-17 5.657033e-05 1.164795e-60 1.119834e-13 4.455251e-41 5.143405e-31 1.209971e-10 2.082264e-18 5.871868e-11 5.183635e-07 3.999756e-04 3.820512e-30 3.332407e-09 6.800603e-24 5.469440e-20 1.247481e-13 3.136418e-21 2.007253e-01 1.786011e-16 2.212164e-14 2.520116e-18 1.234313e-17 5.197714e-19 1.144751e-31 2.685825e-24 6.064481e-33 5.435798e-11 1.429541e-20 7.828541e-01 6.374908e-09 3.277229e-07 2.337037e-20 3.680047e-25 2.347006e-20 9.484176e-21 1.248628e-11 1.139936e-17 2.542355e-13 7.592743e-09 2.854402e-06 6.243411e-19 2.899982e-22 5.984446e-19 1.750061e-14 3.385350e-15 1.918671e-13 5.715852e-21 2.681506e-10 2.292090e-10 7.506409e-27 7.145140e-20 4.014093e-27 5.718695e-18 3.613113e-18 1.245715e-19 4.299467e-10 8.242620e-32 5.733056e-10 5.251809e-23 2.143822e-18 2.548020e-18 3.726468e-10 2.462022e-23 2.275441e-26 8.623628e-37 1.313013e-21 1.226818e-16 4.133332e-21 3.285601e-25 3.982365e-09 7.779299e-15 2.154039e-14 4.141476e-11 5.576187e-13 2.058097e-13 1.545857e-16 3.459172e-26 2.620662e-19 7.841356e-14 2.824710e-14 2.908198e-23 1.388507e-16 1.216951e-16 1.303362e-21 1.406305e-31 1.738067e-28 1.617746e-31 1.751571e-48 0.000000e+00 1.854641e-05 2.547972e-21 9.375027e-03
7.538651e-01 8.016968e-17 2.080965e-06 5.177001e-03 7.432421e-23 4.774143e-19 7.431412e-33 0.000000e+00 4.510875e-30 8.827529e-17 5.664325e-05 0.000000e+00 1.122045e-13 2.828139e-41 5.081314e-31 1.211841e-10 2.368061e-18 5.881176e-11 5.193382e-07 4.005423e-04 4.716600e-30 3.277144e-09 8.487615e-24 6.575908e-20 1.250160e-13 5.054176e-21 2.010094e-01 1.788713e-16 2.215398e-14 2.624063e-18 1.406963e-17 5.203487e-19 4.321530e-32 1.502024e-24 3.223409e-33 5.446452e-11 1.627432e-20 7.839623e-01 6.381450e-09 3.280291e-07 2.340005e-20 5.275965e-25 2.350540e-20 9.499394e-21 1.256486e-11 1.141818e-17 2.546197e-13 7.610090e-09 2.858210e-06 6.252336e-19 2.931618e-22 5.993806e-19 1.752774e-14 3.422167e-15 2.642285e-13 6.721395e-21 4.905696e-10 2.294979e-10 9.885178e-27 1.797919e-19 5.821705e-27 8.062517e-18 3.876650e-18 1.792745e-19 4.286595e-10 0.000000e+00 5.734674e-10 5.248295e-23 2.147818e-18 3.860643e-18 3.731393e-10 2.644025e-23 2.280767e-26 6.932483e-37 1.315615e-21 1.231885e-16 6.223619e-21 4.255059e-25 3.987919e-09 1.273243e-14 2.157306e-14 4.147216e-11 5.582455e-13 2.061195e-13 1.554377e-16 5.230290e-26 2.645643e-19 7.853151e-14 2.829075e-14 2.940069e-23 1.390365e-16 1.219104e-16 1.305508e-21 1.408066e-31 3.106540e-28 2.898219e-31 6.731598e-49 0.000000e+00 9.967118e-06 1.317432e-19 9.388297e-03
6.545464e-01 9.790736e-17 2.083722e-06 3.967883e-03 9.771571e-23 6.104499e-19 3.967457e-32 0.000000e+00 5.235257e-30 9.679905e-17 5.670512e-05 0.000000e+00 1.124509e-13 1.856305e-41 4.965479e-31 1.213560e-10 2.644696e-18 5.889882e-11 5.202014e-07 4.010298e-04 5.704734e-30 3.199713e-09 1.022388e-23 7.695788e-20 1.253153e-13 8.024015e-21 2.012537e-01 1.791159e-16 2.218251e-14 2.668876e-18 1.567277e-17 5.206964e-19 1.664487e-32 8.630689e-25 0.000000e+00 5.456344e-11 1.819267e-20 7.849151e-01 6.386613e-09 3.283159e-07 2.342428e-20 7.355598e-25 2.353789e-20 9.514290e-21 1.264957e-11 1.143681e-17 2.549694e-13 7.587436e-09 2.861456e-06 6.260478e-19 2.979501e-22 6.002485e-19 1.755273e-14 3.480213e-15 3.532722e-13 7.778327e-21 7.039851e-10 2.288247e-10 1.245621e-26 4.260817e-19 7.823967e-27 1.118104e-17 4.326969e-18 2.403642e-19 4.273942e-10 0.000000e+00 5.734963e-10 5.257554e-23 2.151960e-18 5.747577e-18 3.735962e-10 2.867272e-23 2.286833e-26 7.801341e-37 1.318406e-21 1.239008e-16 9.569870e-21 5.368347e-25 3.992611e-09 1.822001e-14 2.160270e-14 4.152130e-11 5.586782e-13 2.063989e-13 1.566843e-16 8.156996e-26 2.679701e-19 7.863785e-14 2.833087e-14 2.966288e-23 1.391922e-16 1.221224e-16 1.307562e-21 1.409534e-31 5.199543e-28 5.315492e-31 2.664561e-49 0.000000e+00 8.230932e-06 3.388468e-18 9.399707e-03
5.683125e-01 1.172664e-16 2.086153e-06 2.952817e-03 1.252497e-22 7.619170e-19 1.845955e-31 1.053820e-30 6.169762e-30 1.030487e-16 5.675618e-05 0.000000e+00 1.127323e-13 2.419914e-41 4.700283e-31 1.215136e-10 2.880685e-18 5.898032e-11 5.209503e-07 4.014391e-04 6.781699e-30 3.106350e-09 1.197999e-23 8.774201e-20 1.256508e-13 1.326071e-20 2.014588e-01 1.793359e-16 2.220733e-14 2.640353e-18 1.700096e-17 5.208122e-19 6.616969e-33 4.797149e-25 6.157285e-34 5.465491e-11 1.984466e-20 7.857151e-01 6.390436e-09 3.285836e-07 2.344368e-20 1.014993e-24 2.356800e-20 9.529245e-21 1.273362e-11 1.145567e-17 2.552870e-13 7.529189e-09 2.864150e-06 6.267912e-19 3.045374e-22 6.010524e-19 1.757570e-14 3.562624e-15 4.654642e-13 8.825354e-21 9.041226e-10 2.269539e-10 1.519303e-26 1.041785e-18 1.003011e-26 1.529430e-17 4.989771e-18 3.086841e-19 4.261779e-10 2.502482e-29 5.734068e-10 5.278598e-23 2.156296e-18 8.492292e-18 3.740209e-10 3.273408e-23 2.293701e-26 1.216776e-36 1.321429e-21 1.248513e-16 1.510433e-20 6.657924e-25 3.996442e-09 2.419841e-14 2.162942e-14 4.156231e-11 5.589240e-13 2.066490e-13 1.583713e-16 1.268432e-25 2.720965e-19 7.873300e-14 2.836765e-14 2.989201e-23 1.393194e-16 1.223311e-16 1.309532e-21 1.410720e-31 8.340372e-28 1.092174e-30 9.593103e-50 0.000000e+00 6.802665e-06 4.623422e-17 9.409285e-03
4.934396e-01 1.384349e-16 2.088331e-06 2.099096e-03 1.579333e-22 9.362901e-19 7.748552e-31 8.009968e-33 7.603140e-30 1.077177e-16 5.679827e-05 8.128734e-58 1.130623e-13 2.735920e-40 4.367659e-31 1.216615e-10 3.086179e-18 5.905856e-11 5.216008e-07 4.017836e-04 7.946054e-30 3.002804e-09 1.376260e-23 9.820303e-20 1.260313e-13 2.295800e-20 2.016313e-01 1.795379e-16 2.222920e-14 2.563371e-18 1.814138e-17 5.207306e-19 2.611382e-33 2.642403e-25 1.179434e-33 5.474099e-11 2.129808e-20 7.863878e-01 6.393118e-09 3.288387e-07 2.345946e-20 1.386249e-24 2.359690e-20 9.544915e-21 1.281341e-11 1.147553e-17 2.555829e-13 7.441657e-09 2.866386e-06 6.274880e-19 3.132386e-22 6.018156e-19 1.759731e-14 3.672980e-15 6.053862e-13 9.921683e-21 1.089358e-09 2.238782e-10 1.814912e-26 2.592166e-18 1.247005e-26 2.073633e-17 5.885840e-18 3.858622e-19 4.250266e-10 2.868376e-29 5.732231e-10 5.273173e-23 2.160948e-18 1.249831e-17 3.744276e-10 3.895908e-23 2.301528e-26 1.014682e-36 1.324775e-21 1.260778e-16 2.491230e-20 8.141617e-25 3.999538e-09 3.049247e-14 2.165402e-14 4.159657e-11 5.590070e-13 2.068774e-13 1.605495e-16 2.257658e-25 2.767620e-19 7.881981e-14 2.840216e-14 3.008255e-23 1.394235e-16 1.225410e-16 1.311473e-21 1.411671e-31 1.295156e-27 2.501013e-30 3.310342e-50 0.000000e+00 5.697859e-06 3.434134e-16 9.417341e-03
4.284310e-01 1.610469e-16 2.090242e-06 1.415772e-03 1.943047e-22 1.117803e-18 2.965864e-30 2.725989e-30 1.023745e-29 1.076135e-16 5.683088e-05 1.182817e-55 1.134492e-13 3.942739e-39 3.834729e-31 1.217991e-10 3.199818e-18 5.913334e-11 5.221472e-07 4.020595e-04 9.154670e-30 2.894401e-09 1.553077e-23 1.070335e-19 1.264593e-13 4.624501e-20 2.017694e-01 1.797208e-16 2.224797e-14 2.401580e-18 1.881369e-17 5.204802e-19 1.137943e-33 1.323741e-25 2.401556e-32 5.482141e-11 2.214786e-20 7.869263e-01 6.394590e-09 3.290723e-07 2.347177e-20 1.918171e-24 2.362474e-20 9.561506e-21 1.288615e-11 1.149661e-17 2.558565e-13 7.332024e-09 2.868137e-06 6.281353e-19 3.244188e-22 6.025355e-19 1.761748e-14 3.814468e-15 7.912375e-13 1.097182e-20 1.258202e-09 2.196864e-10 2.125995e-26 7.807393e-18 1.514496e-26 2.786498e-17 7.018562e-18 4.719668e-19 4.239375e-10 3.781331e-29 5.729453e-10 5.244523e-23 2.165944e-18 1.830778e-17 3.748149e-10 4.808244e-23 2.310357e-26 0.000000e+00 1.328472e-21 1.276081e-16 4.314192e-20 9.903571e-25 4.001864e-09 3.649488e-14 2.167638e-14 4.162370e-11 5.589303e-13 2.070826e-13 1.632506e-16 4.479075e-25 2.817313e-19 7.889778e-14 2.843425e-14 3.023345e-23 1.395038e-16 1.227513e-16 1.313381e-21 1.412372e-31 1.981868e-27 6.786434e-30 9.022675e-51 0.000000e+00 4.539068e-06 1.512376e-15 9.423788e-03
3.719869e-01 1.859860e-16 2.091840e-06 9.265696e-04 2.381001e-22 1.329907e-18 1.032705e-29 2.627020e-30 1.600852e-29 1.071929e-16 5.685265e-05 5.062408e-55 1.138997e-13 4.438519e-38 3.367316e-31 1.219241e-10 3.301569e-18 5.920359e-11 5.225768e-07 4.022573e-04 1.051720e-29 2.786589e-09 1.737143e-23 1.157953e-19 1.269352e-13 9.940254e-20 2.018682e-01 1.798809e-16 2.226312e-14 2.234245e-18 1.948240e-17 5.201038e-19 0.000000e+00 6.999876e-26 2.051896e-32 5.489507e-11 2.292259e-20 7.873119e-01 6.394687e-09 3.292689e-07 2.348039e-20 2.629079e-24 2.365128e-20 9.579064e-21 1.294960e-11 1.151897e-17 2.561032e-13 7.208414e-09 2.869337e-06 6.287213e-19 3.386234e-22 6.032008e-19 1.763588e-14 3.990336e-15 1.023764e-12 1.222087e-20 1.409583e-09 2.146754e-10 2.476621e-26 2.859293e-17 1.814578e-26 3.734984e-17 8.364587e-18 5.707134e-19 4.228951e-10 0.000000e+00 5.725640e-10 5.184259e-23 2.171276e-18 2.616565e-17 3.751764e-10 5.917838e-23 2.320198e-26 0.000000e+00 1.332527e-21 1.294678e-16 7.668755e-20 1.193258e-24 4.003327e-09 4.153987e-14 2.169605e-14 4.164269e-11 5.586893e-13 2.072606e-13 1.665085e-16 8.629893e-25 2.867874e-19 7.896528e-14 2.846337e-14 3.032972e-23 1.395574e-16 1.229600e-16 1.315234e-21 1.412790e-31 2.972495e-27 2.051633e-29 2.598261e-51 0.000000e+00 3.218706e-06 4.220758e-15 9.428403e-03
3.229791e-01 2.118477e-16 2.093295e-06 5.679888e-04 2.828111e-22 1.518373e-18 3.312663e-29 1.362076e-30 2.637999e-29 9.906278e-17 5.686689e-05 5.175744e-54 1.144546e-13 3.900412e-37 2.681342e-31 1.220485e-10 3.241705e-18 5.927583e-11 5.229309e-07 4.024027e-04 1.191167e-29 2.678704e-09 1.913894e-23 1.209734e-19 1.274943e-13 2.950219e-19 2.019406e-01 1.800344e-16 2.227637e-14 1.966253e-18 1.945102e-17 5.196584e-19 0.000000e+00 3.449043e-26 3.170552e-32 5.496826e-11 2.261955e-20 7.875945e-01 6.393638e-09 3.294443e-07 2.348700e-20 3.757692e-24 2.367926e-20 9.599238e-21 1.300603e-11 1.154465e-17 2.563481e-13 7.072711e-09 2.870156e-06 6.293055e-19 3.573445e-22 6.038747e-19 1.765427e-14 4.214770e-15 1.360431e-12 1.345387e-20 1.549745e-09 2.088315e-10 2.850373e-26 1.358863e-16 2.143894e-26 4.978322e-17 9.941474e-18 6.800115e-19 4.218623e-10 0.000000e+00 5.720857e-10 5.193977e-23 2.177379e-18 3.626473e-17 3.755493e-10 7.474965e-23 2.331773e-26 0.000000e+00 1.337266e-21 1.317998e-16 1.451137e-19 1.446081e-24 4.004161e-09 4.557141e-14 2.171501e-14 4.165613e-11 5.582999e-13 2.074294e-13 1.705535e-16 2.095737e-24 2.919360e-19 7.902926e-14 2.849236e-14 3.034432e-23 1.395927e-16 1.231842e-16 1.317196e-21 1.413001e-31 4.494603e-27 6.416295e-29 5.362407e-52 0.000000e+00 2.215893e-06 8.926569e-15 9.431786e-03
2.804279e-01 2.403079e-16 2.094663e-06 3.393153e-04 3.359991e-22 1.734914e-18 9.594996e-29 1.905018e-30 4.596772e-29 9.165348e-17 5.687338e-05 1.542828e-51 1.151644e-13 2.759047e-36 2.144277e-31 1.221786e-10 3.178269e-18 5.935403e-11 5.232161e-07 4.024959e-04 1.347168e-29 2.571807e-09 2.097483e-23 1.260151e-19 1.281758e-13 9.416171e-19 2.019868e-01 1.801884e-16 2.228813e-14 1.723721e-18 1.952352e-17 5.192033e-19 9.591863e-34 2.255781e-26 4.524763e-33 5.504447e-11 2.228281e-20 7.877747e-01 6.391240e-09 3.295941e-07 2.349201e-20 5.343170e-24 2.371053e-20 9.623569e-21 1.305591e-11 1.157558e-17 2.566038e-13 6.927845e-09 2.870588e-06 6.299183e-19 3.829799e-22 6.045928e-19 1.767360e-14 4.508317e-15 1.796805e-12 1.509478e-20 1.682026e-09 2.024350e-10 3.302331e-26 4.182883e-16 2.522129e-26 6.648020e-17 1.174032e-17 8.081503e-19 4.207871e-10 8.366155e-29 5.714822e-10 5.233348e-23 2.184677e-18 4.784211e-17 3.759563e-10 9.309079e-23 2.345889e-26 2.969674e-37 1.343029e-21 1.348010e-16 2.803975e-19 1.741588e-24 4.004337e-09 4.920990e-14 2.173415e-14 4.166394e-11 5.577365e-13 2.075966e-13 1.757308e-16 4.986445e-24 2.972026e-19 7.909252e-14 2.852267e-14 3.032746e-23 1.396094e-16 1.234371e-16 1.319381e-21 1.412988e-31 6.722206e-27 2.020599e-28 1.472800e-52 0.000000e+00 1.252299e-06 1.551074e-14 9.433942e-03
