PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 3.511563e-17 1.435026e-06 8.922743e-03 2.501794e-23 2.336030e-19 6.764050e-36 1.126945e-31 5.900561e-31 4.282670e-17 4.553179e-05 0.000000e+00 4.742154e-14 2.144171e-41 5.526051e-32 1.838929e-11 2.885721e-19 1.404875e-11 5.144384e-07 3.992279e-04 1.055484e-30 2.049375e-09 2.850586e-24 2.459359e-20 6.190465e-14 1.117613e-21 2.002569e-01 4.001529e-17 8.391367e-15 1.226549e-18 5.113649e-18 2.829920e-19 3.443946e-31 3.324325e-24 1.139896e-33 5.417535e-11 6.190745e-22 7.810199e-01 5.373577e-10 3.875744e-07 1.059998e-21 1.475313e-26 8.928183e-22 1.821916e-23 1.191206e-11 6.612625e-18 1.057711e-13 6.473748e-09 3.249418e-07 9.312198e-20 4.703928e-24 1.100370e-20 3.772115e-16 1.261806e-16 9.612151e-14 2.508776e-21 3.736636e-11 1.899068e-10 1.549800e-27 1.176464e-20 2.156458e-27 2.551366e-18 1.249842e-18 7.888764e-20 4.518645e-10 0.000000e+00 5.451398e-10 5.285380e-23 9.152026e-20 1.020387e-18 3.721684e-10 2.527473e-24 5.692772e-28 3.136443e-39 1.399379e-22 1.114022e-17 3.999292e-18 1.728082e-25 2.560026e-09 2.894452e-11 4.983809e-15 4.134066e-11 4.180993e-13 4.738022e-14 5.374587e-17 1.222684e-26 4.209077e-20 1.396065e-14 5.678029e-15 3.598502e-24 9.051542e-18 2.487455e-17 2.275152e-22 1.445778e-31 6.279332e-29 3.568369e-32 2.208157e-48 0.000000e+00 0.000000e+00 1.094488e-21 9.352891e-03
8.682540e-01 4.605463e-17 1.438651e-06 6.464165e-03 3.581007e-23 3.202924e-19 8.138485e-35 1.560006e-31 7.515328e-31 5.014669e-17 4.563618e-05 1.781934e-58 4.754586e-14 1.357582e-41 5.625080e-32 1.843688e-11 3.417390e-19 1.408519e-11 5.158929e-07 4.002195e-04 1.364449e-30 2.028326e-09 3.856190e-24 3.137972e-20 6.207838e-14 1.879655e-21 2.007537e-01 4.011759e-17 8.412531e-15 1.349230e-18 6.176963e-18 2.836452e-19 1.239289e-31 1.781657e-24 6.671707e-33 5.433012e-11 7.343474e-22 7.829574e-01 5.384938e-10 3.883686e-07 1.062495e-21 2.239331e-26 8.949336e-22 1.826637e-23 1.198157e-11 6.629168e-18 1.060410e-13 6.542167e-09 3.257052e-07 9.334327e-20 4.746815e-24 1.103155e-20 3.781802e-16 1.272280e-16 1.415627e-13 3.098591e-21 2.344164e-10 1.908969e-10 2.369970e-27 3.336128e-20 3.831029e-27 3.767925e-18 1.301335e-18 1.379990e-19 4.510596e-10 2.716582e-30 5.456457e-10 5.305403e-23 9.177998e-20 1.602290e-18 3.732095e-10 3.098891e-24 5.710978e-28 4.219630e-38 1.403435e-22 1.118353e-17 2.363361e-18 2.361552e-25 2.566364e-09 2.903319e-11 4.996602e-15 4.144213e-11 4.190588e-13 4.750153e-14 5.397640e-17 1.692365e-26 4.237326e-20 1.399634e-14 5.692679e-15 3.651966e-24 9.073174e-18 2.494060e-17 2.281145e-22 1.449077e-31 1.308432e-28 7.431183e-32 8.368634e-49 0.000000e+00 1.976803e-05 1.882444e-19 9.376092e-03
7.538651e-01 5.813490e-17 1.440593e-06 5.219549e-03 4.892368e-23 4.246019e-19 6.761438e-34 0.000000e+00 9.339246e-31 5.673268e-17 4.568464e-05 0.000000e+00 4.762428e-14 8.701685e-42 5.614949e-32 1.846430e-11 3.926100e-19 1.410630e-11 5.167198e-07 4.007213e-04 1.705616e-30 1.981011e-09 4.873149e-24 3.820452e-20 6.220267e-14 2.984847e-21 2.010051e-01 4.017450e-17 8.423832e-15 1.423093e-18 7.144338e-18 2.838833e-19 4.656687e-32 9.961094e-25 0.000000e+00 5.442165e-11 8.445782e-22 7.839382e-01 5.389502e-10 3.887213e-07 1.063584e-21 3.244437e-26 8.958740e-22 1.829494e-23 1.205800e-11 6.638059e-18 1.061915e-13 6.567128e-09 3.260694e-07 9.345613e-20 4.825527e-24 1.104676e-20 3.787262e-16 1.291849e-16 1.983067e-13 3.711108e-21 4.350784e-10 1.911381e-10 3.253312e-27 8.564239e-20 5.688650e-27 5.387114e-18 1.427905e-18 2.029903e-19 4.496988e-10 0.000000e+00 5.454041e-10 5.306976e-23 9.196790e-20 2.458667e-18 3.738451e-10 3.454842e-24 5.727102e-28 0.000000e+00 1.406509e-22 1.123609e-17 1.335663e-18 3.091450e-25 2.569522e-09 2.906808e-11 5.003806e-15 4.149278e-11 4.194143e-13 4.756934e-14 5.427846e-17 2.280842e-26 4.279566e-20 1.401618e-14 5.701050e-15 3.691424e-24 9.083135e-18 2.498099e-17 2.284764e-22 1.450535e-31 2.413888e-28 1.299858e-31 3.232855e-49 0.000000e+00 8.973692e-06 1.432368e-17 9.387836e-03
6.545464e-01 7.136360e-17 1.442459e-06 4.077384e-03 6.474226e-23 5.494965e-19 4.649613e-33 1.044014e-31 1.145269e-30 6.268479e-17 4.572863e-05 1.069005e-58 4.771443e-14 5.600746e-42 5.516675e-32 1.849228e-11 4.407290e-19 1.412793e-11 5.174840e-07 4.011819e-04 2.069136e-30 1.916131e-09 5.887720e-24 4.501314e-20 6.234966e-14 4.596221e-21 2.012359e-01 4.023106e-17 8.434697e-15 1.458263e-18 8.018808e-18 2.840188e-19 1.784998e-32 5.720520e-25 3.055768e-33 5.450999e-11 9.490083e-22 7.848383e-01 5.393402e-10 3.890784e-07 1.064498e-21 4.547714e-26 8.966713e-22 1.832657e-23 1.214114e-11 6.646981e-18 1.063426e-13 6.554146e-09 3.264011e-07 9.356955e-20 4.950991e-24 1.106177e-20 3.792742e-16 1.324021e-16 2.683161e-13 4.344741e-21 6.265678e-10 1.902357e-10 4.217797e-27 2.055250e-19 7.753551e-27 7.544029e-18 1.648170e-18 2.757263e-19 4.484038e-10 0.000000e+00 5.450811e-10 5.304506e-23 9.218928e-20 3.687601e-18 3.744859e-10 3.987641e-24 5.747715e-28 0.000000e+00 1.410228e-22 1.131475e-17 8.152615e-19 3.922593e-25 2.572349e-09 2.910594e-11 5.011029e-15 4.153907e-11 4.196371e-13 4.763695e-14 5.473065e-17 3.273913e-26 4.337949e-20 1.403588e-14 5.709536e-15 3.723701e-24 9.091825e-18 2.502352e-17 2.288572e-22 1.451825e-31 4.131691e-28 2.269616e-31 1.282668e-49 0.000000e+00 7.925700e-06 5.341005e-16 9.398614e-03
5.683125e-01 8.558659e-17 1.444186e-06 3.084140e-03 8.311685e-23 6.916515e-19 2.703044e-32 2.335770e-31 1.388833e-30 6.696879e-17 4.576610e-05 2.800327e-58 4.781831e-14 3.439295e-42 5.229818e-32 1.852006e-11 4.806958e-19 1.414950e-11 5.181581e-07 4.015825e-04 2.449542e-30 1.839046e-09 6.875926e-24 5.145172e-20 6.251881e-14 7.209544e-21 2.014366e-01 4.028554e-17 8.444754e-15 1.447671e-18 8.722100e-18 2.840408e-19 5.980705e-33 3.174924e-25 3.166796e-33 5.459262e-11 1.036588e-21 7.856211e-01 5.396408e-10 3.894215e-07 1.065219e-21 6.284911e-26 8.973079e-22 1.836153e-23 1.222319e-11 6.655854e-18 1.064908e-13 6.506527e-09 3.266854e-07 9.368062e-20 5.129417e-24 1.107614e-20 3.798083e-16 1.370822e-16 3.564923e-13 4.960009e-21 8.047768e-10 1.879422e-10 5.251058e-27 5.053429e-19 1.003396e-26 1.039165e-17 1.977572e-18 3.572952e-19 4.471827e-10 0.000000e+00 5.446711e-10 5.299864e-23 9.244282e-20 5.470519e-18 3.751115e-10 4.912047e-24 5.772788e-28 0.000000e+00 1.414593e-22 1.142302e-17 4.898006e-19 4.873975e-25 2.574712e-09 2.912864e-11 5.018064e-15 4.157909e-11 4.197127e-13 4.770237e-14 5.534182e-17 4.940912e-26 4.408969e-20 1.405485e-14 5.717904e-15 3.751682e-24 9.098975e-18 2.506707e-17 2.292482e-22 1.452887e-31 6.734918e-28 4.052475e-31 4.612947e-50 0.000000e+00 6.788600e-06 1.028463e-14 9.407987e-03
4.934396e-01 1.008423e-16 1.445779e-06 2.237999e-03 1.045730e-22 8.548779e-19 1.373427e-31 0.000000e+00 1.768991e-30 7.001813e-17 4.579711e-05 4.989165e-58 4.794030e-14 3.746593e-42 4.851070e-32 1.854786e-11 5.140329e-19 1.417118e-11 5.187418e-07 4.019239e-04 2.871892e-30 1.754665e-09 7.837041e-24 5.752629e-20 6.271274e-14 1.159553e-20 2.016076e-01 4.033829e-17 8.454047e-15 1.405670e-18 9.295917e-18 2.839611e-19 1.660494e-33 1.742597e-25 0.000000e+00 5.466989e-11 1.110456e-21 7.862879e-01 5.398526e-10 3.897475e-07 1.065773e-21 8.568900e-26 8.978033e-22 1.840096e-23 1.229994e-11 6.664900e-18 1.066375e-13 6.429929e-09 3.269227e-07 9.379042e-20 5.369839e-24 1.108998e-20 3.803320e-16 1.434580e-16 4.663160e-13 5.584132e-21 9.681100e-10 1.842980e-10 6.379266e-27 1.253250e-18 1.255460e-26 1.416094e-17 2.430765e-18 4.495475e-19 4.460400e-10 0.000000e+00 5.441840e-10 5.316418e-23 9.273247e-20 8.072103e-18 3.757220e-10 6.331676e-24 5.802672e-28 4.020803e-37 1.419684e-22 1.156511e-17 3.055794e-19 5.951931e-25 2.576609e-09 2.905964e-11 5.024955e-15 4.161293e-11 4.196482e-13 4.776599e-14 5.612108e-17 8.572053e-26 4.489302e-20 1.407321e-14 5.726211e-15 3.774573e-24 9.104704e-18 2.511187e-17 2.296526e-22 1.453725e-31 1.057719e-27 8.092523e-31 1.582327e-50 0.000000e+00 5.739146e-06 1.027407e-13 9.415971e-03
4.284310e-01 1.168680e-16 1.447221e-06 1.554200e-03 1.280721e-22 1.024508e-18 6.174067e-31 0.000000e+00 2.474844e-30 6.980983e-17 4.582098e-05 1.839494e-56 4.808357e-14 4.173103e-41 4.248239e-32 1.857552e-11 5.309797e-19 1.419286e-11 5.192269e-07 4.022000e-04 3.314956e-30 1.667520e-09 8.747654e-24 6.250634e-20 6.293235e-14 2.100438e-20 2.017457e-01 4.038891e-17 8.462472e-15 1.314236e-18 9.607392e-18 2.837933e-19 8.858092e-34 8.644681e-26 0.000000e+00 5.474111e-11 1.150539e-21 7.868268e-01 5.399665e-10 3.900443e-07 1.066164e-21 1.181442e-25 8.981588e-22 1.844554e-23 1.236848e-11 6.674190e-18 1.067824e-13 6.331321e-09 3.271082e-07 9.389818e-20 5.682239e-24 1.110318e-20 3.808419e-16 1.517522e-16 6.117724e-13 6.157991e-21 1.115249e-09 1.794674e-10 7.573675e-27 3.660814e-18 1.530633e-26 1.909957e-17 3.015282e-18 5.523193e-19 4.449705e-10 1.903888e-29 5.436208e-10 5.359812e-23 9.306010e-20 1.190429e-17 3.763105e-10 8.439545e-24 5.837556e-28 1.783719e-36 1.425550e-22 1.174455e-17 1.784523e-19 7.216316e-25 2.578001e-09 2.860059e-11 5.031656e-15 4.163997e-11 4.194463e-13 4.782736e-14 5.706970e-17 1.459954e-25 4.574857e-20 1.409081e-14 5.734412e-15 3.792282e-24 9.108945e-18 2.515774e-17 2.300691e-22 1.454317e-31 1.630736e-27 1.902776e-30 4.253669e-51 0.000000e+00 4.596514e-06 5.673000e-13 9.422422e-03
3.719869e-01 1.341938e-16 1.448488e-06 1.051071e-03 1.559179e-22 1.221788e-18 2.474490e-30 0.000000e+00 4.156379e-30 6.926446e-17 4.583685e-05 0.000000e+00 4.825124e-14 6.814728e-40 3.709212e-32 1.860286e-11 5.448261e-19 1.421440e-11 5.196037e-07 4.024033e-04 3.781720e-30 1.582196e-09 9.659781e-24 6.726599e-20 6.317812e-14 4.042323e-20 2.018474e-01 4.043688e-17 8.469899e-15 1.217828e-18 9.892078e-18 2.835596e-19 7.447898e-34 4.469790e-26 0.000000e+00 5.480549e-11 1.184173e-21 7.872233e-01 5.399714e-10 3.902969e-07 1.066389e-21 1.610380e-25 8.983699e-22 1.849582e-23 1.242671e-11 6.683759e-18 1.069247e-13 6.218882e-09 3.272358e-07 9.400285e-20 6.079643e-24 1.111560e-20 3.813335e-16 1.622013e-16 7.933962e-13 6.813852e-21 1.245341e-09 1.738333e-10 8.913330e-27 1.191566e-17 1.836449e-26 2.566968e-17 3.724079e-18 6.694238e-19 4.439602e-10 4.718173e-29 5.429782e-10 5.384371e-23 9.342733e-20 1.726700e-17 3.768700e-10 1.113541e-23 5.877605e-28 2.914266e-36 1.432228e-22 1.196475e-17 1.281728e-19 8.649428e-25 2.578846e-09 2.733446e-11 5.038108e-15 4.165943e-11 4.191095e-13 4.788590e-14 5.819047e-17 2.866092e-25 4.662001e-20 1.410748e-14 5.742443e-15 3.802912e-24 9.111584e-18 2.520441e-17 2.304962e-22 1.454634e-31 2.456675e-27 5.401048e-30 1.191297e-51 0.000000e+00 3.344651e-06 1.803957e-12 9.427169e-03
3.229791e-01 1.519475e-16 1.449691e-06 6.776174e-04 1.838643e-22 1.396754e-18 8.922402e-30 0.000000e+00 7.670300e-30 6.369275e-17 4.584671e-05 0.000000e+00 4.845843e-14 8.530239e-39 2.938626e-32 1.863203e-11 5.318603e-19 1.423750e-11 5.199046e-07 4.025545e-04 4.254987e-30 1.498290e-09 1.049279e-23 6.988186e-20 6.346735e-14 1.058277e-19 2.019228e-01 4.048612e-17 8.476973e-15 1.066397e-18 9.815083e-18 2.832821e-19 0.000000e+00 2.067232e-26 0.000000e+00 5.486799e-11 1.161894e-21 7.875176e-01 5.398793e-10 3.905205e-07 1.066501e-21 2.288676e-25 8.984810e-22 1.855607e-23 1.247652e-11 6.694476e-18 1.070763e-13 6.095123e-09 3.273203e-07 9.411342e-20 6.601052e-24 1.112826e-20 3.818464e-16 1.756994e-16 1.055666e-12 7.425971e-21 1.363807e-09 1.674143e-10 1.032991e-26 5.371948e-17 2.167079e-26 3.427931e-17 4.567894e-18 7.975308e-19 4.429680e-10 0.000000e+00 5.422441e-10 5.365490e-23 9.386105e-20 2.451196e-17 3.774399e-10 1.496055e-23 5.925535e-28 2.820578e-36 1.440209e-22 1.224273e-17 1.170856e-19 1.042513e-24 2.579255e-09 2.501658e-11 5.044830e-15 4.167335e-11 4.186391e-13 4.794634e-14 5.954931e-17 6.846188e-25 4.750883e-20 1.412457e-14 5.750942e-15 3.802767e-24 9.113025e-18 2.525538e-17 2.309664e-22 1.454729e-31 3.721728e-27 1.689088e-29 2.295022e-52 0.000000e+00 2.318110e-06 4.025281e-12 9.430692e-03
2.804279e-01 1.711192e-16 1.450888e-06 4.284541e-04 2.166148e-22 1.596906e-18 2.886468e-29 0.000000e+00 1.501783e-29 5.855537e-17 4.585050e-05 5.921935e-55 4.872469e-14 8.329778e-38 2.336097e-32 1.866485e-11 5.178446e-19 1.426360e-11 5.201359e-07 4.026558e-04 4.782327e-30 1.417000e-09 1.132752e-23 7.228021e-20 6.382047e-14 3.089082e-19 2.019732e-01 4.053947e-17 8.484040e-15 9.289169e-19 9.775254e-18 2.829848e-19 0.000000e+00 1.218361e-26 9.569731e-33 5.493165e-11 1.136499e-21 7.877140e-01 5.396750e-10 3.907130e-07 1.066511e-21 3.231303e-25 8.985003e-22 1.863132e-23 1.251817e-11 6.707167e-18 1.072470e-13 5.963786e-09 3.273620e-07 9.423693e-20 7.307133e-24 1.114191e-20 3.824111e-16 1.935684e-16 1.395121e-12 8.226680e-21 1.473322e-09 1.605448e-10 1.201490e-26 1.722307e-16 2.539312e-26 4.583430e-17 5.534550e-18 9.450766e-19 4.419456e-10 0.000000e+00 5.413845e-10 5.347537e-23 9.439335e-20 3.319740e-17 3.780503e-10 1.958610e-23 5.984764e-28 2.995199e-37 1.450090e-22 1.260256e-17 1.698889e-19 1.247147e-24 2.579219e-09 2.197937e-11 5.052223e-15 4.168185e-11 4.180107e-13 4.801222e-14 6.125162e-17 1.302791e-24 4.842258e-20 1.414307e-14 5.760429e-15 3.795973e-24 9.113265e-18 2.531390e-17 2.315104e-22 1.454585e-31 5.564336e-27 5.454958e-29 5.643215e-53 0.000000e+00 1.367028e-06 6.870646e-12 9.433041e-03
