PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 2.266256e-17 1.217900e-06 8.906695e-03 1.468778e-23 1.716161e-19 1.302299e-35 9.673022e-32 3.404509e-30 2.704304e-17 5.118420e-05 2.367246e-57 3.302589e-12 3.175976e-40 2.495282e-31 1.850959e-10 2.884413e-19 2.658970e-11 5.601640e-07 3.586589e-02 2.834150e-30 1.200254e-09 1.571315e-24 1.761480e-20 2.540607e-13 7.428741e-21 1.931059e-01 2.406339e-16 4.915676e-16 7.911565e-19 2.726901e-18 1.221786e-17 3.517851e-32 1.327090e-24 1.499062e-34 5.187258e-11 9.025584e-22 7.530494e-01 1.513887e-09 4.134531e-07 3.487171e-20 3.389792e-26 1.968711e-20 4.378252e-22 1.456542e-11 1.416173e-17 4.054407e-13 5.433403e-09 3.452682e-07 3.566119e-18 4.197342e-23 1.996659e-20 8.349172e-16 1.125884e-17 8.898494e-14 1.293966e-21 2.087639e-11 1.282792e-10 4.302296e-27 2.325755e-20 2.131097e-27 1.864239e-18 6.204480e-19 8.853401e-20 4.671738e-10 0.000000e+00 5.330578e-10 2.560653e-23 8.051893e-17 7.605836e-19 3.570172e-10 1.015145e-24 3.815729e-30 8.379791e-36 3.459795e-24 2.189505e-12 8.000903e-19 1.214019e-25 1.856382e-09 2.774875e-11 2.615796e-16 3.963669e-11 2.313842e-13 2.178614e-16 3.121802e-17 8.419736e-27 6.138973e-20 1.361739e-14 2.258811e-13 8.398010e-23 6.201327e-17 6.960765e-18 3.204616e-23 1.187605e-32 4.381079e-29 1.768284e-32 1.979765e-49 0.000000e+00 0.000000e+00 8.240423e-18 9.018013e-03
8.682540e-01 2.964265e-17 1.224973e-06 3.194750e-03 2.138372e-23 2.403147e-19 2.226951e-34 0.000000e+00 4.241240e-30 3.225573e-17 5.147138e-05 9.933741e-58 3.322094e-12 2.297231e-40 2.658424e-31 1.861755e-10 3.469897e-19 2.674551e-11 5.663931e-07 3.607258e-02 3.670381e-30 1.193252e-09 2.129893e-24 2.223850e-20 2.555608e-13 1.590683e-20 1.942188e-01 2.420379e-16 4.943978e-16 8.710422e-19 3.322156e-18 1.228688e-17 1.509422e-32 8.001021e-25 0.000000e+00 5.217815e-11 1.088538e-21 7.573894e-01 1.522149e-09 4.157266e-07 3.507001e-20 5.003031e-26 1.979944e-20 4.402721e-22 1.466849e-11 1.424403e-17 4.077999e-13 5.513140e-09 3.472648e-07 3.587098e-18 4.249315e-23 2.008298e-20 8.397807e-16 1.138389e-17 1.283687e-13 1.610156e-21 1.255191e-10 1.291777e-10 7.020923e-27 5.588516e-20 3.760592e-27 2.765859e-18 6.456517e-19 1.539273e-19 4.687312e-10 0.000000e+00 5.354013e-10 2.586699e-23 8.099755e-17 1.170986e-18 3.594567e-10 9.590179e-25 3.838904e-30 8.441849e-36 3.480876e-24 2.204913e-12 1.159109e-18 1.638374e-25 1.867071e-09 2.804052e-11 2.631089e-16 3.986468e-11 2.326766e-13 2.191359e-16 3.143815e-17 1.080623e-26 6.206567e-20 1.369705e-14 2.272025e-13 8.525608e-23 6.236179e-17 7.017109e-18 3.224274e-23 1.194270e-32 9.068302e-29 7.411973e-32 1.065889e-49 0.000000e+00 5.032970e-05 3.161004e-16 9.069986e-03
7.538651e-01 3.714291e-17 1.225797e-06 2.620506e-03 2.931547e-23 3.197897e-19 1.580006e-33 1.087526e-30 4.955978e-30 3.626808e-17 5.149305e-05 2.082314e-57 3.325212e-12 1.508375e-40 2.665039e-31 1.863111e-10 3.969580e-19 2.676657e-11 5.702183e-07 3.609335e-02 4.545709e-30 1.166403e-09 2.683770e-24 2.668831e-20 2.557926e-13 3.537550e-20 1.943307e-01 2.422150e-16 4.946757e-16 9.074803e-19 3.819803e-18 1.229174e-17 6.211436e-33 4.589768e-25 1.601561e-34 5.221595e-11 1.248793e-21 7.578258e-01 1.522512e-09 4.158755e-07 3.508550e-20 7.163495e-26 1.980878e-20 4.403892e-22 1.470846e-11 1.425409e-17 4.080883e-13 5.544636e-09 3.473965e-07 3.590106e-18 4.317090e-23 2.009752e-20 8.403783e-16 1.153705e-17 1.784811e-13 1.903673e-21 2.324762e-10 1.288579e-10 9.938630e-27 1.367895e-19 5.552203e-27 3.946573e-18 7.016484e-19 2.246215e-19 4.678550e-10 2.301779e-29 5.349109e-10 2.613819e-23 8.107695e-17 1.779334e-18 3.601152e-10 9.706617e-25 3.843901e-30 8.523801e-36 3.485443e-24 2.213111e-12 6.715362e-19 2.125663e-25 1.868108e-09 2.803613e-11 2.633085e-16 3.988721e-11 2.327191e-13 2.193039e-16 3.155318e-17 1.612556e-26 6.282798e-20 1.370755e-14 2.273766e-13 8.620032e-23 6.238255e-17 7.052508e-18 3.228505e-23 1.194724e-32 1.648877e-28 1.143554e-31 4.242835e-50 0.000000e+00 5.531584e-06 6.556924e-15 9.075211e-03
6.545464e-01 4.521505e-17 1.226734e-06 2.006403e-03 3.868624e-23 4.122789e-19 9.349254e-33 0.000000e+00 5.595703e-30 3.916975e-17 5.151697e-05 7.387641e-58 3.329390e-12 9.287122e-41 2.563486e-31 1.864704e-10 4.388318e-19 2.679191e-11 5.744536e-07 3.611557e-02 5.487208e-30 1.129078e-09 3.230437e-24 3.091744e-20 2.560897e-13 8.138422e-20 1.944503e-01 2.424234e-16 4.949692e-16 9.099150e-19 4.230379e-18 1.229704e-17 2.267120e-33 2.561025e-25 0.000000e+00 5.225670e-11 1.384929e-21 7.582924e-01 1.522904e-09 4.160661e-07 3.510133e-20 1.005380e-25 1.981835e-20 4.404889e-22 1.475442e-11 1.426623e-17 4.084285e-13 5.554715e-09 3.475474e-07 3.593793e-18 4.428339e-23 2.011465e-20 8.410742e-16 1.179387e-17 2.427253e-13 2.179822e-21 3.351258e-10 1.275872e-10 1.309447e-26 3.414181e-19 7.532458e-27 5.511636e-18 7.990370e-19 3.022576e-19 4.670527e-10 6.896092e-30 5.344184e-10 2.604566e-23 8.117916e-17 2.663530e-18 3.608352e-10 1.072825e-24 3.850791e-30 8.323726e-36 3.491671e-24 2.226401e-12 3.969617e-19 2.685508e-25 1.869180e-09 2.797628e-11 2.635460e-16 3.991139e-11 2.327205e-13 2.195044e-16 3.173399e-17 2.446706e-26 6.402623e-20 1.372007e-14 2.275843e-13 8.718248e-23 6.240259e-17 7.100640e-18 3.233925e-23 1.195213e-32 2.815680e-28 1.976319e-31 1.540394e-50 0.000000e+00 5.555351e-06 7.379378e-14 9.080798e-03
5.683125e-01 5.375142e-17 1.227675e-06 1.442526e-03 4.946808e-23 5.166195e-19 4.672709e-32 0.000000e+00 6.149306e-30 4.059905e-17 5.153859e-05 9.042245e-59 3.334507e-12 6.509383e-41 2.356763e-31 1.866370e-10 4.694158e-19 2.681923e-11 5.790285e-07 3.613596e-02 6.460659e-30 1.084465e-09 3.759253e-24 3.470862e-20 2.564331e-13 2.000467e-19 1.945602e-01 2.426418e-16 4.952342e-16 8.793015e-19 4.534336e-18 1.230232e-17 3.983759e-34 1.373665e-25 0.000000e+00 5.229565e-11 1.487141e-21 7.587209e-01 1.523192e-09 4.162604e-07 3.511514e-20 1.398367e-25 1.982667e-20 4.405530e-22 1.480033e-11 1.427947e-17 4.087876e-13 5.545472e-09 3.476903e-07 3.597855e-18 4.588079e-23 2.013263e-20 8.417948e-16 1.216838e-17 3.262920e-13 2.427759e-21 4.308626e-10 1.252315e-10 1.650939e-26 9.142449e-19 9.710744e-27 7.579431e-18 9.432410e-19 3.875624e-19 4.663018e-10 0.000000e+00 5.338959e-10 2.579057e-23 8.129807e-17 3.970359e-18 3.615744e-10 1.281397e-24 3.859267e-30 7.925701e-36 3.499324e-24 2.245317e-12 2.313603e-19 3.327685e-25 1.870111e-09 2.759376e-11 2.637985e-16 3.993360e-11 2.326623e-13 2.197184e-16 3.198223e-17 4.066200e-26 6.567544e-20 1.373344e-14 2.278060e-13 8.815723e-23 6.241845e-17 7.159003e-18 3.240173e-23 1.195638e-32 4.613416e-28 4.282038e-31 4.923603e-51 0.000000e+00 5.161838e-06 4.583330e-13 9.085927e-03
4.934396e-01 6.263585e-17 1.228563e-06 9.768855e-04 6.142814e-23 6.282076e-19 1.991105e-31 0.000000e+00 6.631175e-30 4.005489e-17 5.155545e-05 0.000000e+00 3.340576e-12 4.051889e-40 2.045068e-31 1.868028e-10 4.843432e-19 2.684738e-11 5.839306e-07 3.615280e-02 7.461311e-30 1.035639e-09 4.261032e-24 3.777572e-20 2.568141e-13 5.563667e-19 1.946509e-01 2.428596e-16 4.954482e-16 8.154273e-19 4.706834e-18 1.230753e-17 2.153708e-34 7.042289e-26 0.000000e+00 5.233032e-11 1.541978e-21 7.590747e-01 1.523300e-09 4.164351e-07 3.512584e-20 1.955324e-25 1.983299e-20 4.405773e-22 1.484237e-11 1.429336e-17 4.091497e-13 5.520887e-09 3.478092e-07 3.602143e-18 4.802040e-23 2.015058e-20 8.425026e-16 1.267561e-17 4.386016e-13 2.632424e-21 5.185734e-10 1.218522e-10 2.017928e-26 3.051161e-18 1.208965e-26 1.030298e-17 1.137835e-18 4.806189e-19 4.655823e-10 0.000000e+00 5.333280e-10 2.600407e-23 8.143115e-17 5.941004e-18 3.623113e-10 1.620568e-24 3.869123e-30 8.021336e-36 3.508312e-24 2.270444e-12 1.307919e-19 4.074626e-25 1.870812e-09 2.635812e-11 2.640546e-16 3.995193e-11 2.325375e-13 2.199366e-16 3.229974e-17 6.765274e-26 6.779566e-20 1.374706e-14 2.280319e-13 8.905752e-23 6.242862e-17 7.226193e-18 3.247070e-23 1.195943e-32 7.376713e-28 1.188521e-30 1.317301e-51 0.000000e+00 4.299451e-06 1.666284e-12 9.090163e-03
4.284310e-01 7.183426e-17 1.229380e-06 6.258232e-04 7.438089e-23 7.421704e-19 7.293110e-31 2.699650e-31 7.333536e-30 3.752341e-17 5.156673e-05 6.565996e-56 3.347692e-12 7.671421e-39 1.667005e-31 1.869651e-10 4.822003e-19 2.687602e-11 5.891536e-07 3.616550e-02 8.478485e-30 9.858465e-10 4.735699e-24 3.995257e-20 2.572297e-13 1.813442e-18 1.947193e-01 2.430734e-16 4.956047e-16 7.248973e-19 4.754492e-18 1.231293e-17 0.000000e+00 3.743450e-26 0.000000e+00 5.235986e-11 1.544693e-21 7.593414e-01 1.523203e-09 4.165786e-07 3.513335e-20 2.777166e-25 1.983718e-20 4.405692e-22 1.487805e-11 1.430787e-17 4.095106e-13 5.486188e-09 3.478969e-07 3.606611e-18 5.075479e-23 2.016823e-20 8.431855e-16 1.332881e-17 5.941820e-13 2.794573e-21 5.972944e-10 1.176877e-10 2.413442e-26 1.477884e-17 1.467702e-26 1.389873e-17 1.380823e-18 5.813577e-19 4.648863e-10 0.000000e+00 5.327160e-10 2.605451e-23 8.157793e-17 8.855470e-18 3.630353e-10 2.110647e-24 3.880134e-30 7.868951e-36 3.518600e-24 2.302273e-12 8.746572e-20 4.959850e-25 1.871254e-09 2.404014e-11 2.643108e-16 3.996573e-11 2.323482e-13 2.201558e-16 3.268803e-17 1.426682e-25 7.040226e-20 1.376074e-14 2.282588e-13 8.976943e-23 6.243320e-17 7.301210e-18 3.254545e-23 1.196108e-32 1.164848e-27 4.075203e-30 3.127074e-52 0.000000e+00 3.263756e-06 3.899645e-12 9.093357e-03
3.719869e-01 8.145406e-17 1.230131e-06 3.852094e-04 8.836116e-23 8.553086e-19 2.313237e-30 0.000000e+00 8.979682e-30 3.350447e-17 5.157265e-05 0.000000e+00 3.355993e-12 1.135035e-37 1.281263e-31 1.871247e-10 4.650806e-19 2.690527e-11 5.946955e-07 3.617419e-02 9.543532e-30 9.381897e-10 5.194244e-24 4.126570e-20 2.576806e-13 7.038713e-18 1.947662e-01 2.432842e-16 4.957077e-16 6.195783e-19 4.714070e-18 1.231897e-17 7.405826e-35 2.501586e-26 0.000000e+00 5.238446e-11 1.500979e-21 7.595243e-01 1.522906e-09 4.166869e-07 3.513821e-20 4.032480e-25 1.983947e-20 4.405422e-22 1.490596e-11 1.432319e-17 4.098737e-13 5.447309e-09 3.479529e-07 3.611280e-18 5.413110e-23 2.018568e-20 8.438473e-16 1.413930e-17 8.149345e-13 2.931477e-21 6.663213e-10 1.131103e-10 2.846177e-26 6.148939e-17 1.749548e-26 1.868258e-17 1.660969e-18 6.898973e-19 4.642116e-10 1.014447e-29 5.320705e-10 2.635401e-23 8.173917e-17 1.278988e-17 3.637436e-10 2.748638e-24 3.891982e-30 8.176467e-36 3.530172e-24 2.341178e-12 9.783866e-20 6.030766e-25 1.871452e-09 2.109566e-11 2.645682e-16 3.997514e-11 2.321026e-13 2.203772e-16 3.314942e-17 3.500269e-25 7.350815e-20 1.377456e-14 2.284880e-13 9.017453e-23 6.243324e-17 7.383360e-18 3.262593e-23 1.196140e-32 1.831345e-27 1.518430e-29 7.972393e-53 0.000000e+00 2.251921e-06 6.688974e-12 9.095545e-03
3.229791e-01 9.160460e-17 1.230874e-06 2.300283e-04 1.036258e-22 9.681610e-19 6.442088e-30 0.000000e+00 1.286658e-29 2.878150e-17 5.157420e-05 0.000000e+00 3.366151e-12 1.283799e-36 9.382449e-32 1.872933e-10 4.373700e-19 2.693718e-11 6.008674e-07 3.617979e-02 1.067659e-29 8.930545e-10 5.643359e-24 4.186893e-20 2.581951e-13 3.198180e-17 1.947964e-01 2.435074e-16 4.957708e-16 5.123711e-19 4.631289e-18 1.232656e-17 0.000000e+00 2.357672e-26 0.000000e+00 5.240611e-11 1.423095e-21 7.596422e-01 1.522411e-09 4.167651e-07 3.514153e-20 5.981466e-25 1.984037e-20 4.405115e-22 1.492671e-11 1.434050e-17 4.102664e-13 5.408320e-09 3.479823e-07 3.616466e-18 5.840551e-23 2.020419e-20 8.445369e-16 1.516829e-17 1.131844e-12 3.080566e-21 7.283147e-10 1.083362e-10 3.332113e-26 1.487187e-16 2.059314e-26 2.512007e-17 1.972206e-18 8.073229e-19 4.635252e-10 0.000000e+00 5.313724e-10 2.647790e-23 8.192563e-17 1.755707e-17 3.644760e-10 3.537461e-24 3.904858e-30 8.221022e-36 3.543689e-24 2.389858e-12 1.658039e-19 7.334808e-25 1.871448e-09 1.838822e-11 2.648451e-16 3.998115e-11 2.317965e-13 2.206163e-16 3.371614e-17 9.006606e-25 7.731664e-20 1.378948e-14 2.287354e-13 9.032210e-23 6.243015e-17 7.476887e-18 3.271703e-23 1.196056e-32 2.878163e-27 5.611219e-29 2.505115e-53 0.000000e+00 1.389719e-06 9.168412e-12 9.096956e-03
2.804279e-01 1.027742e-16 1.231682e-06 1.388578e-04 1.227851e-22 1.113174e-18 1.595922e-29 6.128740e-31 2.147232e-29 2.535848e-17 5.157214e-05 1.443759e-53 3.379231e-12 1.147106e-35 7.117697e-32 1.874863e-10 4.167080e-19 2.697460e-11 6.081150e-07 3.618308e-02 1.194260e-29 8.507644e-10 6.124032e-24 4.277853e-20 2.588160e-13 1.205947e-16 1.948142e-01 2.437633e-16 4.958058e-16 4.291447e-19 4.639141e-18 1.233704e-17 8.135079e-35 2.743896e-26 2.816105e-35 5.242688e-11 1.364867e-21 7.597115e-01 1.521696e-09 4.168171e-07 3.514454e-20 8.676451e-25 1.984036e-20 4.404947e-22 1.494050e-11 1.436156e-17 4.107263e-13 5.373669e-09 3.479891e-07 3.622628e-18 6.400806e-23 2.022545e-20 8.453179e-16 1.651888e-17 1.548143e-12 3.335303e-21 7.851585e-10 1.036422e-10 3.906388e-26 2.513783e-16 2.413063e-26 3.388846e-17 2.303129e-18 9.406852e-19 4.627911e-10 2.039757e-29 5.305950e-10 2.683818e-23 8.215364e-17 2.266949e-17 3.652833e-10 4.352555e-24 3.918887e-30 8.905868e-36 3.560188e-24 2.452819e-12 3.087565e-19 8.823302e-25 1.871270e-09 1.631911e-11 2.651666e-16 3.998462e-11 2.314169e-13 2.208948e-16 3.444297e-17 2.464405e-24 8.217019e-20 1.380686e-14 2.290235e-13 9.067897e-23 6.242529e-17 7.588484e-18 3.282615e-23 1.195864e-32 4.444934e-27 1.943912e-28 1.063079e-53 0.000000e+00 7.452811e-07 1.093779e-11 9.097784e-03
