PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 2.435852e-17 1.224055e-06 8.906709e-03 1.576202e-23 1.712663e-19 1.300149e-35 0.000000e+00 3.037722e-30 2.910613e-17 5.109982e-05 1.497372e-57 2.328676e-12 2.406994e-40 2.687835e-31 1.855061e-10 3.228649e-19 2.740539e-11 5.591251e-07 3.586594e-02 2.433855e-30 1.282977e-09 1.703028e-24 1.889735e-20 2.029858e-13 6.134982e-21 1.931053e-01 2.395315e-16 3.829586e-16 8.633855e-19 2.971131e-18 6.828805e-18 3.469067e-32 1.338909e-24 0.000000e+00 5.187223e-11 3.965064e-21 7.530480e-01 6.103093e-09 4.077666e-07 2.298193e-19 1.468699e-25 6.461891e-20 5.629605e-21 1.461986e-11 9.977152e-18 4.011161e-13 5.402594e-09 3.452682e-07 3.524276e-18 1.218731e-22 8.481474e-20 3.412424e-15 1.107010e-17 9.004166e-14 1.319442e-21 2.241882e-11 1.358454e-10 4.399790e-27 2.356863e-20 2.133515e-27 2.082958e-18 7.516549e-19 8.913959e-20 4.623594e-10 0.000000e+00 5.328740e-10 3.108609e-23 9.986366e-17 8.511193e-19 3.569820e-10 1.489890e-24 8.177814e-30 2.768505e-36 5.706674e-24 2.001466e-12 8.002164e-19 1.304746e-25 2.069538e-09 2.775076e-11 2.599390e-16 3.963652e-11 2.608140e-13 2.146908e-16 3.246679e-17 8.374813e-27 5.091947e-20 1.305801e-14 2.243523e-13 7.737251e-23 5.813165e-17 9.140817e-18 3.496763e-23 1.194044e-32 4.436138e-29 1.743334e-32 2.146870e-49 0.000000e+00 0.000000e+00 8.262367e-18 9.017996e-03
8.682540e-01 3.187886e-17 1.231156e-06 3.201464e-03 2.295119e-23 2.397003e-19 2.220785e-34 1.621041e-31 3.764728e-30 3.474889e-17 5.138616e-05 0.000000e+00 2.342451e-12 1.742021e-40 2.865044e-31 1.865869e-10 3.887037e-19 2.756584e-11 5.652996e-07 3.607239e-02 3.149457e-30 1.275494e-09 2.307441e-24 2.387210e-20 2.041849e-13 1.284305e-20 1.942169e-01 2.409275e-16 3.851608e-16 9.514668e-19 3.621353e-18 6.867266e-18 1.485056e-32 8.072327e-25 1.322407e-35 5.217737e-11 4.784849e-21 7.573830e-01 6.136338e-09 4.099994e-07 2.311175e-19 2.168882e-25 6.498887e-20 5.661226e-21 1.472388e-11 1.003514e-17 4.034472e-13 5.479645e-09 3.472648e-07 3.544985e-18 1.233783e-22 8.530928e-20 3.432280e-15 1.119310e-17 1.298278e-13 1.646346e-21 1.348595e-10 1.368337e-10 7.149776e-27 5.679936e-20 3.764867e-27 3.090877e-18 7.822984e-19 1.550426e-19 4.637963e-10 0.000000e+00 5.352122e-10 3.145303e-23 1.004567e-16 1.310601e-18 3.593722e-10 1.407921e-24 8.227836e-30 2.808606e-36 5.741334e-24 2.015568e-12 1.157113e-18 1.761574e-25 2.081441e-09 2.804514e-11 2.614570e-16 3.986420e-11 2.622716e-13 2.159452e-16 3.269583e-17 1.375351e-26 5.146481e-20 1.313431e-14 2.256633e-13 7.849840e-23 5.845808e-17 9.208903e-18 3.517960e-23 1.200740e-32 9.178521e-29 7.023863e-32 1.156244e-49 0.000000e+00 5.195390e-05 3.169524e-16 9.069908e-03
7.538651e-01 3.997701e-17 1.231990e-06 2.621765e-03 3.147408e-23 3.186676e-19 1.577480e-33 0.000000e+00 4.442522e-30 3.912753e-17 5.140806e-05 0.000000e+00 2.344754e-12 1.144778e-40 2.874638e-31 1.867240e-10 4.451369e-19 2.758780e-11 5.690740e-07 3.609336e-02 3.909778e-30 1.246827e-09 2.907060e-24 2.867264e-20 2.043759e-13 2.803085e-20 1.943299e-01 2.411052e-16 3.853793e-16 9.927051e-19 4.166341e-18 6.869896e-18 5.808621e-33 4.630723e-25 9.124548e-35 5.221535e-11 5.493745e-21 7.578235e-01 6.137817e-09 4.101440e-07 2.312077e-19 3.107970e-25 6.502345e-20 5.663185e-21 1.476545e-11 1.004246e-17 4.037344e-13 5.506240e-09 3.473965e-07 3.547978e-18 1.253314e-22 8.537284e-20 3.434745e-15 1.134405e-17 1.803394e-13 1.951986e-21 2.498756e-10 1.365737e-10 1.008980e-26 1.392882e-19 5.558579e-27 4.411040e-18 8.504685e-19 2.264465e-19 4.628287e-10 0.000000e+00 5.347238e-10 3.166720e-23 1.005561e-16 1.991883e-18 3.599822e-10 1.426090e-24 8.239496e-30 2.821048e-36 5.748739e-24 2.023145e-12 6.717869e-19 2.287021e-25 2.082612e-09 2.804378e-11 2.616569e-16 3.988692e-11 2.623268e-13 2.161118e-16 3.281550e-17 1.762702e-26 5.205522e-20 1.314446e-14 2.258375e-13 7.927519e-23 5.847808e-17 9.244262e-18 3.522169e-23 1.201208e-32 1.667562e-28 1.480557e-31 4.607109e-50 0.000000e+00 6.390050e-06 6.574902e-15 9.075182e-03
6.545464e-01 4.871680e-17 1.232935e-06 2.003689e-03 4.155414e-23 4.102604e-19 9.344867e-33 0.000000e+00 4.966861e-30 4.234126e-17 5.143214e-05 9.991884e-59 2.347869e-12 7.052129e-41 2.767972e-31 1.868845e-10 4.927244e-19 2.761419e-11 5.732504e-07 3.611572e-02 4.726464e-30 1.206972e-09 3.499152e-24 3.325231e-20 2.046217e-13 6.360519e-20 1.944503e-01 2.413136e-16 3.856093e-16 9.973345e-19 4.617594e-18 6.872732e-18 2.203428e-33 2.583667e-25 1.406222e-34 5.225619e-11 6.099166e-21 7.582931e-01 6.139410e-09 4.103319e-07 2.312955e-19 4.366623e-25 6.506042e-20 5.665141e-21 1.481362e-11 1.005136e-17 4.040722e-13 5.509112e-09 3.475474e-07 3.551638e-18 1.285281e-22 8.544768e-20 3.437610e-15 1.159711e-17 2.449120e-13 2.241975e-21 3.603681e-10 1.353421e-10 1.327300e-26 3.482694e-19 7.541181e-27 6.161070e-18 9.691091e-19 3.051123e-19 4.619379e-10 2.091101e-30 5.342325e-10 3.171762e-23 1.006839e-16 2.982152e-18 3.606521e-10 1.578125e-24 8.255715e-30 2.736249e-36 5.758788e-24 2.035423e-12 3.982871e-19 2.892023e-25 2.083820e-09 2.798689e-11 2.618940e-16 3.991122e-11 2.623386e-13 2.163099e-16 3.300191e-17 2.709188e-26 5.296894e-20 1.315653e-14 2.260448e-13 8.005159e-23 5.849739e-17 9.292047e-18 3.527521e-23 1.201710e-32 2.844035e-28 2.286086e-31 1.674533e-50 0.000000e+00 6.429338e-06 7.399586e-14 9.080805e-03
5.683125e-01 5.799149e-17 1.233882e-06 1.437382e-03 5.316822e-23 5.131667e-19 4.675404e-32 0.000000e+00 5.407896e-30 4.399599e-17 5.145384e-05 0.000000e+00 2.351719e-12 4.768692e-41 2.547960e-31 1.870522e-10 5.278773e-19 2.764264e-11 5.777585e-07 3.613621e-02 5.569571e-30 1.159331e-09 4.072193e-24 3.738045e-20 2.049076e-13 1.548719e-19 1.945606e-01 2.415317e-16 3.858166e-16 9.661865e-19 4.953684e-18 6.875549e-18 7.864323e-34 1.385272e-25 0.000000e+00 5.229514e-11 6.558062e-21 7.587234e-01 6.140580e-09 4.105255e-07 2.313670e-19 6.081615e-25 6.509479e-20 5.666858e-21 1.486225e-11 1.006116e-17 4.044279e-13 5.490626e-09 3.476903e-07 3.555664e-18 1.331130e-22 8.552639e-20 3.440572e-15 1.196609e-17 3.286394e-13 2.506115e-21 4.635533e-10 1.329903e-10 1.670138e-26 9.345009e-19 9.722067e-27 8.473268e-18 1.144937e-18 3.918909e-19 4.611037e-10 5.379124e-30 5.337105e-10 3.156390e-23 1.008324e-16 4.445515e-18 3.613406e-10 1.888003e-24 8.275853e-30 2.501272e-36 5.771091e-24 2.052895e-12 2.333815e-19 3.587852e-25 2.084870e-09 2.760667e-11 2.621458e-16 3.993350e-11 2.622862e-13 2.165209e-16 3.325534e-17 5.144806e-26 5.420733e-20 1.316940e-14 2.262657e-13 8.079277e-23 5.851275e-17 9.349710e-18 3.533650e-23 1.202146e-32 4.652423e-28 4.453238e-31 5.357935e-51 0.000000e+00 5.987463e-06 4.595635e-13 9.085957e-03
4.934396e-01 6.768510e-17 1.234774e-06 9.706612e-04 6.607391e-23 6.226636e-19 1.994035e-31 0.000000e+00 5.865351e-30 4.353594e-17 5.147072e-05 0.000000e+00 2.356327e-12 2.564887e-40 2.214574e-31 1.872189e-10 5.456445e-19 2.767198e-11 5.825858e-07 3.615309e-02 6.449138e-30 1.107184e-09 4.616252e-24 4.074996e-20 2.052268e-13 4.281818e-19 1.946516e-01 2.417489e-16 3.859834e-16 8.986695e-19 5.147155e-18 6.878350e-18 2.471510e-35 7.092711e-26 0.000000e+00 5.232972e-11 6.810793e-21 7.590781e-01 6.141025e-09 4.107016e-07 2.314163e-19 8.517587e-25 6.512413e-20 5.668289e-21 1.490740e-11 1.007158e-17 4.047858e-13 5.455092e-09 3.478092e-07 3.559908e-18 1.392577e-22 8.560523e-20 3.443480e-15 1.246583e-17 4.408008e-13 2.730855e-21 5.582523e-10 1.295757e-10 2.038784e-26 3.136251e-18 1.210383e-26 1.151858e-17 1.382468e-18 4.869876e-19 4.603068e-10 0.000000e+00 5.331423e-10 3.124260e-23 1.009986e-16 6.650835e-18 3.620265e-10 2.392326e-24 8.299486e-30 2.090859e-36 5.785501e-24 2.076103e-12 1.336352e-19 4.399617e-25 2.085662e-09 2.637153e-11 2.624008e-16 3.995184e-11 2.621613e-13 2.167356e-16 3.357611e-17 7.784936e-26 5.577567e-20 1.318249e-14 2.264905e-13 8.144205e-23 5.852273e-17 9.415846e-18 3.540379e-23 1.202459e-32 7.425342e-28 1.279534e-30 1.434041e-51 0.000000e+00 5.019180e-06 1.670634e-12 9.090202e-03
4.284310e-01 7.776894e-17 1.235592e-06 6.195113e-04 8.007964e-23 7.338228e-19 7.308783e-31 0.000000e+00 6.546838e-30 4.092250e-17 5.148198e-05 0.000000e+00 2.361770e-12 4.804288e-39 1.808562e-31 1.873819e-10 5.443378e-19 2.770186e-11 5.877261e-07 3.616578e-02 7.343214e-30 1.053996e-09 5.131290e-24 4.317926e-20 2.055772e-13 1.391703e-18 1.947200e-01 2.419618e-16 3.861047e-16 8.015918e-19 5.204669e-18 6.881313e-18 0.000000e+00 3.757662e-26 0.000000e+00 5.235910e-11 6.835418e-21 7.593449e-01 6.140643e-09 4.108483e-07 2.314441e-19 1.212018e-24 6.514795e-20 5.669532e-21 1.494646e-11 1.008260e-17 4.051420e-13 5.408196e-09 3.478969e-07 3.564329e-18 1.471274e-22 8.568306e-20 3.446285e-15 1.310936e-17 5.956941e-13 2.919681e-21 6.434452e-10 1.253412e-10 2.435318e-26 1.537199e-17 1.469432e-26 1.553871e-17 1.679487e-18 5.904383e-19 4.595399e-10 0.000000e+00 5.325296e-10 3.106603e-23 1.011819e-16 9.908334e-18 3.627000e-10 3.122445e-24 8.326138e-30 1.925264e-36 5.801969e-24 2.105502e-12 9.203417e-20 5.364638e-25 2.086166e-09 2.405187e-11 2.626556e-16 3.996561e-11 2.619662e-13 2.169509e-16 3.396433e-17 1.295774e-25 5.767659e-20 1.319564e-14 2.267162e-13 8.190010e-23 5.852743e-17 9.489502e-18 3.547643e-23 1.202632e-32 1.170224e-27 4.255749e-30 3.399165e-52 0.000000e+00 3.845630e-06 3.909547e-12 9.093397e-03
3.719869e-01 8.836540e-17 1.236343e-06 3.794558e-04 9.523056e-23 8.434621e-19 2.319119e-30 8.092030e-31 8.206387e-30 3.667297e-17 5.148786e-05 0.000000e+00 2.368156e-12 7.111568e-38 1.392337e-31 1.875423e-10 5.261851e-19 2.773242e-11 5.931778e-07 3.617446e-02 8.270511e-30 1.003088e-09 5.629316e-24 4.469137e-20 2.059594e-13 5.399856e-18 1.947667e-01 2.421717e-16 3.861837e-16 6.876218e-19 5.165836e-18 6.884717e-18 0.000000e+00 2.497169e-26 0.000000e+00 5.238350e-11 6.655644e-21 7.595273e-01 6.139459e-09 4.109613e-07 2.314549e-19 1.763516e-24 6.516698e-20 5.670761e-21 1.497794e-11 1.009438e-17 4.055000e-13 5.356423e-09 3.479529e-07 3.568946e-18 1.568787e-22 8.576031e-20 3.449004e-15 1.390788e-17 8.148443e-13 3.093472e-21 7.183890e-10 1.206715e-10 2.869107e-26 6.453676e-17 1.751619e-26 2.088631e-17 2.022582e-18 7.024354e-19 4.588010e-10 0.000000e+00 5.318832e-10 3.121963e-23 1.013833e-16 1.429833e-17 3.633590e-10 4.075769e-24 8.355114e-30 2.417783e-36 5.820480e-24 2.141435e-12 1.064358e-19 6.535538e-25 2.086397e-09 2.110480e-11 2.629116e-16 3.997498e-11 2.617097e-13 2.171682e-16 3.442131e-17 4.337594e-25 5.991243e-20 1.320891e-14 2.269439e-13 8.206394e-23 5.852786e-17 9.570057e-18 3.555443e-23 1.202671e-32 1.836227e-27 1.563705e-29 8.635715e-53 0.000000e+00 2.688173e-06 6.705540e-12 9.095580e-03
3.229791e-01 9.960718e-17 1.237084e-06 2.251952e-04 1.118174e-22 9.520503e-19 6.458996e-30 0.000000e+00 1.213076e-29 3.162796e-17 5.148935e-05 2.918704e-55 2.376004e-12 8.046044e-37 1.022451e-31 1.877117e-10 4.960621e-19 2.776580e-11 5.992471e-07 3.618003e-02 9.272727e-30 9.548830e-10 6.117760e-24 4.545005e-20 2.063975e-13 2.457164e-17 1.947968e-01 2.423938e-16 3.862308e-16 5.708799e-19 5.080589e-18 6.889115e-18 3.225753e-34 2.343166e-26 1.260164e-34 5.240490e-11 6.324828e-21 7.596445e-01 6.137478e-09 4.110455e-07 2.314559e-19 2.621937e-24 6.518356e-20 5.672264e-21 1.500250e-11 1.010783e-17 4.058869e-13 5.303783e-09 3.479823e-07 3.574074e-18 1.692781e-22 8.584255e-20 3.451839e-15 1.492168e-17 1.128495e-12 3.294201e-21 7.860029e-10 1.157962e-10 3.356622e-26 1.567060e-16 2.061761e-26 2.808108e-17 2.404828e-18 8.242147e-19 4.580538e-10 8.349354e-29 5.311840e-10 3.163297e-23 1.016163e-16 1.960800e-17 3.640412e-10 5.259668e-24 8.386995e-30 3.561351e-36 5.842109e-24 2.186398e-12 1.835886e-19 7.966049e-25 2.086403e-09 1.839559e-11 2.631870e-16 3.998093e-11 2.613878e-13 2.174027e-16 3.497835e-17 1.080551e-24 6.262258e-20 1.322324e-14 2.271898e-13 8.197168e-23 5.852537e-17 9.661743e-18 3.564267e-23 1.202593e-32 2.880314e-27 5.765087e-29 2.707786e-53 0.000000e+00 1.690612e-06 9.191182e-12 9.096982e-03
2.804279e-01 1.120401e-16 1.237888e-06 1.350600e-04 1.326784e-22 1.091343e-18 1.599728e-29 0.000000e+00 2.074652e-29 2.798882e-17 5.148724e-05 3.440113e-54 2.386135e-12 7.195756e-36 7.762909e-32 1.879056e-10 4.739255e-19 2.780499e-11 6.063725e-07 3.618327e-02 1.040930e-29 9.097452e-10 6.641077e-24 4.655699e-20 2.069280e-13 9.289586e-17 1.948143e-01 2.426486e-16 3.862550e-16 4.802408e-19 5.095112e-18 6.895318e-18 4.812366e-35 2.722587e-26 7.923388e-35 5.242537e-11 6.081472e-21 7.597130e-01 6.134625e-09 4.111043e-07 2.314552e-19 3.813022e-24 6.520038e-20 5.674421e-21 1.502053e-11 1.012430e-17 4.063398e-13 5.254637e-09 3.479891e-07 3.580168e-18 1.856104e-22 8.593731e-20 3.455052e-15 1.625237e-17 1.538867e-12 3.617135e-21 8.484122e-10 1.110110e-10 3.932800e-26 2.651311e-16 2.415943e-26 3.787922e-17 2.813034e-18 9.631423e-19 4.572594e-10 1.082486e-29 5.304054e-10 3.151307e-23 1.019012e-16 2.529380e-17 3.647953e-10 6.493236e-24 8.422327e-30 3.464501e-36 5.868533e-24 2.244551e-12 3.454772e-19 9.605928e-25 2.086215e-09 1.632531e-11 2.635067e-16 3.998433e-11 2.609870e-13 2.176757e-16 3.568893e-17 2.833028e-24 6.604176e-20 1.323993e-14 2.274762e-13 8.203339e-23 5.852126e-17 9.771205e-18 3.574840e-23 1.202408e-32 4.440320e-27 2.003175e-28 1.150125e-53 0.000000e+00 9.330560e-07 1.096675e-11 9.097801e-03
