PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 3.741664e-17 9.869382e-07 8.922834e-03 2.606855e-23 2.322345e-19 6.719587e-36 0.000000e+00 6.913599e-31 4.573601e-17 4.537476e-05 2.078227e-60 3.640440e-14 1.753894e-41 7.241256e-32 2.260567e-11 3.270224e-19 1.471309e-11 5.146876e-07 3.992319e-04 1.068648e-30 2.164937e-09 3.061968e-24 2.609284e-20 5.882201e-14 1.185492e-21 2.002563e-01 5.406632e-17 9.235355e-15 1.337845e-18 5.525362e-18 2.736030e-19 3.407563e-31 2.338620e-24 5.922998e-33 5.419872e-11 7.980037e-21 7.810190e-01 1.215256e-10 3.794692e-07 5.029752e-20 1.861930e-25 3.238700e-20 4.985647e-21 1.218216e-11 4.795841e-18 1.018063e-13 6.407990e-09 2.463570e-06 1.328959e-19 4.930386e-23 9.802220e-20 4.347471e-15 1.217477e-16 9.759915e-14 2.573425e-21 3.947993e-11 1.978706e-10 1.563290e-27 1.194542e-20 2.152432e-27 2.865077e-18 1.512248e-18 7.954810e-20 4.449561e-10 0.000000e+00 5.454319e-10 6.809678e-24 1.356360e-19 1.145864e-18 3.721228e-10 3.700150e-24 1.958693e-27 3.798266e-36 2.128457e-22 1.154241e-17 3.999214e-18 1.841096e-25 2.867877e-09 2.894329e-11 5.973346e-15 4.134088e-11 4.671163e-13 6.530042e-14 5.894707e-17 1.256200e-26 6.928128e-20 2.347986e-14 6.976304e-15 7.841545e-24 1.678990e-17 4.872446e-17 1.623934e-22 1.454150e-31 6.369780e-29 4.060392e-32 1.655190e-48 0.000000e+00 0.000000e+00 1.099240e-21 9.352878e-03
8.682540e-01 4.910490e-17 9.893225e-07 6.580099e-03 3.745168e-23 3.181764e-19 7.945773e-35 1.871807e-32 8.775250e-31 5.362023e-17 4.547346e-05 0.000000e+00 3.649667e-14 1.111243e-41 7.376819e-32 2.266147e-11 3.876764e-19 1.474965e-11 5.160919e-07 4.001770e-04 1.382423e-30 2.142457e-09 4.139855e-24 3.332183e-20 5.898204e-14 1.987492e-21 2.007297e-01 5.419798e-17 9.257561e-15 1.473545e-18 6.683274e-18 2.742033e-19 1.227281e-31 1.252635e-24 6.579756e-33 5.435158e-11 9.472426e-21 7.828652e-01 1.217827e-10 3.801904e-07 5.040828e-20 2.828048e-25 3.246154e-20 4.997091e-21 1.224467e-11 4.807356e-18 1.020541e-13 6.472290e-09 2.469068e-06 1.331843e-19 4.967644e-23 9.826343e-20 4.358173e-15 1.227465e-16 1.436352e-13 3.189432e-21 2.476957e-10 1.989494e-10 2.370644e-27 3.397494e-20 3.823319e-27 4.231471e-18 1.574452e-18 1.391914e-19 4.439462e-10 2.035129e-30 5.458761e-10 6.808250e-24 1.360030e-19 1.799353e-18 3.730520e-10 4.536704e-24 1.964289e-27 3.701668e-36 2.134318e-22 1.158594e-17 2.321827e-18 2.517199e-25 2.874643e-09 2.903587e-11 5.987961e-15 4.143747e-11 4.681387e-13 6.545961e-14 5.919582e-17 1.755762e-26 6.975787e-20 2.353696e-14 6.993462e-15 7.963246e-24 1.682836e-17 4.884691e-17 1.628033e-22 1.457305e-31 1.324977e-28 8.322601e-32 6.252049e-49 0.000000e+00 2.354562e-05 1.890383e-19 9.374986e-03
7.538651e-01 6.205263e-17 9.908270e-07 5.178031e-03 5.132472e-23 4.214038e-19 6.771284e-34 3.045114e-31 1.087620e-30 6.077927e-17 4.552893e-05 1.134818e-58 3.656527e-14 7.131001e-42 7.372647e-32 2.269864e-11 4.460478e-19 1.477439e-11 5.170099e-07 4.007422e-04 1.724861e-30 2.092840e-09 5.231697e-24 4.061848e-20 5.911368e-14 3.141677e-21 2.010130e-01 5.428296e-17 9.271451e-15 1.557245e-18 7.741314e-18 2.744707e-19 4.609333e-32 7.000744e-25 5.137269e-33 5.445683e-11 1.090637e-20 7.839701e-01 1.218861e-10 3.805868e-07 5.046468e-20 4.101925e-25 3.250407e-20 5.003757e-21 1.231511e-11 4.814754e-18 1.022149e-13 6.492244e-09 2.472220e-06 1.333495e-19 5.033234e-23 9.842313e-20 4.365259e-15 1.246601e-16 2.010273e-13 3.835262e-21 4.598446e-10 1.993703e-10 3.242033e-27 8.749908e-20 5.677964e-27 6.051583e-18 1.728120e-18 2.049538e-19 4.425084e-10 0.000000e+00 5.457227e-10 6.670879e-24 1.362984e-19 2.761670e-18 3.736731e-10 5.060252e-24 1.969184e-27 3.370774e-36 2.139199e-22 1.164219e-17 1.347315e-18 3.298138e-25 2.878642e-09 2.908205e-11 5.997501e-15 4.149464e-11 4.686216e-13 6.556261e-14 5.954208e-17 2.455083e-26 7.050260e-20 2.357368e-14 7.004798e-15 8.055296e-24 1.685002e-17 4.893123e-17 1.630900e-22 1.459011e-31 2.444478e-28 1.496922e-31 2.428340e-49 0.000000e+00 1.371332e-05 1.438622e-17 9.388217e-03
6.545464e-01 7.626626e-17 9.921946e-07 3.969973e-03 6.809425e-23 5.445535e-19 4.742090e-33 4.127794e-31 1.329655e-30 6.731367e-17 4.557575e-05 2.480829e-58 3.664133e-14 4.595823e-42 7.253663e-32 2.273432e-11 5.015289e-19 1.479846e-11 5.178169e-07 4.012294e-04 2.096621e-30 2.024491e-09 6.321442e-24 4.792022e-20 5.926394e-14 4.804135e-21 2.012571e-01 5.436216e-17 9.284000e-15 1.599501e-18 8.700755e-18 2.746001e-19 1.780641e-32 4.019745e-25 8.321828e-33 5.455444e-11 1.227014e-20 7.849221e-01 1.219744e-10 3.809563e-07 5.050712e-20 5.756921e-25 3.253996e-20 5.009717e-21 1.239137e-11 4.821858e-18 1.023668e-13 6.471143e-09 2.474898e-06 1.335003e-19 5.134253e-23 9.857562e-20 4.372024e-15 1.277822e-16 2.715998e-13 4.508666e-21 6.623358e-10 1.986386e-10 4.194279e-27 2.105908e-19 7.739333e-27 8.475751e-18 1.995367e-18 2.787800e-19 4.411020e-10 0.000000e+00 5.454375e-10 6.493293e-24 1.366282e-19 4.142269e-18 3.742638e-10 5.844392e-24 1.974897e-27 2.877766e-36 2.144790e-22 1.172434e-17 8.383863e-19 4.189148e-25 2.882010e-09 2.912620e-11 6.006489e-15 4.154362e-11 4.689194e-13 6.565885e-14 6.004924e-17 3.562912e-26 7.152018e-20 2.360778e-14 7.015599e-15 8.130020e-24 1.686791e-17 4.901400e-17 1.633769e-22 1.460414e-31 4.179540e-28 2.664630e-31 9.666416e-50 0.000000e+00 1.211449e-05 5.364511e-16 9.399616e-03
5.683125e-01 9.160021e-17 9.934272e-07 2.954850e-03 8.763629e-23 6.841045e-19 2.799301e-32 0.000000e+00 1.602421e-30 7.212018e-17 4.561407e-05 0.000000e+00 3.672840e-14 2.818808e-42 6.888193e-32 2.276868e-11 5.480208e-19 1.482199e-11 5.185095e-07 4.016388e-04 2.504691e-30 1.943172e-09 7.383630e-24 5.485901e-20 5.943535e-14 7.448609e-21 2.014622e-01 5.443586e-17 9.295240e-15 1.592442e-18 9.477480e-18 2.745900e-19 5.510908e-33 2.232275e-25 0.000000e+00 5.464447e-11 1.342223e-20 7.857221e-01 1.220425e-10 3.812990e-07 5.053766e-20 7.967935e-25 3.257001e-20 5.015245e-21 1.246711e-11 4.828859e-18 1.025111e-13 6.412913e-09 2.477106e-06 1.336392e-19 5.274864e-23 9.872157e-20 4.378496e-15 1.323145e-16 3.601588e-13 5.171342e-21 8.508294e-10 1.964967e-10 5.207739e-27 5.194151e-19 1.001566e-26 1.167588e-17 2.395151e-18 3.618955e-19 4.397588e-10 0.000000e+00 5.450412e-10 6.184787e-24 1.369968e-19 6.144488e-18 3.748230e-10 7.205232e-24 1.981487e-27 2.088850e-36 2.151188e-22 1.183650e-17 5.124195e-19 5.211763e-25 2.884735e-09 2.915315e-11 6.014959e-15 4.158450e-11 4.690383e-13 6.574867e-14 6.072811e-17 5.502736e-26 7.275067e-20 2.363939e-14 7.025910e-15 8.194642e-24 1.688227e-17 4.909539e-17 1.636654e-22 1.461525e-31 6.800931e-28 4.811116e-31 3.486741e-50 0.000000e+00 1.036324e-05 1.032977e-14 9.409195e-03
4.934396e-01 1.081155e-16 9.945589e-07 2.101051e-03 1.105231e-22 8.435788e-19 1.448846e-31 1.605698e-30 2.011101e-30 7.566165e-17 4.564530e-05 9.496165e-57 3.683128e-14 2.819087e-42 6.404492e-32 2.280265e-11 5.872655e-19 1.484560e-11 5.191032e-07 4.019834e-04 2.920237e-30 1.854118e-09 8.417652e-24 6.144649e-20 5.963236e-14 1.177236e-20 2.016347e-01 5.450611e-17 9.305497e-15 1.551516e-18 1.011634e-17 2.744579e-19 2.719903e-33 1.228003e-25 1.275912e-32 5.472894e-11 1.440377e-20 7.863950e-01 1.220904e-10 3.816228e-07 5.055938e-20 1.088271e-24 3.259590e-20 5.020735e-21 1.253878e-11 4.836081e-18 1.026525e-13 6.323782e-09 2.478924e-06 1.337717e-19 5.462227e-23 9.886494e-20 4.384851e-15 1.384861e-16 4.700117e-13 5.853919e-21 1.023669e-09 1.929818e-10 6.324513e-27 1.292871e-18 1.253178e-26 1.591139e-17 2.945512e-18 4.563236e-19 4.384975e-10 3.031548e-29 5.445599e-10 6.347751e-24 1.374140e-19 9.064232e-18 3.753623e-10 9.296982e-24 1.989098e-27 2.222522e-36 2.158574e-22 1.198334e-17 3.270829e-19 6.374242e-25 2.886901e-09 2.908792e-11 6.023144e-15 4.161862e-11 4.690000e-13 6.583457e-14 6.158825e-17 8.204503e-26 7.413615e-20 2.366938e-14 7.036011e-15 8.247745e-24 1.689379e-17 4.917730e-17 1.639630e-22 1.462390e-31 1.065803e-27 9.638837e-31 1.201404e-50 0.000000e+00 8.766358e-06 1.031891e-13 9.417251e-03
4.284310e-01 1.255484e-16 9.955835e-07 1.417619e-03 1.357041e-22 1.008264e-18 6.675772e-31 1.298606e-30 2.732764e-30 7.572983e-17 4.566904e-05 0.000000e+00 3.695297e-14 2.837798e-41 5.617429e-32 2.283618e-11 6.080635e-19 1.486928e-11 5.195927e-07 4.022593e-04 3.367298e-30 1.762112e-09 9.398510e-24 6.690473e-20 5.985637e-14 2.070820e-20 2.017728e-01 5.457270e-17 9.314713e-15 1.456217e-18 1.047258e-17 2.742191e-19 1.600043e-34 6.136006e-26 0.000000e+00 5.480758e-11 1.495362e-20 7.869336e-01 1.221163e-10 3.819177e-07 5.057308e-20 1.503496e-24 3.261786e-20 5.026345e-21 1.260360e-11 4.843624e-18 1.027911e-13 6.211251e-09 2.480328e-06 1.338975e-19 5.704740e-23 9.900553e-20 4.391080e-15 1.465131e-16 6.149645e-13 6.502065e-21 1.179486e-09 1.882527e-10 7.486921e-27 3.804697e-18 1.527862e-26 2.146024e-17 3.655843e-18 5.620518e-19 4.373163e-10 0.000000e+00 5.439981e-10 6.068475e-24 1.378832e-19 1.336012e-17 3.758778e-10 1.240590e-23 1.997776e-27 1.243875e-36 2.167028e-22 1.216852e-17 1.981071e-19 7.742356e-25 2.888483e-09 2.863121e-11 6.031025e-15 4.164559e-11 4.688098e-13 6.591629e-14 6.262858e-17 1.708471e-25 7.560384e-20 2.369767e-14 7.045886e-15 8.289470e-24 1.690244e-17 4.925962e-17 1.642699e-22 1.462997e-31 1.639307e-27 2.260571e-30 3.260236e-51 0.000000e+00 7.028513e-06 5.697550e-13 9.423700e-03
3.719869e-01 1.444797e-16 9.964811e-07 9.277906e-04 1.656047e-22 1.198878e-18 2.743244e-30 7.842301e-31 4.427159e-30 7.546010e-17 4.568423e-05 0.000000e+00 3.709599e-14 4.625929e-40 4.924168e-32 2.286892e-11 6.255172e-19 1.489282e-11 5.199660e-07 4.024573e-04 3.870250e-30 1.671989e-09 1.038183e-23 7.216253e-20 6.010773e-14 3.848767e-20 2.018718e-01 5.463465e-17 9.322701e-15 1.355152e-18 1.080055e-17 2.738964e-19 7.524047e-35 3.228422e-26 0.000000e+00 5.487932e-11 1.542474e-20 7.873196e-01 1.221174e-10 3.821663e-07 5.057861e-20 2.053917e-24 3.263556e-20 5.032138e-21 1.265928e-11 4.851507e-18 1.029258e-13 6.084073e-09 2.481261e-06 1.340142e-19 6.014578e-23 9.914178e-20 4.397112e-15 1.566239e-16 7.951762e-13 7.253689e-21 1.317395e-09 1.826928e-10 8.807435e-27 1.267359e-17 1.833126e-26 2.884067e-17 4.517838e-18 6.831007e-19 4.361995e-10 0.000000e+00 5.433498e-10 6.049627e-24 1.384060e-19 1.936041e-17 3.763613e-10 1.638795e-23 2.007541e-27 1.073434e-36 2.176593e-22 1.239547e-17 1.494688e-19 9.298716e-25 2.889416e-09 2.736393e-11 6.038499e-15 4.166445e-11 4.684675e-13 6.599266e-14 6.384897e-17 3.530823e-25 7.708811e-20 2.372381e-14 7.055421e-15 8.315339e-24 1.690790e-17 4.934158e-17 1.645842e-22 1.463309e-31 2.463463e-27 6.416290e-30 9.308696e-52 0.000000e+00 5.115073e-06 1.811646e-12 9.428321e-03
3.229791e-01 1.640065e-16 9.973417e-07 5.686470e-04 1.958081e-22 1.366116e-18 1.022665e-29 0.000000e+00 7.919851e-30 6.971416e-17 4.569338e-05 9.923681e-55 3.727366e-14 5.802489e-39 3.912016e-32 2.290376e-11 6.123868e-19 1.491826e-11 5.202615e-07 4.026027e-04 4.364417e-30 1.583342e-09 1.128162e-23 7.516263e-20 6.040486e-14 9.611145e-20 2.019443e-01 5.469776e-17 9.330276e-15 1.192164e-18 1.073547e-17 2.735124e-19 0.000000e+00 1.570701e-26 0.000000e+00 5.495029e-11 1.517254e-20 7.876026e-01 1.220966e-10 3.823877e-07 5.057913e-20 2.926404e-24 3.265164e-20 5.038819e-21 1.270769e-11 4.860495e-18 1.030690e-13 5.944742e-09 2.481866e-06 1.341344e-19 6.424680e-23 9.928580e-20 4.403484e-15 1.696854e-16 1.054578e-12 7.997085e-21 1.443194e-09 1.763237e-10 1.019054e-26 5.988634e-17 2.163174e-26 3.851037e-17 5.544999e-18 8.163184e-19 4.351065e-10 0.000000e+00 5.426094e-10 6.084870e-24 1.390225e-19 2.744420e-17 3.768538e-10 2.204530e-23 2.019092e-27 1.135120e-36 2.187999e-22 1.268185e-17 1.476729e-19 1.123383e-24 2.889863e-09 2.504157e-11 6.046248e-15 4.167773e-11 4.679816e-13 6.607079e-14 6.531803e-17 7.329347e-25 7.858793e-20 2.375027e-14 7.065467e-15 8.318538e-24 1.691114e-17 4.943004e-17 1.649319e-22 1.463399e-31 3.722573e-27 2.059356e-29 1.890508e-52 0.000000e+00 3.550309e-06 4.042111e-12 9.431709e-03
2.804279e-01 1.852199e-16 9.982051e-07 3.391825e-04 2.312770e-22 1.556347e-18 3.400247e-29 0.000000e+00 1.523233e-29 6.442173e-17 4.569622e-05 2.706083e-55 3.750269e-14 5.679473e-38 3.124122e-32 2.294278e-11 5.981527e-19 1.494714e-11 5.204838e-07 4.026961e-04 4.927900e-30 1.497450e-09 1.218457e-23 7.796472e-20 6.076876e-14 2.707847e-19 2.019907e-01 5.476542e-17 9.337772e-15 1.043803e-18 1.071083e-17 2.730880e-19 1.741971e-34 1.008453e-26 2.731736e-33 5.502387e-11 1.488254e-20 7.877835e-01 1.220504e-10 3.825774e-07 5.057511e-20 4.143331e-24 3.266712e-20 5.046986e-21 1.274892e-11 4.871281e-18 1.032298e-13 5.797134e-09 2.482132e-06 1.342650e-19 6.987741e-23 9.944606e-20 4.410571e-15 1.869768e-16 1.388714e-12 8.970854e-21 1.559783e-09 1.694927e-10 1.184556e-26 1.995487e-16 2.534760e-26 5.148513e-17 6.723186e-18 9.705856e-19 4.339840e-10 2.330406e-29 5.417405e-10 6.311119e-24 1.397776e-19 3.709701e-17 3.773810e-10 2.890250e-23 2.033236e-27 2.079307e-36 2.202087e-22 1.305236e-17 2.307836e-19 1.347409e-24 2.889798e-09 2.199837e-11 6.054709e-15 4.168537e-11 4.673249e-13 6.615493e-14 6.714576e-17 1.697441e-24 8.010962e-20 2.377845e-14 7.076611e-15 8.308730e-24 1.691213e-17 4.953037e-17 1.653353e-22 1.463242e-31 5.551673e-27 6.956961e-29 5.074827e-53 0.000000e+00 2.094245e-06 6.898655e-12 9.433872e-03
