PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 1.078963e-13 5.727773e-07 8.897887e-03 1.249125e-20 5.026058e-17 6.883219e-42 2.331866e-30 1.026161e-25 7.187112e-15 1.124481e-06 5.705372e-29 0.000000e+00 1.507030e-33 1.117093e-28 1.207691e-11 5.553449e-16 2.288279e-13 1.378204e-07 3.981158e-04 1.696811e-26 3.678839e-10 5.245356e-22 1.718518e-18 3.226229e-13 4.883686e-20 1.996415e-01 1.678854e-21 4.353949e-21 5.854891e-12 1.456534e-11 1.312910e-09 7.467971e-30 5.377786e-26 2.728596e-29 5.946757e-11 4.135989e-16 7.816993e-01 1.070240e-10 1.522541e-11 4.481818e-19 3.882879e-25 9.290444e-19 1.906777e-13 1.975993e-17 1.820457e-22 5.313619e-15 7.705172e-11 2.459578e-07 4.145036e-29 1.077830e-18 2.663237e-15 1.230442e-10 6.044900e-18 2.025166e-08 1.082929e-14 1.386882e-10 4.550353e-14 1.853988e-21 6.058391e-16 8.249480e-27 6.202571e-16 6.144005e-14 9.909047e-18 4.201010e-14 2.050356e-29 4.241443e-10 8.575521e-23 3.215468e-26 9.406542e-17 2.243066e-10 1.103160e-16 4.376814e-13 1.358714e-34 6.570795e-17 1.685602e-09 2.787834e-17 3.210033e-22 5.858831e-10 1.829389e-10 2.009734e-19 3.565612e-11 8.337204e-12 2.900894e-20 2.864813e-16 2.175256e-23 0.000000e+00 2.530896e-27 4.861999e-22 5.651049e-36 2.415249e-19 6.063920e-27 2.144820e-30 4.638949e-32 4.681686e-22 1.849626e-26 1.101607e-46 0.000000e+00 0.000000e+00 5.316257e-18 9.361045e-03
8.682540e-01 7.530826e-14 5.743851e-07 6.531803e-03 8.597469e-21 5.237610e-17 4.445709e-43 0.000000e+00 4.770488e-26 4.878913e-15 1.122230e-06 3.269737e-36 0.000000e+00 8.381789e-41 6.045904e-29 1.209937e-11 4.421488e-16 2.274574e-13 1.282852e-07 3.997075e-04 1.071811e-26 1.887857e-10 2.436472e-22 8.900473e-19 2.970904e-13 4.331493e-20 2.001180e-01 1.682866e-21 4.364389e-21 7.361536e-12 1.242397e-11 1.572488e-09 7.523567e-34 4.130751e-26 1.686098e-29 6.035503e-11 3.194060e-16 7.835650e-01 9.674143e-11 5.593161e-12 4.314820e-19 1.405744e-25 8.920735e-19 1.910882e-13 9.469199e-18 1.570427e-22 5.183397e-15 1.949018e-11 2.464952e-07 4.154598e-29 9.527151e-19 2.669612e-15 1.233369e-10 4.544320e-18 1.798618e-08 2.099749e-15 2.250240e-10 9.471603e-15 2.581959e-21 6.758557e-17 1.541349e-26 8.567223e-16 6.320207e-14 2.958439e-17 6.289980e-15 3.758967e-30 4.243389e-10 8.573383e-23 3.243749e-26 1.489275e-16 1.470297e-10 9.844396e-17 4.387219e-13 8.760192e-35 6.521537e-17 1.511193e-09 2.354066e-17 1.526147e-22 5.772758e-10 2.726971e-10 2.014542e-19 3.516522e-11 8.184333e-12 2.907790e-20 3.545581e-16 2.909340e-23 0.000000e+00 2.536966e-27 4.873631e-22 6.060362e-36 2.420549e-19 6.078415e-27 2.149324e-30 4.632844e-32 5.130984e-22 1.170586e-26 3.175420e-47 0.000000e+00 1.894108e-05 6.094460e-16 9.383386e-03
7.538651e-01 7.104362e-14 5.754600e-07 5.194384e-03 7.985916e-21 5.903065e-17 4.507475e-43 0.000000e+00 3.995277e-26 4.409379e-15 1.119624e-06 6.457432e-44 0.000000e+00 1.419162e-48 4.503543e-29 1.210563e-11 4.095202e-16 2.252983e-13 1.193047e-07 4.002567e-04 9.574001e-27 1.182138e-10 1.689581e-22 7.919807e-19 2.852827e-13 4.950633e-20 2.003874e-01 1.685142e-21 4.370353e-21 7.829606e-12 1.107999e-11 1.644331e-09 1.009371e-33 4.554569e-26 1.188299e-29 6.118906e-11 3.010410e-16 7.846199e-01 8.811168e-11 4.195110e-12 4.009864e-19 1.249476e-25 8.185094e-19 1.912691e-13 6.926698e-18 1.285534e-22 4.991438e-15 1.047875e-11 2.467690e-07 4.159749e-29 8.577122e-19 2.673246e-15 1.235017e-10 3.649275e-18 1.665199e-08 9.754358e-16 2.541683e-10 5.139415e-15 2.797181e-21 3.591246e-17 2.723696e-26 1.169589e-15 6.497594e-14 6.462701e-17 8.299348e-15 3.957479e-30 4.241508e-10 8.560539e-23 3.330545e-26 1.842829e-16 9.835712e-11 8.740098e-17 4.393055e-13 5.900021e-35 6.408466e-17 1.258593e-09 1.667102e-17 9.970142e-23 5.664331e-10 3.339920e-10 2.017279e-19 3.470974e-11 7.942119e-12 2.911661e-20 4.475224e-16 5.295296e-23 2.620537e-22 2.540435e-27 4.880285e-22 2.602698e-34 2.422807e-19 6.086645e-27 2.152975e-30 4.618087e-32 5.739226e-22 1.232704e-26 1.812757e-47 0.000000e+00 9.584223e-06 3.078433e-14 9.396017e-03
6.545464e-01 7.707721e-14 5.764911e-07 4.011850e-03 8.662768e-21 7.207346e-17 8.079330e-43 1.669114e-58 4.400752e-26 4.556842e-15 1.117517e-06 1.526363e-51 0.000000e+00 0.000000e+00 3.902104e-29 1.210712e-11 3.976102e-16 2.229053e-13 1.111798e-07 4.007429e-04 1.034343e-26 9.644381e-11 1.621824e-22 9.532425e-19 2.875957e-13 6.352366e-20 2.006256e-01 1.687163e-21 4.375671e-21 7.233573e-12 1.066146e-11 1.514049e-09 1.687084e-33 5.499369e-26 7.927091e-30 6.199043e-11 3.009181e-16 7.855526e-01 8.090041e-11 4.941935e-12 3.618630e-19 1.832037e-25 7.223534e-19 1.913930e-13 7.991268e-18 1.028692e-22 4.783388e-15 9.444780e-12 2.469977e-07 4.164207e-29 7.501118e-19 2.676488e-15 1.236471e-10 3.341080e-18 1.656105e-08 7.776885e-16 2.729318e-10 5.239141e-15 2.412086e-21 5.278212e-17 4.643061e-26 1.586797e-15 6.617094e-14 1.200233e-16 1.125525e-14 4.526591e-30 4.239547e-10 8.544885e-23 3.477600e-26 1.993555e-16 6.683539e-11 7.605409e-17 4.398192e-13 4.386049e-35 6.249295e-17 1.042533e-09 1.194367e-17 7.584252e-23 5.543829e-10 3.783082e-10 2.019716e-19 3.431432e-11 7.656461e-12 2.915073e-20 5.586173e-16 1.086821e-22 0.000000e+00 2.543530e-27 4.886150e-22 1.161428e-32 2.424180e-19 6.093952e-27 2.156166e-30 4.601109e-32 6.814028e-22 1.758403e-26 1.338236e-47 0.000000e+00 8.141703e-06 7.486815e-13 9.407185e-03
5.683125e-01 8.896200e-14 5.774271e-07 3.004328e-03 1.000019e-20 9.190360e-17 1.597625e-41 1.076092e-57 5.370306e-26 4.911644e-15 1.115768e-06 4.358602e-59 0.000000e+00 0.000000e+00 3.552070e-29 1.210369e-11 3.912213e-16 2.202288e-13 1.038177e-07 4.011578e-04 1.228391e-26 8.635231e-11 1.734574e-22 1.202430e-18 2.994267e-13 8.746442e-20 2.008285e-01 1.688894e-21 4.380256e-21 6.284542e-12 1.051350e-11 1.273569e-09 3.124925e-33 6.814261e-26 6.057499e-30 6.274850e-11 3.048679e-16 7.863472e-01 7.483914e-11 6.432473e-12 3.184300e-19 3.051637e-25 6.172449e-19 1.914570e-13 1.080925e-17 8.103404e-23 4.575530e-15 9.788436e-12 2.471763e-07 4.167902e-29 6.347363e-19 2.679283e-15 1.237707e-10 3.356011e-18 1.733513e-08 7.335520e-16 2.895761e-10 6.393951e-15 2.588769e-21 1.110260e-16 7.716438e-26 2.146203e-15 6.655714e-14 2.058432e-16 1.521694e-14 5.383430e-30 4.237337e-10 8.525849e-23 3.681748e-26 1.985817e-16 4.613846e-11 6.503966e-17 4.402547e-13 3.698356e-35 6.053091e-17 8.683315e-10 8.195620e-18 6.250255e-23 5.412400e-10 4.048187e-10 2.021814e-19 3.396970e-11 7.345181e-12 2.917970e-20 6.822994e-16 2.401184e-22 8.372134e-22 2.546200e-27 4.891217e-22 3.566310e-31 2.424709e-19 6.100215e-27 2.158868e-30 4.582192e-32 8.409815e-22 2.866327e-26 1.034694e-47 0.000000e+00 6.823099e-06 9.093222e-12 9.416700e-03
4.934396e-01 1.044226e-13 5.782419e-07 2.152698e-03 1.174850e-20 1.196537e-16 1.493123e-39 1.076152e-55 6.691998e-26 5.320394e-15 1.114316e-06 1.500937e-66 0.000000e+00 0.000000e+00 3.273231e-29 1.209542e-11 3.862198e-16 2.171701e-13 9.714192e-08 4.015093e-04 1.505355e-26 7.782641e-11 1.862903e-22 1.471722e-18 3.160106e-13 1.225333e-19 2.010001e-01 1.690368e-21 4.384195e-21 5.244880e-12 1.028622e-11 9.980085e-10 5.914249e-33 8.435631e-26 3.107136e-30 6.345756e-11 3.080234e-16 7.870189e-01 6.975571e-11 8.414607e-12 2.748030e-19 5.126390e-25 5.151597e-19 1.914643e-13 1.481729e-17 6.312668e-23 4.374947e-15 1.037500e-11 2.473091e-07 4.170912e-29 5.346393e-19 2.681685e-15 1.238747e-10 3.530255e-18 1.859948e-08 7.341085e-16 3.057783e-10 8.063445e-15 1.600186e-21 2.572268e-16 1.258685e-25 2.894794e-15 6.611945e-14 3.387204e-16 2.051503e-14 6.523474e-30 4.234888e-10 8.503066e-23 3.941280e-26 1.907745e-16 3.265541e-11 5.447181e-17 4.406210e-13 3.488984e-35 5.828589e-17 7.189444e-10 5.583385e-18 5.372896e-23 5.270711e-10 3.875072e-10 2.023612e-19 3.367069e-11 7.021168e-12 2.920410e-20 8.148585e-16 5.361717e-22 1.678329e-21 2.548495e-27 4.895496e-22 7.068080e-30 2.424557e-19 6.105552e-27 2.161138e-30 4.561473e-32 1.054298e-21 4.986385e-26 7.977630e-48 0.000000e+00 5.728955e-06 5.373025e-11 9.424742e-03
4.284310e-01 1.228818e-13 5.789039e-07 1.468536e-03 1.368025e-20 1.533425e-16 9.353113e-38 9.183434e-54 7.987817e-26 5.529070e-15 1.113089e-06 0.000000e+00 0.000000e+00 0.000000e+00 2.894485e-29 1.208203e-11 3.769785e-16 2.136561e-13 9.113336e-08 4.017924e-04 1.843978e-26 6.872925e-11 1.944570e-22 1.752651e-18 3.326390e-13 1.797460e-19 2.011379e-01 1.691566e-21 4.387439e-21 4.153425e-12 9.771430e-12 7.339292e-10 1.183529e-32 1.050245e-25 1.368798e-30 6.410611e-11 3.117903e-16 7.875585e-01 6.554179e-11 1.104417e-11 2.347692e-19 9.050018e-25 4.241262e-19 1.914124e-13 2.012271e-17 4.879066e-23 4.186175e-15 1.094215e-11 2.473928e-07 4.173190e-29 4.465108e-19 2.683665e-15 1.239579e-10 3.719960e-18 2.004625e-08 7.555181e-16 3.218322e-10 1.030263e-14 2.282065e-22 6.914331e-16 2.028317e-25 3.913216e-15 6.492470e-14 5.563252e-16 2.771063e-14 7.678523e-30 4.232106e-10 8.476064e-23 4.251248e-26 1.759606e-16 2.410455e-11 4.536270e-17 4.409133e-13 3.512295e-35 5.586927e-17 5.835778e-10 3.693069e-18 4.874953e-23 5.120196e-10 2.995174e-10 2.025088e-19 3.341374e-11 6.698306e-12 2.922364e-20 9.401419e-16 1.270347e-21 0.000000e+00 2.550388e-27 4.898962e-22 1.020585e-28 2.423825e-19 6.109894e-27 2.162966e-30 4.539023e-32 1.311253e-21 8.727420e-26 5.466333e-48 0.000000e+00 4.568600e-06 1.620014e-10 9.431203e-03
3.719869e-01 1.448616e-13 5.793846e-07 9.730611e-04 1.606691e-20 1.954095e-16 3.772784e-36 5.019820e-52 9.570319e-26 5.757931e-15 1.112003e-06 8.908640e-68 0.000000e+00 0.000000e+00 2.580816e-29 1.206312e-11 3.671612e-16 2.098000e-13 8.579891e-08 4.019987e-04 2.245162e-26 5.985285e-11 1.993156e-22 2.023566e-18 3.468200e-13 2.623670e-19 2.012377e-01 1.692452e-21 4.389899e-21 3.185454e-12 9.061939e-12 5.115057e-10 2.361623e-32 1.310659e-25 1.331412e-30 6.468372e-11 3.194293e-16 7.879493e-01 6.209887e-11 1.452579e-11 2.015606e-19 1.613486e-24 3.497957e-19 1.912969e-13 2.684322e-17 3.780913e-23 4.012882e-15 1.149177e-11 2.474216e-07 4.174643e-29 3.768277e-19 2.685166e-15 1.240176e-10 3.889605e-18 2.142560e-08 7.983569e-16 3.377193e-10 1.329503e-14 8.543686e-22 1.664786e-15 3.235025e-25 5.279808e-15 6.314125e-14 9.086512e-16 3.734767e-14 8.995456e-30 4.228848e-10 8.444323e-23 4.601010e-26 1.608280e-16 1.897506e-11 3.703031e-17 4.411223e-13 3.640298e-35 5.339696e-17 4.608597e-10 3.501591e-18 4.715347e-23 4.962932e-10 2.022802e-10 2.026199e-19 3.319438e-11 6.389232e-12 2.923769e-20 1.059162e-15 2.928871e-21 0.000000e+00 2.551826e-27 4.901449e-22 1.002293e-27 2.422590e-19 6.113112e-27 2.164316e-30 4.514857e-32 1.608986e-21 1.578484e-25 3.793074e-48 0.000000e+00 3.273053e-06 2.737359e-10 9.435881e-03
3.229791e-01 1.713765e-13 5.797187e-07 6.083482e-04 1.852475e-20 2.372819e-16 1.045655e-34 1.993171e-50 1.054051e-25 5.539308e-15 1.111002e-06 4.656623e-64 0.000000e+00 0.000000e+00 2.124319e-29 1.203783e-11 3.476531e-16 2.055232e-13 8.093200e-08 4.021517e-04 2.695124e-26 5.043213e-11 1.963526e-22 2.298625e-18 3.555454e-13 4.200609e-19 2.013112e-01 1.693128e-21 4.391848e-21 2.260729e-12 7.960897e-12 3.333768e-10 5.309478e-32 1.672215e-25 5.999111e-31 6.520994e-11 3.296735e-16 7.882370e-01 5.921322e-11 1.948476e-11 1.767361e-19 3.233176e-24 2.920739e-19 1.911163e-13 3.579276e-17 2.927099e-23 3.849835e-15 1.186710e-11 2.474043e-07 4.175480e-29 3.132321e-19 2.686355e-15 1.240609e-10 3.901353e-18 2.262815e-08 8.756157e-16 3.542087e-10 1.760445e-14 3.912830e-22 3.557312e-15 5.150335e-25 7.195643e-15 6.082709e-14 1.539086e-15 5.078070e-14 9.779650e-30 4.225051e-10 8.406083e-23 4.988443e-26 1.380841e-16 1.606549e-11 3.064374e-17 4.412733e-13 3.735822e-35 5.088086e-17 3.486909e-10 4.858342e-18 5.019991e-23 4.794199e-10 1.373228e-10 2.027070e-19 3.300151e-11 6.091467e-12 2.924794e-20 1.132951e-15 7.715651e-21 5.387354e-22 2.552969e-27 4.903400e-22 7.192439e-27 2.420986e-19 6.115574e-27 2.165334e-30 4.487986e-32 1.921371e-21 2.781291e-25 2.105801e-48 0.000000e+00 2.255869e-06 3.494928e-10 9.439324e-03
2.804279e-01 2.033688e-13 5.799008e-07 3.714708e-04 2.159684e-20 2.854280e-16 2.067341e-33 5.650063e-49 1.171497e-25 5.364190e-15 1.109998e-06 1.150921e-61 0.000000e+00 0.000000e+00 1.760318e-29 1.200406e-11 3.259198e-16 2.010116e-13 7.646452e-08 4.022527e-04 3.208906e-26 4.179545e-11 1.900213e-22 2.542519e-18 3.596023e-13 6.709746e-19 2.013589e-01 1.693603e-21 4.393327e-21 1.547570e-12 6.745475e-12 2.059342e-10 1.189141e-31 2.137016e-25 3.452890e-31 6.569518e-11 3.411592e-16 7.884238e-01 5.676324e-11 2.640309e-11 1.642543e-19 6.540821e-24 2.561284e-19 1.908536e-13 4.699709e-17 2.296047e-23 3.695032e-15 1.218294e-11 2.473348e-07 4.175670e-29 2.586765e-19 2.687257e-15 1.240881e-10 3.831653e-18 2.356752e-08 9.904605e-16 3.721137e-10 2.369565e-14 3.937129e-22 5.186838e-15 8.148281e-25 9.790764e-15 5.813937e-14 2.609622e-15 6.871712e-14 1.053390e-29 4.220435e-10 8.358566e-23 5.392025e-26 1.176558e-16 1.474035e-11 2.492948e-17 4.413671e-13 3.826815e-35 4.832870e-17 2.529965e-10 8.538630e-18 5.796748e-23 4.610650e-10 1.007438e-10 2.027717e-19 3.282695e-11 5.802953e-12 2.925446e-20 1.186738e-15 1.993205e-20 0.000000e+00 2.553842e-27 4.904664e-22 3.799473e-26 2.419025e-19 6.117314e-27 2.166036e-30 4.457012e-32 2.255969e-21 5.062795e-25 1.182632e-48 0.000000e+00 1.296213e-06 3.944066e-10 9.441559e-03
