PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 1.198844e-13 4.575770e-07 8.898686e-03 1.198293e-20 4.881112e-17 0.000000e+00 0.000000e+00 1.057400e-25 6.664736e-15 9.368965e-07 9.736407e-29 1.176223e-24 2.143540e-33 1.251657e-28 1.217576e-11 4.471494e-16 1.722081e-13 1.215748e-07 3.981515e-04 1.801340e-26 3.219754e-10 4.971031e-22 1.571388e-18 3.077057e-13 3.994554e-20 1.996193e-01 1.202271e-21 3.526661e-21 5.512519e-12 1.432980e-11 1.077135e-09 0.000000e+00 2.432752e-25 3.155270e-29 6.042637e-11 2.071984e-15 7.817207e-01 4.649782e-10 1.480819e-11 4.345078e-17 1.892217e-24 8.971544e-17 4.319818e-12 1.940654e-17 1.399020e-22 6.465307e-15 7.250434e-11 3.566330e-07 2.213490e-29 7.882066e-18 1.374506e-14 6.189855e-10 4.681701e-18 1.954306e-08 9.927865e-15 1.509791e-10 4.912995e-14 2.548776e-21 5.225825e-16 8.377363e-27 6.217989e-16 4.868060e-14 1.043208e-17 4.248652e-14 0.000000e+00 3.921120e-10 2.841193e-23 8.984381e-26 8.046947e-17 2.158109e-10 6.915962e-17 1.747817e-13 0.000000e+00 3.929605e-17 1.534343e-09 2.884316e-17 3.431984e-22 5.826558e-10 1.886255e-10 3.062282e-19 3.471468e-11 9.375798e-12 3.350327e-20 2.381130e-16 2.000295e-23 7.529065e-22 2.082266e-27 2.773915e-22 1.235342e-36 4.090184e-20 3.081659e-27 3.404669e-32 2.717663e-32 4.678245e-22 1.905302e-26 5.537139e-46 0.000000e+00 0.000000e+00 5.611569e-18 9.361305e-03
8.682540e-01 8.746696e-14 4.588928e-07 6.531373e-03 8.525393e-21 5.199978e-17 4.990503e-43 0.000000e+00 5.358427e-26 4.718356e-15 9.339705e-07 4.002789e-36 4.595164e-25 8.540751e-41 7.081172e-29 1.219937e-11 3.638500e-16 1.714072e-13 1.115182e-07 3.996859e-04 1.209452e-26 1.718801e-10 2.430500e-22 8.614559e-19 2.881799e-13 3.641175e-20 2.000959e-01 1.205146e-21 3.535121e-21 6.998334e-12 1.246680e-11 1.290206e-09 3.331015e-33 1.577449e-25 2.030985e-29 6.145441e-11 1.604981e-15 7.835875e-01 4.121224e-10 5.699052e-12 4.126147e-17 7.201192e-25 8.440065e-17 4.329061e-12 1.162840e-17 1.195389e-22 6.326875e-15 1.956614e-11 3.574106e-07 2.218607e-29 6.565164e-18 1.377798e-14 6.204596e-10 3.621184e-18 1.768772e-08 2.213753e-15 2.721047e-10 1.116382e-14 3.634823e-21 7.149537e-17 1.567313e-26 8.596388e-16 4.992501e-14 3.038710e-17 6.289708e-15 1.341832e-30 3.921226e-10 2.851045e-23 9.274827e-26 1.228951e-16 1.350916e-10 6.134453e-17 1.751974e-13 2.588048e-36 3.896784e-17 1.392190e-09 2.435782e-17 1.628805e-22 5.740349e-10 2.814619e-10 3.069602e-19 3.409723e-11 9.212641e-12 3.358295e-20 2.953161e-16 2.807784e-23 4.158865e-22 2.087262e-27 2.780579e-22 1.066784e-35 4.100939e-20 3.089029e-27 3.679796e-32 2.713838e-32 5.250909e-22 1.314760e-26 1.408510e-46 0.000000e+00 1.895206e-05 6.431350e-16 9.383659e-03
7.538651e-01 8.814902e-14 4.597987e-07 5.195071e-03 8.375454e-21 6.063188e-17 6.081529e-43 0.000000e+00 5.110625e-26 4.546217e-15 9.307885e-07 9.502153e-44 2.519452e-25 2.039870e-48 5.635234e-29 1.220701e-11 3.450264e-16 1.701987e-13 1.020528e-07 4.002334e-04 1.193042e-26 1.178412e-10 1.887690e-22 8.633566e-19 2.861413e-13 4.365936e-20 2.003651e-01 1.206774e-21 3.539945e-21 7.342407e-12 1.145473e-11 1.317170e-09 4.557785e-33 1.659140e-25 1.512619e-29 6.243716e-11 1.525322e-15 7.846415e-01 3.672012e-10 4.885494e-12 3.737738e-17 7.377120e-25 7.504289e-17 4.333046e-12 1.073437e-17 9.866305e-23 6.122886e-15 1.231351e-11 3.578043e-07 2.221360e-29 5.242927e-18 1.379672e-14 6.212886e-10 3.059049e-18 1.690269e-08 1.307361e-15 3.329205e-10 7.402961e-15 4.177128e-21 5.654366e-17 2.772630e-26 1.174492e-15 5.094721e-14 6.363711e-17 8.298929e-15 1.467861e-30 3.917783e-10 2.856205e-23 9.812429e-26 1.425247e-16 8.524369e-11 5.366330e-17 1.754303e-13 7.585294e-36 3.821995e-17 1.177061e-09 1.724142e-17 1.072256e-22 5.631689e-10 3.442797e-10 3.073747e-19 3.351635e-11 8.949372e-12 3.362762e-20 3.728173e-16 5.466825e-23 0.000000e+00 2.090112e-27 2.784299e-22 5.443342e-34 4.108568e-20 3.093208e-27 3.623450e-32 2.704864e-32 6.085231e-22 1.576634e-26 8.193906e-47 0.000000e+00 9.576697e-06 3.246000e-14 9.396280e-03
6.545464e-01 1.007728e-13 4.606722e-07 4.012902e-03 9.450962e-21 7.644488e-17 1.227324e-42 8.922950e-58 6.238461e-26 4.941449e-15 9.281343e-07 2.704986e-51 1.627804e-25 2.706578e-50 5.146574e-29 1.220995e-11 3.418608e-16 1.688992e-13 9.351286e-08 4.007180e-04 1.413478e-26 1.014624e-10 1.947120e-22 1.092403e-18 3.003097e-13 5.793723e-20 2.006032e-01 1.208221e-21 3.544250e-21 6.776050e-12 1.118916e-11 1.173152e-09 8.042359e-33 2.007097e-25 1.038832e-29 6.338647e-11 1.519624e-15 7.855739e-01 3.296103e-10 6.049018e-12 3.256804e-17 1.132970e-24 6.376106e-17 4.335695e-12 1.287426e-17 8.159651e-23 5.900587e-15 1.192344e-11 3.581325e-07 2.223745e-29 4.038872e-18 1.381343e-14 6.220207e-10 2.951541e-18 1.733896e-08 1.204480e-15 3.791839e-10 8.371109e-15 3.702820e-21 1.032046e-16 4.730934e-26 1.594601e-15 5.134463e-14 1.141740e-16 1.125572e-14 1.739352e-30 3.914386e-10 2.859288e-23 1.057497e-25 1.455218e-16 5.415333e-11 4.573152e-17 1.756354e-13 1.098883e-35 3.716276e-17 9.836611e-10 1.231248e-17 8.035212e-23 5.510797e-10 3.888258e-10 3.077426e-19 3.300583e-11 8.632867e-12 3.366698e-20 4.655100e-16 1.183350e-22 4.404176e-22 2.092657e-27 2.787609e-22 1.967400e-32 4.116614e-20 3.096922e-27 3.576449e-32 2.694569e-32 7.474418e-22 2.492290e-26 6.385981e-47 0.000000e+00 8.139671e-06 7.879983e-13 9.407445e-03
5.683125e-01 1.202486e-13 4.614622e-07 3.005430e-03 1.110955e-20 9.977120e-17 1.916929e-41 2.339442e-57 8.123505e-26 5.497333e-15 9.259170e-07 4.369143e-58 1.572563e-25 4.697255e-45 4.844096e-29 1.220784e-11 3.408443e-16 1.673523e-13 8.583847e-08 4.011314e-04 1.801085e-26 9.178850e-11 2.130375e-22 1.385507e-18 3.245733e-13 8.094007e-20 2.008061e-01 1.209460e-21 3.547963e-21 5.910797e-12 1.103380e-11 9.506166e-10 1.561695e-32 2.522109e-25 6.632904e-30 6.428604e-11 1.521074e-15 7.863685e-01 2.982631e-10 7.870204e-12 2.745780e-17 1.863495e-24 5.224252e-17 4.336944e-12 1.640793e-17 6.808508e-23 5.675246e-15 1.253343e-11 3.583877e-07 2.225723e-29 3.039628e-18 1.382785e-14 6.226429e-10 3.080518e-18 1.856548e-08 1.243311e-15 4.191998e-10 1.056094e-14 2.901685e-21 2.409974e-16 7.868398e-26 2.158035e-15 5.102646e-14 1.914254e-16 1.521527e-14 2.123392e-30 3.910934e-10 2.860454e-23 1.154840e-25 1.390922e-16 3.479219e-11 3.817934e-17 1.758094e-13 1.400833e-35 3.585996e-17 8.170915e-10 8.380702e-18 6.371480e-23 5.378787e-10 4.144066e-10 3.080575e-19 3.256077e-11 8.282217e-12 3.370039e-20 5.687593e-16 2.704728e-22 2.515567e-21 2.094853e-27 2.790448e-22 4.904848e-31 4.124883e-20 3.100105e-27 3.540643e-32 2.683145e-32 9.459774e-22 4.334869e-26 5.176751e-47 0.000000e+00 6.823205e-06 9.537491e-12 9.416959e-03
4.934396e-01 1.439253e-13 4.621453e-07 2.153792e-03 1.310400e-20 1.317342e-16 4.318038e-32 0.000000e+00 1.051040e-25 6.063350e-15 9.240905e-07 1.100622e-50 2.468100e-25 7.665691e-33 4.550707e-29 1.220065e-11 3.383550e-16 1.653693e-13 7.897423e-08 4.014813e-04 2.316610e-26 8.218853e-11 2.291007e-22 1.684007e-18 3.526597e-13 1.135289e-19 2.009776e-01 1.210515e-21 3.551155e-21 4.922625e-12 1.069687e-11 7.141970e-10 3.047884e-32 3.157860e-25 4.369600e-30 6.512572e-11 1.513711e-15 7.870402e-01 2.723458e-10 1.022952e-11 2.254906e-17 3.063294e-24 4.169741e-17 4.336870e-12 2.096285e-17 5.750106e-23 5.453175e-15 1.328552e-11 3.585760e-07 2.227337e-29 2.294010e-18 1.384024e-14 6.231671e-10 3.309376e-18 2.019278e-08 1.328461e-15 4.549694e-10 1.349440e-14 2.208238e-21 5.963875e-16 1.284145e-25 2.911925e-15 5.006697e-14 3.108363e-16 2.050176e-14 2.616480e-30 3.907454e-10 2.859946e-23 1.272373e-25 1.302230e-16 2.296507e-11 3.119422e-17 1.759558e-13 1.715250e-35 3.437765e-17 6.662667e-10 5.602862e-18 5.208497e-23 5.236323e-10 3.943493e-10 3.083254e-19 3.217785e-11 7.912885e-12 3.372853e-20 6.799332e-16 6.165619e-22 8.235705e-22 2.096742e-27 2.792805e-22 8.430512e-30 4.133333e-20 3.102818e-27 3.517475e-32 2.670696e-32 1.204715e-21 7.829050e-26 4.116428e-47 0.000000e+00 5.729283e-06 5.600926e-11 9.425002e-03
4.284310e-01 1.711702e-13 4.626968e-07 1.469601e-03 1.519437e-20 1.699554e-16 1.011563e-37 1.102968e-53 1.279975e-25 6.360960e-15 9.225941e-07 1.585186e-53 1.062421e-25 1.649950e-35 4.066968e-29 1.218803e-11 3.297008e-16 1.627978e-13 7.291024e-08 4.017630e-04 2.921985e-26 7.165907e-11 2.372853e-22 1.982221e-18 3.782615e-13 1.654429e-19 2.011154e-01 1.211372e-21 3.553788e-21 3.850479e-12 9.987082e-12 4.993707e-10 6.074659e-32 3.971155e-25 2.716283e-30 6.588956e-11 1.509045e-15 7.875799e-01 2.512766e-10 1.341919e-11 1.819694e-17 5.323902e-24 3.272270e-17 4.335425e-12 2.679750e-17 4.913008e-23 5.238655e-15 1.398910e-11 3.586924e-07 2.228559e-29 1.734300e-18 1.385045e-14 6.235861e-10 3.508453e-18 2.190059e-08 1.440669e-15 4.871430e-10 1.741661e-14 1.689718e-21 1.685935e-15 2.069971e-25 3.937185e-15 4.858185e-14 5.068624e-16 2.765741e-14 3.108449e-30 3.903877e-10 2.857912e-23 1.407604e-25 1.182308e-16 1.600593e-11 2.536842e-17 1.760726e-13 2.044407e-35 3.279939e-17 5.256195e-10 3.553006e-18 4.509637e-23 5.084866e-10 3.021539e-10 3.085426e-19 3.185437e-11 7.542320e-12 3.375104e-20 7.842014e-16 1.476007e-21 0.000000e+00 2.098302e-27 2.794724e-22 1.007930e-28 4.141764e-20 3.105026e-27 3.460317e-32 2.657289e-32 1.510487e-21 1.397776e-25 2.879326e-47 0.000000e+00 4.568916e-06 1.674661e-10 9.431463e-03
3.719869e-01 2.025801e-13 4.630952e-07 9.740093e-04 1.767765e-20 2.168051e-16 3.514399e-31 4.310840e-47 1.544341e-25 6.644544e-15 9.213439e-07 0.000000e+00 4.095409e-26 0.000000e+00 3.647418e-29 1.216952e-11 3.189238e-16 1.597428e-13 6.765437e-08 4.019679e-04 3.606743e-26 6.151078e-11 2.403605e-22 2.259228e-18 3.982890e-13 2.387376e-19 2.012152e-01 1.212006e-21 3.555787e-21 2.888130e-12 9.023260e-12 3.275597e-10 0.000000e+00 5.015418e-25 1.679963e-30 6.656397e-11 1.523124e-15 7.879708e-01 2.344882e-10 1.779753e-11 1.461255e-17 9.428857e-24 2.558875e-17 4.332513e-12 3.420276e-17 4.276342e-23 5.035825e-15 1.470219e-11 3.587289e-07 2.229343e-29 1.348984e-18 1.385819e-14 6.238868e-10 3.650031e-18 2.342166e-08 1.578500e-15 5.160741e-10 2.275445e-14 1.241920e-21 4.200956e-15 3.301879e-25 5.312401e-15 4.675393e-14 8.252656e-16 3.719427e-14 3.654866e-30 3.900063e-10 2.854456e-23 1.555315e-25 1.073671e-16 1.221121e-11 2.027871e-17 1.761562e-13 2.388945e-35 3.121031e-17 3.978951e-10 3.214965e-18 4.244055e-23 4.926551e-10 2.032651e-10 3.087028e-19 3.158563e-11 7.186637e-12 3.376720e-20 8.851239e-16 3.422922e-21 6.758203e-22 2.099489e-27 2.796175e-22 8.305609e-28 4.149932e-20 3.106664e-27 3.412624e-32 2.642949e-32 1.857471e-21 2.545295e-25 2.029872e-47 0.000000e+00 3.273906e-06 2.799581e-10 9.436142e-03
3.229791e-01 2.393391e-13 4.633705e-07 6.091860e-04 2.010973e-20 2.622817e-16 1.120582e-34 1.964195e-49 1.695630e-25 6.380783e-15 9.202683e-07 5.805620e-58 3.910763e-26 9.868722e-45 2.992950e-29 1.214428e-11 2.980759e-16 1.561532e-13 6.300328e-08 4.021195e-04 4.324836e-26 5.083064e-11 2.325989e-22 2.519947e-18 4.084287e-13 3.766348e-19 2.012887e-01 1.212489e-21 3.557375e-21 1.971090e-12 7.609067e-12 1.972378e-10 2.880541e-31 6.479474e-25 8.849439e-31 6.717012e-11 1.546082e-15 7.882586e-01 2.208678e-10 2.436071e-11 1.175877e-17 1.896104e-23 1.995758e-17 4.328086e-12 4.412973e-17 3.767957e-23 4.838631e-15 1.524180e-11 3.586977e-07 2.229797e-29 1.034305e-18 1.386431e-14 6.241048e-10 3.605179e-18 2.463261e-08 1.775635e-15 5.433412e-10 3.070546e-14 8.164657e-22 9.164053e-15 5.256340e-25 7.239020e-15 4.464026e-14 1.396166e-15 5.035000e-14 3.970006e-30 3.895914e-10 2.849632e-23 1.715989e-25 9.200756e-17 1.037473e-11 1.648464e-17 1.762167e-13 2.702269e-35 2.962610e-17 2.833994e-10 4.394201e-18 4.527897e-23 4.756685e-10 1.376187e-10 3.088242e-19 3.135800e-11 6.844253e-12 3.377895e-20 9.442915e-16 8.981625e-21 1.963197e-22 2.100435e-27 2.797271e-22 5.086036e-27 4.158250e-20 3.107917e-27 3.365916e-32 2.627110e-32 2.211796e-21 4.469253e-25 1.139621e-47 0.000000e+00 2.256521e-06 3.556845e-10 9.439586e-03
2.804279e-01 2.815248e-13 4.635196e-07 3.721537e-04 2.301322e-20 3.127997e-16 2.214685e-33 6.475822e-49 1.851412e-25 6.123923e-15 9.192780e-07 8.472482e-62 1.904387e-26 1.109756e-47 2.459518e-29 1.211018e-11 2.748725e-16 1.523243e-13 5.890983e-08 4.022192e-04 5.064693e-26 4.123901e-11 2.200333e-22 2.728704e-18 4.099152e-13 5.898286e-19 2.013365e-01 1.212827e-21 3.558586e-21 1.277187e-12 6.078708e-12 1.106785e-10 6.385139e-31 8.304947e-25 4.613727e-31 6.771883e-11 1.562815e-15 7.884455e-01 2.098106e-10 3.412395e-11 9.737734e-18 3.873041e-23 1.590150e-17 4.321749e-12 5.704553e-17 3.390735e-23 4.644294e-15 1.578261e-11 3.585894e-07 2.229908e-29 7.972922e-19 1.386895e-14 6.242417e-10 3.458613e-18 2.542164e-08 2.016702e-15 5.701572e-10 4.235014e-14 4.321122e-22 1.341705e-14 8.313505e-25 9.846414e-15 4.241147e-14 2.368603e-15 6.761891e-14 4.254037e-30 3.891148e-10 2.843256e-23 1.875613e-25 7.895670e-17 9.889615e-12 1.325018e-17 1.762544e-13 2.995559e-35 2.806020e-17 1.901463e-10 7.921148e-18 5.384392e-23 4.571998e-10 1.007547e-10 3.089084e-19 3.116253e-11 6.513546e-12 3.378637e-20 9.889301e-16 2.299462e-20 0.000000e+00 2.101161e-27 2.798025e-22 2.343211e-26 4.166939e-20 3.108804e-27 3.325303e-32 2.608969e-32 2.576344e-21 7.988948e-25 6.362777e-48 0.000000e+00 1.297023e-06 4.003450e-10 9.441823e-03
