PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l Ar
1.000000e+00 2.652311e-13 7.992626e-08 8.893120e-03 1.081322e-20 4.366707e-17 1.685080e-42 7.878642e-32 1.607326e-25 4.564105e-15 2.875271e-07 3.760591e-28 6.675192e-25 2.549637e-33 2.734436e-28 1.197744e-11 1.054973e-16 3.076138e-14 5.658373e-08 3.979025e-04 4.721855e-26 1.322299e-10 3.911298e-22 9.723065e-19 2.421551e-13 1.273967e-20 1.989255e-01 1.984316e-22 1.000804e-21 3.239875e-12 1.309612e-11 2.305567e-10 9.084412e-28 1.357080e-23 8.696958e-29 6.874397e-11 5.545910e-14 7.824121e-01 4.718706e-09 1.559429e-11 6.487462e-14 5.525699e-23 4.330933e-14 1.107615e-09 4.900833e-17 1.191106e-22 2.270562e-14 6.431700e-11 1.839306e-06 1.347870e-30 1.624973e-15 6.879125e-13 1.746349e-08 9.006528e-19 1.605196e-08 9.273714e-15 4.364401e-10 1.142836e-13 1.774048e-20 4.333479e-16 9.552315e-27 6.429780e-16 8.816663e-15 1.346364e-17 4.127434e-14 3.673186e-28 1.958246e-10 4.248179e-21 3.154337e-25 2.030624e-17 1.543967e-10 2.250098e-18 3.140191e-16 4.420372e-33 1.127582e-18 6.952969e-10 3.607882e-17 5.451097e-22 5.519085e-10 2.292006e-10 2.335682e-19 2.631508e-11 2.002431e-11 1.667526e-19 7.362025e-17 1.334102e-23 0.000000e+00 1.041337e-27 8.724138e-23 1.449227e-29 5.503471e-20 2.223190e-28 4.381858e-32 7.730974e-34 5.777442e-22 2.890803e-26 6.853688e-44 0.000000e+00 0.000000e+00 6.577724e-18 9.369161e-03
8.682540e-01 2.930622e-13 8.016476e-08 6.516537e-03 1.031214e-20 5.415260e-17 2.257315e-42 1.298684e-41 1.825075e-25 4.782534e-15 2.821484e-07 0.000000e+00 1.195245e-25 0.000000e+00 2.343269e-28 1.200460e-11 1.061949e-16 3.176759e-14 4.521330e-08 4.005198e-04 4.772345e-26 1.008565e-10 3.441180e-22 1.014871e-18 2.678331e-13 1.497121e-20 1.994021e-01 1.989074e-22 1.003212e-21 3.878249e-12 1.280137e-11 2.378680e-10 9.337810e-31 1.318642e-23 6.402725e-29 7.098038e-11 4.621464e-14 7.842869e-01 3.479305e-09 1.213518e-11 5.097667e-14 4.614655e-23 3.684993e-14 1.109729e-09 4.711306e-17 1.254349e-22 2.251065e-14 3.853315e-11 1.843280e-06 1.350929e-30 9.319629e-16 6.895631e-13 1.750534e-08 8.755287e-19 1.638135e-08 1.120271e-14 1.405263e-09 7.685037e-14 2.294757e-20 7.118267e-16 1.805353e-26 8.954916e-16 8.696519e-15 3.130351e-17 5.860971e-15 4.184672e-28 1.946898e-10 4.264951e-21 3.275469e-25 2.097930e-17 6.197120e-11 1.846108e-18 3.147695e-16 4.342285e-33 1.116077e-18 6.155209e-10 2.981494e-17 2.512204e-22 5.432064e-10 3.370101e-10 2.341279e-19 2.457979e-11 1.979394e-11 1.671513e-19 9.203542e-17 2.896240e-23 0.000000e+00 1.043843e-27 8.745121e-23 1.991948e-28 5.516653e-20 2.228521e-28 4.391220e-32 7.719678e-34 7.702147e-22 4.478349e-26 3.958140e-44 0.000000e+00 1.905640e-05 7.526174e-16 9.391611e-03
7.538651e-01 3.902803e-13 8.032732e-08 5.197510e-03 1.177694e-20 7.226724e-17 5.524529e-42 1.477166e-52 2.982713e-25 5.975951e-15 2.770470e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.465048e-28 1.201702e-11 1.166986e-16 3.355834e-14 3.564350e-08 4.010681e-04 6.753793e-26 8.829436e-11 3.992968e-22 1.388400e-18 3.282913e-13 2.005233e-20 1.996669e-01 1.991720e-22 1.004563e-21 3.799242e-12 1.216973e-11 1.863484e-10 1.994446e-30 1.639177e-23 4.888909e-29 7.319946e-11 4.103041e-14 7.853282e-01 2.519839e-09 1.516778e-11 3.528315e-14 6.379131e-23 3.120555e-14 1.110239e-09 4.534798e-17 1.429361e-22 2.214568e-14 3.778019e-11 1.845195e-06 1.352474e-30 4.771934e-16 6.904835e-13 1.752859e-08 9.612334e-19 1.763457e-08 1.719781e-14 2.104308e-09 9.979243e-14 2.344810e-20 2.282322e-15 3.237055e-26 1.237292e-15 8.314606e-15 5.650805e-17 7.796301e-15 5.269510e-28 1.934181e-10 4.285093e-21 3.466038e-25 1.808054e-17 2.278990e-11 1.417463e-18 3.151843e-16 4.399723e-33 1.090507e-18 4.678836e-10 1.994643e-17 1.273661e-22 5.321673e-10 3.978235e-10 2.344386e-19 2.297381e-11 1.932900e-11 1.673718e-19 1.159502e-16 7.491666e-23 0.000000e+00 1.045251e-27 8.756880e-23 2.190415e-27 5.523965e-20 2.231488e-28 4.395941e-32 7.693519e-34 1.044912e-21 9.176537e-26 3.594494e-44 0.000000e+00 9.476087e-06 3.780142e-14 9.404079e-03
6.545464e-01 5.072151e-13 8.048686e-08 4.022940e-03 1.323892e-20 9.824458e-17 2.099280e-41 1.425101e-54 4.635370e-25 7.273798e-15 2.728332e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.560042e-28 1.202460e-11 1.263198e-16 3.558337e-14 2.819042e-08 4.015552e-04 1.000445e-25 7.735917e-11 4.519522e-22 1.776379e-18 4.023593e-13 2.571580e-20 1.999026e-01 1.994082e-22 1.005780e-21 3.378849e-12 1.114651e-11 1.263169e-10 3.833233e-30 1.900826e-23 3.687907e-29 7.532559e-11 3.487060e-14 7.862554e-01 1.832215e-09 1.957769e-11 2.358527e-14 8.639919e-23 2.551617e-14 1.110261e-09 4.405173e-17 1.638453e-22 2.163462e-14 3.881031e-11 1.846760e-06 1.353780e-30 2.424242e-16 6.913064e-13 1.754926e-08 1.101976e-18 1.932131e-08 2.353017e-14 2.583273e-09 1.339514e-13 2.130525e-20 6.560488e-15 5.582471e-26 1.695313e-15 7.857665e-15 9.536574e-17 1.060653e-14 6.782912e-28 1.922967e-10 4.312899e-21 3.701591e-25 1.587527e-17 8.134827e-12 1.062057e-18 3.155529e-16 4.524863e-33 1.056323e-18 3.266344e-10 1.320435e-17 6.096613e-23 5.197528e-10 4.332259e-10 2.347153e-19 2.162374e-11 1.868469e-11 1.675676e-19 1.446196e-16 1.848574e-22 0.000000e+00 1.046518e-27 8.767463e-23 1.747912e-26 5.530468e-20 2.234135e-28 4.400076e-32 7.664001e-34 1.412833e-21 1.842565e-25 3.052185e-44 0.000000e+00 8.108862e-06 9.091876e-13 9.415182e-03
5.683125e-01 6.294811e-13 8.064583e-08 3.018248e-03 1.434915e-20 1.311663e-16 4.364311e-40 2.127844e-54 6.456040e-25 8.321045e-15 2.695646e-07 0.000000e+00 0.000000e+00 0.000000e+00 2.506260e-28 1.202586e-11 1.303151e-16 3.710835e-14 2.258743e-08 4.019709e-04 1.397312e-25 6.627610e-11 4.801420e-22 2.129927e-18 4.699374e-13 3.224037e-20 2.001043e-01 1.996106e-22 1.006836e-21 2.734797e-12 9.638229e-12 7.656269e-11 6.666023e-30 2.057627e-23 2.644667e-29 7.729168e-11 2.884940e-14 7.870486e-01 1.358966e-09 2.583195e-11 1.580710e-14 1.182833e-22 2.015307e-14 1.109835e-09 4.368723e-17 1.822869e-22 2.096120e-14 4.020590e-11 1.847933e-06 1.354827e-30 1.238084e-16 6.920143e-13 1.756691e-08 1.225959e-18 2.099445e-08 2.906111e-14 2.896504e-09 1.782050e-13 1.737481e-20 1.803091e-14 9.356005e-26 2.309794e-15 7.472061e-15 1.574325e-16 1.426613e-14 8.546465e-28 1.913559e-10 4.348712e-21 3.966864e-25 1.433907e-17 3.094322e-12 8.116843e-19 3.158674e-16 4.581312e-33 1.018180e-18 2.114031e-10 8.177214e-18 2.976785e-23 5.060605e-10 4.479756e-10 2.349519e-19 2.054974e-11 1.790512e-11 1.677346e-19 1.763673e-16 4.395514e-22 4.901771e-22 1.047619e-27 8.776764e-23 1.042244e-25 5.536016e-20 2.236405e-28 4.403502e-32 7.631897e-34 1.859673e-21 3.420765e-25 2.216677e-44 0.000000e+00 6.822292e-06 1.084479e-11 9.424678e-03
4.934396e-01 7.369097e-13 8.080586e-08 2.167686e-03 1.497898e-20 1.702598e-16 1.608406e-38 4.130249e-54 7.930228e-25 8.907788e-15 2.671985e-07 9.726626e-52 6.390125e-27 1.333191e-34 2.303329e-28 1.202009e-11 1.274787e-16 3.756149e-14 1.849698e-08 4.023219e-04 1.747640e-25 5.565101e-11 4.758126e-22 2.387523e-18 5.128463e-13 3.905895e-20 2.002750e-01 1.997826e-22 1.007748e-21 1.975027e-12 7.653643e-12 4.078505e-11 1.022162e-29 2.070597e-23 1.811541e-29 7.905581e-11 2.346005e-14 7.877200e-01 1.044573e-09 3.561219e-11 1.081307e-14 1.674847e-22 1.554154e-14 1.109017e-09 4.513173e-17 1.964193e-22 2.011908e-14 4.224120e-11 1.848739e-06 1.355645e-30 6.551722e-17 6.926183e-13 1.758180e-08 1.282208e-18 2.227043e-08 3.260662e-14 3.092574e-09 2.366025e-13 1.252975e-20 4.616361e-14 1.534171e-25 3.130242e-15 7.267653e-15 2.576503e-16 1.886197e-14 1.046618e-27 1.906044e-10 4.393229e-21 4.246492e-25 1.359211e-17 1.565087e-12 6.515706e-19 3.161331e-16 4.450205e-33 9.802761e-19 1.237436e-10 4.792661e-18 1.823817e-23 4.911732e-10 4.151036e-10 2.351521e-19 1.974363e-11 1.704221e-11 1.678757e-19 2.113750e-16 9.835797e-22 1.606367e-23 1.048570e-27 8.784400e-23 4.755557e-25 5.540672e-20 2.238333e-28 4.406052e-32 7.597672e-34 2.357330e-21 5.851103e-25 1.385620e-44 0.000000e+00 5.734415e-06 6.232081e-11 9.432717e-03
4.284310e-01 8.060157e-13 8.095879e-08 1.483555e-03 1.484668e-20 2.090415e-16 5.184881e-37 6.144492e-53 8.135800e-25 8.559289e-15 2.656302e-07 9.544095e-51 1.577955e-26 2.274280e-33 1.894628e-28 1.200683e-11 1.166201e-16 3.668151e-14 1.561639e-08 4.026037e-04 1.875258e-25 4.474657e-11 4.270260e-22 2.476718e-18 5.111438e-13 4.766522e-20 2.004123e-01 1.999217e-22 1.008503e-21 1.197761e-12 5.243020e-12 1.800035e-11 1.418567e-29 1.924935e-23 1.083915e-29 8.057943e-11 1.863502e-14 7.882601e-01 8.454175e-10 5.302770e-11 7.554672e-15 2.619160e-22 1.171520e-14 1.107810e-09 4.934446e-17 2.062733e-22 1.912731e-14 4.520982e-11 1.849154e-06 1.356225e-30 3.457280e-17 6.931100e-13 1.759374e-08 1.224775e-18 2.278922e-08 3.348699e-14 3.208179e-09 3.200497e-13 7.345344e-21 1.228378e-13 2.476888e-25 4.239693e-15 7.305841e-15 4.261321e-16 2.420552e-14 1.199358e-27 1.900294e-10 4.446916e-21 4.507246e-25 1.330824e-17 1.366618e-12 5.686360e-19 3.163461e-16 4.028169e-33 9.460846e-19 6.240136e-11 2.449273e-18 1.819466e-23 4.752885e-10 3.094406e-10 2.353131e-19 1.918317e-11 1.615539e-11 1.679887e-19 2.427489e-16 2.157603e-21 1.084662e-23 1.049360e-27 8.790654e-23 1.708490e-24 5.544312e-20 2.239893e-28 4.406869e-32 7.561606e-34 2.836618e-21 8.771733e-25 6.589732e-45 0.000000e+00 4.575857e-06 1.816060e-10 9.439183e-03
3.719869e-01 8.025711e-13 8.108957e-08 9.865676e-04 1.395438e-20 2.468334e-16 1.372519e-35 1.771082e-51 6.938262e-25 7.510652e-15 2.646894e-07 2.001715e-51 6.162175e-27 9.020674e-34 1.427834e-28 1.198617e-11 1.029450e-16 3.496023e-14 1.370412e-08 4.028081e-04 1.671009e-25 3.461223e-11 3.431630e-22 2.323455e-18 4.627554e-13 5.462412e-20 2.005121e-01 2.000238e-22 1.009081e-21 5.972565e-13 2.946352e-12 6.561869e-12 1.511003e-29 1.520024e-23 6.031553e-30 8.184555e-11 1.375556e-14 7.886524e-01 7.275968e-10 8.702566e-11 5.443050e-15 4.182294e-22 8.707858e-15 1.106196e-09 5.903753e-17 2.178467e-22 1.803646e-14 5.073782e-11 1.849136e-06 1.356541e-30 1.873199e-17 6.934753e-13 1.760237e-08 1.089560e-18 2.231746e-08 3.017903e-14 3.267520e-09 4.380204e-13 3.628305e-21 2.541202e-13 3.942471e-25 5.712632e-15 7.639903e-15 6.971077e-16 2.944004e-14 1.327785e-27 1.895959e-10 4.510193e-21 4.688542e-25 1.430345e-17 1.912623e-12 5.366333e-19 3.164998e-16 3.347174e-33 9.175761e-19 2.685502e-11 2.215570e-18 2.642768e-23 4.587040e-10 2.058066e-10 2.354299e-19 1.882942e-11 1.529809e-11 1.680703e-19 2.755268e-16 4.234536e-21 1.589817e-22 1.049965e-27 8.795387e-23 4.922947e-24 5.546707e-20 2.241037e-28 4.406291e-32 7.523747e-34 3.240073e-21 1.124998e-24 2.444085e-45 0.000000e+00 3.287526e-06 2.950670e-10 9.443879e-03
3.229791e-01 6.598771e-13 8.119325e-08 6.202035e-04 1.099049e-20 2.699466e-16 2.948913e-34 3.877404e-50 3.687599e-25 5.016079e-15 2.641767e-07 0.000000e+00 1.581448e-27 0.000000e+00 8.157661e-29 1.195798e-11 8.602118e-17 3.294833e-14 1.248338e-08 4.029586e-04 1.080319e-25 2.329189e-11 2.103499e-22 1.763550e-18 3.681407e-13 5.860129e-20 2.005856e-01 2.001003e-22 1.009542e-21 1.969570e-13 1.106781e-12 2.000894e-12 9.385239e-30 7.731587e-24 2.372301e-30 8.290917e-11 7.559780e-15 7.889417e-01 6.621408e-10 1.675097e-10 4.164087e-15 6.389415e-22 6.266099e-15 1.104118e-09 8.146455e-17 2.333675e-22 1.686804e-14 6.165180e-11 1.848735e-06 1.356654e-30 8.403909e-18 6.937547e-13 1.760868e-08 8.834564e-19 2.087634e-08 2.148108e-14 3.270943e-09 5.841285e-13 1.143553e-21 3.871504e-13 6.220162e-25 7.726819e-15 8.260191e-15 1.121521e-15 3.265290e-14 1.334956e-27 1.892511e-10 4.587366e-21 4.725742e-25 1.739641e-17 3.327497e-12 5.593015e-19 3.166120e-16 2.418061e-33 8.943639e-19 1.015902e-11 3.836014e-18 4.017968e-23 4.410262e-10 1.384781e-10 2.355159e-19 1.862491e-11 1.447919e-11 1.681299e-19 2.889292e-16 7.602040e-21 1.473693e-21 1.050450e-27 8.798945e-23 1.215665e-23 5.547966e-20 2.241896e-28 4.404129e-32 7.482489e-34 3.472441e-21 9.511641e-25 3.759937e-46 0.000000e+00 2.267521e-06 3.696893e-10 9.447341e-03
2.804279e-01 4.549148e-13 8.125966e-08 3.810749e-04 7.549477e-21 2.891750e-16 5.009385e-33 6.062245e-49 1.380755e-25 2.815967e-15 2.638886e-07 0.000000e+00 1.207183e-26 1.302103e-45 3.926703e-29 1.192122e-11 7.189770e-17 3.146120e-14 1.173934e-08 4.030570e-04 5.642226e-26 1.385791e-11 1.054082e-22 1.117685e-18 2.813975e-13 5.410861e-20 2.006336e-01 2.001521e-22 1.009896e-21 5.161664e-14 3.230494e-13 6.810477e-13 3.273852e-30 2.672430e-24 7.864646e-31 8.381131e-11 2.978342e-15 7.891304e-01 6.272995e-10 3.385423e-10 3.960823e-15 7.334415e-22 4.919488e-15 1.101423e-09 1.304857e-16 2.512984e-22 1.569375e-14 7.910634e-11 1.847889e-06 1.356554e-30 3.299843e-18 6.939525e-13 1.761274e-08 6.954709e-19 1.888914e-08 1.168585e-14 3.200950e-09 6.884736e-13 2.867015e-22 3.414510e-13 9.671952e-25 1.034789e-14 9.056686e-15 1.678514e-15 3.408944e-14 1.323747e-27 1.889275e-10 4.684183e-21 4.624853e-25 2.493953e-17 5.944268e-12 5.986899e-19 3.166836e-16 1.556172e-33 8.751377e-19 4.056992e-12 7.509413e-18 5.247927e-23 4.220599e-10 1.009277e-10 2.355718e-19 1.851176e-11 1.371570e-11 1.681680e-19 2.971227e-16 1.120192e-20 0.000000e+00 1.050824e-27 8.801040e-23 2.634851e-23 5.547808e-20 2.242479e-28 4.405324e-32 7.435510e-34 3.580838e-21 5.795704e-25 3.318314e-47 0.000000e+00 1.308887e-06 4.124951e-10 9.449599e-03
