# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.138E-01	182.3	1.12E+05
1.471E-01	180.1	1.12E+05
1.898E-01	180.4	1.12E+05
2.444E-01	178.3	1.12E+05
3.141E-01	175.4	1.12E+05
4.029E-01	172.0	1.12E+05
5.158E-01	168.8	1.12E+05
6.591E-01	166.1	1.12E+05
8.405E-01	163.8	1.12E+05
1.070E+00	161.7	1.12E+05
1.359E+00	159.8	1.12E+05
1.723E+00	158.0	1.12E+05
2.180E+00	156.4	1.12E+05
2.754E+00	155.0	1.12E+05
3.471E+00	153.6	1.12E+05
4.366E+00	152.3	1.12E+05
5.482E+00	151.0	1.12E+05
6.870E+00	149.7	1.12E+05
8.592E+00	148.2	1.12E+05
1.072E+01	146.7	1.12E+05
1.336E+01	145.3	1.12E+05
1.661E+01	144.2	1.12E+05
2.062E+01	143.5	1.12E+05
2.554E+01	143.2	1.12E+05
3.157E+01	143.5	1.12E+05
3.895E+01	144.2	1.12E+05
4.795E+01	145.2	1.12E+05
5.893E+01	146.7	1.12E+05
7.229E+01	148.6	1.12E+05
8.849E+01	150.8	1.12E+05
1.081E+02	153.4	1.12E+05
1.318E+02	156.1	1.12E+05
1.605E+02	158.8	1.12E+05
1.949E+02	161.4	1.12E+05
2.363E+02	163.7	1.12E+05
2.859E+02	165.7	1.12E+05
3.452E+02	167.3	1.12E+05
4.161E+02	168.5	1.12E+05
5.005E+02	169.2	1.12E+05
6.009E+02	169.7	1.12E+05
7.200E+02	169.8	1.12E+05
8.611E+02	169.9	1.06E+05
1.028E+03	170.0	9.57E+04
1.224E+03	170.3	8.33E+04
1.456E+03	170.9	7.16E+04
1.727E+03	171.8	6.26E+04
2.046E+03	172.9	5.48E+04
2.418E+03	174.2	4.71E+04
2.852E+03	175.7	4.13E+04
3.358E+03	177.2	3.64E+04
3.946E+03	178.8	3.20E+04
4.628E+03	180.3	2.81E+04
5.418E+03	181.8	2.47E+04
6.329E+03	183.1	2.20E+04
7.380E+03	184.3	1.98E+04
8.588E+03	185.4	1.79E+04
9.974E+03	186.3	1.64E+04
1.156E+04	187.2	1.49E+04
1.338E+04	188.0	1.35E+04
1.545E+04	188.9	1.22E+04
1.780E+04	189.7	1.10E+04
2.047E+04	190.9	9.99E+03
2.350E+04	192.2	9.08E+03
2.693E+04	193.6	8.18E+03
3.079E+04	194.8	7.37E+03
3.514E+04	196.0	6.62E+03
4.003E+04	197.0	5.95E+03
4.550E+04	198.2	5.37E+03
5.163E+04	199.5	4.87E+03
5.847E+04	201.2	4.49E+03
6.608E+04	202.8	4.17E+03
7.454E+04	204.6	4.03E+03
8.392E+04	206.2	3.90E+03
9.429E+04	207.8	3.94E+03
1.057E+05	208.9	3.99E+03
1.184E+05	210.5	4.41E+03
1.322E+05	212.0	4.90E+03
1.474E+05	213.3	5.75E+03
1.640E+05	214.6	6.90E+03
1.821E+05	215.8	9.12E+03
2.019E+05	217.3	1.47E+04
2.233E+05	218.7	2.35E+04
2.466E+05	220.9	3.79E+04
2.717E+05	222.8	6.09E+04
2.988E+05	226.8	8.57E+04
3.280E+05	232.6	9.15E+04
3.594E+05	238.3	9.75E+04
3.929E+05	243.7	1.00E+05
4.288E+05	248.8	1.00E+05
4.670E+05	253.7	1.00E+05
5.076E+05	258.1	1.00E+05
5.507E+05	262.2	1.00E+05
5.963E+05	266.0	1.00E+05
6.444E+05	269.5	1.00E+05
6.951E+05	272.7	1.00E+05
7.482E+05	276.0	1.00E+05
8.039E+05	279.1	1.01E+05
8.620E+05	282.1	1.04E+05
9.225E+05	284.9	1.07E+05
9.854E+05	287.6	1.11E+05
1.018E+06	288.9	1.12E+05
