alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          N2H3          NH2CO         HS4           C4H3          CH2N2         CH2CN         CH3CN         HCCCN         O1D           N2D           H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  9.98067E-001  2.52298E+019  2.86525E+002  1.00000E+005  8.00137E-004  1.00000E-040  1.00000E-040  1.35313E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00068E-034  1.00000E-040  1.00000E-040  8.50299E-022  5.31027E-007  7.71850E-003  1.56201E-014  4.00076E-017  2.10407E-001  1.10213E-007  3.60697E-004  1.84652E-023  3.86549E-011  1.00000E-040  1.00000E-040  8.01860E-034  3.56932E-020  2.25161E-006  2.28010E-029  3.77177E-026  2.15379E-033  1.96767E-032  1.07601E-040  2.28687E-012  2.80201E-018  9.49414E-020  1.83706E-011  1.00000E-040  1.00000E-040  5.28768E-010  1.00000E-040  3.58847E-017  1.80236E-038  7.81511E-001  3.86535E-030  3.75069E-028  4.12455E-022  1.00000E-040  1.00000E-040  2.07780E-029  7.33519E-025  2.18653E-016  1.77255E-017  8.74318E-012  1.91676E-021  3.10600E-007  9.25830E-010  1.80271E-008  2.03621E-013  1.82079E-017  3.45479E-020  1.16405E-014  4.27486E-012  3.40901E-012  1.88522E-010  1.18889E-017  3.65202E-025  2.16483E-020  1.00000E-040  4.63990E-012  3.13496E-023  5.61662E-017  9.21387E-025  9.65489E-026  5.48016E-040  5.04189E-038  1.00000E-040  1.00000E-040  1.16077E-018  1.00000E-040  1.22251E-040  1.64456E-025  3.81460E-027  2.43980E-035  2.97802E-039  5.61825E-033  1.89368E-018  1.56907E-019  1.67181E-014  5.79032E-030  1.38071E-029  1.00000E-040  1.00321E-025  1.00000E-040  3.31746E-025  1.26587E-030  1.10017E-021  1.36776E-025  1.35097E-008  3.99857E-024  1.00000E-040  9.64260E-024  3.26192E-039  1.00000E-040  7.03222E-024  1.10562E-040  5.07968E-030  7.79444E-040  1.09494E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.83408E-001  2.28496E+019  2.80027E+002  1.00000E+005  1.04244E-003  1.00000E-040  1.00000E-040  1.51225E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.98559E-035  1.00000E-040  1.00002E-040  1.08868E-021  5.33534E-007  5.78438E-003  1.95209E-014  5.21706E-017  2.10817E-001  1.07734E-007  3.61406E-004  2.60006E-023  4.42595E-011  1.00000E-040  1.00000E-040  1.03954E-033  3.91039E-020  2.25283E-006  3.91928E-029  3.74280E-026  3.11639E-037  3.52648E-036  1.07810E-040  2.78281E-012  3.84220E-018  1.89807E-019  3.81901E-011  1.00000E-040  1.00000E-040  5.29419E-010  1.00000E-040  3.62355E-017  2.96041E-038  7.83034E-001  3.92086E-030  3.99086E-028  4.13348E-022  1.00000E-040  1.00000E-040  2.02455E-029  7.12732E-025  3.25298E-016  1.88305E-017  9.57504E-012  2.15633E-021  3.11162E-007  1.11562E-009  1.99568E-008  2.54651E-013  1.94921E-017  4.20714E-020  1.44506E-014  6.11463E-012  6.98115E-012  1.92369E-010  1.60032E-017  3.26953E-025  2.18032E-020  1.00000E-040  5.20756E-012  3.14934E-023  5.34397E-017  1.10245E-024  1.06978E-025  5.49084E-040  4.91713E-038  1.00000E-040  1.00000E-040  1.15174E-018  1.00000E-040  1.39388E-040  1.56263E-025  5.79347E-027  2.95019E-035  3.91027E-039  4.48248E-033  4.10531E-018  2.30799E-019  1.80413E-014  5.15979E-030  1.39704E-029  1.00000E-040  2.04931E-025  1.00000E-040  4.88060E-025  1.21705E-030  1.10232E-021  1.61087E-025  1.30966E-008  1.07769E-023  1.00000E-040  9.76250E-024  2.13402E-039  1.00000E-040  7.06062E-024  1.08351E-040  5.08013E-030  7.86709E-040  1.52433E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.79940E-001  2.06525E+019  2.73530E+002  1.00000E+005  9.06632E-004  1.00000E-040  1.00000E-040  1.49210E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.30651E-035  1.00000E-040  1.00164E-040  1.38350E-021  5.36011E-007  4.17360E-003  2.40198E-014  6.97547E-017  2.11158E-001  1.05380E-007  3.61998E-004  3.71006E-023  5.21274E-011  1.00000E-040  1.00000E-040  1.29657E-033  4.19496E-020  2.25354E-006  5.64739E-029  3.72625E-026  1.00000E-040  3.02674E-040  1.07985E-040  2.97032E-012  4.49593E-018  3.36082E-019  5.19787E-011  1.00000E-040  1.00000E-040  5.29896E-010  1.00000E-040  3.66181E-017  4.99070E-038  7.84303E-001  4.09108E-030  4.16843E-028  4.14094E-022  1.00000E-040  1.00000E-040  1.92447E-029  6.76152E-025  5.48980E-016  2.12683E-017  1.04430E-011  2.07928E-021  3.11618E-007  1.31253E-009  2.26218E-008  3.51199E-013  2.35394E-017  3.83338E-020  2.14425E-014  9.15912E-012  1.04837E-011  1.95715E-010  2.15831E-017  3.12089E-025  2.44787E-020  1.00000E-040  6.21934E-012  3.17148E-023  4.95015E-017  1.47044E-024  1.15030E-025  5.49975E-040  4.70543E-038  1.00000E-040  1.00000E-040  1.30639E-018  1.00000E-040  1.52735E-040  1.45701E-025  5.67860E-027  3.42074E-035  1.00000E-040  3.47733E-033  7.91176E-018  3.56800E-019  2.02899E-014  4.27741E-030  1.42967E-029  1.00000E-040  4.21891E-025  1.00000E-040  7.15692E-025  1.13642E-030  1.10410E-021  1.75014E-025  1.22415E-008  1.87562E-023  1.00000E-040  9.91997E-024  1.38826E-039  1.00000E-040  6.79127E-024  1.04014E-040  5.07183E-030  7.94333E-040  2.12848E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.86692E-001  1.86256E+019  2.67036E+002  1.00000E+005  8.20478E-004  1.00000E-040  1.00000E-040  1.21018E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.91820E-035  1.00000E-040  1.00304E-040  1.71244E-021  5.38490E-007  2.79101E-003  2.84442E-014  9.49174E-017  2.11452E-001  1.03183E-007  3.62507E-004  5.32472E-023  6.29318E-011  1.00000E-040  1.00000E-040  1.48664E-033  4.30726E-020  2.25396E-006  7.11875E-029  3.70221E-026  1.00000E-040  1.00000E-040  1.08134E-040  2.94983E-012  4.66336E-018  5.43533E-019  6.03937E-011  1.00000E-040  1.00000E-040  5.30248E-010  1.00000E-040  3.70395E-017  8.40220E-038  7.85392E-001  4.36608E-030  4.17266E-028  4.14667E-022  1.00000E-040  1.14626E-040  1.79135E-029  6.30925E-025  9.83529E-016  2.54790E-017  1.12871E-011  1.90789E-021  3.11996E-007  1.48419E-009  2.60515E-008  4.96503E-013  2.92030E-017  3.26124E-020  3.55753E-014  1.33333E-011  1.33305E-011  1.98592E-010  2.86412E-017  3.02453E-025  2.88631E-020  1.00000E-040  7.63177E-012  3.20268E-023  4.52193E-017  2.06418E-024  1.15188E-025  5.50741E-040  4.44242E-038  1.00000E-040  1.00000E-040  1.59328E-018  1.00000E-040  1.58371E-040  1.34928E-025  4.25088E-027  3.63349E-035  1.00000E-040  2.57052E-033  1.39841E-017  5.63957E-019  2.34944E-014  3.37667E-030  1.48234E-029  1.00000E-040  8.56829E-025  1.00000E-040  1.02387E-024  1.03868E-030  1.10563E-021  1.75079E-025  1.09758E-008  2.68652E-023  1.00000E-040  1.00989E-023  9.10790E-040  1.00000E-040  6.00522E-024  1.00000E-040  5.05999E-030  8.02469E-040  2.97522E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.02944E-001  1.67615E+019  2.60544E+002  1.00000E+005  6.18363E-004  1.00000E-040  1.00000E-040  9.66572E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.82685E-035  1.00000E-040  1.00404E-040  2.14620E-021  5.40851E-007  1.79578E-003  3.38002E-014  1.30367E-016  2.11663E-001  1.01112E-007  3.62875E-004  7.67241E-023  7.66101E-011  1.00000E-040  1.00000E-040  1.70070E-033  4.40971E-020  2.25369E-006  8.41589E-029  3.67107E-026  1.00000E-040  1.00000E-040  1.08242E-040  2.77491E-012  4.57985E-018  8.51446E-019  6.40389E-011  1.00000E-040  1.00000E-040  5.30388E-010  1.00000E-040  3.74997E-017  1.48269E-037  7.86176E-001  4.79555E-030  4.18098E-028  4.15015E-022  1.00000E-040  1.00000E-040  1.63766E-029  5.82351E-025  1.82950E-015  3.21002E-017  1.22659E-011  1.74277E-021  3.12248E-007  1.67937E-009  3.02281E-008  6.97859E-013  3.64479E-017  2.91707E-020  6.25560E-014  1.92968E-011  1.54295E-011  2.00859E-010  3.81185E-017  3.03298E-025  3.60953E-020  1.00000E-040  9.53956E-012  3.24436E-023  4.10034E-017  2.98196E-024  1.10234E-025  5.51294E-040  4.15168E-038  1.00000E-040  1.00000E-040  2.04806E-018  1.00000E-040  1.62973E-040  1.24651E-025  2.89538E-027  3.83615E-035  1.00000E-040  1.87931E-033  2.40513E-017  8.97369E-019  2.72118E-014  2.56918E-030  1.55859E-029  1.00000E-040  1.79335E-024  1.00000E-040  1.49063E-024  9.36392E-031  1.10674E-021  1.66397E-025  9.36948E-009  3.53099E-023  1.00000E-040  1.02945E-023  6.14689E-040  1.00000E-040  5.23398E-024  1.00000E-040  5.04676E-030  8.10303E-040  4.13866E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.27856E-001  1.50490E+019  2.54053E+002  1.00000E+005  4.37544E-004  1.52802E-040  1.00000E-040  6.24734E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.23321E-035  1.00000E-040  1.00472E-040  2.74063E-021  5.43081E-007  1.12251E-003  4.06479E-014  1.79623E-016  2.11805E-001  9.91417E-008  3.63125E-004  1.09925E-022  9.27727E-011  1.00000E-040  1.00000E-040  1.97320E-033  4.53738E-020  2.25285E-006  9.53194E-029  3.63515E-026  1.00000E-040  1.00000E-040  1.08315E-040  2.48359E-012  4.33981E-018  1.30923E-018  6.35599E-011  1.00000E-040  1.00000E-040  5.30349E-010  1.00000E-040  3.80070E-017  1.00000E-040  7.86706E-001  5.40789E-030  4.22227E-028  4.15141E-022  1.00000E-040  1.00000E-040  1.47783E-029  5.33926E-025  3.52281E-015  4.21170E-017  1.33933E-011  1.60367E-021  3.12393E-007  1.89755E-009  3.51101E-008  9.59336E-013  4.51253E-017  3.09892E-020  1.13791E-013  2.73832E-011  1.61471E-011  2.02399E-010  5.09770E-017  3.16913E-025  4.73108E-020  1.00000E-040  1.20426E-011  3.29904E-023  3.70583E-017  4.38916E-024  1.03223E-025  5.51670E-040  3.84913E-038  1.00000E-040  1.00000E-040  2.72267E-018  1.00000E-040  1.68554E-040  1.15101E-025  1.96791E-027  4.09083E-035  1.00000E-040  1.36491E-033  4.08133E-017  1.42117E-018  3.10886E-014  1.89621E-030  1.66323E-029  1.00000E-040  3.90963E-024  1.00000E-040  2.22877E-024  8.44101E-031  1.10748E-021  1.53808E-025  7.51959E-009  4.40530E-023  1.00000E-040  1.05082E-023  4.46797E-040  1.00000E-040  4.57593E-024  1.00000E-040  5.03336E-030  8.17878E-040  5.70880E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.60651E-001  1.34772E+019  2.47565E+002  1.00000E+005  2.97055E-004  7.11148E-038  1.00000E-040  2.90713E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.69490E-034  1.00000E-040  1.00516E-040  3.55126E-021  5.45163E-007  6.82145E-004  4.93245E-014  2.47196E-016  2.11899E-001  9.72393E-008  3.63292E-004  1.55921E-022  1.11236E-010  1.00000E-040  1.00000E-040  2.30675E-033  4.67661E-020  2.25161E-006  1.03523E-028  3.59775E-026  1.00000E-040  1.00000E-040  1.08362E-040  2.10911E-012  3.96469E-018  1.96670E-018  5.96953E-011  1.00000E-040  1.00000E-040  5.30174E-010  1.00000E-040  3.85715E-017  5.38154E-037  7.87053E-001  6.20607E-030  4.28660E-028  4.15054E-022  1.00000E-040  1.00000E-040  1.32023E-029  4.87837E-025  7.16367E-015  5.70358E-017  1.46360E-011  1.48264E-021  3.12456E-007  2.12351E-009  4.06282E-008  1.28592E-012  5.52385E-017  4.16398E-020  2.12577E-013  3.77488E-011  1.43514E-011  2.03150E-010  6.81569E-017  3.45441E-025  6.34549E-020  1.00000E-040  1.51877E-011  3.36977E-023  3.34867E-017  6.52651E-024  9.58663E-026  5.51918E-040  3.54583E-038  1.00000E-040  1.00000E-040  3.66977E-018  1.00000E-040  1.75247E-040  1.06341E-025  1.36414E-027  4.37633E-035  2.36183E-037  9.79024E-034  6.80497E-017  2.23207E-018  3.49546E-014  1.36324E-030  1.80263E-029  1.00000E-040  8.87032E-024  1.00000E-040  3.41312E-024  7.90635E-031  1.10797E-021  1.40430E-025  5.54648E-009  5.25861E-023  1.00000E-040  1.07435E-023  3.80575E-040  1.00000E-040  3.98640E-024  1.00000E-040  5.02047E-030  8.29132E-040  7.79068E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.00627E-001  1.20364E+019  2.41079E+002  1.00000E+005  1.93357E-004  2.15085E-035  1.00000E-040  8.78295E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.55324E-032  1.00000E-040  1.00544E-040  4.63724E-021  5.47057E-007  4.02368E-004  5.99191E-014  3.38803E-016  2.11958E-001  9.53535E-008  3.63399E-004  2.19708E-022  1.32664E-010  1.00000E-040  1.00000E-040  2.67238E-033  4.78780E-020  2.25010E-006  1.06601E-028  3.56298E-026  1.00000E-040  1.00000E-040  1.08392E-040  1.68384E-012  3.44741E-018  2.84236E-018  5.33131E-011  1.00000E-040  1.00000E-040  5.29897E-010  1.00000E-040  3.92045E-017  1.07497E-036  7.87273E-001  7.16273E-030  4.33683E-028  4.14754E-022  1.00000E-040  1.00000E-040  1.17289E-029  4.45552E-025  1.62010E-014  7.91320E-017  1.59612E-011  1.36495E-021  3.12461E-007  2.33262E-009  4.66770E-008  1.69486E-012  6.70151E-017  6.60864E-020  4.07407E-013  5.04240E-011  8.59062E-012  2.03143E-010  9.04957E-017  3.91356E-025  8.47635E-020  1.00000E-040  1.89290E-011  3.46012E-023  3.03364E-017  9.69293E-024  8.88294E-026  5.52080E-040  3.25041E-038  1.00000E-040  1.00000E-040  4.92619E-018  1.00000E-040  1.82278E-040  9.83716E-026  9.46977E-028  4.61762E-035  1.17629E-033  6.87250E-034  1.09887E-016  3.50106E-018  3.88468E-014  9.58711E-031  1.98500E-029  1.00000E-040  2.08412E-023  1.00000E-040  5.30736E-024  8.60358E-031  1.10828E-021  1.27956E-025  3.59885E-009  5.98829E-023  1.00000E-040  1.10043E-023  4.13172E-040  1.00000E-040  3.39928E-024  1.00000E-040  5.00850E-030  8.41544E-040  1.05054E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.47150E-001  1.07181E+019  2.34594E+002  1.00000E+005  1.20355E-004  3.88131E-033  1.00000E-040  1.68043E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.14899E-030  1.00000E-040  1.00562E-040  6.04111E-021  5.48686E-007  2.30124E-004  7.19306E-014  4.61463E-016  2.11994E-001  9.34035E-008  3.63467E-004  3.08197E-022  1.58209E-010  1.00000E-040  1.00000E-040  2.98758E-033  4.80432E-020  2.24841E-006  1.01674E-028  3.53578E-026  1.00000E-040  1.00000E-040  1.08410E-040  1.24349E-012  2.78411E-018  3.84997E-018  4.54538E-011  1.00000E-040  1.00000E-040  5.29544E-010  1.00000E-040  3.99183E-017  2.14790E-036  7.87409E-001  8.20175E-030  4.31067E-028  4.14239E-022  1.00000E-040  1.00000E-040  1.04249E-029  4.08450E-025  4.54492E-014  1.11754E-016  1.73343E-011  1.23621E-021  3.12423E-007  2.48095E-009  5.31016E-008  2.23634E-012  8.05338E-017  1.11513E-019  7.99907E-013  6.53145E-011  4.30747E-012  2.02516E-010  1.18607E-016  4.54571E-025  1.09775E-019  1.00000E-040  2.31087E-011  3.57437E-023  2.76227E-017  1.41250E-023  8.22792E-026  5.52184E-040  2.97047E-038  1.00000E-040  1.00000E-040  6.49427E-018  1.00000E-040  1.87990E-040  9.12049E-026  6.24268E-028  4.67747E-035  1.00000E-040  4.66283E-034  1.67606E-016  5.57496E-018  4.29971E-014  6.64035E-031  2.22087E-029  1.00000E-040  5.02504E-023  1.00000E-040  8.23436E-024  1.34043E-030  1.10847E-021  1.17253E-025  1.86667E-009  6.44743E-023  1.00000E-040  1.12952E-023  5.68952E-040  1.00000E-040  2.76219E-024  1.00000E-040  4.99774E-030  8.55480E-040  1.39834E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.99637E-001  9.51402E+018  2.28112E+002  9.61769E+004  6.99988E-005  3.98339E-031  1.00000E-040  7.97859E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.24471E-028  1.00000E-040  1.00572E-040  7.69728E-021  5.49958E-007  1.28243E-004  8.43929E-014  6.25134E-016  2.12016E-001  9.12117E-008  3.63510E-004  4.08260E-022  1.79325E-010  1.00000E-040  1.00000E-040  3.15253E-033  4.67355E-020  2.24654E-006  8.73960E-029  3.52181E-026  1.00000E-040  1.00000E-040  1.08421E-040  8.29700E-013  2.02698E-018  4.74535E-018  3.72494E-011  1.00000E-040  1.00000E-040  5.29117E-010  1.00000E-040  4.07419E-017  4.23480E-036  7.87489E-001  9.27116E-030  4.15513E-028  4.13481E-022  1.00000E-040  1.00000E-040  9.32167E-030  3.78095E-025  2.05772E-013  1.60249E-016  1.84779E-011  1.09545E-021  3.12348E-007  2.47805E-009  5.98003E-008  2.99628E-012  9.52562E-017  1.82879E-019  1.61230E-012  8.24795E-011  2.72460E-012  2.01449E-010  1.53503E-016  5.34317E-025  1.36193E-019  1.00000E-040  2.75886E-011  3.72047E-023  2.52847E-017  1.97593E-023  7.65089E-026  5.52251E-040  2.70835E-038  1.00000E-040  1.00000E-040  8.37219E-018  1.00000E-040  1.91281E-040  8.50081E-026  3.78007E-028  4.44742E-035  1.00000E-040  2.99028E-034  2.34825E-016  8.91938E-018  4.75801E-014  4.55432E-031  2.52930E-029  1.00000E-040  1.23729E-022  1.00000E-040  1.23796E-023  3.30416E-030  1.10859E-021  1.08725E-025  5.84364E-010  6.53628E-023  1.00000E-040  1.16279E-023  9.16937E-040  1.00000E-040  2.10128E-024  1.00000E-040  4.98814E-030  8.71417E-040  1.84153E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
