alt           press         den           temp          eddy          H2Oaer        H2SO4aer      S2            CH3CO         H2S           H2CCO         C2            N2O5          S             C2H           HNO2          C2H5          H2CO          CH2OH         HCS           CH2CN         HC3N          C4H2          OH            CH3S          C4H5          O2            N             S8            H2O2          CH3           CH            CH3CN         NCO           H2O           NS            O_1           NH2           HNCO          C4H3          C             S4            H2SO4         NO            CN            C2H3CN        HCO           SO            HS2           HNO3          CH2           CS2           C2H2          NO2           CH3O          O3            H             C3H3          CH3CHO        CS            C2H4          NO3           He            SO2           O             CO2           CH3OOH        N_2D          C6H5          CH3O2         HCN           NH            HNO           CH4           NH3           H2CN          CH2NH         C3H4          SO3           HSO           C3H2          CH2_1         C6H6          S3            C2H6          S2O           N2O           COS           N2H           H2            C2H3          N2H3          CH3OH         N2H4          CO            N2H2          HO2           N2            CH3SH         HCCO          SH            HSO3          CH2NH2        CH3NH2        H2Oaer_r      H2SO4aer_r    
4.42018E-001  1.00586E+000  2.44604E+019  2.97846E+002  1.09152E+005  3.49340E-006  2.06600E-039  9.40433E-026  6.73136E-020  4.49245E-014  1.56366E-022  1.00000E-040  3.97981E-016  1.00517E-028  1.00000E-040  7.00154E-014  5.71359E-016  4.03206E-010  2.94970E-026  7.35231E-038  8.72910E-012  5.65607E-019  1.23424E-030  1.53406E-013  4.71876E-025  1.53152E-029  2.08776E-001  1.53265E-033  2.75719E-036  1.22989E-009  9.07992E-015  4.60096E-034  3.48151E-011  2.56560E-022  1.54101E-002  2.10839E-028  4.18638E-022  3.74744E-016  4.49434E-016  1.84574E-028  1.00000E-040  2.53158E-040  9.46061E-011  1.86820E-011  2.61990E-029  2.58471E-017  7.06536E-022  1.48558E-019  3.32811E-029  1.14472E-010  1.75374E-025  1.00000E-040  2.00188E-027  6.98596E-011  2.49013E-018  1.51779E-008  1.53145E-020  1.00000E-040  4.56337E-018  9.38618E-040  9.28256E-012  5.97614E-015  1.00000E-040  2.12720E-010  4.44402E-017  3.57902E-004  1.43539E-009  1.00000E-040  5.78569E-031  7.07524E-012  5.87785E-011  5.22852E-026  2.37044E-017  1.08153E-006  5.37085E-011  4.21630E-021  1.47989E-012  7.97341E-020  7.72984E-018  8.07406E-012  2.14292E-029  1.90063E-026  3.19043E-022  1.00000E-040  2.13062E-013  8.83903E-038  3.45391E-007  1.24843E-020  4.60648E-025  5.26911E-007  1.08640E-028  3.15023E-019  4.12788E-013  9.93233E-014  1.31016E-007  1.53842E-019  1.66632E-011  7.75454E-001  4.26454E-018  4.83303E-023  1.05974E-017  4.21043E-022  2.15036E-017  2.05631E-008  1.00000E-005  1.00000E-005  
1.32606E+000  9.06323E-001  2.24196E+019  2.92801E+002  1.04456E+005  3.10266E-003  1.83705E-036  9.90399E-026  5.15053E-020  4.80207E-016  1.56784E-022  1.00000E-040  4.18612E-017  1.46856E-028  1.00000E-040  1.45073E-014  4.55795E-016  2.40277E-010  1.71894E-026  8.25396E-038  8.60348E-012  5.67119E-019  1.23750E-030  1.00923E-013  4.86048E-025  1.53562E-029  2.09334E-001  6.69745E-034  2.76456E-036  1.19340E-009  5.90186E-015  2.19786E-034  3.44544E-011  4.33611E-022  1.27771E-002  2.07485E-028  4.24054E-022  2.88512E-016  6.81907E-016  1.85068E-028  1.00000E-040  2.48828E-040  9.73571E-011  6.33181E-012  1.35631E-029  2.59162E-017  3.31789E-022  3.65638E-019  5.25588E-029  1.31808E-010  7.39600E-026  1.00000E-040  1.63450E-027  1.88032E-011  1.17067E-018  1.34219E-008  1.00822E-020  1.00000E-040  3.68338E-018  1.06476E-039  9.30173E-012  1.36154E-015  1.00000E-040  1.49499E-010  4.34085E-017  3.58869E-004  1.77125E-009  1.00000E-040  2.38866E-029  9.09384E-012  5.94823E-011  2.90400E-026  1.07071E-017  1.08083E-006  4.96835E-011  4.19776E-021  1.48385E-012  7.99473E-020  5.19180E-018  8.05421E-012  2.14867E-029  9.69127E-027  3.19896E-022  1.00000E-040  2.11424E-013  8.82519E-038  3.46263E-007  1.25219E-020  1.41577E-025  5.28477E-007  6.03546E-029  3.13006E-019  3.70153E-013  9.95698E-014  1.24210E-007  1.51327E-019  1.44336E-011  7.77528E-001  4.89969E-018  4.84599E-023  1.30341E-017  1.99253E-022  2.06309E-017  2.06181E-008  1.00000E-005  1.00000E-005  
2.21009E+000  8.15299E-001  2.05301E+019  2.87636E+002  1.00882E+005  3.88033E-003  1.63671E-033  1.07290E-025  4.77728E-020  1.20612E-016  1.57168E-022  1.00000E-040  1.07690E-017  2.17764E-028  1.00000E-040  5.04467E-015  4.08267E-016  1.44450E-010  1.22075E-026  9.96097E-038  8.38981E-012  5.68510E-019  1.24048E-030  8.04566E-014  6.37397E-025  1.53938E-029  2.09848E-001  5.01783E-034  2.77134E-036  1.03126E-009  4.56098E-015  1.74534E-034  3.41623E-011  6.17627E-022  1.03563E-002  2.04645E-028  4.33024E-022  2.47905E-016  8.56888E-016  1.85521E-028  1.00000E-040  2.59565E-040  8.73485E-011  3.34980E-012  8.62248E-030  2.59798E-017  1.87033E-022  7.18587E-019  7.20818E-029  1.14873E-010  4.48995E-026  1.00000E-040  1.30026E-027  7.67685E-012  7.72327E-019  1.20194E-008  7.95536E-021  1.00000E-040  2.97071E-018  1.26452E-039  9.31553E-012  4.85245E-016  1.00000E-040  1.08856E-010  4.42874E-017  3.59758E-004  2.03459E-009  1.00000E-040  1.00000E-040  1.04172E-011  6.02019E-011  2.25470E-026  5.67269E-018  1.08056E-006  4.64281E-011  4.17353E-021  1.48748E-012  8.01433E-020  3.29724E-018  7.97883E-012  2.15396E-029  7.27510E-027  3.20680E-022  1.00000E-040  2.09045E-013  8.80526E-038  3.47054E-007  1.25594E-020  7.65611E-026  5.29969E-007  4.02423E-029  3.02251E-019  3.33805E-013  9.97814E-014  1.18030E-007  1.45783E-019  1.18660E-011  7.79434E-001  5.79367E-018  4.85794E-023  1.64022E-017  1.18592E-022  1.82289E-017  2.06687E-008  1.00000E-005  1.00000E-005  
3.09413E+000  7.32408E-001  1.87550E+019  2.82848E+002  1.00000E+005  3.02040E-003  1.42098E-030  1.17995E-025  4.99739E-020  1.46431E-016  1.57477E-022  1.00000E-040  6.62938E-018  3.20757E-028  1.00000E-040  3.00227E-015  3.85333E-016  1.01365E-010  1.02186E-026  1.24921E-037  8.11208E-012  5.69626E-019  1.24285E-030  7.35500E-014  9.50669E-025  1.54240E-029  2.10260E-001  4.12034E-034  2.77677E-036  8.88608E-010  4.03217E-015  1.90419E-034  3.39059E-011  7.90775E-022  8.41358E-003  2.02742E-028  4.70077E-022  2.25535E-016  9.94180E-016  1.85886E-028  1.00000E-040  2.78567E-040  7.63435E-011  2.58936E-012  6.37466E-030  2.60308E-017  1.35495E-022  1.22050E-018  8.78259E-029  1.03154E-010  3.57770E-026  1.00000E-040  1.03996E-027  4.80758E-012  6.82981E-019  1.14825E-008  7.25363E-021  1.00000E-040  2.59273E-018  1.45672E-039  9.32214E-012  2.77693E-016  1.00000E-040  8.04553E-011  4.88912E-017  3.60472E-004  2.15194E-009  1.00000E-040  1.00000E-040  1.10064E-011  6.09179E-011  2.13989E-026  4.04912E-018  1.08019E-006  4.36486E-011  4.15842E-021  1.49040E-012  8.03006E-020  2.20165E-018  7.89005E-012  2.15823E-029  7.14860E-027  3.21310E-022  1.00000E-040  2.06371E-013  8.77709E-038  3.47670E-007  1.25929E-020  6.36110E-026  5.31239E-007  3.10052E-029  2.82600E-019  3.09069E-013  9.99334E-014  1.12299E-007  1.37448E-019  1.03654E-011  7.80964E-001  6.87161E-018  4.86756E-023  2.06346E-017  8.20038E-023  1.50441E-017  2.07092E-008  1.00000E-005  1.00000E-005  
3.97817E+000  6.56968E-001  1.71074E+019  2.78148E+002  1.00000E+005  2.48918E-003  1.02049E-027  1.30566E-025  5.77543E-020  1.84428E-016  1.57732E-022  1.00000E-040  7.63273E-018  4.70409E-028  1.00000E-040  2.57940E-015  3.70112E-016  8.30964E-011  9.75281E-027  1.59165E-037  7.78684E-012  5.70549E-019  1.24479E-030  7.44515E-014  1.57093E-024  1.54490E-029  2.10601E-001  3.93011E-034  2.78127E-036  7.87427E-010  3.92148E-015  2.61200E-034  3.36758E-011  9.20635E-022  6.80549E-003  2.01704E-028  5.48193E-022  2.10295E-016  1.10333E-015  1.86187E-028  1.00000E-040  3.03300E-040  6.70308E-011  2.57364E-012  5.03095E-030  2.60730E-017  1.21133E-022  1.87335E-018  9.73633E-029  9.94010E-011  3.47186E-026  1.00000E-040  8.51002E-028  4.06023E-012  7.31763E-019  1.18254E-008  7.37107E-021  3.41986E-032  2.49213E-018  1.03368E-039  9.32319E-012  2.18680E-016  1.00000E-040  5.98369E-011  5.84257E-017  3.61064E-004  2.13460E-009  1.00000E-040  1.00000E-040  1.09646E-011  6.16285E-011  2.28046E-026  3.86089E-018  1.07979E-006  4.12308E-011  4.15600E-021  1.49282E-012  8.04308E-020  1.57043E-018  7.79044E-012  2.16178E-029  8.58965E-027  3.21832E-022  1.00000E-040  2.03591E-013  8.74233E-038  3.48162E-007  1.26239E-020  6.98321E-026  5.32359E-007  2.63986E-029  2.55994E-019  2.94513E-013  1.00042E-013  1.06991E-007  1.26935E-019  9.74358E-012  7.82231E-001  8.10006E-018  4.87556E-023  2.60009E-017  6.31903E-023  1.15327E-017  2.07428E-008  1.00000E-005  1.00000E-005  
4.86220E+000  5.88298E-001  1.55915E+019  2.73291E+002  1.00000E+005  2.15202E-003  5.33547E-025  1.44620E-025  7.17086E-020  2.33174E-016  1.57958E-022  1.00000E-040  1.25822E-017  6.88581E-028  1.00000E-040  2.65570E-015  3.56929E-016  7.42890E-011  1.01499E-026  2.03682E-037  7.42338E-012  5.71366E-019  1.24649E-030  8.02418E-014  2.80343E-024  1.54711E-029  2.10902E-001  9.70020E-034  2.78524E-036  7.11930E-010  4.00782E-015  4.15147E-034  3.34691E-011  9.81087E-022  5.38363E-003  2.01388E-028  6.79712E-022  1.96161E-016  1.19008E-015  1.86454E-028  1.00000E-040  3.32870E-040  5.87060E-011  2.86272E-012  3.96517E-030  2.61103E-017  1.21362E-022  2.68495E-018  1.01001E-028  1.00563E-010  3.76555E-026  1.00000E-040  7.11880E-028  3.96992E-012  8.48607E-019  1.29910E-008  7.98844E-021  2.78015E-032  2.59337E-018  2.24137E-039  9.32012E-012  2.04235E-016  1.00000E-040  4.45760E-011  7.43845E-017  3.61588E-004  2.01299E-009  1.00000E-040  5.96869E-029  1.05008E-011  6.23376E-011  2.56210E-026  4.39278E-018  1.07946E-006  3.91110E-011  4.16348E-021  1.49496E-012  8.05460E-020  1.21051E-018  7.68122E-012  2.16493E-029  1.17933E-026  3.22294E-022  1.00000E-040  2.00750E-013  8.70223E-038  3.48581E-007  1.26540E-020  8.68574E-026  5.33396E-007  2.36604E-029  2.25252E-019  2.87374E-013  1.00121E-013  1.02068E-007  1.14963E-019  9.58752E-012  7.83351E-001  9.44824E-018  4.88266E-023  3.28772E-017  5.20393E-023  8.23886E-018  2.07725E-008  1.00000E-005  1.00000E-005  
5.74624E+000  5.25765E-001  1.41954E+019  2.68264E+002  1.00000E+005  2.84394E-003  1.55604E-022  1.59876E-025  9.10780E-020  2.96208E-016  1.58178E-022  1.00000E-040  2.47796E-017  1.00831E-027  1.00000E-040  2.92220E-015  3.42148E-016  6.83166E-011  1.08595E-026  2.60173E-037  7.02912E-012  5.72161E-019  1.24814E-030  8.75393E-014  5.14153E-024  1.54927E-029  2.11195E-001  1.49605E-033  2.78911E-036  6.40996E-010  4.08809E-015  6.98391E-034  3.32867E-011  9.41120E-022  3.99943E-003  2.01682E-028  8.80549E-022  1.77592E-016  1.25780E-015  1.86713E-028  1.00000E-040  3.66519E-040  4.90001E-011  3.35227E-012  2.96765E-030  2.61466E-017  1.25482E-022  3.69054E-018  1.02122E-028  1.03401E-010  4.12037E-026  1.00000E-040  6.10303E-028  4.14342E-012  9.94297E-019  1.49400E-008  8.77633E-021  2.35382E-032  2.83862E-018  2.85489E-039  9.31417E-012  2.04004E-016  1.00000E-040  3.32443E-011  9.89929E-017  3.62098E-004  1.81621E-009  1.00000E-040  6.89527E-029  9.58558E-012  6.30498E-011  2.86156E-026  5.44721E-018  1.07932E-006  3.72560E-011  4.17633E-021  1.49704E-012  8.06581E-020  1.04376E-018  7.56325E-012  2.16802E-029  1.73940E-026  3.22741E-022  1.00000E-040  1.97849E-013  8.65784E-038  3.48980E-007  1.26851E-020  1.11874E-025  5.34419E-007  2.11950E-029  1.93428E-019  2.84736E-013  1.00187E-013  9.75168E-008  1.02343E-019  9.53907E-012  7.84441E-001  1.08845E-017  4.88961E-023  4.17689E-017  4.35231E-023  5.56964E-018  2.08014E-008  1.00000E-005  1.00000E-005  
6.63028E+000  4.68969E-001  1.29147E+019  2.63014E+002  1.00000E+005  2.95177E-003  6.49844E-020  1.75917E-025  1.18703E-019  3.78169E-016  1.58361E-022  1.00000E-040  5.65776E-017  1.47871E-027  1.00000E-040  3.36708E-015  3.26188E-016  6.33576E-011  1.18564E-026  3.30145E-037  6.61141E-012  5.72823E-019  1.24948E-030  9.66507E-014  9.72655E-024  1.55106E-029  2.11440E-001  2.25064E-033  2.79233E-036  5.81399E-010  4.14887E-015  1.24494E-033  3.31209E-011  8.26788E-022  2.84561E-003  2.02420E-028  1.16588E-021  1.59272E-016  1.30896E-015  1.86930E-028  1.00000E-040  4.03896E-040  4.06193E-011  4.05901E-012  2.10962E-030  2.61769E-017  1.31257E-022  4.97858E-018  1.00833E-028  1.10231E-010  4.53300E-026  1.00000E-040  5.43314E-028  4.50247E-012  1.16708E-018  1.76160E-008  9.75471E-021  1.94709E-032  3.18505E-018  3.40715E-039  9.30344E-012  2.15476E-016  1.00000E-040  2.48295E-011  1.34718E-016  3.62523E-004  1.57233E-009  1.00000E-040  1.26736E-029  8.40246E-012  6.37469E-011  3.22269E-026  7.04754E-018  1.07914E-006  3.56328E-011  4.18727E-021  1.49877E-012  8.07515E-020  1.02599E-018  7.43502E-012  2.17061E-029  2.69241E-026  3.23116E-022  1.00000E-040  1.94830E-013  8.60734E-038  3.49289E-007  1.27145E-020  1.50089E-025  5.35307E-007  1.89130E-029  1.63091E-019  2.84331E-013  1.00220E-013  9.32936E-008  8.98851E-020  9.52824E-012  7.85350E-001  1.23443E-017  4.89546E-023  5.33302E-017  3.70077E-023  3.61850E-018  2.08255E-008  1.00000E-005  1.00000E-005  
7.51431E+000  4.17408E-001  1.17481E+019  2.57341E+002  9.96411E+004  3.11061E-003  2.27412E-017  1.92245E-025  1.58414E-019  4.86130E-016  1.58507E-022  1.00000E-040  1.44582E-016  2.17690E-027  1.00000E-040  4.00367E-015  3.08436E-016  5.86301E-011  1.29551E-026  4.14756E-037  6.18077E-012  5.73353E-019  1.25053E-030  1.06633E-013  1.90454E-023  1.55249E-029  2.11636E-001  3.87365E-033  2.79491E-036  5.25831E-010  4.10083E-015  2.32195E-033  3.29696E-011  6.65651E-022  1.92406E-003  2.03476E-028  1.55147E-021  1.41917E-016  1.34584E-015  1.87102E-028  1.00000E-040  4.46077E-040  3.31222E-011  5.07614E-012  1.39520E-030  2.62011E-017  1.36699E-022  6.73567E-018  9.78193E-029  1.21118E-010  4.84167E-026  1.00000E-040  5.11657E-028  5.02844E-012  1.36520E-018  2.09582E-008  1.08091E-020  1.56076E-032  3.58888E-018  3.95864E-039  9.28777E-012  2.35246E-016  1.00000E-040  1.86193E-011  1.83850E-016  3.62864E-004  1.30739E-009  1.00000E-040  1.00000E-040  7.01418E-012  6.44196E-011  3.64693E-026  9.36488E-018  1.07888E-006  3.42198E-011  4.18999E-021  1.50016E-012  8.08261E-020  1.14098E-018  7.29662E-012  2.17272E-029  4.25660E-026  3.23415E-022  1.00000E-040  1.91688E-013  8.55055E-038  3.49508E-007  1.27420E-020  2.12257E-025  5.36047E-007  1.64375E-029  1.36077E-019  2.84277E-013  1.00219E-013  8.93841E-008  7.83537E-020  9.41678E-012  7.86075E-001  1.37248E-017  4.90019E-023  6.85675E-017  3.17406E-023  2.27788E-018  2.08448E-008  1.00000E-005  1.00000E-005  
8.39835E+000  3.70626E-001  1.06771E+019  2.51420E+002  9.72445E+004  3.13927E-003  6.72692E-015  2.08251E-025  2.15767E-019  6.29391E-016  1.58616E-022  1.00000E-040  3.59321E-016  3.22234E-027  1.00000E-040  4.88966E-015  2.90353E-016  5.38834E-011  1.41510E-026  5.15304E-037  5.74534E-012  5.73744E-019  1.25126E-030  1.17792E-013  3.82938E-023  1.55355E-029  2.11780E-001  6.51080E-033  2.79681E-036  4.70018E-010  3.97457E-015  4.57431E-033  3.28292E-011  5.03616E-022  1.24157E-003  2.04686E-028  2.05762E-021  1.26975E-016  1.37109E-015  1.87230E-028  1.00000E-040  4.93017E-040  2.60617E-011  6.51900E-012  8.77761E-031  2.62190E-017  1.41299E-022  9.22368E-018  9.34641E-029  1.36537E-010  5.06624E-026  1.00065E-040  5.25430E-028  5.71884E-012  1.58632E-018  2.49195E-008  1.19875E-020  1.21611E-032  4.02490E-018  4.56926E-039  9.26667E-012  2.64015E-016  1.00000E-040  1.40472E-011  2.50027E-016  3.63117E-004  1.04476E-009  1.00000E-040  1.00000E-040  5.60134E-012  6.50630E-011  4.17138E-026  1.26086E-017  1.07851E-006  3.29838E-011  4.17942E-021  1.50118E-012  8.08813E-020  1.41380E-018  7.14693E-012  2.17432E-029  6.90619E-026  3.23637E-022  1.00000E-040  1.88418E-013  8.48655E-038  3.49630E-007  1.27672E-020  3.16444E-025  5.36622E-007  1.40128E-029  1.13328E-019  2.83585E-013  1.00181E-013  8.57398E-008  6.83059E-020  9.15068E-012  7.86613E-001  1.49427E-017  4.90379E-023  8.88082E-017  2.75353E-023  1.40722E-018  2.08590E-008  1.00000E-005  1.00000E-005  
