alt           press         den           temp          eddy          H2Oaer        H2SO4aer      NO2           CH3CHO        HO2           N2H3          SO            S3            N2O           NCO           CS2           N2H2          NS            CH2           CH2_1         C             CH3CN         CH            N2H4          S8            C2H2          H2CN          CH2NH         SO2           H2SO4         O2            HC3N          C3H3          H             H2CO          O_1           CS            C6H6          CH3O          N2H           O             HNO3          CH3O2         HS2           COS           HSO3          CH3CO         H2CCO         O3            C4H3          NH            C2            HNO2          CH2CN         NH2           CH2NH2        S2O           HNCO          S4            C4H5          NH3           N2O5          HCN           C2H4          C2H5          H2O           He            C2H3CN        SH            C2H3          CH3OOH        N_2D          HCS           CH3NH2        HCO           C2H6          CN            C4H2          CO2           N             H2S           HSO           H2            CH3           NO            C2H           CH4           NO3           C3H2          HNO           SO3           H2O2          C6H5          CH2OH         OH            CH3SH         N2            C3H4          CO            S             CH3S          S2            HCCO          CH3OH         H2Oaer_r      H2SO4aer_r    
4.28201E-001  1.05290E+000  2.83448E+019  2.69049E+002  1.00000E+005  4.17335E-004  1.05061E-024  2.91420E-009  5.81622E-012  2.19136E-013  2.67712E-019  1.85726E-023  2.84771E-031  8.02118E-007  7.16051E-028  3.77864E-031  2.85890E-019  1.44602E-022  6.76513E-028  2.20837E-032  1.00000E-040  3.51687E-011  1.28962E-035  8.39314E-019  2.75179E-034  3.84119E-009  4.63463E-015  7.66548E-014  3.17441E-010  2.05772E-011  1.99449E-001  1.46925E-003  4.17088E-015  3.11319E-024  2.46360E-009  6.88705E-025  1.34974E-032  2.72523E-006  1.32902E-019  1.42908E-030  7.41509E-020  6.44716E-011  1.89329E-013  5.58427E-026  6.85665E-017  7.48308E-027  4.67199E-018  7.42742E-012  1.41090E-009  4.90267E-015  8.79522E-030  1.00000E-040  2.92455E-016  1.07984E-014  5.14610E-022  1.69718E-015  2.75786E-037  1.91140E-016  1.00000E-040  1.07157E-018  5.28745E-011  2.02217E-011  4.60753E-011  7.88363E-008  9.38750E-014  2.08995E-003  1.00000E-040  2.99460E-007  8.17263E-019  3.37057E-030  2.65917E-007  1.00000E-040  1.00000E-040  6.31904E-010  7.33091E-025  9.04200E-007  1.33016E-035  6.50647E-012  3.41912E-004  3.49975E-037  1.84365E-012  7.02174E-012  5.03370E-007  1.69316E-016  1.52301E-011  1.31330E-037  7.08412E-003  1.29130E-013  2.96580E-011  1.35977E-015  1.43855E-019  8.70036E-011  8.65918E-017  3.63788E-028  1.38623E-018  1.55389E-013  7.40809E-001  4.87507E-002  4.46959E-007  2.37524E-031  1.30992E-024  3.39328E-027  7.20617E-012  5.68998E-010  1.00000E-005  1.00000E-005  
1.28460E+000  9.61564E-001  2.61226E+019  2.66611E+002  1.00000E+005  4.32099E-004  2.05744E-024  2.54426E-009  5.82365E-012  4.12385E-013  2.67816E-019  8.13116E-024  2.84515E-031  8.02405E-007  2.93179E-027  3.77997E-031  2.85990E-019  1.44654E-022  8.52521E-028  1.55919E-032  1.00000E-040  3.51685E-011  5.74402E-035  8.39613E-019  2.75277E-034  3.84260E-009  4.63631E-015  7.66824E-014  3.17488E-010  1.69054E-011  1.99520E-001  1.46978E-003  2.90150E-015  4.50318E-024  2.83110E-009  1.03151E-024  1.39358E-032  2.72621E-006  9.27800E-020  4.34231E-031  9.83195E-020  2.48668E-010  3.80683E-013  2.53119E-026  6.85915E-017  5.53322E-027  4.36346E-018  7.43008E-012  1.82499E-009  7.44053E-015  7.58332E-030  1.00000E-040  2.75372E-016  1.08009E-014  4.25501E-022  1.69825E-015  2.75875E-037  3.61894E-016  1.00000E-040  1.11221E-018  5.28531E-011  4.20528E-011  4.60849E-011  7.88646E-008  1.27435E-013  1.73144E-003  1.00000E-040  2.99568E-007  2.26108E-019  2.19406E-030  2.66015E-007  1.00000E-040  1.00000E-040  6.32131E-010  1.01663E-024  9.04525E-007  1.43380E-035  6.50881E-012  3.42039E-004  1.00000E-040  3.17551E-013  8.54516E-012  5.05408E-007  1.28706E-016  5.08120E-012  1.85723E-038  7.08666E-003  2.34310E-013  2.96687E-011  1.35898E-015  1.06011E-019  1.02259E-010  1.39060E-016  2.64634E-028  1.01226E-018  1.55450E-013  7.41075E-001  4.87683E-002  4.47434E-007  9.10906E-032  1.27040E-024  3.41990E-027  7.20876E-012  5.69205E-010  1.00000E-005  1.00000E-005  
2.14101E+000  8.77098E-001  2.42399E+019  2.62080E+002  1.00000E+005  5.29065E-004  3.99726E-024  2.20417E-009  5.83774E-012  5.04476E-013  2.67935E-019  3.46347E-024  2.84268E-031  8.02716E-007  6.10240E-027  3.78120E-031  2.86097E-019  1.44712E-022  9.87085E-028  3.11184E-032  1.00000E-040  3.51682E-011  2.29836E-034  8.39936E-019  2.75384E-034  3.84415E-009  4.63815E-015  7.67121E-014  3.17539E-010  1.29329E-011  1.99598E-001  1.47035E-003  2.00360E-015  6.35349E-024  3.18557E-009  1.48213E-024  1.39517E-032  2.72727E-006  1.06852E-019  5.77839E-031  1.25346E-019  3.74977E-010  4.90883E-013  1.12710E-026  6.86189E-017  6.89363E-027  9.03946E-018  7.43297E-012  2.29984E-009  1.33809E-014  6.05764E-030  1.00000E-040  2.62238E-016  1.08030E-014  5.59520E-022  1.69973E-015  2.75968E-037  5.46587E-016  1.00000E-040  1.18938E-018  5.28300E-011  6.70729E-011  4.60953E-011  7.88951E-008  1.54088E-013  1.34364E-003  1.00000E-040  2.99684E-007  6.62424E-020  2.18407E-030  2.66121E-007  2.53022E-037  1.00000E-040  6.32377E-010  1.36444E-024  9.04876E-007  1.63125E-035  6.51133E-012  3.42175E-004  1.00000E-040  4.98672E-014  8.80996E-012  5.07609E-007  1.49413E-016  4.27699E-012  1.00000E-040  7.08941E-003  2.30716E-013  2.96802E-011  1.36001E-015  5.48638E-020  1.17699E-010  2.77705E-016  3.17598E-028  1.22320E-018  1.55521E-013  7.41363E-001  4.87872E-002  4.47942E-007  3.38175E-032  2.22664E-024  3.49755E-027  7.21156E-012  5.69430E-010  1.00000E-005  1.00000E-005  
2.99741E+000  7.98606E-001  2.25545E+019  2.56458E+002  1.00000E+005  5.57434E-004  7.76009E-024  1.90325E-009  5.85966E-012  5.57653E-013  2.68069E-019  2.85554E-024  2.84027E-031  8.03050E-007  1.07847E-026  3.78234E-031  2.86210E-019  1.44775E-022  1.09039E-027  7.70907E-032  3.20155E-036  3.51679E-011  8.48490E-034  8.40283E-019  2.75498E-034  3.84585E-009  4.64014E-015  7.67442E-014  3.17596E-010  8.65514E-012  1.99681E-001  1.47097E-003  1.48630E-015  8.60411E-024  3.52571E-009  2.05997E-024  1.38324E-032  2.72841E-006  1.23368E-019  8.69399E-031  1.56556E-019  4.27369E-010  5.73973E-013  7.80084E-027  6.86489E-017  8.73417E-027  2.24978E-017  7.43608E-012  2.82664E-009  2.41664E-014  5.56632E-030  1.00000E-040  2.53837E-016  1.08044E-014  7.27125E-022  1.70165E-015  2.76068E-037  7.45426E-016  1.00000E-040  1.29740E-018  5.28052E-011  1.02975E-010  4.61064E-011  7.89279E-008  1.67937E-013  9.26147E-004  1.00000E-040  2.99809E-007  4.10066E-020  2.09247E-030  2.66234E-007  1.97970E-036  1.00000E-040  6.32641E-010  1.76840E-024  9.05255E-007  1.77428E-035  6.51406E-012  3.42323E-004  5.26852E-031  7.67724E-015  8.84904E-012  5.09975E-007  1.67125E-016  3.90300E-012  1.00000E-040  7.09237E-003  1.79884E-013  2.96926E-011  1.36330E-015  2.29815E-020  1.32802E-010  6.01134E-016  3.83107E-028  1.48731E-018  1.55603E-013  7.41673E-001  4.88076E-002  4.48484E-007  2.42619E-032  4.33301E-024  3.64450E-027  7.21456E-012  5.69675E-010  1.00000E-005  1.00000E-005  
3.85381E+000  7.25635E-001  2.09941E+019  2.50345E+002  1.00000E+005  6.59850E-004  7.85699E-021  1.64643E-009  5.89019E-012  6.01124E-013  2.68190E-019  4.70064E-024  2.83762E-031  8.03324E-007  1.79338E-026  3.78299E-031  2.86298E-019  1.44829E-022  1.17540E-027  2.47360E-031  1.00000E-040  3.51684E-011  2.91253E-033  8.40566E-019  2.75592E-034  3.84729E-009  4.64179E-015  7.67705E-014  3.17626E-010  5.72106E-012  1.99749E-001  1.47147E-003  1.18380E-015  1.14367E-023  3.88353E-009  2.79104E-024  1.36425E-032  2.72934E-006  1.43688E-019  1.37376E-030  1.93717E-019  4.49562E-010  6.53025E-013  1.00659E-026  6.86745E-017  1.12824E-026  6.32373E-017  7.43862E-012  3.40205E-009  4.15051E-014  6.44537E-030  1.00000E-040  2.50580E-016  1.08039E-014  9.42210E-022  1.70390E-015  2.76145E-037  9.59091E-016  1.00000E-040  1.43107E-018  5.27858E-011  1.49170E-010  4.61166E-011  7.89545E-008  1.77879E-013  5.84573E-004  1.00000E-040  2.99912E-007  5.20251E-020  1.97951E-030  2.66325E-007  1.00000E-040  1.00000E-040  6.32857E-010  2.25381E-024  9.05564E-007  1.96892E-035  6.51628E-012  3.42444E-004  1.00000E-040  1.18823E-015  8.85124E-012  5.12460E-007  1.84256E-016  3.63011E-012  1.00000E-040  7.09479E-003  1.18284E-013  2.97028E-011  1.36891E-015  9.87906E-021  1.60764E-010  1.67563E-015  4.68545E-028  1.83255E-018  1.55680E-013  7.41927E-001  4.88243E-002  4.49012E-007  3.48573E-032  9.08080E-024  3.87983E-027  7.21702E-012  5.70184E-010  1.00000E-005  1.00000E-005  
4.71022E+000  6.57817E-001  1.95317E+019  2.43939E+002  1.00000E+005  5.56377E-004  7.55076E-018  1.43786E-009  5.93050E-012  6.41818E-013  2.68290E-019  9.10044E-024  2.83467E-031  8.03515E-007  2.88799E-026  3.78304E-031  2.86356E-019  1.44870E-022  1.24451E-027  9.87693E-031  1.00000E-040  3.51693E-011  9.34627E-033  8.40762E-019  2.75657E-034  3.84839E-009  4.64300E-015  7.67888E-014  3.17622E-010  3.67794E-012  1.99797E-001  1.47182E-003  9.93935E-016  1.50679E-023  4.26892E-009  3.70448E-024  1.34697E-032  2.72999E-006  1.70386E-019  2.26425E-030  2.38224E-019  4.57006E-010  7.32888E-013  1.75027E-026  6.86938E-017  1.49600E-026  1.99231E-016  7.44040E-012  4.02198E-009  6.70523E-014  8.72245E-030  1.00000E-040  2.52884E-016  1.08013E-014  1.22067E-021  1.70650E-015  2.76191E-037  1.18865E-015  1.00000E-040  1.58667E-018  5.27725E-011  1.99861E-010  4.61248E-011  7.89730E-008  1.88213E-013  3.45709E-004  1.00000E-040  2.99983E-007  7.80804E-020  1.87344E-030  2.66386E-007  2.13249E-036  1.00000E-040  6.33008E-010  2.84323E-024  9.05781E-007  2.21704E-035  6.51784E-012  3.42531E-004  1.70928E-032  1.92645E-016  8.84649E-012  5.15061E-007  2.02539E-016  3.42511E-012  1.28210E-037  7.09648E-003  6.66101E-014  2.97099E-011  1.37699E-015  5.65978E-021  2.06165E-010  7.43699E-015  5.86050E-028  2.30659E-018  1.55750E-013  7.42104E-001  4.88359E-002  4.49513E-007  5.95143E-032  2.04682E-023  4.22628E-027  7.21873E-012  5.70992E-010  1.00000E-005  1.00000E-005  
5.56662E+000  5.94832E-001  1.81491E+019  2.37386E+002  1.00000E+005  4.26075E-004  6.58618E-015  1.27697E-009  5.98206E-012  6.82122E-013  2.68374E-019  1.77124E-023  2.83147E-031  8.03636E-007  4.54440E-026  3.78256E-031  2.86386E-019  1.44900E-022  1.29972E-027  4.50960E-030  1.00000E-040  3.51703E-011  2.81994E-032  8.40885E-019  2.75699E-034  3.84922E-009  4.64383E-015  7.68005E-014  3.17588E-010  2.17154E-012  1.99828E-001  1.47204E-003  8.64985E-016  1.98381E-023  4.67958E-009  4.83589E-024  1.33236E-032  2.73041E-006  2.07081E-019  3.89180E-030  2.91636E-019  4.58363E-010  8.13780E-013  3.16801E-026  6.87081E-017  2.04318E-026  7.13635E-016  7.44153E-012  4.68148E-009  1.02123E-013  1.25413E-029  1.00000E-040  2.61218E-016  1.07966E-014  1.58007E-021  1.70956E-015  2.76212E-037  1.43548E-015  1.00028E-040  1.76185E-018  5.27631E-011  2.48262E-010  4.61313E-011  7.89844E-008  2.00751E-013  1.93641E-004  1.00000E-040  3.00029E-007  1.18319E-019  1.78939E-030  2.66422E-007  1.00000E-040  1.00000E-040  6.33105E-010  3.55823E-024  9.05920E-007  2.48693E-035  6.51883E-012  3.42589E-004  8.66858E-039  3.82799E-017  8.83953E-012  5.17800E-007  2.23624E-016  3.29313E-012  2.11654E-037  7.09756E-003  3.39958E-014  2.97144E-011  1.38768E-015  6.81593E-021  2.70883E-010  3.82181E-014  7.53188E-028  2.97896E-018  1.55818E-013  7.42217E-001  4.88434E-002  4.49996E-007  1.03953E-031  4.95395E-023  4.71168E-027  7.21982E-012  5.72051E-010  1.00000E-005  1.00000E-005  
6.42302E+000  5.36379E-001  1.68502E+019  2.30559E+002  1.00000E+005  3.46683E-004  4.81267E-012  1.15783E-009  6.04653E-012  7.22451E-013  2.68448E-019  3.39161E-023  2.82810E-031  8.03709E-007  6.98184E-026  3.78164E-031  2.86398E-019  1.44923E-022  1.32856E-027  2.21877E-029  1.00000E-040  3.51712E-011  8.02986E-032  8.40959E-019  2.75723E-034  3.84990E-009  4.64442E-015  7.68075E-014  3.17531E-010  9.15393E-013  1.99846E-001  1.47218E-003  7.71172E-016  2.62236E-023  5.10974E-009  6.22064E-024  1.31955E-032  2.73065E-006  2.60489E-019  7.11640E-030  3.54027E-019  4.58145E-010  8.92854E-013  5.47803E-026  6.87194E-017  2.90399E-026  3.52063E-015  7.44221E-012  5.37514E-009  1.47537E-013  1.83119E-029  1.00000E-040  2.76064E-016  1.07898E-014  2.04947E-021  1.71324E-015  2.76213E-037  1.70118E-015  1.21576E-040  1.95540E-018  5.27558E-011  2.89870E-010  4.61365E-011  7.89909E-008  2.16513E-013  1.02093E-004  1.00000E-040  3.00056E-007  1.76960E-019  1.72782E-030  2.66438E-007  1.00000E-040  1.00000E-040  6.33163E-010  4.42076E-024  9.06004E-007  2.69696E-035  6.51942E-012  3.42626E-004  1.72495E-039  1.31968E-017  8.83126E-012  5.20705E-007  2.48269E-016  3.25217E-012  9.93616E-038  7.09820E-003  1.69078E-014  2.97171E-011  1.40112E-015  1.50916E-020  3.54552E-010  1.66968E-013  1.00319E-027  3.98163E-018  1.55891E-013  7.42285E-001  4.88478E-002  4.50473E-007  1.82509E-031  1.32433E-022  5.36952E-027  7.22046E-012  5.73306E-010  1.00000E-005  1.00000E-005  
7.27943E+000  4.82196E-001  1.56142E+019  2.23677E+002  1.00000E+005  2.99059E-004  3.84143E-012  1.07152E-009  6.12573E-012  7.64571E-013  2.68518E-019  6.36378E-023  2.82463E-031  8.03749E-007  1.05007E-025  3.78035E-031  2.86396E-019  1.44944E-022  1.34039E-027  1.12817E-028  1.00000E-040  3.51718E-011  2.17003E-031  8.41000E-019  2.75737E-034  3.85051E-009  4.64486E-015  7.68114E-014  3.17458E-010  3.46395E-013  1.99856E-001  1.47225E-003  7.00437E-016  3.48904E-023  5.55489E-009  7.91173E-024  1.30819E-032  2.73079E-006  3.38128E-019  1.36772E-029  4.27567E-019  4.59369E-010  9.69987E-013  8.84795E-026  6.87293E-017  4.25441E-026  2.61437E-014  7.44259E-012  6.09732E-009  2.03561E-013  2.67035E-029  1.00000E-040  2.97750E-016  1.07812E-014  2.65407E-021  1.71773E-015  2.76201E-037  1.98761E-015  1.53785E-040  2.16705E-018  5.27492E-011  3.23115E-010  4.61408E-011  7.89940E-008  2.35621E-013  5.10569E-005  1.00000E-040  3.00072E-007  2.61119E-019  1.69049E-030  2.66439E-007  1.00000E-040  1.00000E-040  6.33195E-010  5.46422E-024  9.06051E-007  2.82377E-035  6.51976E-012  3.42651E-004  3.62929E-039  8.37224E-018  8.82189E-012  5.23806E-007  2.77743E-016  3.29599E-012  2.48866E-037  7.09856E-003  9.49283E-015  2.97186E-011  1.41740E-015  4.15160E-020  4.55835E-010  5.75703E-013  1.37454E-027  5.46496E-018  1.55975E-013  7.42323E-001  4.88503E-002  4.50953E-007  3.20613E-031  3.83525E-022  6.23880E-027  7.22081E-012  5.74728E-010  1.00000E-005  1.00000E-005  
8.13583E+000  4.32060E-001  1.44401E+019  2.16716E+002  1.00000E+005  2.82571E-004  2.66687E-012  1.00897E-009  6.22170E-012  8.06140E-013  2.68590E-019  1.17477E-022  2.82112E-031  8.03769E-007  1.54993E-025  3.77873E-031  2.86387E-019  1.44965E-022  1.33328E-027  5.79485E-028  1.00000E-040  3.51722E-011  5.58138E-031  8.41024E-019  2.75743E-034  3.85117E-009  4.64526E-015  7.68135E-014  3.17373E-010  1.26932E-013  1.99861E-001  1.47229E-003  6.47458E-016  4.62306E-023  6.01118E-009  9.96494E-024  1.29805E-032  2.73086E-006  4.50865E-019  2.75591E-029  5.13214E-019  4.62535E-010  1.04090E-012  1.33434E-025  6.87391E-017  6.38261E-026  1.55998E-013  7.44278E-012  6.84289E-009  2.70128E-013  3.88215E-029  1.00000E-040  3.26317E-016  1.07705E-014  3.41719E-021  1.72331E-015  2.76180E-037  2.29700E-015  2.01002E-040  2.39739E-018  5.27428E-011  3.48576E-010  4.61446E-011  7.89950E-008  2.57560E-013  2.43428E-005  1.00000E-040  3.00079E-007  3.81882E-019  1.66530E-030  2.66429E-007  1.00000E-040  1.00000E-040  6.33212E-010  6.72869E-024  9.06077E-007  2.83312E-035  6.51993E-012  3.42667E-004  9.01903E-039  7.13541E-018  8.81152E-012  5.27133E-007  3.10330E-016  3.42033E-012  4.86080E-036  7.09874E-003  6.22773E-015  2.97194E-011  1.43649E-015  1.24134E-019  5.72229E-010  1.59211E-012  1.92391E-027  7.64752E-018  1.56079E-013  7.42343E-001  4.88516E-002  4.51445E-007  5.64051E-031  1.20844E-021  7.36210E-027  7.22097E-012  5.76301E-010  1.00000E-005  1.00000E-005  
