alt press den temp eddy S2 CH3CO H2S H2CCO C2 N2O5 S C2H HNO2 C2H5 H2CO CH2OH HCS CH2CN HC3N C4H2 OH CH3S C4H5 O2 N S8 H2O2 CH3 CH CH3CN NCO H2O NS O_1 NH2 HNCO C4H3 C S4 H2SO4 NO CN C2H3CN HCO SO HS2 HNO3 CH2 CS2 C2H2 NO2 CH3O O3 H C3H3 CH3CHO CS C2H4 NO3 He SO2 O CO2 CH3OOH N_2D C6H5 CH3O2 HCN NH HNO CH4 NH3 H2CN CH2NH C3H4 SO3 HSO C3H2 CH2_1 C6H6 S3 C2H6 S2O N2O COS N2H H2 C2H3 N2H3 CH3OH N2H4 CO N2H2 HO2 N2 CH3SH HCCO SH HSO3 CH2NH2 CH3NH2 H2Oaer H2SO4aer H2Oaer_r H2SO4aer_r
0.00000000e+00 1.01300000e+06 2.43920516e+19 3.00800000e+02 1.12000000e+05 5.90806000e-14 4.74168100e-20 4.18481700e-14 2.04621500e-21 1.00000000e-40 5.71953900e-16 8.25422700e-27 1.00000000e-40 4.58786700e-14 5.41361600e-16 3.60666700e-10 1.70493800e-26 2.34067000e-34 8.52718900e-12 3.17612100e-19 3.93667700e-28 1.09226100e-13 2.13507500e-23 2.99502500e-29 1.99278400e-01 1.00000000e-40 5.20641100e-13 1.66165600e-09 7.10548500e-15 2.51154000e-34 3.55092400e-11 1.92048600e-21 8.89405100e-03 2.17544400e-26 4.68377400e-22 2.17426100e-16 5.39687000e-15 4.78218700e-26 1.00000000e-40 1.02065700e-16 1.52583400e-10 1.50927400e-11 2.76620200e-29 3.81470400e-20 5.21882300e-22 1.00831400e-17 9.13275900e-17 1.38005000e-10 1.02888000e-25 5.69063400e-22 1.00000000e-40 7.56049700e-11 1.70127400e-18 1.98275900e-08 1.24068300e-20 1.00000000e-40 5.73146700e-18 2.34813600e-29 1.22373400e-11 1.04148200e-14 1.00000000e-40 2.23172800e-10 4.95606200e-17 3.97944100e-04 1.29429300e-09 1.00000000e-40 9.29304600e-25 5.84119000e-12 5.95711900e-11 3.50440500e-26 1.87630200e-17 1.09555300e-06 5.44546400e-11 1.87899100e-22 2.46142600e-15 3.36327000e-21 2.37080400e-17 5.77303600e-10 2.90751000e-27 1.85374900e-26 6.47610800e-19 5.98229400e-17 2.20977300e-13 4.22743900e-32 3.48777500e-07 4.18514100e-10 2.02425400e-25 5.53878300e-07 1.14801800e-28 1.29033100e-19 3.19680700e-13 5.07510700e-14 1.35292800e-07 6.22620400e-20 1.45507200e-11 7.91427500e-01 2.77339000e-16 4.53239600e-21 6.15368600e-16 3.23906000e-22 5.19022300e-19 8.81794900e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
2.15499048e+00 7.88900000e+05 1.98539939e+19 2.87800000e+02 1.00000000e+05 6.18633847e-14 4.58314459e-20 7.55095417e-15 2.05298891e-21 1.00000000e-40 4.05854774e-17 2.28204984e-26 1.00000000e-40 6.19268543e-15 4.10074281e-16 1.33811910e-10 1.00073547e-26 1.98629600e-34 8.20472620e-12 3.18666409e-19 3.94917678e-28 7.32835388e-14 4.29786188e-23 3.00536416e-29 1.99937001e-01 7.25950603e-34 5.22353712e-13 1.31108541e-09 4.50211834e-15 1.98059865e-34 3.46757077e-11 2.96139794e-21 5.58729104e-03 2.17216298e-26 5.55807696e-22 1.61380697e-16 5.13303931e-15 4.79800195e-26 1.00000000e-40 8.37768972e-17 2.82081782e-10 4.48565726e-12 1.38508196e-29 3.82725262e-20 1.88270210e-22 5.18409119e-17 1.67362247e-16 2.42793389e-10 4.23982862e-26 5.70262933e-22 1.00000000e-40 1.23133153e-11 8.08758272e-19 1.66356649e-08 8.09645190e-21 1.00000000e-40 3.69551123e-18 2.58473066e-29 1.22648279e-11 1.19551255e-15 1.00000000e-40 1.10311660e-10 5.58966797e-17 4.00547869e-04 1.60903647e-09 1.00000000e-40 6.75135459e-24 7.73497179e-12 6.10612855e-11 3.44054964e-26 6.73896300e-18 1.09134800e-06 4.59641769e-11 1.41897618e-22 2.46959162e-15 3.37439183e-21 1.69364593e-17 5.61222765e-10 2.91721923e-27 1.21484099e-26 6.51863316e-19 5.86268874e-17 2.18305095e-13 4.21255582e-32 3.49798972e-07 4.18525204e-10 6.65541547e-26 5.56145495e-07 5.08793194e-29 1.16747806e-19 2.87292525e-13 5.08918155e-14 1.19375759e-07 5.69918773e-20 1.14583864e-11 7.94043183e-01 4.02923610e-16 4.54750807e-21 1.05214793e-15 1.14276618e-22 4.30823125e-19 8.84700019e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
4.22215923e+00 6.14400000e+05 1.60710765e+19 2.76900000e+02 1.00000000e+05 6.34599929e-14 7.15826573e-20 1.28277897e-14 2.05715679e-21 1.00000000e-40 7.13082238e-17 5.88284769e-26 1.00000000e-40 5.79701387e-15 3.87874380e-16 9.05109576e-11 1.16027641e-26 1.83948896e-34 7.69281253e-12 3.19320908e-19 3.95642819e-28 8.45930252e-14 1.55253109e-22 3.01156254e-29 2.00340319e-01 1.86904640e-33 5.23393982e-13 9.45402460e-10 4.73338016e-15 5.82312202e-34 3.39415130e-11 2.69475950e-21 3.57638112e-03 2.26132293e-26 7.57590005e-22 1.60270369e-16 4.76994671e-15 4.80770034e-26 1.00000000e-40 6.48178775e-17 3.60157356e-10 5.46153114e-12 7.32802745e-30 3.83488172e-20 1.69101177e-22 1.57521677e-16 1.90470167e-16 2.82109731e-10 4.98305085e-26 5.69620056e-22 1.00000000e-40 9.34691713e-12 1.06020050e-18 1.65158734e-08 9.25748592e-21 1.86373580e-30 3.18413828e-18 3.27151317e-29 1.22667806e-11 7.53066342e-16 1.00000000e-40 5.48955482e-11 7.94440043e-17 4.01381629e-04 1.39298138e-09 1.00000000e-40 2.04001595e-26 6.92155485e-12 6.25112995e-11 4.93612376e-26 8.02219365e-18 1.08734916e-06 3.92769715e-11 9.52925028e-23 2.47465003e-15 3.38120846e-21 9.27769257e-18 5.39641154e-10 2.92331769e-27 2.23046483e-26 6.66611832e-19 5.59372515e-17 2.14338352e-13 4.18448238e-32 3.50334775e-07 4.18086225e-10 1.19749470e-25 5.57860664e-07 3.90912690e-29 9.30462627e-20 2.94977904e-13 5.09422976e-14 1.04797186e-07 4.74201973e-20 1.06370478e-11 7.95644869e-01 5.93437790e-16 4.55696165e-21 1.80804612e-15 6.95393386e-23 3.41600322e-19 8.86471693e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
6.20840046e+00 4.78500000e+05 1.30438893e+19 2.65700000e+02 1.00000000e+05 6.25547399e-14 1.31700732e-19 2.18186553e-14 2.06039560e-21 1.00000000e-40 3.29858076e-16 1.41148194e-25 1.00000000e-40 8.84647763e-15 3.79195682e-16 7.57641083e-11 1.69836348e-26 1.94200966e-34 7.11517979e-12 3.19836001e-19 3.96175172e-28 1.13588472e-13 6.61271784e-22 3.01628484e-29 2.00651216e-01 6.09577518e-33 5.24190936e-13 6.81571839e-10 5.49474876e-15 2.61561131e-33 3.33627389e-11 6.48428267e-22 2.04264484e-03 2.45203269e-26 1.13405868e-21 1.63871517e-16 4.41725525e-15 4.81519276e-26 1.00000000e-40 4.71573126e-17 3.47093489e-10 8.84255093e-12 2.33484356e-30 3.84073676e-20 1.94652326e-22 3.85332290e-16 1.75736926e-16 3.17792011e-10 7.49220233e-26 5.67459417e-22 1.00000000e-40 1.03988661e-11 1.56144851e-18 1.86567926e-08 1.23442554e-20 1.40233660e-36 3.44671805e-18 4.57631407e-29 1.22541527e-11 7.71027130e-16 1.00000000e-40 2.89663368e-11 1.26285053e-16 4.02024806e-04 9.24489102e-10 1.00000000e-40 3.94891206e-28 5.13134047e-12 6.38258794e-11 7.25857093e-26 1.42873452e-17 1.08445794e-06 3.43303740e-11 6.07264654e-23 2.47861888e-15 3.38647733e-21 4.76219929e-18 5.14821974e-10 2.92818864e-27 5.87238840e-26 6.82645587e-19 5.22893889e-17 2.09430031e-13 4.15119858e-32 3.50677541e-07 4.17597343e-10 3.04911008e-25 5.59295541e-07 3.39608180e-29 6.82006358e-20 3.27958282e-13 5.09460948e-14 9.25008709e-08 3.71972915e-20 1.03162127e-11 7.96879736e-01 8.16932505e-16 4.56446676e-21 3.07772047e-15 5.24354142e-23 2.51446092e-19 8.87832776e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
8.10853179e+00 3.72700000e+05 1.06445391e+19 2.53600000e+02 1.00000000e+05 5.94648839e-14 2.61526196e-19 3.70600333e-14 2.06258742e-21 1.00000000e-40 1.83002623e-15 3.25191403e-25 1.00000000e-40 1.41810480e-14 3.63288741e-16 6.07018103e-11 2.51614679e-26 2.07758940e-34 6.54393779e-12 3.20194188e-19 3.96491730e-28 1.54991896e-13 3.02445387e-21 3.01936288e-29 2.00858233e-01 4.82515825e-27 5.24716149e-13 4.62258194e-10 6.01596868e-15 8.05655442e-31 3.29183541e-11 1.14717678e-21 1.03397035e-03 2.73754031e-26 1.67104838e-21 1.69657721e-16 4.10342889e-15 4.82020385e-26 1.00000000e-40 3.28459595e-17 1.98449331e-10 1.44533753e-11 1.44964128e-30 3.84461249e-20 2.10680689e-22 9.10056583e-16 1.47673336e-16 3.55700246e-10 1.07216559e-25 5.63586364e-22 1.00000000e-40 1.15855016e-11 2.09825579e-18 2.13871375e-08 1.65323163e-20 1.81268162e-40 3.80732832e-18 6.15638044e-29 1.22253639e-11 8.80346659e-16 1.00000000e-40 1.75836000e-11 1.97407697e-16 4.02454854e-04 5.03549990e-10 1.00000000e-40 5.10740429e-27 3.31789300e-12 6.49469791e-11 1.06881681e-25 2.46507370e-17 1.08228168e-06 3.07688106e-11 3.77676465e-23 2.48136059e-15 3.39000568e-21 3.27418960e-18 4.87455668e-10 2.93167720e-27 1.66035224e-25 6.97376965e-19 4.82047397e-17 2.03215797e-13 4.11304894e-32 3.50803590e-07 4.17009954e-10 8.49236776e-25 5.60268780e-07 2.81693885e-29 4.97511572e-20 3.62564205e-13 5.08998370e-14 8.23188597e-08 2.97862572e-20 9.29665143e-12 7.97701972e-01 1.02799397e-15 4.56977993e-21 5.23560798e-15 4.68130259e-23 1.82892956e-19 8.88732581e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
9.91694675e+00 2.90200000e+05 8.75795852e+18 2.40000000e+02 8.40000000e+04 5.47881873e-14 6.09183832e-19 6.36221483e-14 2.06385054e-21 1.00000000e-40 5.69324959e-15 7.37531438e-25 1.54830803e-39 2.45860883e-14 3.27365053e-16 4.48126594e-11 3.59538543e-26 2.03777961e-34 6.00563729e-12 3.20416868e-19 3.96600926e-28 2.14091527e-13 1.69023044e-20 3.02112601e-29 2.00971721e-01 8.77534832e-32 5.24995771e-13 2.72686579e-10 5.77935860e-15 8.87088832e-32 3.25720774e-11 5.40658504e-22 4.60954610e-04 3.02915971e-26 2.29156598e-21 1.80395285e-16 3.82283325e-15 4.82298695e-26 1.00000000e-40 2.27180414e-17 1.06909577e-10 2.49532412e-11 4.93962443e-31 3.84670176e-20 2.07197726e-22 2.27945218e-15 1.09473660e-16 3.99034072e-10 1.34197460e-25 5.57112465e-22 1.00000000e-40 1.25335294e-11 2.62551018e-18 2.35922164e-08 2.18007978e-20 2.05764669e-22 3.81233043e-18 7.16804858e-29 1.21741283e-11 1.12858389e-15 1.00000000e-40 1.36761371e-11 2.80188021e-16 4.02693311e-04 2.20218145e-10 1.00000000e-40 1.29057112e-25 1.75953993e-12 6.58848484e-11 1.63146463e-25 4.18519040e-17 1.08043365e-06 2.82118978e-11 2.35159662e-23 2.48303615e-15 3.39197903e-21 6.73787272e-18 4.56319790e-10 2.93402424e-27 4.66158646e-25 7.11254021e-19 4.39773858e-17 1.95648015e-13 4.06643584e-32 3.50697923e-07 4.16237897e-10 2.98957085e-24 5.60743265e-07 2.05376330e-29 4.35730679e-20 3.81289883e-13 5.07913148e-14 7.37945231e-08 2.99603813e-20 7.23517102e-12 7.98152423e-01 1.13935782e-15 4.57325072e-21 9.04205984e-15 5.59209728e-23 1.29340469e-19 8.89215105e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
1.16238279e+01 2.26000000e+05 7.23656647e+18 2.26200000e+02 2.48000000e+04 4.65703007e-14 1.43684148e-18 1.03010032e-13 2.06476471e-21 1.00000000e-40 1.06072467e-14 1.56786590e-24 1.00000000e-40 5.63718831e-14 2.74583663e-16 2.88387109e-11 4.84661273e-26 1.81410832e-34 5.18324492e-12 3.20630816e-19 3.96453462e-28 2.97645228e-13 9.98488650e-20 3.02207558e-29 2.01034809e-01 3.68097509e-31 5.25127477e-13 9.48024318e-11 5.20281597e-15 8.48389695e-31 3.21238718e-11 1.67968711e-22 1.41585195e-04 3.33737903e-26 3.02294369e-21 1.62647253e-16 3.40199528e-15 4.82466528e-26 1.00000000e-40 1.37556970e-17 6.52874087e-11 5.62747269e-11 1.30911912e-31 3.84777530e-20 1.76611246e-22 5.31065208e-15 7.11899581e-17 4.91455347e-10 1.56728550e-25 5.38250382e-22 1.00384038e-26 1.53282471e-11 2.90103659e-18 2.55009757e-08 2.74758509e-20 9.07630943e-32 3.46946734e-18 7.67327957e-29 1.20261257e-11 1.69765223e-15 1.00000000e-40 1.37918062e-11 3.81441340e-16 4.02831749e-04 5.05619291e-11 1.00000000e-40 2.53919126e-24 6.03345967e-13 6.71686990e-11 2.31025389e-25 8.48644832e-17 1.07738098e-06 2.53547891e-11 1.31210855e-23 2.48455701e-15 3.39317234e-21 3.14414092e-17 3.97531227e-10 2.93681614e-27 1.77118564e-24 7.34270580e-19 3.72146593e-17 1.83086524e-13 3.96141183e-32 3.50067136e-07 4.14420756e-10 1.26862486e-23 5.60677779e-07 1.39180957e-29 8.66950081e-20 3.73823866e-13 5.04546333e-14 6.29074106e-08 6.78651427e-20 3.85867478e-12 7.98403321e-01 1.10205751e-15 4.57709792e-21 1.48896268e-14 8.84419292e-23 7.25935291e-20 8.89452770e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
1.32286603e+01 1.76000000e+05 6.01019713e+18 2.12100000e+02 7.78000000e+03 3.38922508e-14 1.97721039e-18 1.24698235e-13 2.06601999e-21 1.00000000e-40 1.78078949e-14 2.57593552e-24 1.00000000e-40 1.45919888e-13 1.94831813e-16 1.19708802e-11 2.93917176e-26 1.69164607e-34 3.44325183e-12 3.21092725e-19 3.95579153e-28 2.60298183e-13 3.20695646e-19 3.02222198e-29 2.01061249e-01 9.20573784e-31 5.25099312e-13 8.21002657e-12 2.75661086e-15 1.53423798e-29 3.13763208e-11 1.73750978e-23 2.19865409e-05 2.86446666e-26 4.16271762e-21 4.80218491e-17 2.49693694e-15 4.82589856e-26 1.00000000e-40 6.25498380e-18 4.68343516e-11 2.26804532e-10 2.17120144e-32 3.84797092e-20 8.03513367e-23 7.69308448e-15 5.30733462e-17 7.30672470e-10 6.69915114e-26 4.62397141e-22 2.95794580e-25 2.98080041e-11 1.91833889e-18 2.91933163e-08 2.00314335e-20 1.00000000e-40 2.84277685e-18 7.82628963e-29 1.14775728e-11 1.79029532e-15 1.00000000e-40 2.17637495e-11 5.44956412e-16 4.02895096e-04 3.36829185e-12 1.00000000e-40 5.55076793e-23 6.59790071e-14 6.95861944e-11 1.97953190e-25 2.88028811e-16 1.07001218e-06 2.17069868e-11 6.88002722e-24 2.48762657e-15 3.39417955e-21 2.90598802e-16 2.64650684e-10 2.94412736e-27 4.83577308e-24 7.87482955e-19 2.38438067e-17 1.62302869e-13 3.62418818e-32 3.47537853e-07 4.08659114e-10 3.42111739e-23 5.58963563e-07 5.36804722e-30 7.67599001e-19 2.60365190e-13 4.92086703e-14 4.85578409e-08 5.84468389e-19 6.21723973e-13 7.98509046e-01 7.67095443e-16 4.58662271e-21 1.91901815e-14 1.39471248e-22 1.82816235e-20 8.89446626e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
1.47373495e+01 1.37100000e+05 4.95514600e+18 2.00400000e+02 5.08000000e+03 2.00034262e-14 1.22078485e-18 9.25954098e-14 2.06861007e-21 1.00000000e-40 2.54433808e-14 2.50010549e-24 1.00000000e-40 1.36216358e-13 1.17445852e-16 2.57597050e-12 4.80294371e-27 3.65635643e-33 1.17682894e-12 3.22187683e-19 3.93318635e-28 9.46392063e-14 2.43245482e-19 3.02142458e-29 2.01065100e-01 1.65137862e-29 5.24899364e-13 2.37322201e-13 6.10080682e-16 3.49516370e-28 3.03487535e-11 6.74782287e-25 3.79866148e-06 1.33107848e-26 1.08237222e-20 3.95562677e-18 1.32390778e-15 4.82752930e-26 1.00000000e-40 1.83860259e-18 3.92327657e-11 7.87452258e-10 1.79343948e-33 3.84754810e-20 1.57602717e-23 2.98408490e-15 5.68748893e-17 1.22808561e-09 5.02511713e-27 2.38950740e-22 7.60051078e-24 1.13265739e-10 5.92270989e-19 6.29914257e-08 6.38099833e-21 1.00000000e-40 3.83593611e-18 1.06238255e-28 1.01195950e-11 8.22747664e-16 1.00000000e-40 4.17968550e-11 1.51983576e-15 4.02899959e-04 2.21445216e-13 1.00000000e-40 8.20496935e-22 3.71336243e-15 7.28778414e-11 1.31648346e-25 8.04862291e-16 1.05508024e-06 1.84671345e-11 4.90793404e-24 2.49478332e-15 3.39568645e-21 1.21127814e-15 1.04633403e-10 2.96195086e-27 2.00493763e-24 8.70481190e-19 7.97716527e-18 1.41740444e-13 2.86114255e-32 3.41155677e-07 3.95169227e-10 2.12658939e-23 5.53708991e-07 8.34825655e-31 8.89091196e-18 1.16716842e-13 4.61014864e-14 3.76598430e-08 6.16532356e-18 5.09673337e-14 7.98526098e-01 3.25075371e-16 4.60955650e-21 1.46667661e-14 1.09720174e-22 2.64829451e-21 8.89211801e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
1.61830108e+01 1.06800000e+05 3.96895460e+18 1.94900000e+02 3.99000000e+03 6.10917951e-15 8.19766944e-19 4.23192828e-14 2.07305770e-21 1.00000000e-40 1.20761971e-13 1.32456212e-24 1.00000000e-40 1.10199914e-13 7.06548176e-17 1.51247561e-12 1.98116376e-27 2.72894206e-31 1.15882586e-13 3.24088623e-19 3.89556970e-28 7.18621414e-14 1.24783223e-19 3.02003044e-29 2.01064600e-01 3.54530126e-28 5.24595469e-13 1.06771432e-14 3.60899096e-16 3.08648568e-27 2.89685361e-11 2.51962957e-25 2.44811385e-06 3.02470682e-27 4.91056620e-20 1.30235011e-18 6.45413885e-16 4.83017855e-26 1.00000000e-40 1.27195511e-19 2.71666865e-11 1.11757458e-09 6.82809690e-34 3.84713532e-20 1.10865732e-23 4.79717497e-16 2.19709747e-17 2.46902407e-09 2.35532409e-27 9.00627361e-38 4.64119345e-23 3.83841975e-10 4.96100739e-19 2.27177859e-07 4.79240258e-21 2.55434903e-25 9.49711364e-18 9.14763215e-39 7.94243688e-12 1.48324459e-15 1.00000000e-40 3.53108502e-11 8.03293977e-15 4.02890350e-04 2.44205530e-14 1.00000000e-40 5.45824100e-21 1.28452507e-15 7.52450851e-11 8.98429648e-26 7.70247353e-16 1.03128109e-06 1.52215893e-11 4.50124391e-24 2.50718397e-15 3.39820570e-21 1.19108015e-15 2.37642778e-11 2.99230782e-27 1.33661355e-24 9.30690168e-19 7.02087170e-19 1.21670064e-13 1.76954573e-32 3.30425118e-07 3.72874486e-10 1.44553003e-23 5.44479619e-07 3.54000452e-31 3.70547758e-17 6.31816070e-14 4.08919578e-14 2.98025807e-08 2.76227902e-17 3.22268599e-14 7.98527917e-01 1.01063831e-16 4.64845978e-21 6.02794442e-15 7.24439126e-23 6.94864149e-22 8.88879870e-11 1.00000000e-40 1.00000000e-40 1.00000000e-05 1.00000000e-05
