alt           press         den           temp          eddy          H2O           CO2           N2            H2            CH4           CO            O2            
7.94797E-001  8.78160E-001  2.36271E+019  2.69203E+002  1.00000E+005  2.51626E-003  4.02860E-004  7.85577E-001  5.53932E-007  1.81287E-006  1.10786E-007  2.11501E-001  
2.38439E+000  7.77619E-001  2.15968E+019  2.60792E+002  1.00000E+005  1.60861E-003  4.03227E-004  7.86292E-001  5.54436E-007  1.81452E-006  1.10887E-007  2.11694E-001  
3.97398E+000  6.62278E-001  1.92217E+019  2.49554E+002  1.00000E+005  7.07337E-004  4.03591E-004  7.87002E-001  5.54937E-007  1.81616E-006  1.10987E-007  2.11885E-001  
5.56358E+000  5.54202E-001  1.69063E+019  2.37431E+002  1.00000E+005  2.20921E-004  4.03787E-004  7.87385E-001  5.55207E-007  1.81704E-006  1.11041E-007  2.11988E-001  
7.15317E+000  4.46091E-001  1.43779E+019  2.24721E+002  1.00000E+005  4.79175E-005  4.03857E-004  7.87521E-001  5.55303E-007  1.81736E-006  1.11061E-007  2.12025E-001  
8.74277E+000  3.67172E-001  1.25580E+019  2.11771E+002  1.00000E+005  1.57802E-005  4.03870E-004  7.87546E-001  5.55321E-007  1.81741E-006  1.11064E-007  2.12032E-001  
1.03324E+001  2.98198E-001  1.05899E+019  2.03952E+002  1.00000E+005  5.39385E-006  4.03874E-004  7.87554E-001  5.55327E-007  1.81743E-006  1.11065E-007  2.12034E-001  
1.19220E+001  2.40119E-001  8.71708E+018  1.99513E+002  1.00000E+005  3.23524E-006  4.03875E-004  7.87556E-001  5.55328E-007  1.81744E-006  1.11066E-007  2.12034E-001  
1.35115E+001  1.92431E-001  7.09492E+018  1.96447E+002  1.00000E+005  2.47108E-006  4.03875E-004  7.87557E-001  5.55328E-007  1.81744E-006  1.11066E-007  2.12034E-001  
1.51011E+001  1.53689E-001  5.74099E+018  1.93898E+002  1.00000E+005  2.04538E-006  4.03875E-004  7.87557E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
1.66907E+001  1.22389E-001  4.62623E+018  1.91617E+002  1.00000E+005  1.75980E-006  4.03876E-004  7.87557E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
1.82803E+001  9.72098E-002  3.71558E+018  1.89496E+002  1.00000E+005  1.54786E-006  4.03876E-004  7.87557E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
1.98699E+001  7.70205E-002  2.97652E+018  1.87419E+002  1.00000E+005  1.36680E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
2.14595E+001  6.08754E-002  2.37958E+018  1.85293E+002  1.00000E+005  1.19095E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
2.30491E+001  4.79983E-002  1.89682E+018  1.83281E+002  1.00000E+005  1.04890E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
2.46387E+001  3.77660E-002  1.50364E+018  1.81918E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
2.62283E+001  2.96757E-002  1.18378E+018  1.81571E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
