alt press den temp eddy CO2 N2H4 S2 H2CCO C2H3 NO3 HNO2 CS H2O2 C4H3 CS2 H2SO4 C2H4 NH3 H2S S2O H2CN NO2 O3 HSO3 H HNCO CH3 H2 C2H3CN CH3OH NH HCS COS HC3N CH2OH C2H5 N_2D He C HCO O HCCO CN CH2CN CH3S HO2 C3H4 HSO CH3O CH3CN HS2 NS SH C4H2 NO CH SO S8 N2H3 N2H CH3CHO C3H2 CH2_1 CH2 CH3SH C4H5 CH3NH2 N S3 O_1 SO2 S CH3CO N2O5 S4 H2CO NH2 C2H HCN N2O C2H6 C6H5 NCO HNO HNO3 CO CH4 CH3O2 C2H2 O2 C2 C3H3 OH N2 CH2NH N2H2 CH3OOH H2O CH2NH2 SO3 C6H6 H2SO4aer H2SO4aer_r
0.00000000e+00 1.00000000e+06 2.41395417e+19 3.00045900e+02 1.11380100e+05 3.99055800e-04 2.53398400e-18 1.40964400e-15 7.91857400e-16 6.11448300e-29 5.72775400e-13 2.77053100e-14 1.23378300e-29 1.38180000e-08 1.47908700e-15 5.95755400e-20 1.16010900e-15 3.56177700e-09 6.19441200e-11 3.16212100e-13 2.07282300e-31 3.33713000e-19 4.38733700e-09 1.53326600e-09 9.81668400e-25 2.53012200e-22 7.49841400e-14 6.53445100e-16 1.28420900e-05 3.61503700e-13 3.52695800e-13 1.45472600e-27 3.20272600e-37 6.44697400e-10 4.83880200e-14 3.46415400e-29 1.28569000e-13 1.00000000e-40 1.00000000e-40 7.96884300e-31 4.77152000e-23 2.43288100e-19 2.07826600e-13 5.25446500e-31 5.06839600e-12 1.42178400e-24 1.67073000e-12 2.39483200e-13 4.14841400e-08 2.99547200e-19 4.13026700e-11 2.60674400e-17 3.46681400e-19 5.99127700e-17 1.02389900e-17 1.29495400e-11 1.07923000e-34 3.06515500e-20 1.92509500e-16 1.33584500e-19 7.90395400e-29 2.18356700e-14 2.83510200e-13 3.10842400e-30 9.06979500e-29 9.25144800e-15 5.56469600e-20 4.35762000e-13 1.21682800e-28 1.26121500e-17 6.50405300e-25 3.69695600e-10 5.69055100e-28 1.80784900e-20 1.82111000e-12 3.27866000e-18 1.63563800e-08 9.92026600e-20 1.00000000e-40 5.40939200e-11 7.62208600e-07 4.32239200e-09 1.83827300e-25 2.62095100e-23 4.39433500e-16 1.23328200e-10 5.62410200e-07 9.96204500e-05 5.66022400e-13 3.62520200e-16 2.00089400e-01 1.00000000e-40 1.25205900e-18 2.00647100e-16 7.90478700e-01 4.53156600e-18 7.44372200e-20 7.52839700e-09 8.91889700e-03 3.38904200e-17 8.26815400e-21 1.50168200e-16 1.00000000e-40 1.00000000e-05
1.25185600e+00 8.68254000e+05 2.15070696e+19 2.92403300e+02 1.04599959e+05 4.00158600e-04 2.54030100e-18 1.42744500e-15 7.93835300e-16 5.15708600e-29 6.30098500e-13 2.64918800e-14 1.23820100e-29 1.38549000e-08 1.48279600e-15 5.97231200e-20 2.56066300e-15 3.57062400e-09 6.20445200e-11 1.03246900e-14 2.07763500e-31 3.34872900e-19 3.89735900e-09 1.97957400e-09 1.10424700e-24 3.06424700e-22 7.51703200e-14 6.83906900e-16 1.28740900e-05 3.62401500e-13 3.53994200e-13 1.09759600e-27 3.89082300e-37 6.45941200e-10 4.85082900e-14 3.71579800e-29 1.31314400e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 5.58365700e-23 3.03943200e-19 2.08347800e-13 5.44608600e-31 5.08071900e-12 2.38139200e-24 2.14734300e-12 2.40082900e-13 4.15776400e-08 3.08481800e-19 4.14010800e-11 4.21261300e-17 3.47569300e-19 9.14587800e-17 1.02638500e-17 9.41995100e-12 9.77214600e-34 6.09133300e-20 1.92991100e-16 1.34008400e-19 8.12579600e-29 2.19583300e-14 2.84218700e-13 4.79005100e-30 9.61865700e-29 9.32641000e-15 5.57870700e-20 4.36855600e-13 4.39501300e-36 1.26445100e-17 1.07005900e-24 3.68144400e-10 1.01067900e-27 2.67184700e-20 4.04160000e-12 3.84272900e-18 1.61694100e-08 1.09816500e-19 1.00000000e-40 5.42346900e-11 7.64076200e-07 4.33332400e-09 1.86536600e-25 3.54691700e-23 4.44787300e-16 6.23571700e-10 5.65495200e-07 9.98603300e-05 7.21729700e-13 3.63946400e-16 2.00585100e-01 1.00000000e-40 1.26384000e-18 2.18128100e-16 7.92437100e-01 4.54298600e-18 7.46318900e-20 7.54915800e-09 6.46340600e-03 3.43889300e-17 1.24120200e-20 1.50541000e-16 1.00000000e-40 1.00000000e-05
2.47116300e+00 7.53865100e+05 1.91176503e+19 2.85611600e+02 1.00000000e+05 4.00673300e-04 2.54358200e-18 1.46995600e-15 7.94862100e-16 5.24806100e-29 5.28746500e-13 2.61385400e-14 1.51519700e-29 1.38662600e-08 1.48474400e-15 5.97977400e-20 4.17594100e-15 3.57514400e-09 6.20649000e-11 1.27669300e-15 2.07984900e-31 3.36012100e-19 3.42213700e-09 2.46835800e-09 1.46349300e-24 4.06033600e-22 7.52655900e-14 8.53552000e-16 1.28905200e-05 3.62859000e-13 3.55331200e-13 1.02252200e-27 5.69605800e-37 6.46348200e-10 4.85697500e-14 4.73771900e-29 1.39218200e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 7.01530000e-23 3.77282100e-19 2.08621800e-13 5.89269700e-31 5.08666500e-12 4.69650700e-24 2.42287900e-12 2.40396800e-13 4.16188800e-08 3.81161600e-19 4.14483600e-11 6.88308700e-17 3.48067200e-19 1.39383400e-16 1.02762600e-17 9.50742000e-12 6.40054700e-33 1.07882800e-19 1.93241800e-16 1.34351300e-19 1.36934800e-28 2.21518600e-14 2.84587000e-13 9.37250200e-30 1.11567700e-28 9.44929600e-15 5.58616900e-20 4.37431900e-13 1.20988300e-28 1.26627900e-17 1.66158900e-24 3.66002100e-10 1.58226500e-27 4.55802800e-20 6.35728400e-12 3.80135100e-18 1.58180100e-08 1.45718500e-19 1.00000000e-40 5.43093100e-11 7.65008400e-07 4.33921300e-09 1.88850700e-25 4.87116600e-23 4.55646100e-16 1.09988300e-09 5.67912300e-07 9.99779900e-05 8.21872200e-13 3.65568100e-16 2.00835600e-01 1.00000000e-40 1.27694000e-18 2.80871100e-16 7.93426700e-01 4.54908400e-18 7.47472600e-20 7.55282400e-09 5.22271800e-03 3.52819300e-17 1.95883500e-20 1.50730900e-16 1.00000000e-40 1.00000000e-05
3.66205700e+00 6.54546400e+05 1.69675362e+19 2.79407700e+02 1.00000000e+05 4.01144400e-04 2.54670300e-18 1.54451700e-15 7.95828500e-16 5.27151900e-29 4.24225400e-13 2.65554600e-14 1.84548300e-29 1.38644300e-08 1.48659500e-15 5.98663400e-20 5.95410300e-15 3.57934200e-09 6.20779800e-11 1.50041700e-15 2.08184100e-31 3.37567400e-19 2.99989000e-09 2.94008100e-09 1.88566100e-24 5.26653000e-22 7.53546500e-14 1.04122500e-15 1.29058200e-05 3.63282700e-13 3.57144700e-13 1.10110800e-27 8.31882600e-37 6.46661000e-10 4.86268000e-14 5.91076700e-29 1.47277400e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 8.51431600e-23 4.66524700e-19 2.08882600e-13 6.15641400e-31 5.09194200e-12 9.04192600e-24 2.66181600e-12 2.40694400e-13 4.16551600e-08 4.58348500e-19 4.14912400e-11 1.11411300e-16 3.48570700e-19 2.10926700e-16 1.02878900e-17 9.66518900e-12 3.60750400e-32 1.80663900e-19 1.93478900e-16 1.34759000e-19 2.25811700e-28 2.24571500e-14 2.84934200e-13 1.81492000e-29 1.31999200e-28 9.63644800e-15 5.59334700e-20 4.37981500e-13 1.00000000e-40 1.26812800e-17 2.44040500e-24 3.63839900e-10 2.33776800e-27 7.44428500e-20 9.17778700e-12 3.65265800e-18 1.53631000e-08 1.89689300e-19 1.00000000e-40 5.43783700e-11 7.65863000e-07 4.34493400e-09 1.91161200e-25 6.37709400e-23 4.71256000e-16 1.52170300e-09 5.70184500e-07 1.00085700e-04 9.07228300e-13 3.67925400e-16 2.01065800e-01 1.00000000e-40 1.29094900e-18 3.52796900e-16 7.94336000e-01 4.55496300e-18 7.48694300e-20 7.54438300e-09 4.08262400e-03 3.65650000e-17 3.12465400e-20 1.50906900e-16 1.00000000e-40 1.00000000e-05
4.82702000e+00 5.68312500e+05 1.50722942e+19 2.73101800e+02 1.00000000e+05 4.01553400e-04 2.54957000e-18 1.65676700e-15 7.96698000e-16 5.19015500e-29 3.18716200e-13 2.76867800e-14 2.21074600e-29 1.38470400e-08 1.48828300e-15 5.99260800e-20 7.88357800e-15 3.58305100e-09 6.20816700e-11 2.23178200e-15 2.08351800e-31 3.39587200e-19 2.63221800e-09 3.36363700e-09 2.41748200e-24 6.70872100e-22 7.54342800e-14 1.24212000e-15 1.29193600e-05 3.63655400e-13 3.59456000e-13 1.28117500e-27 1.17726400e-36 6.46854100e-10 4.86771700e-14 7.33405400e-29 1.55839400e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 1.01359000e-22 5.68250400e-19 2.09120600e-13 6.15084000e-31 5.09632900e-12 1.80123700e-23 2.85776000e-12 2.40964700e-13 4.16845500e-08 5.45772100e-19 4.15278700e-11 1.78762500e-16 3.49069300e-19 3.15569100e-16 1.02983100e-17 9.96339400e-12 1.77238400e-31 2.91981200e-19 1.93694500e-16 1.35219300e-19 3.77965600e-28 2.28885000e-14 2.85247100e-13 3.50199900e-29 1.56161400e-28 9.89049000e-15 5.59999000e-20 4.38484300e-13 1.00000000e-40 1.26995400e-17 3.40858700e-24 3.61694600e-10 3.33811500e-27 1.22029000e-19 1.31096900e-11 3.60757800e-18 1.48381300e-08 2.43673100e-19 1.00000000e-40 5.44393600e-11 7.66603900e-07 4.35029100e-09 1.93654400e-25 8.08728800e-23 4.91356300e-16 1.88592700e-09 5.72251800e-07 1.00178900e-04 9.74569200e-13 3.71141800e-16 2.01266100e-01 1.00000000e-40 1.30354200e-18 4.39882100e-16 7.95127500e-01 4.56041800e-18 7.49972300e-20 7.52111200e-09 3.09023400e-03 3.81722600e-17 5.12741600e-20 1.51061900e-16 1.00000000e-40 1.00000000e-05
5.96568300e+00 4.93439600e+05 1.33890998e+19 2.66931200e+02 1.00000000e+05 4.01901300e-04 2.55222000e-18 1.81194400e-15 7.97472800e-16 5.06301200e-29 2.30599000e-13 2.95196400e-14 2.62255300e-29 1.38135800e-08 1.48981200e-15 5.99770200e-20 9.93226400e-15 3.58627900e-09 6.20762700e-11 3.30244900e-15 2.08488400e-31 3.42148900e-19 2.31533500e-09 3.71648000e-09 3.08536300e-24 8.46526400e-22 7.55049200e-14 1.46077100e-15 1.29311800e-05 3.63977800e-13 3.62310100e-13 1.55392500e-27 1.61971800e-36 6.46929700e-10 4.87209400e-14 9.07677900e-29 1.65180700e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 1.19068000e-22 6.84829800e-19 2.09336700e-13 5.93885000e-31 5.09984900e-12 3.65838000e-23 3.02049100e-12 2.41208400e-13 4.17070200e-08 6.46226600e-19 4.15583800e-11 2.82707800e-16 3.49570300e-19 4.66994700e-16 1.03075700e-17 1.03992200e-11 7.78090400e-31 4.60136600e-19 1.93889700e-16 1.35726700e-19 6.38748200e-28 2.34625700e-14 2.85526600e-13 6.96484300e-29 1.87899300e-28 1.02123700e-14 5.60612200e-20 4.38942000e-13 3.36274800e-27 1.27177700e-17 4.56481800e-24 3.59598500e-10 4.66023400e-27 1.99165700e-19 1.84981500e-11 3.69037100e-18 1.42712500e-08 3.10275600e-19 1.00000000e-40 5.44924100e-11 7.67231800e-07 4.35530800e-09 1.96359800e-25 9.96120200e-23 5.15966300e-16 2.19564200e-09 5.74102900e-07 1.00257600e-04 1.02564400e-12 3.75389700e-16 2.01436900e-01 1.00000000e-40 1.31299000e-18 5.45723000e-16 7.95802200e-01 4.56547000e-18 7.51334500e-20 7.48180500e-09 2.24440900e-03 4.00356800e-17 8.74203200e-20 1.51196300e-16 1.00000000e-40 1.00000000e-05
7.07866300e+00 4.28431000e+05 1.19362532e+19 2.59973800e+02 1.00000000e+05 4.02182100e-04 2.55464600e-18 2.01207100e-15 7.98141700e-16 4.78716700e-29 1.49355100e-13 3.20754100e-14 3.02272000e-29 1.37644900e-08 1.49116100e-15 6.00182300e-20 1.19776900e-14 3.58897000e-09 6.20611100e-11 4.82143600e-15 2.08590500e-31 3.45323500e-19 2.04026100e-09 3.98518800e-09 4.02086900e-24 1.05515000e-21 7.55656900e-14 1.67175100e-15 1.29410800e-05 3.64244400e-13 3.65736200e-13 1.92776000e-27 2.14522000e-36 6.46880800e-10 4.87574000e-14 1.13743900e-28 1.75619900e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 1.39725000e-22 8.01493700e-19 2.09528000e-13 5.33210500e-31 5.10244100e-12 8.27690600e-23 3.13023900e-12 2.41422400e-13 4.17218700e-08 7.70303800e-19 4.15821600e-11 4.35695000e-16 3.50075000e-19 6.81780200e-16 1.03155100e-17 1.10696200e-11 3.06522600e-30 7.09607800e-19 1.94062400e-16 1.36271100e-19 1.14410800e-27 2.41938800e-14 2.85768600e-13 1.42758300e-28 2.25898400e-28 1.05969700e-14 5.61167300e-20 4.39348800e-13 8.48215600e-27 1.27359100e-17 5.86426600e-24 3.57584000e-10 6.38586900e-27 3.44252300e-19 2.76983900e-11 3.94928500e-18 1.36876000e-08 3.92651700e-19 1.00000000e-40 5.45367700e-11 7.67735000e-07 4.35993400e-09 1.99335800e-25 1.19303200e-22 5.45038700e-16 2.45495800e-09 5.75718500e-07 1.00320200e-04 1.05233400e-12 3.80842100e-16 2.01574900e-01 1.00000000e-40 1.31743500e-18 6.84700400e-16 7.96347600e-01 4.57006300e-18 7.52794700e-20 7.42641800e-09 1.56059200e-03 4.20603200e-17 1.58314500e-19 1.51307900e-16 1.00000000e-40 1.00000000e-05
8.16273400e+00 3.71986900e+05 1.06291015e+19 2.53482400e+02 9.98775289e+04 4.02388700e-04 2.55683400e-18 2.25386400e-15 7.98691200e-16 4.55009100e-29 9.42750600e-14 3.52650400e-14 3.47884500e-29 1.37014300e-08 1.49230800e-15 6.00486000e-20 1.38860300e-14 3.59105900e-09 6.20352600e-11 6.95299400e-15 2.08654200e-31 3.49196600e-19 1.80665700e-09 4.16168800e-09 5.22193800e-24 1.31940900e-21 7.56154700e-14 1.90799100e-15 1.29488200e-05 3.64448800e-13 3.69766800e-13 2.40510500e-27 2.77841600e-36 6.46698400e-10 4.87856700e-14 1.42765700e-28 1.86978000e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 1.63332100e-22 9.32504700e-19 2.09691200e-13 4.68108300e-31 5.10401900e-12 1.87015600e-22 3.22666400e-12 2.41602600e-13 4.17282800e-08 9.19529000e-19 4.15985100e-11 6.36221900e-16 3.50584100e-19 9.84229100e-16 1.03219700e-17 1.19095700e-11 1.08535700e-29 1.07595000e-18 1.94209200e-16 1.36845000e-19 2.05516900e-27 2.50974800e-14 2.85968600e-13 3.02214800e-28 2.82875800e-28 1.10361300e-14 5.61655800e-20 4.39697800e-13 5.38801600e-28 1.27538400e-17 7.29695800e-24 3.55691600e-10 8.64418100e-27 5.87121100e-19 3.96699200e-11 4.29361700e-18 1.31116600e-08 4.95332800e-19 5.96849000e-40 5.45714900e-11 7.68099400e-07 4.36410500e-09 2.02620500e-25 1.38984400e-22 5.77918800e-16 2.66625400e-09 5.77081200e-07 1.00364800e-04 1.06778600e-12 3.87717400e-16 2.01676600e-01 1.00000000e-40 1.31690900e-18 8.57683200e-16 7.96749200e-01 4.57412700e-18 7.54369900e-20 7.35659800e-09 1.05704800e-03 4.41497100e-17 2.93718800e-19 1.51393900e-16 1.00000000e-40 1.00000000e-05
9.21989700e+00 3.22979100e+05 9.53257450e+18 2.45403600e+02 9.08435359e+04 4.02542000e-04 2.55900700e-18 2.54015900e-15 7.99171900e-16 4.06704400e-29 4.35393900e-14 3.91373600e-14 3.84163000e-29 1.36235300e-08 1.49335500e-15 6.00711600e-20 1.56947200e-14 3.59274600e-09 6.19992100e-11 9.90169400e-15 2.08687900e-31 3.54110200e-19 1.60107800e-09 4.25608700e-09 7.08347500e-24 1.62907500e-21 7.56590500e-14 2.07085300e-15 1.29551400e-05 3.64610700e-13 3.74682000e-13 3.04906300e-27 3.44155000e-36 6.46392100e-10 4.88084800e-14 1.83759500e-28 1.98962100e-13 1.00000000e-40 1.00000000e-40 1.00000000e-40 1.93052900e-22 1.03476400e-18 2.09840800e-13 3.60904300e-31 5.10479100e-12 5.20165000e-22 3.25045100e-12 2.41765300e-13 4.17275400e-08 1.11554100e-18 4.16093300e-11 8.71707300e-16 3.51143100e-19 1.40378900e-15 1.03275800e-17 1.31069300e-11 3.45488700e-29 1.60710800e-18 1.94343500e-16 1.37478500e-19 4.09483000e-27 2.62439100e-14 2.86144600e-13 6.56211500e-28 3.52289800e-28 1.15377200e-14 5.62119800e-20 4.40019500e-13 1.00000000e-40 1.27729900e-17 8.74438300e-24 3.53894800e-10 1.15628000e-26 1.12991200e-18 5.48690900e-11 4.87618300e-18 1.25362600e-08 6.19451400e-19 4.73094100e-39 5.45997900e-11 7.68362500e-07 4.36818000e-09 2.06796600e-25 1.55674300e-22 6.15509500e-16 2.84213700e-09 5.78262500e-07 1.00396400e-04 1.04760100e-12 3.96701700e-16 2.01752100e-01 1.00000000e-40 1.31037200e-18 1.10018200e-15 7.97047500e-01 4.57801100e-18 7.56203200e-20 7.27121800e-09 6.83101400e-04 4.62738300e-17 5.90572800e-19 1.51462800e-16 1.00000000e-40 1.00000000e-05
1.02435600e+01 2.80427900e+05 8.53776915e+18 2.37899500e+02 7.58898728e+04 4.02644400e-04 2.56131200e-18 2.86525000e-15 7.99601900e-16 3.64697200e-29 1.98947700e-14 4.33861000e-14 4.27808000e-29 1.35297000e-08 1.49434600e-15 6.00862400e-20 1.75942400e-14 3.59407100e-09 6.19507300e-11 1.38988100e-14 2.08690400e-31 3.60569900e-19 1.42976600e-09 4.26955600e-09 9.55749300e-24 2.02708200e-21 7.56982700e-14 2.23728600e-15 1.29602300e-05 3.64734200e-13 3.80871300e-13 3.85592500e-27 4.10584600e-36 6.45940700e-10 4.88264500e-14 2.36968500e-28 2.10762100e-13 1.00000000e-40 1.00000000e-40 1.69053300e-40 2.27683800e-22 1.14340800e-18 2.09983400e-13 2.72322700e-31 5.10470000e-12 1.44722500e-21 3.26563500e-12 2.41917400e-13 4.17188600e-08 1.35953000e-18 4.16146700e-11 1.10314300e-15 3.51795600e-19 1.98090800e-15 1.03325400e-17 1.45512200e-11 9.84321300e-29 2.37150700e-18 1.94470700e-16 1.38212800e-19 8.13697600e-27 2.77362500e-14 2.86303700e-13 1.45510700e-27 4.57467400e-28 1.21165600e-14 5.62581900e-20 4.40328600e-13 1.00000000e-40 1.27945000e-17 1.02252400e-23 3.52220600e-10 1.53933600e-26 2.14812700e-18 6.73739900e-11 5.53946700e-18 1.19660700e-08 7.68473200e-19 3.01997300e-38 5.46224600e-11 7.68527500e-07 4.37237300e-09 2.19390400e-25 1.70030600e-22 6.57328100e-16 2.98833000e-09 5.79283700e-07 1.00415000e-04 1.01847800e-12 4.08875500e-16 2.01802500e-01 1.00000000e-40 1.30018700e-18 1.40634800e-15 7.97246800e-01 4.58190900e-18 7.58462600e-20 7.17032000e-09 4.33278200e-04 4.84276500e-17 1.20420100e-18 1.51516300e-16 1.00000000e-40 1.00000000e-05
