# wavelength(um) wavelength_err(um) depth depth_err
5.02130308e+00 4.12359688e-02 4.98560299e-03 2.46234442e-04
5.10377501e+00 4.05604122e-02 4.55763657e-03 2.19262783e-04
5.18354472e+00 3.75003053e-02 4.78708212e-03 2.17024793e-04
5.25377623e+00 3.43360140e-02 5.17170114e-03 2.19678585e-04
5.32088878e+00 3.49657993e-02 4.56895894e-03 2.29368951e-04
5.39363943e+00 3.44497414e-02 4.81799280e-03 2.38650666e-04
5.45868775e+00 3.21340253e-02 4.99241078e-03 2.46973757e-04
5.52217553e+00 3.17808173e-02 5.22353431e-03 2.52075959e-04
5.58581102e+00 3.06810620e-02 4.47392879e-03 2.53377899e-04
5.64489978e+00 2.89638146e-02 4.54959555e-03 2.55178949e-04
5.70166627e+00 2.89110100e-02 5.22096852e-03 2.59184862e-04
5.76054382e+00 2.89860638e-02 4.61040598e-03 2.62658003e-04
5.81761053e+00 2.83285473e-02 4.75696854e-03 2.60375624e-04
5.87385801e+00 2.74655509e-02 5.08481439e-03 2.55754134e-04
5.92747273e+00 2.63308824e-02 4.51201323e-03 2.56126086e-04
5.97918154e+00 2.55547028e-02 4.65161663e-03 2.61337549e-04
6.02969154e+00 2.48017496e-02 4.76073645e-03 2.70031646e-04
6.07838854e+00 2.46170451e-02 4.50849215e-03 2.76199952e-04
6.12815972e+00 2.55799579e-02 4.65223534e-03 2.75254880e-04
6.18070837e+00 2.50591219e-02 5.06752324e-03 2.71182690e-04
6.22839621e+00 2.36982071e-02 4.23233307e-03 2.67687092e-04
6.27550120e+00 2.33476601e-02 4.45594428e-03 2.66770098e-04
6.32178685e+00 2.29664592e-02 4.97150702e-03 2.70491713e-04
6.36736704e+00 2.26812367e-02 4.51277707e-03 2.79549621e-04
6.41251180e+00 2.26112980e-02 4.68262012e-03 2.93932470e-04
6.45781223e+00 2.24194735e-02 5.02000585e-03 3.11945388e-04
6.50218969e+00 2.16354695e-02 5.50236444e-03 3.29693518e-04
6.54435411e+00 2.05784449e-02 4.34570908e-03 3.43382242e-04
6.58450347e+00 2.06861028e-02 5.01535381e-03 3.49670484e-04
6.62709852e+00 2.19522010e-02 4.95531546e-03 3.51311995e-04
6.67231228e+00 2.17074981e-02 4.46915017e-03 3.56042729e-04
6.71392851e+00 2.09374317e-02 4.19441471e-03 3.65378196e-04
6.75606200e+00 2.08904724e-02 4.84803683e-03 3.77803883e-04
6.79749040e+00 2.02968351e-02 4.19967350e-03 3.88379736e-04
6.83724934e+00 1.94790697e-02 5.32396353e-03 3.88205978e-04
6.87540668e+00 1.93950836e-02 4.08385327e-03 3.79664092e-04
6.91482968e+00 1.96544137e-02 4.66096345e-03 3.74325162e-04
6.95402433e+00 1.94930443e-02 5.49439600e-03 3.76603312e-04
6.99280185e+00 1.93946640e-02 4.97285912e-03 3.82300611e-04
7.03160299e+00 1.95000961e-02 4.63456311e-03 3.87802858e-04
7.07080224e+00 1.93235495e-02 5.03981682e-03 3.92986694e-04
7.10889719e+00 1.88229077e-02 4.70650585e-03 3.95654936e-04
7.14609387e+00 1.85580359e-02 4.64979663e-03 3.95047304e-04
7.18312933e+00 1.85638588e-02 4.11471899e-03 3.94256229e-04
7.22034930e+00 1.88934298e-02 4.41109699e-03 3.94933178e-04
7.25870305e+00 1.88489655e-02 4.50693762e-03 3.96743802e-04
7.29574517e+00 1.82135305e-02 4.63276516e-03 3.98403917e-04
7.33155717e+00 1.73892528e-02 3.86593481e-03 3.99102273e-04
7.36530218e+00 1.72558258e-02 4.38159774e-03 4.01187786e-04
7.40058047e+00 1.78227341e-02 4.89156324e-03 4.06088297e-04
7.43659311e+00 1.80173444e-02 5.07785125e-03 4.12786095e-04
7.47264985e+00 1.78111899e-02 4.06991225e-03 4.21017617e-04
7.50783787e+00 1.75871990e-02 4.59845506e-03 4.30618388e-04
7.54299865e+00 1.74796455e-02 4.14015041e-03 4.41844765e-04
7.57775646e+00 1.72551873e-02 5.05134024e-03 4.55976846e-04
7.61201940e+00 1.70428555e-02 4.46560135e-03 4.68463967e-04
7.64592788e+00 1.69152900e-02 4.36163495e-03 4.68668995e-04
