# wavelength(um) wavelength_err(um) depth depth_err
6.02495489e-01 2.20775565e-03 8.61463593e-03 7.29696289e-03
6.06911000e-01 2.22958268e-03 -1.09415281e-02 7.58058962e-03
6.11413820e-01 2.27431354e-03 6.12369786e-03 7.95284768e-03
6.16008254e-01 2.32305085e-03 1.45087969e-02 8.35846032e-03
6.20706023e-01 2.37636046e-03 1.00503628e-02 6.72490414e-03
6.25513696e-01 2.42925976e-03 1.06035852e-02 5.59811149e-03
6.30423062e-01 2.48115786e-03 1.30120817e-02 4.79270237e-03
6.35438328e-01 2.53517934e-03 2.54204447e-03 3.49085624e-03
6.40563779e-01 2.59133577e-03 6.77267869e-03 2.75740071e-03
6.45803671e-01 2.64959259e-03 3.43293060e-03 2.29836907e-03
6.51162150e-01 2.70992277e-03 3.91199382e-03 1.98910655e-03
6.56643362e-01 2.77233082e-03 4.59684828e-03 1.76161425e-03
6.62251473e-01 2.83678857e-03 3.79124889e-03 1.72072029e-03
6.67990516e-01 2.90326014e-03 4.20378779e-03 1.87265271e-03
6.73864514e-01 2.97174187e-03 2.04932135e-03 2.06365384e-03
6.79877483e-01 3.04219296e-03 3.59190629e-03 1.59604249e-03
6.86033285e-01 3.11458590e-03 5.60398502e-03 1.30329923e-03
6.92335827e-01 3.19300743e-03 5.12950098e-03 9.77931424e-04
6.98805315e-01 3.27482249e-03 4.09630444e-03 7.56919904e-04
7.05435117e-01 3.35503261e-03 6.88009171e-03 5.83706956e-04
7.12225446e-01 3.43617948e-03 5.09337014e-03 5.28887944e-04
7.19179835e-01 3.52295550e-03 5.37756520e-03 4.71496207e-04
7.26317268e-01 3.61610125e-03 4.63407351e-03 3.93389415e-04
7.33644240e-01 3.70760476e-03 5.00911467e-03 3.54503206e-04
7.41147687e-01 3.80278249e-03 4.37579963e-03 3.71812213e-04
7.48855370e-01 3.90404759e-03 4.53871500e-03 3.93039130e-04
7.56763877e-01 4.00499612e-03 4.66177981e-03 4.19156230e-04
7.64875354e-01 4.11167999e-03 4.58650642e-03 4.21003892e-04
7.73210597e-01 4.22166701e-03 4.53816938e-03 3.90434626e-04
7.81762022e-01 4.33328274e-03 4.64856840e-03 3.29662610e-04
7.90543728e-01 4.45156917e-03 4.56807329e-03 2.80857154e-04
7.99568299e-01 4.57083488e-03 4.75888296e-03 2.48674865e-04
8.08827067e-01 4.69337743e-03 5.13018013e-03 2.23485177e-04
8.18341809e-01 4.82357590e-03 4.60380138e-03 2.13000929e-04
8.28121371e-01 4.95535410e-03 4.96825608e-03 2.17291593e-04
8.38163225e-01 5.08890336e-03 4.61296353e-03 2.25027363e-04
8.48476984e-01 5.22709904e-03 4.63525402e-03 2.34851619e-04
8.59071621e-01 5.36952191e-03 4.40728609e-03 2.10336363e-04
8.69955072e-01 5.51573694e-03 4.25752606e-03 1.87826051e-04
8.81134569e-01 5.66533347e-03 4.97195058e-03 1.68927615e-04
8.92616406e-01 5.81786174e-03 4.66982026e-03 1.52775533e-04
9.04406016e-01 5.97285433e-03 4.68782787e-03 1.29779061e-04
9.16507823e-01 6.12988048e-03 4.74646773e-03 1.21406818e-04
9.28925538e-01 6.29306528e-03 4.87345786e-03 1.17986647e-04
9.41680084e-01 6.45809622e-03 4.94552312e-03 1.13806375e-04
9.54757923e-01 6.62137821e-03 4.73414146e-03 1.08020767e-04
9.68165597e-01 6.78947447e-03 4.73717003e-03 1.03435728e-04
9.81915821e-01 6.95814886e-03 4.66432411e-03 1.00400815e-04
