Nested Sampling Global Log-Evidence           :    0.288367528635891631E+04  +/-    0.157568821298895573E+00

Dim No.       Mean        Sigma
   1    0.918662617007419469E+00    0.144648958854781234E-03
   2    0.211777580113574317E+03    0.569754300928944790E+01
   3   -0.430353645387961592E+01    0.154774595846027846E+00
   4   -0.349381757966634421E+01    0.180392590010643977E+00
   5   -0.414048981373723990E+01    0.937265247644042260E-01
   6   -0.110211581926136848E+01    0.978962515684314999E-01
   7   -0.890602057270286274E+01    0.703408057604692605E+00
   8   -0.697546035088846050E+01    0.559417576447325704E+00
   9   -0.636466948242330766E+01    0.223962116270257222E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.918624479133210547E+00
   2    0.216466520835053103E+03
   3   -0.424421993169715606E+01
   4   -0.357076771064592702E+01
   5   -0.418142073283603466E+01
   6   -0.100214710325198375E+01
   7   -0.975631174942465584E+01
   8   -0.665001777443091768E+01
   9   -0.628707359364440954E+01

MAP Parameters
Dim No.        Parameter
   1    0.918624479133210547E+00
   2    0.216466520835053103E+03
   3   -0.424421993169715606E+01
   4   -0.357076771064592702E+01
   5   -0.418142073283603466E+01
   6   -0.100214710325198375E+01
   7   -0.975631174942465584E+01
   8   -0.665001777443091768E+01
   9   -0.628707359364440954E+01
