PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l
1.000000e+00 1.821324e-13 1.830975e-07 8.887961e-03 1.124144e-20 3.641226e-17 7.316934e-33 2.574151e-31 1.308369e-25 5.380320e-15 4.887206e-07 0.000000e+00 3.169721e-25 0.000000e+00 2.343386e-28 1.487138e-11 2.318110e-16 7.200682e-14 8.036786e-08 3.976716e-04 2.397590e-26 1.984774e-10 4.442368e-22 1.238008e-18 2.634439e-13 2.134275e-20 1.978383e-01 9.908490e-22 3.109536e-21 4.924648e-12 1.455505e-11 6.244567e-10 1.191543e-28 8.703647e-25 5.454536e-29 6.454163e-11 4.974875e-15 7.928725e-01 4.993286e-10 1.309912e-11 2.036450e-16 4.026332e-24 4.116626e-16 1.281706e-11 1.217934e-17 3.017882e-22 1.184673e-14 5.077360e-11 2.814215e-06 4.254096e-28 5.673167e-17 2.476442e-13 4.472532e-09 1.490678e-18 1.301989e-08 5.088562e-15 1.745030e-10 6.767690e-14 7.720176e-21 1.877908e-16 9.106887e-27 6.063358e-16 1.957073e-14 1.609278e-17 4.123601e-14 3.626889e-28 2.710730e-10 7.368123e-21 7.203762e-26 3.782863e-17 1.838915e-10 1.109039e-17 2.280357e-14 4.014831e-33 5.007511e-18 1.135685e-09 2.617350e-17 4.482809e-22 5.105298e-10 1.632807e-10 4.190395e-19 3.047865e-11 1.627241e-11 2.400484e-19 1.211687e-16 1.535595e-23 0.000000e+00 5.288311e-27 1.358444e-20 1.488991e-30 6.396395e-18 3.895740e-26 4.647599e-31 3.576505e-33 5.307161e-22 2.343083e-26 3.031651e-45 0.000000e+00 0.000000e+00 4.667537e-18
8.682540e-01 1.460176e-13 1.836500e-07 6.470937e-03 8.352772e-21 3.963626e-17 6.506788e-33 0.000000e+00 7.930522e-26 4.147165e-15 4.841549e-07 0.000000e+00 9.629932e-25 0.000000e+00 1.457161e-28 1.490425e-11 2.006224e-16 7.253408e-14 6.933074e-08 4.045446e-04 1.840069e-26 1.120208e-10 2.375700e-22 7.378459e-19 2.574985e-13 1.991669e-20 1.983196e-01 9.932598e-22 3.117133e-21 6.646123e-12 1.301295e-11 7.738485e-10 2.161365e-32 6.101482e-25 3.916320e-29 6.620516e-11 3.957249e-15 7.948013e-01 4.092686e-10 5.146631e-12 1.875152e-16 1.607464e-24 3.749622e-16 1.284208e-11 8.454900e-18 2.801023e-22 1.167762e-14 1.450494e-11 2.820247e-06 4.264236e-28 4.275798e-17 2.482471e-13 4.483407e-09 1.197273e-18 1.175272e-08 1.964567e-15 3.783328e-10 1.726032e-14 1.221142e-20 4.704524e-17 1.746334e-26 8.557407e-16 1.989270e-14 4.879404e-17 6.199080e-15 3.835402e-28 2.703817e-10 7.381580e-21 7.492842e-26 5.403183e-17 9.691231e-11 9.657541e-18 2.285898e-14 3.794712e-33 4.954941e-18 1.031120e-09 2.302205e-17 1.968128e-22 5.017114e-10 2.580955e-10 4.200601e-19 2.929893e-11 1.605651e-11 2.406317e-19 1.535667e-16 2.436936e-23 9.169084e-24 5.301235e-27 1.361750e-20 4.531764e-29 6.411945e-18 3.905221e-26 4.673305e-31 3.571754e-33 6.346491e-22 1.949662e-26 9.178420e-46 0.000000e+00 1.938659e-05 5.397338e-16
7.538651e-01 1.741968e-13 1.840221e-07 5.207050e-03 9.204293e-21 4.972508e-17 1.358457e-32 0.000000e+00 1.051530e-25 4.693091e-15 4.794377e-07 0.000000e+00 1.382173e-25 5.081346e-33 1.373296e-28 1.491760e-11 2.049762e-16 7.372840e-14 5.918181e-08 4.050783e-04 2.385201e-26 9.275138e-11 2.425207e-22 9.637520e-19 2.852171e-13 2.615889e-20 1.985719e-01 9.945243e-22 3.121158e-21 7.020957e-12 1.254643e-11 7.404813e-10 4.052206e-32 7.421067e-25 2.933481e-29 6.787271e-11 3.802975e-15 7.958124e-01 3.325071e-10 5.712924e-12 1.587435e-16 2.155398e-24 3.106601e-16 1.284768e-11 8.874035e-18 2.667774e-22 1.144681e-14 1.247159e-11 2.822882e-06 4.269360e-28 2.697625e-17 2.485638e-13 4.489103e-09 1.148727e-18 1.184843e-08 2.283712e-15 5.393271e-10 1.748251e-14 1.330264e-20 1.001137e-16 3.139022e-26 1.184302e-15 1.969580e-14 9.537230e-17 8.295385e-15 4.514394e-28 2.693886e-10 7.380390e-21 7.960402e-26 5.295180e-17 4.916193e-11 7.949343e-18 2.288795e-14 3.784011e-33 4.835892e-18 8.610748e-10 1.635802e-17 1.233083e-22 4.906383e-10 3.218376e-10 4.205973e-19 2.814806e-11 1.567888e-11 2.409366e-19 1.956301e-16 5.691815e-23 1.118901e-21 5.308087e-27 1.363484e-20 1.029575e-27 6.420079e-18 3.910195e-26 4.692292e-31 3.559662e-33 8.127662e-22 3.212385e-26 7.294624e-46 0.000000e+00 9.102311e-06 2.750231e-14
6.545464e-01 2.289771e-13 1.843792e-07 4.057569e-03 1.120461e-20 6.878249e-17 3.454055e-32 0.000000e+00 1.685097e-25 5.824063e-15 4.752646e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.442490e-28 1.492655e-11 2.158163e-16 7.556574e-14 5.030265e-08 4.055634e-04 3.694847e-26 8.798145e-11 2.974508e-22 1.373399e-18 3.415259e-13 3.675454e-20 1.988013e-01 9.956750e-22 3.124853e-21 6.621389e-12 1.257821e-11 5.973199e-10 1.202280e-29 9.715105e-25 2.149670e-29 6.953069e-11 3.611905e-15 7.967320e-01 2.695623e-10 7.770579e-12 1.254705e-16 3.464866e-24 2.391753e-16 1.284778e-11 1.055422e-17 2.612140e-22 1.120784e-14 1.400972e-11 2.825083e-06 4.273953e-28 1.552584e-17 2.488524e-13 4.494281e-09 1.289857e-18 1.314425e-08 3.186389e-15 6.926491e-10 2.495412e-14 1.239477e-20 3.210321e-16 5.423647e-26 1.624387e-15 1.895267e-14 1.578880e-16 1.135330e-14 5.866650e-28 2.684345e-10 7.372103e-21 8.553304e-26 4.658841e-17 2.410421e-11 6.173104e-18 2.291428e-14 4.062546e-33 4.666534e-18 7.008613e-10 1.156855e-17 8.200350e-23 4.783335e-10 3.666878e-10 4.210877e-19 2.710414e-11 1.519111e-11 2.412136e-19 2.457880e-16 1.428667e-22 0.000000e+00 5.314380e-27 1.365062e-20 1.632002e-26 6.427464e-18 3.914723e-26 4.705050e-31 3.545806e-33 1.118414e-21 6.606078e-26 7.067508e-46 0.000000e+00 7.960239e-06 6.751568e-13
5.683125e-01 3.037064e-13 1.846910e-07 3.062422e-03 1.365676e-20 9.786435e-17 8.934967e-32 5.704188e-48 2.694024e-25 7.156254e-15 4.716870e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.509375e-28 1.492968e-11 2.245405e-16 7.763784e-14 4.267665e-08 4.059834e-04 5.887625e-26 8.166569e-11 3.561907e-22 1.837418e-18 4.159464e-13 5.240085e-20 1.990000e-01 9.966721e-22 3.128094e-21 5.872598e-12 1.243354e-11 4.315346e-10 1.967988e-31 1.251943e-24 1.619704e-29 7.113586e-11 3.335859e-15 7.975281e-01 2.191744e-10 1.045291e-11 9.453777e-17 5.434238e-24 1.760608e-16 1.284222e-11 1.266408e-17 2.564812e-22 1.096069e-14 1.586174e-11 2.826737e-06 4.277868e-28 8.541409e-18 2.491030e-13 4.498759e-09 1.531071e-18 1.516848e-08 4.471589e-15 8.437981e-10 3.609680e-14 1.215614e-20 1.097074e-15 9.110292e-26 2.216080e-15 1.781777e-14 2.463588e-16 1.544837e-14 7.797944e-28 2.675336e-10 7.356108e-21 9.234249e-26 3.969193e-17 1.165586e-11 4.609670e-18 2.293704e-14 4.543516e-33 4.458287e-18 5.547063e-10 7.664061e-18 5.440025e-23 4.648938e-10 3.932364e-10 4.215146e-19 2.618539e-11 1.461376e-11 2.414531e-19 3.014591e-16 3.648259e-22 4.025219e-25 5.319905e-27 1.366430e-20 1.839306e-25 6.433841e-18 3.918647e-26 4.725941e-31 3.530414e-33 1.569034e-21 1.399282e-25 6.528702e-46 0.000000e+00 6.780065e-06 8.286710e-12
4.934396e-01 3.936269e-13 1.849529e-07 2.215644e-03 1.625900e-20 1.388192e-16 2.242380e-31 2.156768e-47 4.064450e-25 8.499139e-15 4.687362e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.536247e-28 1.492610e-11 2.284052e-16 7.936783e-14 3.625616e-08 4.063408e-04 8.998359e-26 7.348994e-11 4.056318e-22 2.315794e-18 4.962375e-13 7.305664e-20 1.991690e-01 9.975214e-22 3.130905e-21 4.851387e-12 1.181871e-11 2.828750e-10 4.113159e-31 1.550874e-24 1.103318e-29 7.265226e-11 3.018908e-15 7.982055e-01 1.798550e-10 1.416161e-11 6.991923e-17 8.462828e-24 1.283808e-16 1.283134e-11 1.537387e-17 2.492306e-22 1.069375e-14 1.792378e-11 2.827851e-06 4.281107e-28 4.714813e-18 2.493171e-13 4.502566e-09 1.806028e-18 1.754953e-08 6.081796e-15 9.948023e-10 5.194437e-14 8.937914e-21 3.680385e-15 1.497813e-25 3.007776e-15 1.649705e-14 3.757215e-16 2.089153e-14 1.029944e-27 2.667024e-10 7.332009e-21 9.980626e-26 3.413325e-17 5.884885e-12 3.352034e-18 2.295639e-14 5.082138e-33 4.225160e-18 4.178793e-10 4.839793e-18 3.683463e-23 4.503846e-10 3.781744e-10 4.218806e-19 2.540338e-11 1.397192e-11 2.416565e-19 3.620162e-16 9.052380e-22 0.000000e+00 5.324702e-27 1.367595e-20 1.492553e-24 6.439246e-18 3.921991e-26 4.744548e-31 3.513644e-33 2.175300e-21 2.917779e-25 5.561509e-46 0.000000e+00 5.721929e-06 4.959656e-11
4.284310e-01 4.960320e-13 1.851637e-07 1.531870e-03 1.867481e-20 1.890922e-16 5.569358e-31 7.361455e-47 5.530984e-25 9.402608e-15 4.664156e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.456198e-28 1.491472e-11 2.230116e-16 8.009293e-14 3.099704e-08 4.066296e-04 1.279397e-25 6.378686e-11 4.356922e-22 2.792628e-18 5.663880e-13 1.039325e-19 1.993055e-01 9.982085e-22 3.133242e-21 3.617366e-12 1.048046e-11 1.649218e-10 8.592036e-31 1.883368e-24 7.126751e-30 7.403428e-11 2.722042e-15 7.987525e-01 1.501917e-10 1.991367e-11 5.272842e-17 1.425396e-23 9.608161e-17 1.281518e-11 1.935662e-17 2.382600e-22 1.039565e-14 2.024492e-11 2.828378e-06 4.283606e-28 2.578883e-18 2.494911e-13 4.505634e-09 2.019010e-18 1.991695e-08 8.037094e-15 1.146486e-09 7.602064e-14 6.581653e-21 1.346150e-14 2.426296e-25 4.081842e-15 1.516286e-14 5.792253e-16 2.817460e-14 1.287482e-27 2.659493e-10 7.299312e-21 1.076010e-25 2.910151e-17 3.469403e-12 2.444826e-18 2.297198e-14 5.475952e-33 3.984833e-18 2.905278e-10 2.703703e-18 2.858400e-23 4.349757e-10 2.953968e-10 4.221796e-19 2.476667e-11 1.330104e-11 2.418205e-19 4.168713e-16 2.293439e-21 0.000000e+00 5.328697e-27 1.368537e-20 8.907828e-24 6.443580e-18 3.924697e-26 4.760793e-31 3.495654e-33 2.910304e-21 5.742699e-25 3.980687e-46 0.000000e+00 4.577706e-06 1.517491e-10
3.719869e-01 6.080749e-13 1.853202e-07 1.030538e-03 2.119048e-20 2.496353e-16 1.349563e-30 2.408012e-46 7.133314e-25 1.013538e-14 4.646770e-07 0.000000e+00 0.000000e+00 0.000000e+00 1.351711e-28 1.489464e-11 2.121053e-16 7.962096e-14 2.685339e-08 4.068420e-04 1.691027e-25 5.430711e-11 4.496929e-22 3.223874e-18 6.165741e-13 1.444324e-19 1.994055e-01 9.987140e-22 3.135046e-21 2.459542e-12 8.572173e-12 8.455252e-11 1.701711e-30 2.245209e-24 4.655069e-30 7.524263e-11 2.476731e-15 7.991535e-01 1.287344e-10 2.944723e-11 4.279418e-17 2.536389e-23 7.710985e-17 1.279359e-11 2.570610e-17 2.262306e-22 1.006100e-14 2.310955e-11 2.828254e-06 4.285280e-28 1.480943e-18 2.496201e-13 4.507877e-09 2.133498e-18 2.185897e-08 1.018721e-14 1.298926e-09 1.146161e-13 4.462435e-21 4.072720e-14 3.880299e-25 5.516588e-15 1.398970e-14 8.973325e-16 3.766801e-14 1.559308e-27 2.652717e-10 7.257429e-21 1.150994e-25 2.546031e-17 2.719978e-12 1.795545e-18 2.298337e-14 5.604602e-33 3.754770e-18 1.812465e-10 2.220725e-18 2.863333e-23 4.189291e-10 2.000034e-10 4.224036e-19 2.427533e-11 1.263817e-11 2.419404e-19 4.731453e-16 5.540696e-21 0.000000e+00 5.331791e-27 1.369231e-20 3.944950e-23 6.446700e-18 3.926690e-26 4.775536e-31 3.476576e-33 3.734940e-21 1.100913e-24 2.744627e-46 0.000000e+00 3.317582e-06 2.610628e-10
3.229791e-01 7.229955e-13 1.854362e-07 6.591389e-04 2.305697e-20 3.054953e-16 3.200700e-30 7.709087e-46 7.911670e-25 9.769057e-15 4.634197e-07 3.432595e-51 1.391579e-26 4.080639e-33 1.116581e-28 1.486460e-11 1.900746e-16 7.774252e-14 2.362280e-08 4.069998e-04 2.017447e-25 4.363559e-11 4.275433e-22 3.537175e-18 6.251016e-13 2.158477e-19 1.994797e-01 9.990905e-22 3.136499e-21 1.374954e-12 5.916981e-12 3.492913e-11 3.483342e-30 2.598083e-24 2.528239e-30 7.630005e-11 2.200061e-15 7.994507e-01 1.135197e-10 4.830976e-11 4.030535e-17 5.348099e-23 6.933147e-17 1.276573e-11 3.771013e-17 2.131288e-22 9.669985e-15 2.681665e-11 2.827538e-06 4.286327e-28 8.013949e-19 2.497175e-13 4.509531e-09 2.044962e-18 2.305937e-08 1.261805e-14 1.457061e-09 1.865252e-13 2.490535e-21 1.011805e-13 6.175902e-25 7.510653e-15 1.305087e-14 1.438236e-15 5.005408e-14 1.702929e-27 2.646452e-10 7.203588e-21 1.213719e-25 2.155265e-17 2.876571e-12 1.392951e-18 2.299176e-14 5.263670e-33 3.540834e-18 9.493558e-11 3.423475e-18 3.826816e-23 4.018339e-10 1.358488e-10 4.225755e-19 2.390871e-11 1.198701e-11 2.420287e-19 4.996475e-16 1.448424e-20 1.849558e-23 5.334292e-27 1.369749e-20 1.399996e-22 6.448890e-18 3.928176e-26 4.789035e-31 3.455720e-33 4.526153e-21 1.909007e-24 1.389360e-46 0.000000e+00 2.295394e-06 3.358015e-10
2.804279e-01 7.955376e-13 1.855106e-07 4.130621e-04 2.391254e-20 3.580936e-16 5.834639e-30 1.814582e-45 7.546382e-25 8.755000e-15 4.625562e-07 0.000000e+00 2.568914e-26 0.000000e+00 8.585069e-29 1.482198e-11 1.660180e-16 7.511764e-14 2.129421e-08 4.071050e-04 2.063784e-25 3.349438e-11 3.677702e-22 3.544504e-18 5.858525e-13 3.033639e-19 1.995288e-01 9.993432e-22 3.137636e-21 6.135145e-13 3.213374e-12 1.163000e-11 5.447312e-30 2.506829e-24 1.304528e-30 7.721582e-11 1.722340e-15 7.996475e-01 1.035316e-10 9.079804e-11 5.076321e-17 1.134960e-22 7.853393e-17 1.272963e-11 6.385159e-17 2.034491e-22 9.207850e-15 3.302538e-11 2.826128e-06 4.286729e-28 4.201346e-19 2.497849e-13 4.510616e-09 1.833668e-18 2.316032e-08 1.396469e-14 1.617713e-09 3.228560e-13 1.118466e-21 1.575295e-13 9.726242e-25 1.017013e-14 1.254872e-14 2.276783e-15 6.403256e-14 1.781036e-27 2.640386e-10 7.133206e-21 1.243510e-25 1.966441e-17 3.852373e-12 1.146458e-18 2.299725e-14 4.505234e-33 3.348063e-18 4.133010e-11 7.840814e-18 5.980624e-23 3.834886e-10 9.978314e-11 4.226984e-19 2.365727e-11 1.134827e-11 2.420866e-19 5.208895e-16 3.453248e-20 0.000000e+00 5.336265e-27 1.370096e-20 4.074945e-22 6.450078e-18 3.929177e-26 4.800265e-31 3.432113e-33 5.195433e-21 2.905519e-24 5.464737e-47 0.000000e+00 1.344015e-06 3.803287e-10
