PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l
1.000000e+00 4.460040e-13 2.258975e-08 8.884643e-03 1.155454e-20 2.537183e-17 4.540313e-31 2.225975e-30 2.424241e-25 4.022104e-15 1.463349e-07 2.389231e-27 1.471301e-24 8.391842e-33 4.440824e-28 1.135967e-11 4.556332e-17 1.320781e-14 3.705477e-08 3.975232e-04 1.338263e-25 7.707621e-11 3.724373e-22 8.287887e-19 2.189850e-13 7.358987e-21 1.954099e-01 2.633365e-22 1.040744e-21 2.875695e-12 1.347150e-11 1.217017e-10 0.000000e+00 6.956104e-23 1.497498e-28 7.446545e-11 1.664804e-13 7.952834e-01 4.056817e-09 1.494956e-11 2.697400e-13 1.679878e-22 1.245275e-13 2.419383e-09 4.796902e-17 1.837852e-22 4.301046e-14 4.298166e-11 2.424537e-05 4.354760e-29 5.116137e-15 3.062449e-12 3.087382e-08 1.607869e-19 6.808720e-09 6.864064e-15 5.275077e-10 2.004225e-13 5.076121e-20 2.146210e-16 1.213348e-26 7.682170e-16 3.073647e-15 3.147726e-17 3.386744e-14 1.705924e-28 1.106214e-10 1.993676e-21 4.535844e-25 8.266323e-18 1.184528e-10 2.721281e-19 1.742648e-17 2.172001e-33 9.562792e-20 4.454904e-10 3.740106e-17 7.158946e-22 4.911238e-10 2.294068e-10 4.698995e-18 2.048571e-11 3.802627e-11 1.073748e-18 4.562081e-17 1.393498e-23 7.731233e-23 1.072837e-27 1.048459e-20 1.973004e-33 8.455544e-28 2.034868e-27 1.399443e-30 6.901902e-35 7.485681e-22 4.292459e-26 5.988360e-43 0.000000e+00 0.000000e+00 5.556242e-18
8.682540e-01 5.948111e-13 2.262358e-08 6.465476e-03 1.164422e-20 3.448639e-17 1.112384e-30 1.244147e-41 3.911865e-25 4.962435e-15 1.403317e-07 3.507398e-34 1.919139e-25 1.148539e-39 4.592823e-28 1.138693e-11 5.332420e-17 1.438722e-14 2.589880e-08 4.215676e-04 1.327195e-25 6.261112e-11 4.057537e-22 1.066551e-18 2.739089e-13 8.905775e-21 1.958824e-01 2.639728e-22 1.043272e-21 3.484534e-12 1.270157e-11 1.078975e-10 1.173473e-29 8.040481e-23 1.198012e-28 7.761090e-11 1.369805e-13 7.972061e-01 2.532796e-09 1.414441e-11 2.027817e-13 1.693380e-22 1.128605e-13 2.419877e-09 4.258369e-17 2.102073e-22 4.283385e-14 3.203015e-11 2.429529e-05 4.363486e-29 2.391939e-15 3.069853e-12 3.094869e-08 2.053486e-19 7.132453e-09 2.286109e-14 1.874012e-09 1.950438e-13 6.911729e-20 1.208634e-15 2.393981e-26 1.112411e-15 2.868309e-15 7.140185e-17 5.961490e-15 2.198972e-28 1.089518e-10 1.998727e-21 4.546171e-25 7.267165e-18 3.280748e-11 1.997492e-19 1.746856e-17 2.170563e-33 9.454912e-20 3.316724e-10 3.023488e-17 2.747841e-22 4.823253e-10 3.370364e-10 4.710352e-18 1.798649e-11 3.769404e-11 1.076342e-18 5.837250e-17 3.764561e-23 0.000000e+00 1.075443e-27 1.050991e-20 9.164462e-33 8.352729e-28 2.039787e-27 1.402737e-30 6.892439e-35 1.116265e-21 9.514902e-26 4.976291e-43 0.000000e+00 1.940801e-05 6.406683e-16
7.538651e-01 9.347882e-13 2.261132e-08 5.205437e-03 1.348573e-20 5.094060e-17 3.130579e-30 1.500134e-46 8.706526e-25 7.155021e-15 1.347258e-07 5.706762e-41 7.443201e-26 8.711349e-34 5.701963e-28 1.139975e-11 6.794828e-17 1.661470e-14 1.749527e-08 4.221170e-04 2.069031e-25 5.543156e-11 5.508891e-22 1.663275e-18 3.892555e-13 1.179359e-20 1.961308e-01 2.643071e-22 1.044622e-21 3.258487e-12 1.104788e-11 6.245119e-11 3.032520e-29 1.025415e-22 1.025610e-28 8.081318e-11 1.057724e-13 7.982171e-01 1.481943e-09 2.107979e-11 1.351207e-13 2.411023e-22 1.019860e-13 2.413720e-09 3.430329e-17 2.748332e-22 4.237677e-14 3.622943e-11 2.431589e-05 4.367165e-29 9.004968e-16 3.073748e-12 3.098824e-08 2.828295e-19 8.092593e-09 5.004713e-14 2.976380e-09 3.497136e-13 7.413344e-20 6.372960e-15 4.504273e-26 1.606292e-15 2.497394e-15 1.212818e-16 8.367098e-15 3.045884e-28 1.072208e-10 2.001648e-21 4.367054e-25 5.461519e-18 7.391536e-12 1.271515e-19 1.749064e-17 2.229573e-33 9.217048e-20 1.858742e-10 1.912875e-17 1.007263e-22 4.712728e-10 3.890577e-10 4.716319e-18 1.572452e-11 3.691546e-11 1.077704e-18 7.517190e-17 1.179306e-22 0.000000e+00 1.076831e-27 1.052321e-20 4.086278e-32 8.310871e-28 2.042378e-27 1.404426e-30 6.868714e-35 1.689845e-21 2.629898e-25 5.464244e-43 0.000000e+00 9.078998e-06 3.241674e-14
6.545464e-01 1.341597e-12 2.261214e-08 4.058043e-03 1.453704e-20 7.511158e-17 6.492660e-30 3.996960e-46 1.620319e-24 9.443401e-15 1.302697e-07 1.147401e-47 2.648522e-26 3.294197e-35 6.539752e-28 1.140718e-11 8.020589e-17 1.899523e-14 1.195082e-08 4.226146e-04 3.487956e-25 4.787453e-11 6.733320e-22 2.276910e-18 5.201177e-13 1.416252e-20 1.963570e-01 2.646114e-22 1.045868e-21 2.510082e-12 8.623089e-12 2.824825e-11 5.577963e-29 1.031074e-22 8.532689e-29 8.392056e-11 7.058874e-14 7.991378e-01 8.524006e-10 3.358472e-11 9.772618e-14 3.171123e-22 9.363054e-14 2.405164e-09 2.768529e-17 3.522677e-22 4.144152e-14 4.262846e-11 2.433252e-05 4.370394e-29 3.244408e-16 3.077294e-12 3.102420e-08 3.769926e-19 9.227212e-09 8.333269e-14 3.908801e-09 6.297789e-13 6.304797e-20 2.550487e-14 8.061230e-26 2.277457e-15 2.168403e-15 1.911129e-16 1.175831e-14 4.201202e-28 1.057375e-10 2.004575e-21 3.982965e-25 4.445543e-18 1.588042e-12 8.039049e-20 1.751074e-17 2.265915e-33 8.908706e-20 8.731128e-11 1.214475e-17 3.204826e-23 4.588997e-10 4.169155e-10 4.721749e-18 1.393831e-11 3.574184e-11 1.078944e-18 9.534182e-17 3.274232e-22 2.342452e-22 1.078112e-27 1.053530e-20 1.455068e-31 8.249648e-28 2.044739e-27 1.405942e-30 6.841602e-35 2.480799e-21 6.277167e-25 4.441029e-43 0.000000e+00 7.950017e-06 7.864778e-13
5.683125e-01 1.678440e-12 2.265601e-08 3.063967e-03 1.437030e-20 1.047086e-16 9.283293e-30 6.848821e-46 2.265024e-24 1.075544e-14 1.271788e-07 2.815850e-51 2.435170e-26 9.808200e-35 6.453518e-28 1.140551e-11 8.262809e-17 2.012819e-14 8.594911e-09 4.230434e-04 4.846599e-25 4.016144e-11 7.068442e-22 2.703122e-18 6.038130e-13 1.586439e-20 1.965530e-01 2.648747e-22 1.046970e-21 1.515265e-12 5.659960e-12 9.837931e-12 7.709439e-29 7.950064e-23 6.347995e-29 8.679974e-11 4.122796e-14 7.999354e-01 5.117498e-10 5.877351e-11 8.536476e-14 4.101843e-22 9.166677e-14 2.395227e-09 2.488983e-17 4.199175e-22 3.977211e-14 5.204718e-11 2.434421e-05 4.373011e-29 1.156322e-16 3.080368e-12 3.105527e-08 4.333387e-19 1.007582e-08 1.109090e-13 4.768501e-09 1.117547e-12 3.919629e-20 8.863208e-14 1.383087e-25 3.174452e-15 1.999172e-15 2.908637e-16 1.574864e-14 5.458582e-28 1.045899e-10 2.007486e-21 3.488193e-25 4.045825e-18 5.266692e-13 5.773202e-20 1.752815e-17 2.165076e-33 8.578554e-20 3.382672e-11 7.386053e-18 1.375370e-23 4.453230e-10 4.285125e-10 4.726448e-18 1.268934e-11 3.424006e-11 1.080017e-18 1.174474e-16 7.936783e-22 1.977791e-21 1.079241e-27 1.054576e-20 4.259004e-31 8.152681e-28 2.046788e-27 1.407245e-30 6.811661e-35 3.393442e-21 1.161994e-24 2.316001e-43 0.000000e+00 6.776588e-06 9.494137e-12
4.934396e-01 1.698345e-12 2.274737e-08 2.217773e-03 1.250914e-20 1.334335e-16 7.334595e-30 5.808376e-46 2.063653e-24 9.880202e-15 1.253979e-07 0.000000e+00 1.461272e-26 0.000000e+00 5.122205e-28 1.139304e-11 7.373943e-17 1.909059e-14 6.720000e-09 4.234066e-04 4.513997e-25 3.242107e-11 5.916039e-22 2.600044e-18 5.670355e-13 1.574328e-20 1.967198e-01 2.650986e-22 1.047931e-21 6.187232e-13 2.608909e-12 2.293742e-12 4.650340e-29 4.037530e-23 3.918675e-29 8.936309e-11 1.945747e-14 8.006144e-01 3.459347e-10 1.226552e-10 9.661995e-14 5.184677e-22 9.821054e-14 2.384353e-09 3.033672e-17 4.775850e-22 3.727738e-14 6.872929e-11 2.435099e-05 4.375038e-29 4.095240e-17 3.082986e-12 3.108166e-08 4.101330e-19 1.006911e-08 1.086242e-13 5.613765e-09 1.979356e-12 1.565431e-20 2.445417e-13 2.270974e-25 4.320092e-15 2.045464e-15 4.234343e-16 1.887419e-14 6.547681e-28 1.037919e-10 2.010452e-21 2.987683e-25 4.440384e-18 5.329991e-13 5.138166e-20 1.754294e-17 1.841340e-33 8.260585e-20 9.656189e-12 4.413660e-18 1.457335e-23 4.307252e-10 3.993237e-10 4.730443e-18 1.194544e-11 3.253076e-11 1.080930e-18 1.403018e-16 1.530877e-21 8.454397e-24 1.080223e-27 1.055464e-20 1.054118e-30 7.816437e-28 2.048536e-27 1.408342e-30 6.779190e-35 4.163703e-21 1.462432e-24 6.316428e-44 0.000000e+00 5.720898e-06 5.554618e-11
4.284310e-01 1.170230e-12 2.285726e-08 1.534256e-03 8.107888e-21 1.501562e-16 1.566822e-30 1.074989e-46 8.322773e-25 5.924015e-15 1.246086e-07 0.000000e+00 9.534668e-27 0.000000e+00 2.652082e-28 1.137084e-11 5.857540e-17 1.667277e-14 5.761799e-09 4.236988e-04 2.124097e-25 2.282451e-11 3.156287e-22 1.695651e-18 3.929230e-13 1.217423e-20 1.968546e-01 2.652790e-22 1.048737e-21 1.225859e-13 5.699307e-13 3.817092e-13 8.967637e-30 8.310935e-24 1.539028e-29 9.156277e-11 5.082647e-15 8.011629e-01 2.761901e-10 3.477063e-10 1.539230e-13 5.299803e-22 1.140660e-13 2.372658e-09 6.523158e-17 5.363110e-22 3.419574e-14 1.093490e-10 2.435244e-05 4.376411e-29 1.133623e-17 3.085102e-12 3.110294e-08 3.199172e-19 8.847969e-09 5.821071e-14 6.360656e-09 3.349926e-12 3.108575e-21 4.813071e-13 3.485960e-25 5.598838e-15 2.266619e-15 5.213918e-16 1.728316e-14 7.011419e-28 1.032693e-10 2.013465e-21 2.562395e-25 6.590149e-18 1.121958e-12 5.434610e-20 1.755488e-17 1.309040e-33 7.966991e-20 2.290992e-12 2.471429e-18 2.207902e-23 4.155014e-10 3.027939e-10 4.733662e-18 1.158919e-11 3.077703e-11 1.081666e-18 1.520667e-16 1.997183e-21 0.000000e+00 1.081043e-27 1.056178e-20 2.262612e-30 7.421689e-28 2.049952e-27 1.409223e-30 6.744263e-35 4.396249e-21 8.524422e-25 4.191254e-45 0.000000e+00 4.577955e-06 1.655830e-10
3.719869e-01 6.334826e-13 2.294291e-08 1.032837e-03 4.453077e-21 1.660105e-16 1.594290e-31 8.745801e-48 2.049587e-25 2.760657e-15 1.242931e-07 0.000000e+00 1.002676e-26 1.902270e-49 1.085673e-28 1.134170e-11 4.716362e-17 1.496435e-14 5.264628e-09 4.239128e-04 7.301469e-26 1.362708e-11 1.275081e-22 8.669333e-19 2.522419e-13 7.718901e-21 1.969535e-01 2.654108e-22 1.049365e-21 1.779363e-14 8.714986e-14 8.863301e-14 1.205903e-30 1.545851e-24 4.840283e-30 9.342213e-11 8.833213e-16 8.015652e-01 2.476605e-10 1.040773e-09 2.877820e-13 4.048049e-22 1.333051e-13 2.360096e-09 1.802992e-16 5.784194e-22 3.110742e-14 1.901676e-10 2.434802e-05 4.377045e-29 2.739835e-18 3.086655e-12 3.111856e-08 2.436721e-19 7.217279e-09 1.793516e-14 6.704264e-09 4.684900e-12 4.080332e-22 5.017589e-13 4.913844e-25 6.706668e-15 2.462364e-15 4.994383e-16 1.294806e-14 7.389845e-28 1.028696e-10 2.016453e-21 2.281381e-25 1.151246e-17 2.465923e-12 5.533726e-20 1.756361e-17 8.340314e-34 7.688292e-20 6.852887e-13 2.133926e-18 2.738024e-23 4.001579e-10 2.027786e-10 4.736014e-18 1.143041e-11 2.914244e-11 1.082205e-18 1.504907e-16 1.859714e-21 1.443305e-22 1.081676e-27 1.056697e-20 4.286976e-30 6.962410e-28 2.050998e-27 1.409853e-30 6.706627e-35 4.253244e-21 3.117617e-25 1.991470e-46 0.000000e+00 3.319465e-06 2.759503e-10
3.229791e-01 3.966821e-13 2.299991e-08 6.612439e-04 2.797584e-21 1.809719e-16 1.401819e-31 7.006696e-48 6.182498e-26 1.373473e-15 1.241378e-07 2.715130e-66 2.790050e-26 5.992976e-48 4.715553e-29 1.130591e-11 3.784152e-17 1.395212e-14 4.946701e-09 4.240712e-04 3.103037e-26 7.516848e-12 5.801939e-23 5.023561e-19 1.730526e-13 6.369275e-21 1.970268e-01 2.655079e-22 1.049875e-21 3.666802e-15 1.940576e-14 2.822023e-14 7.180015e-31 1.034940e-24 1.480533e-30 9.505514e-11 2.093974e-16 8.018634e-01 2.336126e-10 2.391453e-09 4.784928e-13 3.758904e-22 1.499411e-13 2.346056e-09 3.924422e-16 5.970302e-22 2.827237e-14 2.627891e-10 2.433801e-05 4.377091e-29 7.086083e-19 3.087809e-12 3.113012e-08 1.846240e-19 5.965918e-09 6.129006e-15 6.559235e-09 5.711792e-12 8.084014e-23 3.992002e-13 6.831385e-25 7.993082e-15 2.494583e-15 5.301938e-16 1.109448e-14 7.391680e-28 1.024779e-10 2.019599e-21 2.089075e-25 1.609329e-17 4.485976e-12 5.062707e-20 1.757005e-17 5.088012e-34 7.404145e-20 2.393122e-13 2.945341e-18 3.315125e-23 3.843818e-10 1.371080e-10 4.737745e-18 1.134503e-11 2.764365e-11 1.082604e-18 1.375680e-16 2.215977e-21 0.000000e+00 1.082183e-27 1.057078e-20 7.485470e-30 6.397601e-28 2.051780e-27 1.410301e-30 6.664327e-35 4.080404e-21 1.468198e-25 3.072266e-47 0.000000e+00 2.297270e-06 3.494406e-10
2.804279e-01 3.090249e-13 2.303702e-08 4.148340e-04 2.201122e-21 1.990438e-16 6.118994e-31 3.146348e-47 2.929018e-26 8.630661e-16 1.240353e-07 3.944114e-64 8.638559e-26 1.627595e-46 2.566631e-29 1.126149e-11 3.106253e-17 1.332310e-14 4.718547e-09 4.241764e-04 1.780185e-26 4.487814e-12 3.386371e-23 3.612127e-19 1.284876e-13 6.672370e-21 1.970754e-01 2.655712e-22 1.050279e-21 1.218866e-15 7.048947e-15 1.089658e-14 7.889286e-31 1.098718e-24 5.682278e-31 9.653237e-11 7.860572e-17 8.020611e-01 2.258352e-10 4.283904e-09 6.999326e-13 4.416008e-22 1.656565e-13 2.329759e-09 6.768632e-16 6.063729e-22 2.575734e-14 2.989734e-10 2.432128e-05 4.376500e-29 2.405731e-19 3.088577e-12 3.113779e-08 1.440715e-19 5.137174e-09 2.860866e-15 6.145910e-09 6.708889e-12 2.578815e-23 2.494849e-13 9.759800e-25 9.824824e-15 2.400095e-15 6.743773e-16 1.147391e-14 7.434067e-28 1.020376e-10 2.023041e-21 1.942760e-25 1.874306e-17 7.029073e-12 4.172014e-20 1.757427e-17 3.139863e-34 7.104499e-20 9.195042e-14 5.548884e-18 4.291630e-23 3.679640e-10 1.003108e-10 4.738874e-18 1.129058e-11 2.625293e-11 1.082866e-18 1.285270e-16 3.350947e-21 9.126513e-22 1.082577e-27 1.057322e-20 1.227177e-29 6.432296e-28 2.052312e-27 1.410571e-30 6.614782e-35 4.045454e-21 1.108118e-25 9.414386e-48 0.000000e+00 1.346184e-06 3.916204e-10
