PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l
1.000000e+00 1.975969e-16 1.484423e-05 8.923111e-03 2.676269e-22 2.434873e-19 1.140519e-34 2.083250e-31 1.225992e-28 6.747703e-16 1.046364e-04 0.000000e+00 4.989624e-16 1.270479e-42 8.607832e-29 5.091476e-09 1.427543e-13 5.131377e-09 5.652230e-07 3.992444e-04 3.788249e-29 1.701685e-08 4.915800e-23 3.096426e-19 3.662469e-13 1.875351e-20 2.000809e-01 9.196407e-16 2.563765e-13 5.868463e-13 1.739185e-12 8.047906e-09 1.406381e-28 1.607445e-27 4.514426e-31 5.410477e-11 9.735546e-19 7.904688e-01 6.197535e-10 1.286911e-11 6.260949e-18 7.704850e-28 8.575865e-18 2.671855e-16 4.402187e-16 1.549375e-19 7.020647e-14 4.403128e-09 7.801692e-06 1.335518e-17 3.752584e-16 6.483103e-17 5.657097e-12 2.313260e-14 1.533014e-09 5.769740e-13 1.232986e-10 2.729184e-14 2.239555e-23 1.840192e-12 5.875418e-28 6.503538e-17 1.443440e-15 3.153161e-20 3.041659e-13 5.893933e-29 6.449424e-10 3.576535e-19 3.386090e-19 2.816134e-17 3.700441e-10 3.436131e-18 2.876012e-16 1.549417e-36 1.467858e-17 1.470644e-08 8.156205e-21 9.676975e-25 4.515535e-08 1.188262e-15 5.293718e-14 4.130999e-11 5.174596e-12 3.831514e-13 1.026749e-14 1.543441e-24 1.523900e-18 3.252580e-13 2.946801e-13 2.686498e-25 1.391637e-16 1.815028e-15 7.732766e-20 2.414127e-31 6.533254e-25 3.159238e-30 6.011462e-51 0.000000e+00 0.000000e+00 4.570867e-24
8.682540e-01 2.144077e-16 1.488218e-05 6.401816e-03 3.220579e-22 3.037806e-19 1.042914e-33 0.000000e+00 1.292944e-28 7.047566e-16 1.048957e-04 5.302208e-63 5.009562e-16 6.663961e-43 7.246258e-29 5.104440e-09 1.449873e-13 5.144660e-09 5.684368e-07 4.003481e-04 4.061951e-29 1.682505e-08 5.751110e-23 3.182208e-19 3.676112e-13 2.766877e-20 2.005899e-01 9.219976e-16 2.570349e-13 7.418078e-13 2.215759e-12 8.070158e-09 2.623835e-35 1.161671e-27 4.634829e-31 5.424664e-11 1.075322e-18 7.924797e-01 6.207893e-10 9.420546e-12 6.275268e-18 7.955382e-28 8.615296e-18 2.678631e-16 4.465512e-16 1.555032e-19 7.038599e-14 3.913276e-09 7.821350e-06 1.338852e-17 3.807604e-16 6.499823e-17 5.671627e-12 2.326470e-14 1.973542e-09 6.302317e-13 6.234430e-10 2.614125e-14 3.009829e-23 4.057761e-12 1.043439e-27 9.912059e-17 1.462035e-15 6.263345e-20 9.729923e-15 7.461425e-29 6.462286e-10 3.585600e-19 3.395005e-19 4.543438e-17 3.687032e-10 4.029965e-18 2.883376e-16 2.178055e-36 1.471741e-17 1.474600e-08 1.235025e-20 1.087034e-24 4.526080e-08 2.623138e-15 5.307235e-14 4.140907e-11 5.187534e-12 3.841289e-13 1.035029e-14 2.587935e-24 1.537306e-18 3.260916e-13 2.954370e-13 2.726150e-25 1.395186e-16 1.819695e-15 7.752709e-20 2.419893e-31 1.073624e-24 4.876035e-30 2.546598e-51 0.000000e+00 2.032563e-05 5.318570e-22
7.538651e-01 2.764722e-16 1.490034e-05 5.214481e-03 4.256745e-22 3.763630e-19 6.778669e-33 2.548713e-44 1.464651e-28 8.806835e-16 1.050140e-04 2.854378e-63 5.031547e-16 4.377020e-43 7.384398e-29 5.110580e-09 1.539883e-13 5.151290e-09 5.709149e-07 4.008173e-04 5.198130e-29 1.646212e-08 7.232489e-23 3.937839e-19 3.689614e-13 4.727750e-20 2.008296e-01 9.231377e-16 2.573557e-13 8.436585e-13 2.495437e-12 8.072994e-09 5.974059e-28 1.035070e-27 5.040635e-31 5.431563e-11 1.428537e-18 7.934267e-01 6.209299e-10 9.534660e-12 6.279665e-18 1.346346e-27 8.659943e-18 2.681818e-16 4.589066e-16 1.560611e-19 7.047260e-14 3.437284e-09 7.830496e-06 1.340397e-17 3.906167e-16 6.508089e-17 5.678712e-12 2.346983e-14 2.453432e-09 5.263974e-13 1.100035e-09 2.586000e-14 4.160111e-23 6.356667e-12 1.634694e-27 1.507441e-16 1.506277e-15 1.109658e-19 1.328616e-15 9.126509e-29 6.465997e-10 3.589813e-19 3.399725e-19 7.406380e-17 3.667417e-10 3.991260e-18 2.886920e-16 3.236253e-36 1.473833e-17 1.475622e-08 1.936665e-20 1.443527e-24 4.530390e-08 4.278396e-15 5.313688e-14 4.145187e-11 5.193352e-12 3.845940e-13 1.048361e-14 5.120482e-24 1.551292e-18 3.264949e-13 2.958062e-13 2.759697e-25 1.396875e-16 1.821978e-15 7.762570e-20 2.422343e-31 1.663250e-24 9.505935e-30 1.598931e-51 0.000000e+00 8.543526e-06 2.768962e-20
6.545464e-01 3.478661e-16 1.491755e-05 4.102263e-03 5.510690e-22 4.643014e-19 3.795534e-32 1.721950e-44 1.689216e-28 1.076054e-15 1.051246e-04 1.580439e-63 5.063731e-16 2.971830e-43 7.429895e-29 5.116364e-09 1.632796e-13 5.157803e-09 5.732617e-07 4.012498e-04 6.514623e-29 1.599324e-08 8.788600e-23 4.744093e-19 3.708054e-13 7.736219e-20 2.010541e-01 9.242298e-16 2.576649e-13 9.307769e-13 2.738268e-12 8.063063e-09 0.000000e+00 1.077929e-27 5.306541e-31 5.438065e-11 1.862459e-18 7.943138e-01 6.210049e-10 9.717718e-12 6.283031e-18 2.229688e-27 8.718485e-18 2.684840e-16 4.763216e-16 1.568422e-19 7.055586e-14 3.014041e-09 7.839048e-06 1.341872e-17 4.048504e-16 6.516145e-17 5.685540e-12 2.379459e-14 2.913324e-09 4.203994e-13 1.522505e-09 2.635795e-14 5.492359e-23 9.138600e-12 2.417226e-27 2.275774e-16 1.583990e-15 1.859264e-19 1.615360e-15 1.110695e-28 6.468929e-10 3.593714e-19 3.404607e-19 1.195604e-16 3.647845e-10 3.842101e-18 2.890308e-16 4.712638e-36 1.476012e-17 1.475259e-08 3.076109e-20 1.864241e-24 4.534266e-08 6.101849e-15 5.319802e-14 4.149144e-11 5.198631e-12 3.850335e-13 1.068689e-14 9.881237e-24 1.565734e-18 3.268812e-13 2.961621e-13 2.793243e-25 1.398474e-16 1.824184e-15 7.772183e-20 2.424596e-31 2.437065e-24 1.832348e-29 1.178048e-51 0.000000e+00 7.682266e-06 7.170451e-19
5.683125e-01 4.345764e-16 1.493293e-05 3.123143e-03 7.007631e-22 5.639775e-19 1.852754e-31 6.541129e-34 1.949700e-28 1.286115e-15 1.052214e-04 0.000000e+00 5.107766e-16 4.009882e-43 7.329141e-29 5.121495e-09 1.731303e-13 5.163909e-09 5.754095e-07 4.016264e-04 8.126016e-29 1.545240e-08 1.047712e-22 5.661088e-19 3.731615e-13 1.270893e-19 2.012518e-01 9.252211e-16 2.579477e-13 1.000003e-12 2.937564e-12 8.037481e-09 1.541606e-27 1.227633e-27 5.354818e-31 5.443874e-11 2.396988e-18 7.950947e-01 6.209945e-10 1.004052e-11 6.285806e-18 3.748024e-27 8.788332e-18 2.687574e-16 4.984325e-16 1.578735e-19 7.063204e-14 2.645194e-09 7.846550e-06 1.343204e-17 4.227284e-16 6.523626e-17 5.691791e-12 2.425381e-14 3.322456e-09 3.143474e-13 1.887689e-09 2.757707e-14 7.038855e-23 1.299521e-11 3.454410e-27 3.395831e-16 1.701020e-15 3.006756e-19 2.398963e-15 1.329200e-28 6.470755e-10 3.597093e-19 3.409514e-19 1.912581e-16 3.628685e-10 3.803602e-18 2.893384e-16 6.610511e-36 1.478214e-17 1.473253e-08 5.031002e-20 2.396245e-24 4.537447e-08 8.082484e-15 5.325272e-14 4.152562e-11 5.203087e-12 3.854252e-13 1.096274e-14 1.972866e-23 1.577943e-18 3.272319e-13 2.964880e-13 2.829475e-25 1.399904e-16 1.826210e-15 7.781111e-20 2.426519e-31 3.395360e-24 3.551040e-29 9.051414e-52 0.000000e+00 6.655712e-06 9.846934e-18
4.934396e-01 5.402452e-16 1.494641e-05 2.283699e-03 8.828807e-22 6.775318e-19 8.071418e-31 0.000000e+00 2.281020e-28 1.515638e-15 1.053036e-04 0.000000e+00 5.165996e-16 4.454751e-42 7.163889e-29 5.125940e-09 1.838304e-13 5.169595e-09 5.773421e-07 4.019467e-04 1.011318e-28 1.486817e-08 1.232641e-22 6.718472e-19 3.760733e-13 2.079054e-19 2.014213e-01 9.261070e-16 2.582031e-13 1.053072e-12 3.103347e-12 7.994975e-09 0.000000e+00 1.472376e-27 5.227191e-31 5.448969e-11 3.058508e-18 7.957643e-01 6.209015e-10 1.050097e-11 6.288683e-18 6.360426e-27 8.867628e-18 2.690035e-16 5.252240e-16 1.591972e-19 7.070103e-14 2.327043e-09 7.852951e-06 1.344388e-17 4.434846e-16 6.530507e-17 5.697436e-12 2.486491e-14 3.658996e-09 2.262414e-13 2.198611e-09 2.950331e-14 8.768145e-23 1.824067e-11 4.826386e-27 5.010898e-16 1.862775e-15 4.741655e-19 3.539553e-15 1.495951e-28 6.471449e-10 3.599922e-19 3.414490e-19 3.014659e-16 3.610279e-10 3.901303e-18 2.896140e-16 8.806673e-36 1.480448e-17 1.469550e-08 8.542954e-20 3.066772e-24 4.539894e-08 1.018698e-14 5.330066e-14 4.155426e-11 5.206700e-12 3.857668e-13 1.131193e-14 4.012495e-23 1.585948e-18 3.275454e-13 2.967826e-13 2.868811e-25 1.401157e-16 1.828048e-15 7.789325e-20 2.428096e-31 4.534665e-24 7.036303e-29 7.156275e-52 0.000000e+00 5.656572e-06 7.355412e-17
4.284310e-01 6.792701e-16 1.495770e-05 1.601960e-03 1.098450e-21 7.902113e-19 3.149352e-30 1.341263e-30 2.661813e-28 1.738302e-15 1.053695e-04 0.000000e+00 5.240816e-16 6.108885e-41 6.787534e-29 5.129608e-09 1.957268e-13 5.174781e-09 5.790381e-07 4.022047e-04 1.275243e-28 1.426624e-08 1.448795e-22 8.027803e-19 3.795706e-13 3.602413e-19 2.015589e-01 9.268720e-16 2.584268e-13 1.081832e-12 3.215313e-12 7.935524e-09 0.000000e+00 1.816261e-27 4.752200e-31 5.453261e-11 3.878823e-18 7.963081e-01 6.207198e-10 1.119531e-11 6.292261e-18 1.143510e-26 8.954161e-18 2.692211e-16 5.566338e-16 1.608539e-19 7.076187e-14 2.050869e-09 7.858107e-06 1.345401e-17 4.660470e-16 6.536685e-17 5.702384e-12 2.564320e-14 3.910636e-09 1.456241e-13 2.459303e-09 3.215607e-14 1.063574e-22 2.713598e-11 6.619488e-27 7.292678e-16 2.071259e-15 7.318202e-19 5.151026e-15 1.710233e-28 6.470925e-10 3.602136e-19 3.419541e-19 4.629911e-16 3.592971e-10 4.186213e-18 2.898530e-16 1.184709e-35 1.482708e-17 1.464202e-08 1.537963e-19 4.008410e-24 4.541519e-08 1.228742e-14 5.334091e-14 4.157666e-11 5.209393e-12 3.860514e-13 1.172855e-14 9.091689e-23 1.587654e-18 3.278163e-13 2.970409e-13 2.912084e-25 1.402210e-16 1.829668e-15 7.796704e-20 2.429282e-31 5.808495e-24 1.437160e-28 5.189240e-52 0.000000e+00 4.547627e-06 3.254007e-16
3.719869e-01 8.525478e-16 1.496655e-05 1.096128e-03 1.371216e-21 9.160638e-19 1.103751e-29 5.364747e-31 3.242847e-28 1.987812e-15 1.054170e-04 9.156233e-56 5.335265e-16 6.357957e-40 6.463480e-29 5.132403e-09 2.086255e-13 5.179394e-09 5.804791e-07 4.023937e-04 1.609558e-28 1.367171e-08 1.696191e-22 9.605140e-19 3.836868e-13 6.158085e-19 2.016610e-01 9.275005e-16 2.586146e-13 1.099174e-12 3.313843e-12 7.860897e-09 0.000000e+00 2.261725e-27 4.217984e-31 5.456657e-11 4.902120e-18 7.967115e-01 6.204418e-10 1.206065e-11 6.297198e-18 2.060537e-26 9.045970e-18 2.694088e-16 5.919675e-16 1.628927e-19 7.081356e-14 1.816567e-09 7.861876e-06 1.346221e-17 4.893176e-16 6.542060e-17 5.706540e-12 2.660471e-14 4.070566e-09 9.130290e-14 2.672032e-09 3.544332e-14 1.252773e-22 3.857993e-11 8.969323e-27 1.049229e-15 2.322854e-15 1.110457e-18 7.402709e-15 2.388723e-28 6.469091e-10 3.603667e-19 3.424675e-19 6.737549e-16 3.577198e-10 4.561761e-18 2.900506e-16 1.694367e-35 1.484980e-17 1.457390e-08 2.832572e-19 5.220671e-24 4.542232e-08 1.424382e-14 5.337255e-14 4.159210e-11 5.211076e-12 3.862724e-13 1.220336e-14 2.056854e-22 1.583292e-18 3.280389e-13 2.972582e-13 2.959484e-25 1.403038e-16 1.831040e-15 7.803128e-20 2.430032e-31 7.205558e-24 3.024727e-28 3.826007e-52 0.000000e+00 3.334489e-06 9.110029e-16
3.229791e-01 1.095636e-15 1.497374e-05 7.185352e-04 1.688853e-21 1.012639e-18 3.470920e-29 9.733951e-31 3.925874e-28 2.161349e-15 1.054508e-04 6.057728e-54 5.458809e-16 5.077280e-39 5.787331e-29 5.134581e-09 2.221756e-13 5.183817e-09 5.817382e-07 4.025326e-04 2.082922e-28 1.307706e-08 2.007873e-22 1.167951e-18 3.887076e-13 1.188111e-18 2.017372e-01 9.280474e-16 2.587826e-13 1.080507e-12 3.338250e-12 7.769877e-09 7.239874e-27 2.866507e-27 3.289669e-31 5.459457e-11 6.139027e-18 7.970127e-01 6.200702e-10 1.328156e-11 6.304811e-18 4.113757e-26 9.146374e-18 2.695866e-16 6.321937e-16 1.654974e-19 7.086070e-14 1.610808e-09 7.864620e-06 1.346924e-17 5.129325e-16 6.547080e-17 5.710261e-12 2.782441e-14 4.149378e-09 4.194015e-14 2.849354e-09 3.941221e-14 1.419481e-22 5.298352e-11 1.201509e-26 1.490688e-15 2.620130e-15 1.660115e-18 1.050057e-14 2.439303e-28 6.466026e-10 3.604663e-19 3.430336e-19 9.199598e-16 3.562882e-10 5.189421e-18 2.902240e-16 2.033531e-35 1.487439e-17 1.449020e-08 5.630898e-19 7.102431e-24 4.542157e-08 1.609331e-14 5.339841e-14 4.160234e-11 5.211946e-12 3.864497e-13 1.274419e-14 5.726290e-22 1.571628e-18 3.282328e-13 2.974530e-13 3.012569e-25 1.403717e-16 1.832281e-15 7.809131e-20 2.430437e-31 8.607131e-24 6.491092e-28 2.292756e-52 0.000000e+00 2.321125e-06 1.930903e-15
2.804279e-01 1.402529e-15 1.497949e-05 4.632740e-04 2.096359e-21 1.114444e-18 9.779758e-29 0.000000e+00 4.993903e-28 2.338173e-15 1.054713e-04 2.130689e-51 5.626391e-16 3.253455e-38 5.196054e-29 5.136184e-09 2.354863e-13 5.188277e-09 5.828388e-07 4.026240e-04 2.698034e-28 1.248705e-08 2.371102e-22 1.426132e-18 3.950313e-13 2.265005e-18 2.017887e-01 9.285332e-16 2.589378e-13 1.052519e-12 3.354131e-12 7.662519e-09 0.000000e+00 3.628242e-27 2.503517e-31 5.461747e-11 7.622307e-18 7.972164e-01 6.195844e-10 1.474813e-11 6.316977e-18 8.182854e-26 9.259637e-18 2.697670e-16 6.767805e-16 1.689422e-19 7.090551e-14 1.439404e-09 7.866375e-06 1.347535e-17 5.367985e-16 6.551980e-17 5.713700e-12 2.941207e-14 4.148988e-09 1.912128e-14 2.996841e-09 4.374830e-14 1.563582e-22 6.470995e-11 1.602181e-26 2.094726e-15 2.956492e-15 2.452143e-18 1.467843e-14 2.486276e-28 6.461520e-10 3.605120e-19 3.436965e-19 1.160274e-15 3.550555e-10 5.899292e-18 2.903795e-16 2.394482e-35 1.490236e-17 1.438976e-08 1.132532e-18 9.608912e-24 4.541209e-08 1.803330e-14 5.341927e-14 4.160742e-11 5.211947e-12 3.865881e-13 1.336639e-14 1.593198e-21 1.555681e-18 3.284054e-13 2.976335e-13 3.099870e-25 1.404267e-16 1.833445e-15 7.814998e-20 2.430483e-31 1.003109e-23 1.419802e-27 1.376525e-52 0.000000e+00 1.385847e-06 3.359905e-15
