PRESS OH H2 H2O H O CH C CH2 CH3 CH4 C2 C2H2 C2H C2H3 C2H4 C2H5 C2H6 CO CO2 CH2OH H2CO HCO CH3O CH3OH CH3CO O2 H2CCO HCCO CH3O2 HO2 CH3OOH N NH CN HCN NH2 N2 NH3 NO N2H2 N2H N2H3 N2H4 HNO H2CN HNCO NO2 N2O C4H2 CH2NH2 CH2NH CH3NH2 CH3CHO O3 NO3 HNO3 HNO2 NCO N2O5 S SH S2 SO H2S CS COS CS2 NS HS2 SO2 S4 S8 HCS S3 H2O2 SO3 HSO3 HSO H2SO4 HC3N CH3CN CH2CN C2H3CN CH3SH CH3S C3H3 C3H2 C3H4 C6H5 C6H6 C4H3 C4H5 S2O O_1 CH2_1 N_2D He H2O_l_s H2SO4_l
1.000000e+00 1.629918e-16 3.514498e-05 8.932727e-03 3.727075e-22 2.498560e-19 1.483927e-34 0.000000e+00 4.963101e-28 7.824427e-16 1.491502e-04 3.387720e-59 4.109998e-15 8.635266e-42 3.161264e-28 2.265727e-08 1.808798e-13 9.553085e-09 5.830684e-07 3.996746e-04 6.775138e-29 2.149803e-08 5.517414e-23 3.626928e-19 5.018752e-13 2.241984e-20 1.999955e-01 2.784686e-15 6.255075e-13 7.230049e-13 2.195985e-12 1.329584e-08 5.567809e-28 3.598642e-27 5.045269e-31 5.414348e-11 7.772644e-18 7.904000e-01 6.203697e-09 1.193101e-11 3.178097e-16 5.701140e-27 9.671963e-17 2.115091e-14 4.026393e-16 2.835482e-21 1.778089e-13 4.533698e-09 8.705607e-05 9.116925e-17 4.704709e-15 4.061462e-15 1.827276e-10 3.632925e-14 1.592894e-09 6.498585e-13 1.224553e-10 2.185722e-14 2.678929e-23 2.131798e-12 6.043202e-28 8.176101e-17 1.455783e-15 3.148365e-20 2.430638e-13 9.542989e-28 6.438898e-10 5.485081e-18 6.369244e-19 3.424304e-17 3.716688e-10 3.491384e-18 1.349464e-15 2.683287e-35 2.238025e-17 2.289291e-08 7.130486e-21 8.020720e-25 5.700383e-08 3.296065e-15 2.104540e-13 4.132841e-11 4.552566e-12 1.248218e-12 1.738197e-14 2.117158e-24 6.442780e-18 8.950036e-13 1.282035e-12 4.022581e-24 7.581943e-16 7.806265e-15 7.499300e-19 6.435429e-31 6.795553e-25 3.013291e-30 1.109723e-50 0.000000e+00 0.000000e+00 1.950545e-23
8.682540e-01 1.771783e-16 3.523343e-05 6.446550e-03 4.352396e-22 3.103094e-19 1.356038e-33 3.512070e-42 5.178669e-28 8.173202e-16 1.495175e-04 2.936486e-62 4.124804e-15 4.535966e-42 2.665973e-28 2.271405e-08 1.813077e-13 9.577336e-09 5.868874e-07 4.005586e-04 7.338678e-29 2.127740e-08 6.529641e-23 3.728117e-19 5.036184e-13 3.314801e-20 2.004972e-01 2.791698e-15 6.270813e-13 8.761702e-13 2.672147e-12 1.332789e-08 0.000000e+00 2.719541e-27 5.103650e-31 5.428254e-11 8.577990e-18 7.923829e-01 6.213345e-09 9.078199e-12 3.183597e-16 6.119433e-27 9.841057e-17 2.120337e-14 4.166098e-16 2.840771e-21 1.782605e-13 4.042891e-09 8.727353e-05 9.139489e-17 4.767844e-15 4.071703e-15 1.831875e-10 3.653623e-14 2.021378e-09 6.788605e-13 6.199961e-10 2.115747e-14 3.511183e-23 4.514628e-12 1.074547e-27 1.237396e-16 1.474673e-15 6.240501e-20 6.899132e-15 1.169654e-27 6.451448e-10 5.498771e-18 6.385580e-19 5.484878e-17 3.717658e-10 4.099025e-18 1.352867e-15 3.660129e-35 2.244017e-17 2.294766e-08 1.071060e-20 9.061634e-25 5.713688e-08 7.294850e-15 2.109842e-13 4.142340e-11 4.563840e-12 1.251360e-12 1.750377e-14 3.584413e-24 6.474474e-18 8.972563e-13 1.285268e-12 4.079689e-24 7.600858e-16 7.825972e-15 7.518262e-19 6.450982e-31 1.101364e-24 4.652407e-30 4.905471e-51 0.000000e+00 2.027302e-05 2.267553e-21
7.538651e-01 2.304067e-16 3.527773e-05 5.212426e-03 5.671279e-22 3.833761e-19 8.917218e-33 5.342465e-32 5.537764e-28 1.028034e-15 1.496961e-04 9.932653e-61 4.139843e-15 3.001250e-42 2.739798e-28 2.274215e-08 1.947873e-13 9.589814e-09 5.900309e-07 4.009651e-04 9.575589e-29 2.086008e-08 8.262284e-23 4.653799e-19 5.052638e-13 5.710763e-20 2.007463e-01 2.795225e-15 6.278704e-13 9.911061e-13 2.981002e-12 1.332897e-08 0.000000e+00 2.513633e-27 5.821051e-31 5.435508e-11 1.145525e-17 7.933672e-01 6.214854e-09 9.312879e-12 3.182534e-16 1.055564e-26 1.013579e-16 2.122866e-14 4.408044e-16 2.841223e-21 1.784952e-13 3.567106e-09 8.738090e-05 9.150533e-17 4.882333e-15 4.076875e-15 1.834182e-10 3.686271e-14 2.491378e-09 5.591539e-13 1.093330e-09 2.124219e-14 5.068010e-23 7.008134e-12 1.693861e-27 1.869376e-16 1.519976e-15 1.107594e-19 1.466561e-15 1.427185e-27 6.455392e-10 5.505448e-18 6.394304e-19 8.873446e-17 3.714889e-10 4.064672e-18 1.354589e-15 5.300205e-35 2.247645e-17 2.295685e-08 1.681543e-20 1.219086e-24 5.719585e-08 1.193643e-14 2.112511e-13 4.146650e-11 4.569264e-12 1.252940e-12 1.769249e-14 7.176117e-24 6.492449e-18 8.983873e-13 1.286901e-12 4.126292e-24 7.610148e-16 7.835954e-15 7.527926e-19 6.458282e-31 1.694439e-24 9.245890e-30 3.236845e-51 0.000000e+00 9.130577e-06 1.180118e-19
6.545464e-01 2.925181e-16 3.531881e-05 4.076066e-03 7.255851e-22 4.715766e-19 5.025454e-32 0.000000e+00 5.979149e-28 1.264810e-15 1.498602e-04 0.000000e+00 4.161118e-15 2.005692e-42 2.781427e-28 2.276797e-08 2.089365e-13 9.601676e-09 5.930296e-07 4.013475e-04 1.227234e-28 2.032014e-08 1.010996e-22 5.660948e-19 5.074516e-13 9.425112e-20 2.009756e-01 2.798510e-15 6.286035e-13 1.091367e-12 3.251844e-12 1.331029e-08 8.561414e-28 2.680097e-27 6.480162e-31 5.442416e-11 1.501009e-17 7.942736e-01 6.215934e-09 9.596323e-12 3.179519e-16 1.776460e-26 1.054193e-16 2.125164e-14 4.718290e-16 2.841586e-21 1.787213e-13 3.143942e-09 8.747963e-05 9.160767e-17 5.049193e-15 4.081710e-15 1.836328e-10 3.737885e-14 2.939067e-09 4.425968e-13 1.512518e-09 2.201603e-14 7.051993e-23 1.003892e-11 2.523161e-27 2.801834e-16 1.599652e-15 1.860098e-19 1.979111e-15 1.735191e-27 6.458411e-10 5.511498e-18 6.402924e-19 1.420750e-16 3.713674e-10 3.919560e-18 1.356203e-15 7.549324e-35 2.251547e-17 2.294382e-08 2.691752e-20 1.596540e-24 5.724772e-08 1.708011e-14 2.115001e-13 4.150638e-11 4.574141e-12 1.254410e-12 1.797782e-14 1.398216e-23 6.498245e-18 8.994393e-13 1.288429e-12 4.170755e-24 7.618698e-16 7.845302e-15 7.537033e-19 6.464905e-31 2.471172e-24 1.821368e-29 2.465685e-51 0.000000e+00 8.163836e-06 3.055716e-18
5.683125e-01 3.691621e-16 3.535494e-05 3.085982e-03 9.124322e-22 5.707467e-19 2.456762e-31 0.000000e+00 6.362497e-28 1.523988e-15 1.500025e-04 0.000000e+00 4.189722e-15 1.356227e-42 2.771582e-28 2.279038e-08 2.238822e-13 9.612476e-09 5.958092e-07 4.016898e-04 1.570873e-28 1.969576e-08 1.214403e-22 6.831279e-19 5.102097e-13 1.563802e-19 2.011754e-01 2.801419e-15 6.292504e-13 1.174503e-12 3.476312e-12 1.326843e-08 3.899636e-28 3.087945e-27 7.004783e-31 5.448701e-11 1.943038e-17 7.950633e-01 6.216389e-09 1.000846e-11 3.175110e-16 3.031820e-26 1.103657e-16 2.127151e-14 5.084497e-16 2.843065e-21 1.789312e-13 2.774667e-09 8.756545e-05 9.169769e-17 5.260340e-15 4.086013e-15 1.838222e-10 3.810919e-14 3.332122e-09 3.288566e-13 1.874712e-09 2.342946e-14 9.654001e-23 1.426682e-11 3.634441e-27 4.146700e-16 1.719873e-15 3.015393e-19 2.923290e-15 2.076838e-27 6.460242e-10 5.516650e-18 6.411223e-19 2.252693e-16 3.714328e-10 3.889769e-18 1.357644e-15 1.042189e-34 2.255651e-17 2.290600e-08 4.462401e-20 2.084385e-24 5.728968e-08 2.268691e-14 2.117210e-13 4.154100e-11 4.578258e-12 1.255710e-12 1.836383e-14 2.815590e-23 6.483446e-18 9.003691e-13 1.289790e-12 4.216755e-24 7.626176e-16 7.853639e-15 7.545223e-19 6.470548e-31 3.429281e-24 3.612067e-29 1.936996e-51 0.000000e+00 7.042026e-06 4.196373e-17
4.934396e-01 4.638596e-16 3.538616e-05 2.241640e-03 1.137454e-21 6.825791e-19 1.066306e-30 0.000000e+00 6.767930e-28 1.811611e-15 1.501231e-04 1.179914e-56 4.227230e-15 2.888926e-42 2.738054e-28 2.280939e-08 2.399759e-13 9.622245e-09 5.983523e-07 4.019900e-04 2.010499e-28 1.901904e-08 1.440279e-22 8.206420e-19 5.135995e-13 2.586413e-19 2.013458e-01 2.803955e-15 6.298118e-13 1.242019e-12 3.665592e-12 1.320208e-08 5.710477e-27 3.722091e-27 7.382880e-31 5.454354e-11 2.494261e-17 7.957367e-01 6.216216e-09 1.055349e-11 3.169928e-16 5.218448e-26 1.159985e-16 2.128853e-14 5.503590e-16 2.847025e-21 1.791262e-13 2.455442e-09 8.763840e-05 9.177554e-17 5.506932e-15 4.089790e-15 1.839868e-10 3.908237e-14 3.648479e-09 2.356760e-13 2.182998e-09 2.547151e-14 1.295287e-22 2.006195e-11 5.119738e-27 6.062912e-16 1.886376e-15 4.766641e-19 4.272899e-15 2.453485e-27 6.460903e-10 5.520899e-18 6.419309e-19 3.519051e-16 3.717291e-10 4.002333e-18 1.358915e-15 1.400496e-34 2.260005e-17 2.284344e-08 7.724492e-20 2.712226e-24 5.732164e-08 2.859658e-14 2.119140e-13 4.157026e-11 4.581625e-12 1.256843e-12 1.885213e-14 5.766414e-23 6.442642e-18 9.011777e-13 1.290985e-12 4.264560e-24 7.632613e-16 7.860974e-15 7.552515e-19 6.475211e-31 4.562130e-24 7.367527e-29 1.556022e-51 0.000000e+00 5.972903e-06 3.134698e-16
4.284310e-01 5.898010e-16 3.541190e-05 1.558805e-03 1.396777e-21 7.916884e-19 4.119285e-30 2.686785e-31 6.984864e-28 2.097618e-15 1.502195e-04 0.000000e+00 4.275229e-15 3.972509e-41 2.623239e-28 2.282462e-08 2.577092e-13 9.630857e-09 6.006324e-07 4.022385e-04 2.608450e-28 1.831879e-08 1.706294e-22 9.934836e-19 5.176633e-13 4.540642e-19 2.014836e-01 2.806077e-15 6.302782e-13 1.286594e-12 3.795776e-12 1.311153e-08 0.000000e+00 4.602964e-27 7.353680e-31 5.459275e-11 3.183785e-17 7.962813e-01 6.215306e-09 1.131723e-11 3.164551e-16 9.497630e-26 1.220926e-16 2.130261e-14 5.973809e-16 2.854811e-21 1.793044e-13 2.177101e-09 8.769710e-05 9.183985e-17 5.776256e-15 4.092981e-15 1.841237e-10 4.032364e-14 3.876775e-09 1.511618e-13 2.441394e-09 2.815292e-14 1.717475e-22 2.993007e-11 7.083888e-27 8.734366e-16 2.101368e-15 7.377988e-19 6.153284e-15 2.819731e-27 6.460324e-10 5.524154e-18 6.427184e-19 5.362505e-16 3.722959e-10 4.310463e-18 1.359998e-15 1.809470e-34 2.264612e-17 2.275746e-08 1.424528e-19 3.607712e-24 5.734261e-08 3.424991e-14 2.120760e-13 4.159337e-11 4.584180e-12 1.257789e-12 1.943480e-14 1.315766e-22 6.370557e-18 9.018515e-13 1.291996e-12 4.315028e-24 7.637911e-16 7.867190e-15 7.558797e-19 6.478791e-31 5.819774e-24 1.554473e-28 1.144035e-51 0.000000e+00 4.794112e-06 1.386805e-15
3.719869e-01 7.476460e-16 3.543151e-05 1.055892e-03 1.721020e-21 9.118384e-19 1.417981e-29 1.397797e-30 7.442019e-28 2.419045e-15 1.502890e-04 1.811064e-55 4.335738e-15 5.275702e-40 2.522691e-28 2.283565e-08 2.766837e-13 9.638162e-09 6.026259e-07 4.024249e-04 3.380754e-28 1.762333e-08 2.012592e-22 1.203328e-18 5.224470e-13 7.870362e-19 2.015850e-01 2.807734e-15 6.306383e-13 1.319496e-12 3.912659e-12 1.299938e-08 4.988132e-27 5.742912e-27 7.115419e-31 5.463355e-11 4.044744e-17 7.966824e-01 6.213530e-09 1.224366e-11 3.159665e-16 1.727504e-25 1.284204e-16 2.131361e-14 6.486199e-16 2.867964e-21 1.794636e-13 1.939841e-09 8.773991e-05 9.188899e-17 6.054664e-15 4.095513e-15 1.842296e-10 4.185928e-14 4.011424e-09 9.440573e-14 2.652092e-09 3.138006e-14 2.201037e-22 4.265724e-11 9.685312e-27 1.243000e-15 2.361099e-15 1.123074e-18 8.745079e-15 3.226028e-27 6.458417e-10 5.526308e-18 6.434841e-19 7.757950e-16 3.731831e-10 4.714915e-18 1.360867e-15 2.298674e-34 2.269464e-17 2.265098e-08 2.692597e-19 4.778001e-24 5.735142e-08 3.903007e-14 2.122031e-13 4.160947e-11 4.585835e-12 1.258526e-12 2.009935e-14 2.987535e-22 6.271915e-18 9.023746e-13 1.292800e-12 4.367995e-24 7.641948e-16 7.872149e-15 7.563941e-19 6.481167e-31 7.187410e-24 3.380013e-28 8.535083e-52 0.000000e+00 3.502220e-06 3.882446e-15
3.229791e-01 9.698897e-16 3.544691e-05 6.823472e-04 2.079279e-21 1.000212e-18 4.339227e-29 0.000000e+00 7.682253e-28 2.652810e-15 1.503388e-04 0.000000e+00 4.414959e-15 5.224298e-39 2.279787e-28 2.284359e-08 2.964565e-13 9.644823e-09 6.044301e-07 4.025667e-04 4.486229e-28 1.692322e-08 2.398054e-22 1.481643e-18 5.282951e-13 1.551377e-18 2.016604e-01 2.809085e-15 6.309268e-13 1.316553e-12 3.945567e-12 1.286375e-08 0.000000e+00 7.295377e-27 6.115566e-31 5.466941e-11 5.088500e-17 7.969803e-01 6.210957e-09 1.348663e-11 3.155997e-16 3.465264e-25 1.350678e-16 2.132294e-14 7.055768e-16 2.889220e-21 1.796179e-13 1.730486e-09 8.777122e-05 9.192787e-17 6.337412e-15 4.097625e-15 1.843147e-10 4.381012e-14 4.063926e-09 4.299186e-14 2.827602e-09 3.518777e-14 2.742740e-22 5.857200e-11 1.310730e-26 1.744464e-15 2.667890e-15 1.686124e-18 1.225081e-14 3.564362e-27 6.455275e-10 5.527599e-18 6.442993e-19 1.055152e-15 3.745254e-10 5.382057e-18 1.361605e-15 2.801001e-34 2.274924e-17 2.252263e-08 5.520299e-19 6.611629e-24 5.734977e-08 4.288552e-14 2.123076e-13 4.162036e-11 4.586781e-12 1.259123e-12 2.085745e-14 8.340669e-22 6.142308e-18 9.027972e-13 1.293473e-12 4.422216e-24 7.645141e-16 7.876314e-15 7.568420e-19 6.482616e-31 8.542991e-24 7.523301e-28 5.174392e-52 0.000000e+00 2.432469e-06 8.228347e-15
2.804279e-01 1.250383e-15 3.545844e-05 4.327556e-04 2.531139e-21 1.091253e-18 1.178674e-28 2.981894e-30 8.472865e-28 2.888133e-15 1.503695e-04 3.154643e-54 4.522670e-15 4.004650e-38 2.061024e-28 2.284849e-08 3.157123e-13 9.651143e-09 6.060846e-07 4.026648e-04 5.928932e-28 1.622297e-08 2.847768e-22 1.829081e-18 5.356833e-13 3.054708e-18 2.017108e-01 2.810168e-15 6.311514e-13 1.302356e-12 3.970777e-12 1.270440e-08 4.279899e-33 9.261382e-27 5.035824e-31 5.470155e-11 6.331888e-17 7.971794e-01 6.207417e-09 1.494980e-11 3.154851e-16 6.895461e-25 1.420964e-16 2.133123e-14 7.676252e-16 2.923000e-21 1.797755e-13 1.555647e-09 8.779139e-05 9.195748e-17 6.621817e-15 4.099385e-15 1.843814e-10 4.635277e-14 4.037387e-09 1.937099e-14 2.973714e-09 3.927836e-14 3.262841e-22 7.148164e-11 1.765557e-26 2.419020e-15 3.013864e-15 2.500738e-18 1.690417e-14 3.964455e-27 6.450688e-10 5.527997e-18 6.452262e-19 1.326789e-15 3.765454e-10 6.132111e-18 1.362236e-15 3.393332e-34 2.281356e-17 2.237062e-08 1.146651e-18 9.088542e-24 5.733646e-08 4.639710e-14 2.123926e-13 4.162605e-11 4.586969e-12 1.259599e-12 2.173267e-14 2.321365e-21 5.996483e-18 9.031308e-13 1.294035e-12 4.488743e-24 7.647581e-16 7.879821e-15 7.572400e-19 6.483118e-31 9.901714e-24 1.700108e-27 3.137379e-52 0.000000e+00 1.443214e-06 1.431586e-14
